teacher,class,classcode
tch_20200710-200314_45,class_20200710-200314_45,Pf6J-N3ek
tch_20200710-200314_46,class_20200710-200314_46,gHR3-P8bA
tch_20200710-200314_48,class_20200710-200314_48,49J8-74m3
tch_20200710-200314_47,class_20200710-200314_47,mYh3-G3Ld
tch_20200710-200314_50,class_20200710-200314_50,iacg-x32G
tch_20200710-200314_49,class_20200710-200314_49,e9mP-psmF
tch_20200710-200314_52,class_20200710-200314_52,xLXi-62pH
tch_20200710-200314_51,class_20200710-200314_51,tCRg-sY9a
tch_20200710-200314_53,class_20200710-200314_53,xco8-NcZd
tch_20200710-200314_55,class_20200710-200314_55,ZPdQ-JY89
tch_20200710-200314_54,class_20200710-200314_54,R6J7-PfZ6
tch_20200710-200314_56,class_20200710-200314_56,dpPp-6Xma
tch_20200710-200314_57,class_20200710-200314_57,3Zp6-HwNx
tch_20200710-200314_58,class_20200710-200314_58,VrTV-N4Fz
tch_20200710-200314_60,class_20200710-200314_60,hrXg-jFR7
tch_20200710-200314_61,class_20200710-200314_61,kV6R-ng2s
tch_20200710-200314_59,class_20200710-200314_59,d8mf-GUWV
tch_20200710-200314_62,class_20200710-200314_62,6Q9h-9B8Q
tch_20200710-200314_64,class_20200710-200314_64,kehB-e8tm
tch_20200710-200314_63,class_20200710-200314_63,BFq9-K6R3
tch_20200710-200314_66,class_20200710-200314_66,Knjw-mvZ6
tch_20200710-200314_65,class_20200710-200314_65,weCk-wDcz
tch_20200710-200314_67,class_20200710-200314_67,8cBR-7Xfh
tch_20200710-200314_68,class_20200710-200314_68,feBd-M6yE
tch_20200710-200314_69,class_20200710-200314_69,HJAm-Y3ib
tch_20200710-200314_70,class_20200710-200314_70,sPvC-HB2G
tch_20200710-200314_71,class_20200710-200314_71,2QKL-Dh69
tch_20200710-200314_72,class_20200710-200314_72,J3tB-AJ9r
tch_20200710-200314_73,class_20200710-200314_73,B8j3-qD8o
tch_20200710-200314_74,class_20200710-200314_74,sGWy-UY3M
tch_20200710-200314_75,class_20200710-200314_75,op7B-6x8Y
tch_20200710-200314_76,class_20200710-200314_76,3T6Z-7D8p
tch_20200710-200314_77,class_20200710-200314_77,2fkV-L2Nm
tch_20200710-200314_78,class_20200710-200314_78,GN7s-TMa4
tch_20200710-200314_80,class_20200710-200314_80,d9pK-tPMu
tch_20200710-200314_79,class_20200710-200314_79,T63h-Mt4k
tch_20200710-200314_82,class_20200710-200314_82,7GMR-ZyE7
tch_20200710-200314_81,class_20200710-200314_81,eAJ4-2rg9
tch_20200710-200314_83,class_20200710-200314_83,PcoN-3i4d
tch_20200710-200314_84,class_20200710-200314_84,gQBF-T83u
tch_20200710-200314_86,class_20200710-200314_86,ue96-3LZz
tch_20200710-200314_85,class_20200710-200314_85,bCZe-pvso
tch_20200710-200314_87,class_20200710-200314_87,fiUd-7En2
tch_20200710-200314_88,class_20200710-200314_88,f3KD-RhuU
tch_20200710-200314_89,class_20200710-200314_89,xhia-Hp4U
tch_20200710-200314_90,class_20200710-200314_90,Le94-6M83
tch_20200710-200314_91,class_20200710-200314_91,Bqj8-QGQH
tch_20200710-200314_92,class_20200710-200314_92,qtwv-w8eC
tch_20200710-200314_93,class_20200710-200314_93,t9gL-RBds
tch_20200710-200314_94,class_20200710-200314_94,k9Fa-JsFx
tch_20200710-200314_95,class_20200710-200314_95,md98-X6Mc
tch_20200710-200314_96,class_20200710-200314_96,ExL8-MkF7
tch_20200710-200314_97,class_20200710-200314_97,6VbW-KFA2
tch_20200710-200314_98,class_20200710-200314_98,Y4A9-76HP
tch_20200710-200314_99,class_20200710-200314_99,AWv4-93gp
tch_20200710-200314_100,class_20200710-200314_100,6B7t-pQt8
tch_20200710-200314_102,class_20200710-200314_102,KkYX-9oKE
tch_20200710-200314_101,class_20200710-200314_101,WnpD-MYx3
tch_20200710-200314_103,class_20200710-200314_103,Y893-aj6z
tch_20200710-200314_104,class_20200710-200314_104,w93e-4c7M
tch_20200710-200314_105,class_20200710-200314_105,hNw6-g3C6
tch_20200710-200314_106,class_20200710-200314_106,ErKs-Yq6i
tch_20200710-200314_107,class_20200710-200314_107,8iCa-rj3J
tch_20200710-200314_108,class_20200710-200314_108,ygkz-usK8
tch_20200710-200314_110,class_20200710-200314_110,c96V-Co3s
tch_20200710-200314_109,class_20200710-200314_109,sPqV-qkKo
tch_20200710-200314_111,class_20200710-200314_111,8rM2-4AwZ
tch_20200710-200314_112,class_20200710-200314_112,R8oz-kBg2
tch_20200710-200314_113,class_20200710-200314_113,9dh2-49VY
tch_20200710-200314_114,class_20200710-200314_114,27x9-6zgM
tch_20200710-200314_115,class_20200710-200314_115,Tz6j-2F8F
tch_20200710-200314_116,class_20200710-200314_116,JAwn-bJiV
tch_20200710-200314_117,class_20200710-200314_117,4ZXk-BJ9k
tch_20200710-200314_119,class_20200710-200314_119,9YhQ-4Y2y
tch_20200710-200314_118,class_20200710-200314_118,BV4Y-67N4
tch_20200710-200314_120,class_20200710-200314_120,DQ3s-j8bg
tch_20200710-200314_121,class_20200710-200314_121,gWVF-Xoip
tch_20200710-200314_122,class_20200710-200314_122,k978-J6qA
tch_20200710-200314_123,class_20200710-200314_123,2oZ7-nCDd
tch_20200710-200314_124,class_20200710-200314_124,NRwe-jwT6
tch_20200710-200314_125,class_20200710-200314_125,KdEz-2ywD
tch_20200710-200314_126,class_20200710-200314_126,i4MK-j3Yr
tch_20200710-200314_127,class_20200710-200314_127,zQNf-EnM4
tch_20200710-200314_128,class_20200710-200314_128,X2mE-Q7A4
tch_20200710-200314_129,class_20200710-200314_129,v6VF-Qd4p
tch_20200710-200314_130,class_20200710-200314_130,ir2V-FG8f
tch_20200710-200314_131,class_20200710-200314_131,3ci8-2Ae9
tch_20200710-200314_132,class_20200710-200314_132,aw4L-PQmW
tch_20200710-200314_133,class_20200710-200314_133,8Ah8-4gT4
tch_20200710-200314_134,class_20200710-200314_134,idB9-txAu
tch_20200710-200314_135,class_20200710-200314_135,mY63-6a94
tch_20200710-200314_136,class_20200710-200314_136,rNRV-T9F9
tch_20200710-200314_137,class_20200710-200314_137,Ciob-6LC9
tch_20200710-200314_138,class_20200710-200314_138,o8V4-Y2FL
tch_20200710-200314_139,class_20200710-200314_139,GR7E-X6Pr
tch_20200710-200314_140,class_20200710-200314_140,89Wn-Qv64
tch_20200710-200314_141,class_20200710-200314_141,6GPF-2kzR
tch_20200710-200314_142,class_20200710-200314_142,c6XL-uiaW
tch_20200710-200314_143,class_20200710-200314_143,RN7p-Nw9i
tch_20200710-200314_144,class_20200710-200314_144,6zvp-tk3P
tch_20200710-200314_145,class_20200710-200314_145,RPs2-e3Y8
tch_20200710-200314_146,class_20200710-200314_146,C42s-xPv8
tch_20200710-200314_147,class_20200710-200314_147,9462-fPUQ
tch_20200710-200314_148,class_20200710-200314_148,8EAk-vg4B
tch_20200710-200314_150,class_20200710-200314_150,WYwF-cY6C
tch_20200710-200314_149,class_20200710-200314_149,7M7D-7aEZ
tch_20200710-200314_151,class_20200710-200314_151,BjFV-fLPc
tch_20200710-200314_152,class_20200710-200314_152,w7q6-iDTc
tch_20200710-200314_153,class_20200710-200314_153,jPAy-Ai6t
tch_20200710-200314_154,class_20200710-200314_154,MydW-iu9c
tch_20200710-200314_155,class_20200710-200314_155,B9B7-kVEz
tch_20200710-200314_156,class_20200710-200314_156,qyfc-9wRM
tch_20200710-200314_157,class_20200710-200314_157,Y9KF-nL9y
tch_20200710-200314_158,class_20200710-200314_158,A4d4-x3Rx
tch_20200710-200314_160,class_20200710-200314_160,CPMV-24p4
tch_20200710-200314_159,class_20200710-200314_159,3q9i-eJnD
tch_20200710-200314_161,class_20200710-200314_161,8G9d-xphC
tch_20200710-200314_162,class_20200710-200314_162,irtz-ACNQ
tch_20200710-200314_163,class_20200710-200314_163,Y9mP-D8V8
tch_20200710-200314_164,class_20200710-200314_164,LX2G-WFH8
tch_20200710-200314_165,class_20200710-200314_165,2tNJ-q8B8
tch_20200710-200314_166,class_20200710-200314_166,Q9L4-8sHJ
tch_20200710-200314_167,class_20200710-200314_167,7zK6-RARc
tch_20200710-200314_168,class_20200710-200314_168,3Y8T-9JbE
tch_20200710-200314_170,class_20200710-200314_170,EhPZ-EY6d
tch_20200710-200314_169,class_20200710-200314_169,VN34-fap7
tch_20200710-200314_171,class_20200710-200314_171,rk7i-84Jo
tch_20200710-200314_172,class_20200710-200314_172,62JZ-6PA4
tch_20200710-200314_173,class_20200710-200314_173,v9io-BL9Y
tch_20200710-200314_174,class_20200710-200314_174,3h8k-pv7h
tch_20200710-200314_176,class_20200710-200314_176,rHCs-2aw7
tch_20200710-200314_177,class_20200710-200314_177,a42q-F76V
tch_20200710-200314_175,class_20200710-200314_175,fX9n-VGXu
tch_20200710-200314_178,class_20200710-200314_178,iekr-fNpn
tch_20200710-200314_179,class_20200710-200314_179,gJR8-2mb6
tch_20200710-200314_180,class_20200710-200314_180,o2hB-48D4
tch_20200710-200314_181,class_20200710-200314_181,P4mR-fKQa
tch_20200710-200314_182,class_20200710-200314_182,i4k9-V4x3
tch_20200710-200314_183,class_20200710-200314_183,FrWd-tWX6
tch_20200710-200314_184,class_20200710-200314_184,HZpu-KY3o
tch_20200710-200314_186,class_20200710-200314_186,84JD-4Y29
tch_20200710-200314_185,class_20200710-200314_185,2jVw-3QZ2
tch_20200710-200314_187,class_20200710-200314_187,fjVy-q9fg
tch_20200710-200314_188,class_20200710-200314_188,69w2-939d
tch_20200710-200314_189,class_20200710-200314_189,nAu3-7UvB
tch_20200710-200314_190,class_20200710-200314_190,7W76-TpgQ
tch_20200710-200314_191,class_20200710-200314_191,qJ73-w9ay
tch_20200710-200314_192,class_20200710-200314_192,2P7b-3rqj
tch_20200710-200314_193,class_20200710-200314_193,PMhX-9ZYP
tch_20200710-200314_194,class_20200710-200314_194,an6a-VwNx
tch_20200710-200314_195,class_20200710-200314_195,Mf8q-9nyj
tch_20200710-200314_196,class_20200710-200314_196,yXAb-FMaq
tch_20200710-200314_198,class_20200710-200314_198,WFCj-9i4x
tch_20200710-200314_197,class_20200710-200314_197,Xqd4-DWax
tch_20200710-200314_200,class_20200710-200314_200,3DZ9-aABn
tch_20200710-200314_199,class_20200710-200314_199,2iqr-oKLk
tch_20200710-200314_201,class_20200710-200314_201,9T4J-U2sU
tch_20200710-200314_203,class_20200710-200314_203,6nsV-G263
tch_20200710-200314_202,class_20200710-200314_202,Dm9d-habX
tch_20200710-200314_204,class_20200710-200314_204,Ky39-CT62
tch_20200710-200314_205,class_20200710-200314_205,GwXk-m8x9
tch_20200710-200314_206,class_20200710-200314_206,sX6p-Ne2x
tch_20200710-200314_207,class_20200710-200314_207,H2uK-NzqU
tch_20200710-200314_208,class_20200710-200314_208,zwH6-U64q
tch_20200710-200314_209,class_20200710-200314_209,d6h2-op2D
tch_20200710-200314_210,class_20200710-200314_210,d6E8-VbBw
tch_20200710-200314_211,class_20200710-200314_211,K7GR-6H4M
tch_20200710-200314_212,class_20200710-200314_212,GWHE-j4AB
tch_20200710-200314_214,class_20200710-200314_214,gCr4-7xQJ
tch_20200710-200314_213,class_20200710-200314_213,ArA6-3uFW
tch_20200710-200314_215,class_20200710-200314_215,XEBT-L9tZ
tch_20200710-200314_216,class_20200710-200314_216,f23N-gybe
tch_20200710-200314_217,class_20200710-200314_217,eujx-N9A6
tch_20200710-200314_218,class_20200710-200314_218,RbWj-4A4Z
tch_20200710-200314_219,class_20200710-200314_219,mqp7-8mdZ
tch_20200710-200314_220,class_20200710-200314_220,8boK-2X7d
tch_20200710-200314_221,class_20200710-200314_221,hqhQ-3QY6
tch_20200710-200314_223,class_20200710-200314_223,b43Y-749U
tch_20200710-200314_222,class_20200710-200314_222,4p23-jCke
tch_20200710-200314_224,class_20200710-200314_224,MZa8-vhms
tch_20200710-200314_225,class_20200710-200314_225,eT2Y-vAYL
tch_20200710-200314_226,class_20200710-200314_226,ur9P-BNLx
tch_20200710-200314_227,class_20200710-200314_227,494b-28W3
tch_20200710-200314_229,class_20200710-200314_229,4936-trFX
tch_20200710-200314_228,class_20200710-200314_228,2HDz-6uY8
tch_20200710-200314_230,class_20200710-200314_230,NU7u-i9W4
tch_20200710-200314_231,class_20200710-200314_231,gXw4-dPD7
tch_20200710-200314_233,class_20200710-200314_233,A4t6-A8Q7
tch_20200710-200314_232,class_20200710-200314_232,u736-824E
tch_20200710-200314_235,class_20200710-200314_235,9EkF-sE2Z
tch_20200710-200314_234,class_20200710-200314_234,fj2c-e3u8
tch_20200710-200314_236,class_20200710-200314_236,U34F-34VX
tch_20200710-200314_237,class_20200710-200314_237,Cod4-jc23
tch_20200710-200314_239,class_20200710-200314_239,pXkY-6YoA
tch_20200710-200314_238,class_20200710-200314_238,MX7t-648o
tch_20200710-200314_240,class_20200710-200314_240,gxLG-bZWZ
tch_20200710-200314_241,class_20200710-200314_241,D6Yc-7TY3
tch_20200710-200314_243,class_20200710-200314_243,FNxr-La4P
tch_20200710-200314_242,class_20200710-200314_242,yujF-tdrc
tch_20200710-200314_244,class_20200710-200314_244,r696-hrmH
tch_20200710-200314_245,class_20200710-200314_245,6C8n-PL8D
tch_20200710-200314_247,class_20200710-200314_247,UV3d-iZzf
tch_20200710-200314_246,class_20200710-200314_246,Wqj6-ctfW
tch_20200710-200314_248,class_20200710-200314_248,Ei3u-paX8
tch_20200710-200314_249,class_20200710-200314_249,4TNY-bkV8
tch_20200710-200314_250,class_20200710-200314_250,Bz9M-BMPV
