a,b,c,d,e,f,g,h
tch_20200602-131909_107,class_20200602-131909_107,rTP8-gvQ4,9e2a22b8-1856-4c1f-99dd-1b646f333cf5,5e50e328-dd4b-414d-be9d-8396e4dcfacf,14984211-b799-4b66-af71-d5c0b86541b4,7f9f525e-b9a5-4893-92f3-0a871ca25a9b,84ef7a8a-b433-458c-8e65-c6c50091572b
tch_20200602-131909_108,class_20200602-131909_108,Vu9q-urPe,bc4f98da-46fa-4fd1-b58d-93a9677e91e1,716f1092-e9a5-47bb-8efa-3baba6414841,dc6d55ff-9744-4c76-9fe5-b20120beef8a,e268c4ad-bc5f-4140-89f1-f6e5c894bbcd,2a33c0f9-cd1c-40c6-9ee7-d98cdb814a4a
tch_20200602-131909_109,class_20200602-131909_109,ybEr-UF7T,d1a5f964-52cc-4c19-a845-07127da63848,0abf3c0f-0417-4df7-baea-76f232a0bde1,840b530a-f1a7-497d-a013-88505ac948b3,c3e35fb8-4db7-45ca-b39b-57a96fd19393,f63e63a0-7f9e-4dcf-b595-8cf64be834e9
tch_20200602-131909_110,class_20200602-131909_110,DULJ-87V2,fc77494b-e44f-493d-80b0-56ae825c49bb,6ff7ace2-7217-442d-b2da-0fe8b731ef04,e0f24e98-2ce6-4788-9c5c-d16e136c2a87,953c0472-15a8-4c4e-aea9-bb77ee8db60d,781eb0ed-e1ec-41ff-8348-c37e44267c3d
tch_20200602-131909_111,class_20200602-131909_111,jT6d-TFPg,9ba62af8-c3b2-4b59-90b4-72e27d937b55,eb61dedb-fb59-4375-b965-39bdac087150,f6b32455-1e06-4740-9ba7-a2300b2ff2f5,7c30526d-d07d-422e-83c1-037b4e5f4438,a65e1ddd-c919-443c-8c20-b13aaa2988b3
tch_20200602-131909_112,class_20200602-131909_112,oUF2-zaP7,f709eaf8-ef6a-42ab-b51c-f4828215fe72,679657e6-99e7-49ff-a8a7-c3c0b1888aa0,3104f042-e329-462b-aa72-47ff54263cc0,4e3758db-7a7a-4dfd-b8c2-bc90f36627f9,66dd3948-15d1-4a49-8603-c201a25de083
tch_20200602-131909_114,class_20200602-131909_114,2j4L-4W9J,2b03d8d8-1e70-4962-9d48-3a9b1dee40bc,9ba7bd10-4855-4f00-9f72-f72f58708d05,ad6320a0-ca49-45f4-a434-151de3ad7161,f58ea85a-32bc-416e-bb13-908601b7d92c,40bf7cd3-d9e3-4bae-acbd-1a972c876c28
tch_20200602-131909_113,class_20200602-131909_113,3ka8-Z4xf,27229314-97f6-492c-8002-8338de0cb016,228d2000-cf22-4c2f-af1d-cfddc4203de0,191fb60e-8432-4cf6-8aff-6435e92c4842,7e602b3e-f7c9-4358-971b-94c7d6e75313,2627a0ae-6376-4b93-824b-15200eb931c0
tch_20200602-131909_115,class_20200602-131909_115,g2sM-7sa8,7834b167-60dc-49ca-98c8-053d11307744,28427527-6487-47d5-999e-c3db7afc1b89,60ba4101-7574-4a71-a802-37f960714a00,8816f2f5-ffa3-4c7a-8994-79c1ae534234,da423cbb-e55f-49bc-b490-58b583f1466c
tch_20200602-131909_118,class_20200602-131909_118,ndaq-H4ka,004093a1-97a9-4645-a72e-e9647c28eb8b,399d26ad-889a-41e9-b96a-bfd94e9d4e4f,f8430223-f57e-4bc9-a01f-09e3ae93c6e3,249cba68-cb66-4f73-9d07-83b754f10faa,05e5dfd7-ab8a-4bb0-93f3-11bb98561569
tch_20200602-131909_116,class_20200602-131909_116,Nuxd-23Mu,5619a1c9-6bbc-402a-9975-05628d36d516,8f5133d4-91c1-44d3-b31f-f8973c59858a,bab399d0-bcb4-4762-b9f3-ceebb1b70b4b,5a31f4b7-23b5-4525-b592-db445f0c2c83,12793fb3-3842-461a-8b0a-d2941ba36fff
tch_20200602-131909_117,class_20200602-131909_117,A7CG-4Ewy,c15e5ab9-796a-43ff-8d2c-81aa6d6858ca,2cf7777a-a73d-423d-94cf-f4b4ed70838b,0d04c0a7-6072-4dd9-a3b4-fb3aef4c826c,e43dd97e-5b7f-430b-a634-68fd92e9205e,127cada1-2777-4cf4-9705-41c3133fcd92
tch_20200602-131909_120,class_20200602-131909_120,wjzV-2F9v,bd5cf84c-a4c8-40f2-8fa8-77cdd1702b67,3cbf9ce5-6b39-4793-bf18-cacb3e6bd262,e88efd45-95de-40cb-b4e8-2db83362aa0d,7e09a30e-df9d-40af-aa64-5a0e708d7393,e03858e2-c401-42b2-a772-feeee2976bc0
tch_20200602-131909_119,class_20200602-131909_119,s4QX-i8mk,cae7ac39-6c94-431f-9698-5551e6e640d1,2314717b-ff99-49f2-a602-341e3b44bdc3,215f26f9-3777-4a8a-8096-9d3fdd815c89,102d018b-da5e-4d07-a362-2596bb132048,fd54f09d-4f9d-46ee-9112-219ffc388f08
tch_20200602-131909_121,class_20200602-131909_121,fex8-kM89,1193fd9e-16ed-499f-8fbf-b43752ba33c6,62bd2faf-df7f-4696-b64d-bdc75d924849,e5c431d0-a8ee-4a33-805b-dd48c6bfac6a,caf12492-d5c5-4a89-875c-45ba85927576,3f4c2c5b-a183-4a0c-8afa-cf8b9d777c12
tch_20200602-131909_123,class_20200602-131909_123,Y7EG-J94B,8a3ab99c-3600-4795-a0ba-48630d44877e,ed556333-e2fb-44a8-a2d9-9787f60a3e8f,a6690f7e-9283-474c-af5f-a6f4915faa1f,2ddc5ba6-72da-4a17-ae7f-9fd25f5cd575,ce09934f-1cf9-4937-99f3-c7afb42032e9
tch_20200602-131909_124,class_20200602-131909_124,h89a-ACBL,64c7764b-1d1e-43f0-983f-9b0f0d19ef76,1f710245-bb75-4d1f-afb1-5fbce928b645,c101ba54-7a0b-40f0-b4f8-6803e3eaf158,7e72668a-b74d-4198-8556-1bd0d7ed4770,dd65ed26-f9fd-4a1c-8945-07b91662d98b
tch_20200602-131909_122,class_20200602-131909_122,GpPN-9tM3,b09cf0d4-1adf-4ede-8530-38706dfeb4bc,83b168f9-0da7-4c38-83e5-15d03fa6fae7,d78bc125-3c26-4e34-9e92-226d43608c13,af5ed540-b5e0-4264-b021-bc1621e81df7,01edf2b5-661d-4fb6-99df-966cf67e3454
tch_20200602-131909_125,class_20200602-131909_125,AC6R-Cxk6,13ce5d8d-7306-4fda-b58e-59f52dc876bf,4eda0d8b-40bc-453c-9c53-1a6aa8cc8cf8,3eaa6234-65b3-4f75-a8e3-f1bc2008c34b,dcb36ae7-1153-45b1-978a-c83f4fc0de4f,716cef3c-86eb-44d9-88d1-5742cd1ce79f
tch_20200602-131909_126,class_20200602-131909_126,aq37-r97M,984eb80b-37f3-4cc0-9728-763b15c375c6,7c6a6002-e3b3-4559-a5a4-22fde74f7cca,d491c8b2-a7f6-4adf-b3d5-5ca6097d5a18,4a89131b-fefd-4d71-8082-18c73f691d29,e4311fcd-3e1d-4a1f-b877-e0a1f36e3231
tch_20200602-131909_127,class_20200602-131909_127,xuzh-YXsd,d15d32e4-67d1-47dd-9adf-277f214c1571,3e5eeddd-c7f0-47bd-8f23-1662085f28cf,3b98798b-e213-4cea-a170-8d3323a85920,7f256384-0b99-469d-b34a-c390fbc4d679,09ba9dd8-6f28-4e19-b0e4-c03d2a289a08
tch_20200602-131909_128,class_20200602-131909_128,8L63-E78b,4ad4fab3-ac42-4b54-bbbc-1f6ab153c633,9fd5202d-95b5-4191-bb2a-2d3c2d5c06d8,4ceae9db-c1e6-4395-bf37-dbdee44dd7fe,350e463d-ad3d-4abd-a43c-9a0b3c945c7a,9b8d70cc-9eb0-4cae-90c2-6fb0f005db27
tch_20200602-131909_129,class_20200602-131909_129,6VBL-7dD2,bceddec5-756d-4e08-be73-d9f0a605ca21,6d772e40-48cb-4444-898b-3ab2f1037992,b2d925d9-de56-482e-8599-a5a5f8b895a3,cbb1c889-eb21-4c40-88c1-188a69c27835,0669fe14-4f52-465a-b519-27e7562046e9
tch_20200602-131909_130,class_20200602-131909_130,RMJz-9hsv,6a0f7859-d6ee-4f0b-9d33-64ece8c29450,413dc73c-8e08-4511-a252-31fd47563f08,a809eee5-8d11-4da6-8dfa-624aadd281ce,8976cc2b-9a98-435f-a1af-269ce3750604,e2b4b2c3-3565-461e-846c-0473ab5db358
tch_20200602-131909_131,class_20200602-131909_131,fDzm-iYZK,920be65c-e28e-4dd2-aeab-d4fb8fc90eec,80e4bfd8-152f-4cfa-9dfd-abe6eb389314,5be98222-c04e-4809-8635-3e9d523290c3,9cb0332d-93a0-4750-8418-25ed007a466a,7dcd70d5-be44-490f-a138-f50a456b3622
tch_20200602-131909_132,class_20200602-131909_132,3vwc-Z4Vs,bc64bc71-1c3c-4ce6-a86b-73966ccea6ca,76a800b2-ffa3-45d9-ada6-907ee76fbbd7,6d2f1d75-8e25-4c24-90cf-6963b1a14c88,fb0aa2d4-af39-4a0a-8c3b-1c4d2e638c16,3958ecef-5556-4f46-9453-a8660ca2a8fd
tch_20200602-131909_133,class_20200602-131909_133,h3jt-cPUE,19b6c9b4-b60d-4d90-9115-a6890653aac3,d497ba38-ddfc-4d50-ae12-31b0a6889b54,178f6581-eb5c-4d90-a78c-75c0a6047b54,18c62d32-ad29-471d-a409-ab125cccabbd,677a167b-ced9-47f1-943b-bc6061a0ded8
tch_20200602-131909_135,class_20200602-131909_135,u7kp-gXU7,5ab26cab-2fe9-4cd9-b087-514f679c6488,310a4014-61ee-495a-bd0c-b9fdf2a721f0,36b6599d-141e-40bb-a77f-c13ffb0155c5,6aaf69b3-c7c1-43fb-b14d-300226d0bfb6,ced63417-9c34-49a3-8709-7c15742c18ba
tch_20200602-131909_134,class_20200602-131909_134,P2b4-d2Ls,0fb52fde-277e-4b9a-8955-bdb8d6161315,63247c81-90cb-4695-bef0-4f22ec61fe24,3d1544f6-f5b4-4764-9d5e-e64170e0232c,f8035011-702c-4173-a3aa-ab0a01260f06,461169b9-cfd4-43fc-b9a5-f8e2f634f382
tch_20200602-131909_136,class_20200602-131909_136,Cn7p-o7A6,ee7c8cee-896f-4913-85f1-e9b68d7b0e54,f036dab1-5268-4cc2-b756-84b6879d47da,e7af1967-8b14-4677-8d69-71200347e854,fde8b828-7e13-41f3-b2f9-e0a3de635306,2e0b2a72-67a8-49fa-9884-363adfbb2410
tch_20200602-131909_138,class_20200602-131909_138,MEbX-iVLF,0b97a6ea-7acd-4604-a954-45745aaeb84b,823d9339-9ea6-40cf-9ced-91be979b8601,6a1071e9-54ba-4dc2-8828-eb682b806593,739b7c47-d9ee-4f78-bfdb-ca2b14278c9d,14c2b6bd-1abb-4a1d-ae09-9d554a8db1a5
tch_20200602-131909_137,class_20200602-131909_137,tTDK-UhG7,da8a495b-721e-4933-ab21-b86edc637a75,029ef3f3-ae7d-4d43-bf63-17602131d602,29794306-eceb-4284-9bb9-a53b157f31d0,25282001-d4f1-43bb-87c5-ebbb1c230425,59d7341f-a950-4a88-a98b-9e367e03f4f9
tch_20200602-131909_139,class_20200602-131909_139,Xjtm-79aY,f19e1f8c-38a9-4268-a160-c6adfdf65061,3dab5ec1-9d77-446e-b252-1b4f34d239a8,74b3f214-e6c8-4b6c-b4ba-704b463314dc,ec52df4e-751c-45d5-854f-67166c90136b,8b404665-878b-47b4-836c-4cc0538b4701
tch_20200602-131909_140,class_20200602-131909_140,vRkr-ZVPa,bd5d9473-5227-412a-94f9-2d7a77d0d1de,244cc2f2-4946-46e0-a057-9854892f5ed8,7c401ddf-1e76-4eb1-8d5c-e63323017398,1b1d201b-1590-4f47-bdd5-d75b643588fa,47ee4e6c-6c38-4d27-9d21-b6599e073504
tch_20200602-131909_141,class_20200602-131909_141,DEJ9-gb9W,5cc727b8-4718-4eba-a976-652cc6f22358,b4e09ca5-4b0d-4313-b235-e0ea6631c924,3f7e341a-d18a-46ff-a29d-b0478406794c,d92c7bcf-0a4a-40e7-8de2-c86d66755580,fafd60b2-bc4d-4d19-b642-c644d505fa0d
tch_20200602-131909_142,class_20200602-131909_142,XUCt-vQ37,c9fbac24-c424-4a90-bc53-c7d896dc8ac2,432e3a9b-8e88-4f91-8293-f6dab6281ba0,82d54122-745f-40a2-92a7-3b2764fb2292,48d4809b-19a4-4d11-8e13-afa4f6e7b400,f50791bc-447f-44ad-aad3-f6fd778042eb
tch_20200602-131909_145,class_20200602-131909_145,dH86-2XGE,8bbcc300-2c61-42dd-adf7-8ad546220c5a,a49eda19-5cf4-4be4-9b24-6a36e248cf4e,ab1bcba9-3162-4941-8463-dd262e98660d,26b5d934-6351-40a8-b95e-2fcf37593bb9,c7662f27-8b3c-4238-a947-97699beabf41
tch_20200602-131909_143,class_20200602-131909_143,CT4k-LQoq,dc6c4dd0-dd5f-4a11-9ee3-753750ce763b,8f3e6863-467d-4444-9904-1dc15ba7c009,b903a72f-5a78-4682-9960-67fb195ac58e,7a2b7235-5e71-4a42-ad69-da264f4fcf25,d8f1aa49-2da4-49fa-a724-9521c2068117
tch_20200602-131909_144,class_20200602-131909_144,2Ai4-tPx2,cb132562-7886-4bc9-98b5-3279c3b0c37e,06befc66-df47-498d-a065-46bbdf1c3c1d,08001ecf-b022-4602-9dea-fea4457a9dae,03d61828-28e4-4e4f-bd43-2320dc97e924,b2c816c1-19d4-4d7a-afc6-eb7d9759c346
tch_20200602-131909_147,class_20200602-131909_147,y8N7-JfTa,739b445c-4885-4d09-9006-5b6ebc809177,ea6a2566-8f06-4941-8585-20faa1a4a7a5,4336f148-4cdb-4be7-97a9-8a1bde3b5bc7,8b5190c3-aa7d-43dd-8e31-ea002f25521d,b36fc4f0-a389-4ad3-86ac-ce562cbdb009
tch_20200602-131909_148,class_20200602-131909_148,FytA-2HKd,4ede0194-1ca6-4fcd-a701-06ff33ab8cd9,a414560c-82e0-4f1c-9e51-4ad450c7a35d,e5c9ade8-14bb-4665-9cce-fce8d4fd615e,27066a98-6eb0-4a5e-bce9-739bd8a6a7a3,ad18ae55-ca0e-4749-9bd4-a78a91de1698
tch_20200602-131909_146,class_20200602-131909_146,Vsrn-7UFp,b3647a8b-d708-4996-8630-02de6c19a51f,5670e765-3f0c-4c35-a86d-322efa74642d,6af5ee08-9584-41c5-b368-3cd60933f1dd,a25bb9c5-34cf-4718-9bab-87698a5ed3a4,87016112-323a-48f9-b1eb-4022eefedcfd
tch_20200602-131909_149,class_20200602-131909_149,oBWF-xkwu,4a05f548-ef6f-439c-9b13-81b51cc7dde8,18e0ff99-5d71-4bc7-aaad-d96417d781f2,256c2a86-b41a-400d-93fd-527c40698104,d56023bb-66bc-476e-aa6b-dde9b97b5900,27594abc-d8ce-408c-bc64-bf07d46bece8
tch_20200602-131909_151,class_20200602-131909_151,UWg6-7vTZ,cdc8857f-d5bf-414e-b0c5-fb0b13bca524,a94fef1a-1eb1-4549-8fce-2ff47761318d,99fb12a8-e4d2-4dd4-bc83-d51793663ca4,e9ea4467-2288-4269-b55d-442bf06999a4,e09e36fc-6175-4dbb-bf48-f0ae945514bf
tch_20200602-131909_152,class_20200602-131909_152,zNct-ZyLd,faead6a2-a6e9-4896-8f55-2b7099c2992f,068eb691-5188-436c-8a34-28a856a962a1,db5c56e2-f798-4d70-b5aa-23f1e7e5f1fb,ff44fc84-797b-499e-a17e-92f56caeecef,4d623a37-79b7-44c4-8942-260cc3c90cec
tch_20200602-131909_153,class_20200602-131909_153,2KNn-6o2w,7c248882-28c2-4113-91f8-70344281d466,8a507d84-9b56-48ea-a003-ab32ad34e4b3,ca6265ad-f75f-4724-90a2-b8fdd9ef31f4,881b935e-a08c-4529-b4e3-18f226d7aca2,5bb862eb-1148-46ca-b439-7808ae1e9239
tch_20200602-131909_150,class_20200602-131909_150,6QGM-8Erg,e4aab0e9-24fe-4aee-a234-0334159f53f1,ccf05409-3f39-46d2-bc9b-96cd29575833,05c82b65-8723-47e0-adb2-348d90fee0bd,1a25d501-d212-4d8c-9265-3eaa284bc1fc,0722de78-9786-48e1-8c2a-e018fbdcd420
tch_20200602-131909_154,class_20200602-131909_154,7Rf8-ihrm,29f90b46-b1ac-4159-af82-edea735934d5,e18f4486-0a96-48bc-8ed4-bc0e2d0c910b,c45430c7-ab9a-4438-bd79-855f2eb73d17,ea9d534f-05ab-4d8f-9447-1232db4a8933,66400ff2-4545-45e0-969f-3b9b1dffb809
