teacher,classtitle,classcode
perf_prod_teacher_133749_71,perf_class_133749_71,YZAB-9a6X
perf_prod_teacher_133749_72,perf_class_133749_72,8f8i-a4de
perf_prod_teacher_133749_73,perf_class_133749_73,VcTU-M96G
perf_prod_teacher_133749_74,perf_class_133749_74,4A2Z-bdbi
perf_prod_teacher_133749_75,perf_class_133749_75,fc7Y-i3iH
perf_prod_teacher_133749_76,perf_class_133749_76,N9fb-Ra26
perf_prod_teacher_133749_77,perf_class_133749_77,ehge-4A2b
perf_prod_teacher_133749_78,perf_class_133749_78,KGC7-i7bf
perf_prod_teacher_133749_79,perf_class_133749_79,D7j3-DQH3
perf_prod_teacher_133749_80,perf_class_133749_80,UbfW-K2Hd
perf_prod_teacher_133749_81,perf_class_133749_81,4e26-W2PB
perf_prod_teacher_133749_82,perf_class_133749_82,eiF3-if97
perf_prod_teacher_133749_83,perf_class_133749_83,aeZK-3i87
perf_prod_teacher_133749_84,perf_class_133749_84,4ghC-7938
perf_prod_teacher_133749_85,perf_class_133749_85,b72L-94Pe
perf_prod_teacher_133749_86,perf_class_133749_86,eiCj-g9XH
perf_prod_teacher_133749_88,perf_class_133749_88,iQ7C-38fH
perf_prod_teacher_133749_87,perf_class_133749_87,ei8C-N3M7
perf_prod_teacher_133749_89,perf_class_133749_89,jJgh-Qe4e
perf_prod_teacher_133749_90,perf_class_133749_90,Ca69-73UV
perf_prod_teacher_133749_91,perf_class_133749_91,6R4c-4Y7Y
perf_prod_teacher_133749_92,perf_class_133749_92,b49d-4L62
perf_prod_teacher_133749_93,perf_class_133749_93,NcQN-E3eh
perf_prod_teacher_133749_94,perf_class_133749_94,jf4j-DC8A
perf_prod_teacher_133749_95,perf_class_133749_95,4WCD-P894
perf_prod_teacher_133749_98,perf_class_133749_98,gj84-H8j8
perf_prod_teacher_133749_96,perf_class_133749_96,j8Fh-M4bg
perf_prod_teacher_133749_97,perf_class_133749_97,Qdeg-iGFj
perf_prod_teacher_133749_99,perf_class_133749_99,XfQE-dhVg
perf_prod_teacher_133749_100,perf_class_133749_100,9Ad6-3a3g
perf_prod_teacher_133749_103,perf_class_133749_103,df7H-Eg8b
perf_prod_teacher_133749_102,perf_class_133749_102,cCV2-7C8R
perf_prod_teacher_133749_101,perf_class_133749_101,MU3T-bH2X
perf_prod_teacher_133749_105,perf_class_133749_105,iZ2H-AQac
perf_prod_teacher_133749_104,perf_class_133749_104,7XU4-UAMN
perf_prod_teacher_133749_107,perf_class_133749_107,BfRa-8ih9
perf_prod_teacher_133749_106,perf_class_133749_106,eQ67-fgf4
perf_prod_teacher_133749_108,perf_class_133749_108,j4jc-K329
perf_prod_teacher_133749_109,perf_class_133749_109,gJ69-bPfC
perf_prod_teacher_133749_111,perf_class_133749_111,6Ccg-XTeA
perf_prod_teacher_133749_110,perf_class_133749_110,i8YG-4dh7
perf_prod_teacher_133749_112,perf_class_133749_112,7VCj-6Z3a
perf_prod_teacher_133749_113,perf_class_133749_113,bhHb-DRiX
perf_prod_teacher_133749_115,perf_class_133749_115,gQeE-9Q7f
perf_prod_teacher_133749_114,perf_class_133749_114,ech6-QXFN
perf_prod_teacher_133749_116,perf_class_133749_116,fNQd-DEDd
perf_prod_teacher_133749_117,perf_class_133749_117,W269-DfNZ
perf_prod_teacher_133749_119,perf_class_133749_119,72W8-9K8M
perf_prod_teacher_133749_118,perf_class_133749_118,fhda-j7ea
perf_prod_teacher_133749_120,perf_class_133749_120,B4ZW-6T6N
perf_prod_teacher_133749_121,perf_class_133749_121,QjL3-ehMY
perf_prod_teacher_133749_122,perf_class_133749_122,L8GH-3TNb
perf_prod_teacher_133749_123,perf_class_133749_123,2cj7-ibUi
perf_prod_teacher_133749_124,perf_class_133749_124,CcAb-7L94
perf_prod_teacher_133749_125,perf_class_133749_125,c72N-edjg
perf_prod_teacher_133749_126,perf_class_133749_126,deQg-XRhe
perf_prod_teacher_133749_127,perf_class_133749_127,h4R4-Mi3F
perf_prod_teacher_133749_129,perf_class_133749_129,caP3-Yh96
perf_prod_teacher_133749_128,perf_class_133749_128,J82R-jbfH
perf_prod_teacher_133749_130,perf_class_133749_130,fU43-LMaD
perf_prod_teacher_133749_131,perf_class_133749_131,Lc6g-baj8
perf_prod_teacher_133749_132,perf_class_133749_132,fTcX-c8bU
perf_prod_teacher_133749_133,perf_class_133749_133,Tbc2-69ji
perf_prod_teacher_133749_134,perf_class_133749_134,Xce6-FH8g
perf_prod_teacher_133749_135,perf_class_133749_135,eda7-RThP
perf_prod_teacher_133749_136,perf_class_133749_136,X2B2-46b4
perf_prod_teacher_133749_137,perf_class_133749_137,fHiP-WaPE
perf_prod_teacher_133749_138,perf_class_133749_138,iFjC-7fcf
perf_prod_teacher_133749_139,perf_class_133749_139,3Uc8-3c6P
perf_prod_teacher_133749_140,perf_class_133749_140,hgbH-ALY3
perf_prod_teacher_133749_141,perf_class_133749_141,BdPM-PhM3
perf_prod_teacher_133749_142,perf_class_133749_142,i4E4-AeQb
perf_prod_teacher_133749_143,perf_class_133749_143,cA69-f7Yd
perf_prod_teacher_133749_146,perf_class_133749_146,DFcG-Tg4R
perf_prod_teacher_133749_144,perf_class_133749_144,2Z24-b4cg
perf_prod_teacher_133749_145,perf_class_133749_145,YEg2-WAD8
perf_prod_teacher_133749_147,perf_class_133749_147,62j3-TGB7
perf_prod_teacher_133749_148,perf_class_133749_148,2FA3-j4i2
perf_prod_teacher_133749_150,perf_class_133749_150,gRbA-hH2d
perf_prod_teacher_133749_151,perf_class_133749_151,i24c-8LEg
perf_prod_teacher_133749_149,perf_class_133749_149,4h82-e8MB
perf_prod_teacher_133749_153,perf_class_133749_153,geBG-7ijg
perf_prod_teacher_133749_152,perf_class_133749_152,bhbd-g7iL
perf_prod_teacher_133749_154,perf_class_133749_154,jiVc-i737
perf_prod_teacher_133749_155,perf_class_133749_155,DYbB-FQPG
perf_prod_teacher_133749_156,perf_class_133749_156,4PUG-6CZU
perf_prod_teacher_133749_157,perf_class_133749_157,4db7-6djJ
perf_prod_teacher_133749_158,perf_class_133749_158,gDTD-Pa6c
perf_prod_teacher_133749_159,perf_class_133749_159,Dhjd-9he8
perf_prod_teacher_133749_160,perf_class_133749_160,cNXi-2Y7T
perf_prod_teacher_133749_161,perf_class_133749_161,RMf2-Zdfa
perf_prod_teacher_133749_164,perf_class_133749_164,6F8G-Eie7
perf_prod_teacher_133749_162,perf_class_133749_162,jhiY-8MiF
perf_prod_teacher_133749_163,perf_class_133749_163,e9f4-Eeih
perf_prod_teacher_133749_165,perf_class_133749_165,Taj6-32jB
perf_prod_teacher_133749_166,perf_class_133749_166,ZTjb-U74j
perf_prod_teacher_133749_167,perf_class_133749_167,bj84-KRED
perf_prod_teacher_133749_168,perf_class_133749_168,8Nfi-fVi6
perf_prod_teacher_133749_169,perf_class_133749_169,7Hj8-fh8H
perf_prod_teacher_133749_170,perf_class_133749_170,cYC9-RNVe
perf_prod_teacher_133749_171,perf_class_133749_171,CcjT-dPQ4
perf_prod_teacher_133749_172,perf_class_133749_172,aJiL-8j7H
perf_prod_teacher_133749_174,perf_class_133749_174,3gjP-4fi3
perf_prod_teacher_133749_173,perf_class_133749_173,Nd8h-f4ci
perf_prod_teacher_133749_175,perf_class_133749_175,Y7DW-XjhE
perf_prod_teacher_133749_176,perf_class_133749_176,bG9V-82DP
perf_prod_teacher_133749_177,perf_class_133749_177,78XR-aF2L
perf_prod_teacher_133749_178,perf_class_133749_178,h2A7-i8h2
perf_prod_teacher_133749_179,perf_class_133749_179,Qd4c-7Eb3
perf_prod_teacher_133749_180,perf_class_133749_180,R9dW-c6bg
perf_prod_teacher_133749_181,perf_class_133749_181,7Kai-BP8Q
perf_prod_teacher_133749_183,perf_class_133749_183,3a7Y-AaMa
perf_prod_teacher_133749_182,perf_class_133749_182,ePCM-Ca67
perf_prod_teacher_133749_185,perf_class_133749_185,cQ9R-cB9j
perf_prod_teacher_133749_184,perf_class_133749_184,4d8K-Qbc3
perf_prod_teacher_133749_186,perf_class_133749_186,edT8-LHVE
perf_prod_teacher_133749_188,perf_class_133749_188,2fiC-HKHM
perf_prod_teacher_133749_187,perf_class_133749_187,H348-Uf28
perf_prod_teacher_133749_189,perf_class_133749_189,ea3g-2HRj
perf_prod_teacher_133749_191,perf_class_133749_191,7j9f-M9gc
perf_prod_teacher_133749_190,perf_class_133749_190,dacJ-9h3g
perf_prod_teacher_133749_192,perf_class_133749_192,6Abg-3ieh
perf_prod_teacher_133749_193,perf_class_133749_193,Cjab-id7f
perf_prod_teacher_133749_194,perf_class_133749_194,bYgc-LH3c
perf_prod_teacher_133749_195,perf_class_133749_195,6f7G-KiAH
perf_prod_teacher_133749_196,perf_class_133749_196,jF3D-giE6
perf_prod_teacher_133749_197,perf_class_133749_197,3Zbi-Y9iW
perf_prod_teacher_133749_198,perf_class_133749_198,ZJdi-Mfaj
perf_prod_teacher_133749_200,perf_class_133749_200,3Vab-B9fA
perf_prod_teacher_133749_199,perf_class_133749_199,CVaQ-JBK7
perf_prod_teacher_133749_201,perf_class_133749_201,EYbV-aeUj
perf_prod_teacher_133749_202,perf_class_133749_202,gicC-PU7Z
perf_prod_teacher_133749_203,perf_class_133749_203,hd2i-aEef
perf_prod_teacher_133749_204,perf_class_133749_204,ahih-fbG3
perf_prod_teacher_133749_205,perf_class_133749_205,iFNW-cjHM
perf_prod_teacher_133749_206,perf_class_133749_206,76eJ-48bY
perf_prod_teacher_133749_207,perf_class_133749_207,LcUA-eYfE
perf_prod_teacher_133749_209,perf_class_133749_209,XNW3-FX7g
perf_prod_teacher_133749_210,perf_class_133749_210,79hB-f2cG
perf_prod_teacher_133749_208,perf_class_133749_208,hgb9-6NbG
perf_prod_teacher_133749_211,perf_class_133749_211,AWL3-TQaB
perf_prod_teacher_133749_212,perf_class_133749_212,7f8g-Fgij
perf_prod_teacher_133749_213,perf_class_133749_213,UN9f-3j23
perf_prod_teacher_133749_214,perf_class_133749_214,98af-jgd6
perf_prod_teacher_133749_215,perf_class_133749_215,9QWA-af27
perf_prod_teacher_133749_216,perf_class_133749_216,jWde-HhBf
perf_prod_teacher_133749_217,perf_class_133749_217,4e36-cHb8
perf_prod_teacher_133749_218,perf_class_133749_218,hQd2-jc7F
perf_prod_teacher_133749_219,perf_class_133749_219,7faj-aARd
perf_prod_teacher_133749_220,perf_class_133749_220,3eXW-e8XK
perf_prod_teacher_133749_221,perf_class_133749_221,W7fi-KC32
perf_prod_teacher_133749_224,perf_class_133749_224,iTNb-j7N3
perf_prod_teacher_133749_222,perf_class_133749_222,R3B6-gPe8
perf_prod_teacher_133749_223,perf_class_133749_223,bPci-43jF
perf_prod_teacher_133749_225,perf_class_133749_225,G626-4b84
perf_prod_teacher_133749_226,perf_class_133749_226,AXdV-MHQg
perf_prod_teacher_133749_227,perf_class_133749_227,9V2B-WQA7
perf_prod_teacher_133749_228,perf_class_133749_228,a9Vh-Qa7W
perf_prod_teacher_133749_229,perf_class_133749_229,dE4F-9cNa
perf_prod_teacher_133749_230,perf_class_133749_230,YiEa-V3C2
perf_prod_teacher_133749_231,perf_class_133749_231,cHhi-cKa4
perf_prod_teacher_133749_232,perf_class_133749_232,ChXN-T8fj
perf_prod_teacher_133749_233,perf_class_133749_233,f68j-aAKY
perf_prod_teacher_133749_234,perf_class_133749_234,Uh4f-4jeM
