stdextid,category,category_type,orgid,productcode
std_StdCat2_1720596340811_4_6,StdCat2,L,perf-test4-alpha,perfprod110
std_StdCat4_1720600159342_32_41,StdCat4,H1,perf-test9-alpha,perfprod110
std_StdCat2_1720596340811_4_50,StdCat2,L,perf-test4-alpha,perfprod110
std_StdCat5_1720601250344_40_66,StdCat5,M,perf-test9-alpha,perfprod110
std_StdCat3_1720599068341_24_69,StdCat3,H2,perf-test4-alpha,perfprod110
std_StdCat2_1720597295438_11_69,StdCat2,H2,perf-test4-alpha,perfprod110
std_StdCat5_1720601659491_43_2,StdCat5,H2,perf-test9-alpha,perfprod110
std_StdCat3_1720598931969_23_33,StdCat3,H2,perf-test4-alpha,perfprod110
std_StdCat2_1720597431825_12_29,StdCat2,H2,perf-test4-alpha,perfprod110
std_StdCat2_1720596068067_2_29,StdCat2,L,perf-test4-alpha,perfprod110
std_StdCat5_1720601113976_39_63,StdCat5,M,perf-test9-alpha,perfprod110
std_StdCat5_1720600841222_37_25,StdCat5,L,perf-test9-alpha,perfprod110
std_StdCat4_1720599750223_29_9,StdCat4,M,perf-test9-alpha,perfprod110
std_StdCat3_1720597840958_15_11,StdCat3,L,perf-test4-alpha,perfprod110
std_StdCat5_1720601523105_42_69,StdCat5,H1,perf-test9-alpha,perfprod110
std_StdCat3_1720598931969_23_128,StdCat3,H2,perf-test4-alpha,perfprod110
std_StdCat5_1720601386727_41_34,StdCat5,H1,perf-test9-alpha,perfprod110
std_StdCat2_1720596204442_3_29,StdCat2,L,perf-test4-alpha,perfprod110
std_StdCat4_1720600159342_32_60,StdCat4,H1,perf-test9-alpha,perfprod110
std_StdCat4_1720599886586_30_3,StdCat4,M,perf-test9-alpha,perfprod110
std_StdCat4_1720599750223_29_40,StdCat4,M,perf-test9-alpha,perfprod110
std_StdCat3_1720598386469_19_10,StdCat3,M,perf-test4-alpha,perfprod110
std_StdCat4_1720600432100_34_67,StdCat4,H2,perf-test9-alpha,perfprod110
std_StdCat5_1720601795875_44_63,StdCat5,H2,perf-test9-alpha,perfprod110
std_StdCat4_1720599750223_29_54,StdCat4,M,perf-test9-alpha,perfprod110
std_StdCat3_1720598522837_20_11,StdCat3,M,perf-test4-alpha,perfprod110
std_StdCat4_1720600432100_34_148,StdCat4,H2,perf-test9-alpha,perfprod110
std_StdCat3_1720597704578_14_8,StdCat3,L,perf-test4-alpha,perfprod110
std_StdCat2_1720596886322_8_63,StdCat2,M,perf-test4-alpha,perfprod110
std_StdCat4_1720600022964_31_5,StdCat4,H1,perf-test9-alpha,perfprod110
std_StdCat5_1720601386727_41_43,StdCat5,H1,perf-test9-alpha,perfprod110
std_StdCat3_1720598386469_19_59,StdCat3,M,perf-test4-alpha,perfprod110
std_StdCat2_1720597431825_12_49,StdCat2,H2,perf-test4-alpha,perfprod110
std_StdCat5_1720601523105_42_61,StdCat5,H1,perf-test9-alpha,perfprod110
std_StdCat5_1720601523105_42_80,StdCat5,H1,perf-test9-alpha,perfprod110
std_StdCat5_1720601113976_39_55,StdCat5,M,perf-test9-alpha,perfprod110
std_StdCat2_1720597159074_10_72,StdCat2,H1,perf-test4-alpha,perfprod110
std_StdCat3_1720599068341_24_35,StdCat3,H2,perf-test4-alpha,perfprod110
std_StdCat5_1720601523105_42_45,StdCat5,H1,perf-test9-alpha,perfprod110
std_StdCat4_1720599886586_30_41,StdCat4,M,perf-test9-alpha,perfprod110
std_StdCat3_1720598386469_19_23,StdCat3,M,perf-test4-alpha,perfprod110
std_StdCat5_1720601523105_42_37,StdCat5,H1,perf-test9-alpha,perfprod110
std_StdCat4_1720600432100_34_103,StdCat4,H2,perf-test9-alpha,perfprod110
std_StdCat3_1720598795602_22_88,StdCat3,H1,perf-test4-alpha,perfprod110
std_StdCat2_1720596749933_7_43,StdCat2,M,perf-test4-alpha,perfprod110
std_StdCat2_1720597431825_12_13,StdCat2,H2,perf-test4-alpha,perfprod110
std_StdCat2_1720597295438_11_124,StdCat2,H2,perf-test4-alpha,perfprod110
std_StdCat3_1720598931969_23_123,StdCat3,H2,perf-test4-alpha,perfprod110
std_StdCat4_1720599750223_29_47,StdCat4,M,perf-test9-alpha,perfprod110
std_StdCat5_1720601659491_43_110,StdCat5,H2,perf-test9-alpha,perfprod110
std_StdCat2_1720596204442_3_35,StdCat2,L,perf-test4-alpha,perfprod110
std_StdCat2_1720596477190_5_2,StdCat2,L,perf-test4-alpha,perfprod110
std_StdCat3_1720599068341_24_94,StdCat3,H2,perf-test4-alpha,perfprod110
std_StdCat4_1720600295723_33_23,StdCat4,H2,perf-test9-alpha,perfprod110
std_StdCat5_1720601250344_40_50,StdCat5,M,perf-test9-alpha,perfprod110
std_StdCat3_1720598386469_19_12,StdCat3,M,perf-test4-alpha,perfprod110
std_StdCat3_1720598250091_18_36,StdCat3,L,perf-test4-alpha,perfprod110
std_StdCat5_1720601659491_43_103,StdCat5,H2,perf-test9-alpha,perfprod110
std_StdCat2_1720597295438_11_143,StdCat2,H2,perf-test4-alpha,perfprod110
std_StdCat5_1720600977601_38_28,StdCat5,L,perf-test9-alpha,perfprod110
std_StdCat5_1720601795875_44_133,StdCat5,H2,perf-test9-alpha,perfprod110
std_StdCat3_1720599068341_24_1,StdCat3,H2,perf-test4-alpha,perfprod110
std_StdCat2_1720597022700_9_95,StdCat2,H1,perf-test4-alpha,perfprod110
std_StdCat5_1720601113976_39_13,StdCat5,M,perf-test9-alpha,perfprod110
std_StdCat4_1720599750223_29_61,StdCat4,M,perf-test9-alpha,perfprod110
std_StdCat4_1720599477481_27_35,StdCat4,L,perf-test9-alpha,perfprod110
std_StdCat4_1720599886586_30_56,StdCat4,M,perf-test9-alpha,perfprod110
std_StdCat4_1720599341105_26_8,StdCat4,L,perf-test9-alpha,perfprod110
std_StdCat3_1720597977322_16_28,StdCat3,L,perf-test4-alpha,perfprod110
std_StdCat5_1720601386727_41_9,StdCat5,H1,perf-test9-alpha,perfprod110
std_StdCat2_1720597022700_9_62,StdCat2,H1,perf-test4-alpha,perfprod110
std_StdCat5_1720600841222_37_30,StdCat5,L,perf-test9-alpha,perfprod110
std_StdCat2_1720597431825_12_128,StdCat2,H2,perf-test4-alpha,perfprod110
std_StdCat3_1720599068341_24_66,StdCat3,H2,perf-test4-alpha,perfprod110
std_StdCat4_1720599341105_26_4,StdCat4,L,perf-test9-alpha,perfprod110
std_StdCat4_1720600432100_34_31,StdCat4,H2,perf-test9-alpha,perfprod110
std_StdCat5_1720601386727_41_25,StdCat5,H1,perf-test9-alpha,perfprod110
std_StdCat5_1720601659491_43_88,StdCat5,H2,perf-test9-alpha,perfprod110
std_StdCat2_1720596749933_7_55,StdCat2,M,perf-test4-alpha,perfprod110
std_StdCat5_1720601113976_39_9,StdCat5,M,perf-test9-alpha,perfprod110
std_StdCat3_1720598795602_22_39,StdCat3,H1,perf-test4-alpha,perfprod110
std_StdCat3_1720598795602_22_46,StdCat3,H1,perf-test4-alpha,perfprod110
std_StdCat2_1720597295438_11_38,StdCat2,H2,perf-test4-alpha,perfprod110
std_StdCat3_1720598931969_23_53,StdCat3,H2,perf-test4-alpha,perfprod110
std_StdCat4_1720600432100_34_34,StdCat4,H2,perf-test9-alpha,perfprod110
std_StdCat2_1720597431825_12_42,StdCat2,H2,perf-test4-alpha,perfprod110
std_StdCat3_1720598795602_22_49,StdCat3,H1,perf-test4-alpha,perfprod110
std_StdCat3_1720597977322_16_42,StdCat3,L,perf-test4-alpha,perfprod110
std_StdCat4_1720600159342_32_90,StdCat4,H1,perf-test9-alpha,perfprod110
std_StdCat5_1720601795875_44_113,StdCat5,H2,perf-test9-alpha,perfprod110
std_StdCat2_1720597295438_11_118,StdCat2,H2,perf-test4-alpha,perfprod110
std_StdCat2_1720596204442_3_23,StdCat2,L,perf-test4-alpha,perfprod110
std_StdCat3_1720599068341_24_88,StdCat3,H2,perf-test4-alpha,perfprod110
std_StdCat5_1720601795875_44_62,StdCat5,H2,perf-test9-alpha,perfprod110
std_StdCat2_1720597295438_11_87,StdCat2,H2,perf-test4-alpha,perfprod110
std_StdCat2_1720595931682_1_27,StdCat2,L,perf-test4-alpha,perfprod110
std_StdCat3_1720597704578_14_5,StdCat3,L,perf-test4-alpha,perfprod110
std_StdCat4_1720600432100_34_47,StdCat4,H2,perf-test9-alpha,perfprod110
std_StdCat5_1720601250344_40_14,StdCat5,M,perf-test9-alpha,perfprod110
std_StdCat4_1720600159342_32_18,StdCat4,H1,perf-test9-alpha,perfprod110
std_StdCat4_1720599750223_29_23,StdCat4,M,perf-test9-alpha,perfprod110
std_StdCat2_1720596613570_6_25,StdCat2,L,perf-test4-alpha,perfprod110
std_StdCat2_1720597431825_12_150,StdCat2,H2,perf-test4-alpha,perfprod110
std_StdCat2_1720597159074_10_11,StdCat2,H1,perf-test4-alpha,perfprod110
std_StdCat5_1720600568465_35_3,StdCat5,L,perf-test9-alpha,perfprod110
std_StdCat2_1720597022700_9_83,StdCat2,H1,perf-test4-alpha,perfprod110
std_StdCat3_1720597840958_15_21,StdCat3,L,perf-test4-alpha,perfprod110
std_StdCat2_1720596886322_8_65,StdCat2,M,perf-test4-alpha,perfprod110
std_StdCat2_1720596749933_7_75,StdCat2,M,perf-test4-alpha,perfprod110
std_StdCat5_1720600841222_37_35,StdCat5,L,perf-test9-alpha,perfprod110
std_StdCat2_1720596340811_4_9,StdCat2,L,perf-test4-alpha,perfprod110
std_StdCat4_1720600295723_33_41,StdCat4,H2,perf-test9-alpha,perfprod110
std_StdCat3_1720598522837_20_39,StdCat3,M,perf-test4-alpha,perfprod110
std_StdCat4_1720600295723_33_46,StdCat4,H2,perf-test9-alpha,perfprod110
std_StdCat3_1720598522837_20_67,StdCat3,M,perf-test4-alpha,perfprod110
std_StdCat5_1720601523105_42_20,StdCat5,H1,perf-test9-alpha,perfprod110
std_StdCat2_1720596886322_8_4,StdCat2,M,perf-test4-alpha,perfprod110
std_StdCat5_1720600841222_37_48,StdCat5,L,perf-test9-alpha,perfprod110
std_StdCat4_1720600432100_34_87,StdCat4,H2,perf-test9-alpha,perfprod110
std_StdCat4_1720599886586_30_15,StdCat4,M,perf-test9-alpha,perfprod110
std_StdCat4_1720600159342_32_10,StdCat4,H1,perf-test9-alpha,perfprod110
std_StdCat3_1720598113718_17_33,StdCat3,L,perf-test4-alpha,perfprod110
std_StdCat2_1720597295438_11_23,StdCat2,H2,perf-test4-alpha,perfprod110
std_StdCat2_1720597159074_10_65,StdCat2,H1,perf-test4-alpha,perfprod110
std_StdCat4_1720599204720_25_22,StdCat4,L,perf-test9-alpha,perfprod110
std_StdCat3_1720598795602_22_60,StdCat3,H1,perf-test4-alpha,perfprod110
std_StdCat2_1720597295438_11_92,StdCat2,H2,perf-test4-alpha,perfprod110
std_StdCat4_1720600022964_31_86,StdCat4,H1,perf-test9-alpha,perfprod110
std_StdCat2_1720597295438_11_80,StdCat2,H2,perf-test4-alpha,perfprod110
std_StdCat5_1720601250344_40_29,StdCat5,M,perf-test9-alpha,perfprod110
std_StdCat4_1720600022964_31_72,StdCat4,H1,perf-test9-alpha,perfprod110
std_StdCat2_1720597295438_11_18,StdCat2,H2,perf-test4-alpha,perfprod110
std_StdCat5_1720601113976_39_68,StdCat5,M,perf-test9-alpha,perfprod110
std_StdCat4_1720599750223_29_28,StdCat4,M,perf-test9-alpha,perfprod110
std_StdCat2_1720597295438_11_60,StdCat2,H2,perf-test4-alpha,perfprod110
std_StdCat4_1720599204720_25_29,StdCat4,L,perf-test9-alpha,perfprod110
std_StdCat5_1720601523105_42_12,StdCat5,H1,perf-test9-alpha,perfprod110
std_StdCat2_1720597431825_12_105,StdCat2,H2,perf-test4-alpha,perfprod110
std_StdCat2_1720596068067_2_41,StdCat2,L,perf-test4-alpha,perfprod110
std_StdCat2_1720597431825_12_8,StdCat2,H2,perf-test4-alpha,perfprod110
std_StdCat2_1720595931682_1_22,StdCat2,L,perf-test4-alpha,perfprod110
std_StdCat3_1720598386469_19_63,StdCat3,M,perf-test4-alpha,perfprod110
std_StdCat2_1720596477190_5_48,StdCat2,L,perf-test4-alpha,perfprod110
std_StdCat5_1720600704845_36_6,StdCat5,L,perf-test9-alpha,perfprod110
std_StdCat3_1720599068341_24_26,StdCat3,H2,perf-test4-alpha,perfprod110
std_StdCat5_1720601659491_43_85,StdCat5,H2,perf-test9-alpha,perfprod110
std_StdCat5_1720601659491_43_93,StdCat5,H2,perf-test9-alpha,perfprod110
std_StdCat4_1720600295723_33_146,StdCat4,H2,perf-test9-alpha,perfprod110
std_StdCat3_1720597977322_16_15,StdCat3,L,perf-test4-alpha,perfprod110
std_StdCat2_1720595931682_1_25,StdCat2,L,perf-test4-alpha,perfprod110
std_StdCat2_1720597431825_12_19,StdCat2,H2,perf-test4-alpha,perfprod110
std_StdCat3_1720598386469_19_20,StdCat3,M,perf-test4-alpha,perfprod110
std_StdCat3_1720598522837_20_32,StdCat3,M,perf-test4-alpha,perfprod110
std_StdCat5_1720601659491_43_97,StdCat5,H2,perf-test9-alpha,perfprod110
std_StdCat2_1720597431825_12_38,StdCat2,H2,perf-test4-alpha,perfprod110
std_StdCat5_1720601113976_39_71,StdCat5,M,perf-test9-alpha,perfprod110
std_StdCat3_1720599068341_24_72,StdCat3,H2,perf-test4-alpha,perfprod110
std_StdCat3_1720599068341_24_109,StdCat3,H2,perf-test4-alpha,perfprod110
std_StdCat3_1720598386469_19_18,StdCat3,M,perf-test4-alpha,perfprod110
std_StdCat4_1720600295723_33_36,StdCat4,H2,perf-test9-alpha,perfprod110
std_StdCat2_1720597431825_12_35,StdCat2,H2,perf-test4-alpha,perfprod110
std_StdCat5_1720601795875_44_100,StdCat5,H2,perf-test9-alpha,perfprod110
std_StdCat4_1720599613853_28_40,StdCat4,L,perf-test9-alpha,perfprod110
std_StdCat3_1720597704578_14_49,StdCat3,L,perf-test4-alpha,perfprod110
std_StdCat2_1720596886322_8_24,StdCat2,M,perf-test4-alpha,perfprod110
std_StdCat3_1720598931969_23_80,StdCat3,H2,perf-test4-alpha,perfprod110
std_StdCat5_1720601386727_41_36,StdCat5,H1,perf-test9-alpha,perfprod110
std_StdCat3_1720598386469_19_35,StdCat3,M,perf-test4-alpha,perfprod110
std_StdCat2_1720597431825_12_40,StdCat2,H2,perf-test4-alpha,perfprod110
std_StdCat5_1720601386727_41_73,StdCat5,H1,perf-test9-alpha,perfprod110
std_StdCat2_1720597295438_11_136,StdCat2,H2,perf-test4-alpha,perfprod110
std_StdCat2_1720597022700_9_73,StdCat2,H1,perf-test4-alpha,perfprod110
std_StdCat5_1720601250344_40_17,StdCat5,M,perf-test9-alpha,perfprod110
std_StdCat2_1720596749933_7_32,StdCat2,M,perf-test4-alpha,perfprod110
std_StdCat3_1720598795602_22_61,StdCat3,H1,perf-test4-alpha,perfprod110
std_StdCat5_1720601659491_43_80,StdCat5,H2,perf-test9-alpha,perfprod110
std_StdCat4_1720599204720_25_9,StdCat4,L,perf-test9-alpha,perfprod110
std_StdCat4_1720600295723_33_112,StdCat4,H2,perf-test9-alpha,perfprod110
std_StdCat2_1720597295438_11_2,StdCat2,H2,perf-test4-alpha,perfprod110
std_StdCat5_1720601659491_43_86,StdCat5,H2,perf-test9-alpha,perfprod110
std_StdCat5_1720601659491_43_132,StdCat5,H2,perf-test9-alpha,perfprod110
std_StdCat5_1720601250344_40_75,StdCat5,M,perf-test9-alpha,perfprod110
std_StdCat4_1720599341105_26_3,StdCat4,L,perf-test9-alpha,perfprod110
std_StdCat4_1720600295723_33_134,StdCat4,H2,perf-test9-alpha,perfprod110
std_StdCat3_1720598931969_23_8,StdCat3,H2,perf-test4-alpha,perfprod110
std_StdCat4_1720599886586_30_13,StdCat4,M,perf-test9-alpha,perfprod110
std_StdCat5_1720601659491_43_50,StdCat5,H2,perf-test9-alpha,perfprod110
std_StdCat4_1720599204720_25_18,StdCat4,L,perf-test9-alpha,perfprod110
std_StdCat3_1720598931969_23_102,StdCat3,H2,perf-test4-alpha,perfprod110
std_StdCat3_1720598113718_17_44,StdCat3,L,perf-test4-alpha,perfprod110
std_StdCat4_1720600022964_31_94,StdCat4,H1,perf-test9-alpha,perfprod110
std_StdCat5_1720600977601_38_45,StdCat5,L,perf-test9-alpha,perfprod110
std_StdCat4_1720600432100_34_120,StdCat4,H2,perf-test9-alpha,perfprod110
std_StdCat4_1720600432100_34_100,StdCat4,H2,perf-test9-alpha,perfprod110
std_StdCat5_1720601386727_41_26,StdCat5,H1,perf-test9-alpha,perfprod110
std_StdCat3_1720598386469_19_6,StdCat3,M,perf-test4-alpha,perfprod110
std_StdCat4_1720600295723_33_52,StdCat4,H2,perf-test9-alpha,perfprod110
std_StdCat5_1720601795875_44_96,StdCat5,H2,perf-test9-alpha,perfprod110
std_StdCat3_1720597840958_15_7,StdCat3,L,perf-test4-alpha,perfprod110
std_StdCat2_1720597431825_12_143,StdCat2,H2,perf-test4-alpha,perfprod110
std_StdCat3_1720598659219_21_91,StdCat3,H1,perf-test4-alpha,perfprod110
std_StdCat2_1720596886322_8_48,StdCat2,M,perf-test4-alpha,perfprod110
std_StdCat5_1720601659491_43_142,StdCat5,H2,perf-test9-alpha,perfprod110
std_StdCat5_1720601795875_44_1,StdCat5,H2,perf-test9-alpha,perfprod110
std_StdCat3_1720598659219_21_5,StdCat3,H1,perf-test4-alpha,perfprod110
std_StdCat3_1720597840958_15_35,StdCat3,L,perf-test4-alpha,perfprod110
std_StdCat3_1720598659219_21_46,StdCat3,H1,perf-test4-alpha,perfprod110
std_StdCat2_1720596749933_7_60,StdCat2,M,perf-test4-alpha,perfprod110
std_StdCat4_1720599204720_25_35,StdCat4,L,perf-test9-alpha,perfprod110
std_StdCat4_1720600295723_33_100,StdCat4,H2,perf-test9-alpha,perfprod110
std_StdCat3_1720598386469_19_73,StdCat3,M,perf-test4-alpha,perfprod110
std_StdCat5_1720600704845_36_38,StdCat5,L,perf-test9-alpha,perfprod110
std_StdCat2_1720596204442_3_24,StdCat2,L,perf-test4-alpha,perfprod110
std_StdCat2_1720596749933_7_52,StdCat2,M,perf-test4-alpha,perfprod110
std_StdCat5_1720601659491_43_15,StdCat5,H2,perf-test9-alpha,perfprod110
std_StdCat3_1720598113718_17_29,StdCat3,L,perf-test4-alpha,perfprod110
std_StdCat2_1720597159074_10_50,StdCat2,H1,perf-test4-alpha,perfprod110
std_StdCat4_1720599750223_29_29,StdCat4,M,perf-test9-alpha,perfprod110
std_StdCat3_1720598931969_23_69,StdCat3,H2,perf-test4-alpha,perfprod110
std_StdCat3_1720597840958_15_36,StdCat3,L,perf-test4-alpha,perfprod110
std_StdCat5_1720601523105_42_43,StdCat5,H1,perf-test9-alpha,perfprod110
std_StdCat2_1720597431825_12_107,StdCat2,H2,perf-test4-alpha,perfprod110
std_StdCat5_1720601386727_41_19,StdCat5,H1,perf-test9-alpha,perfprod110
std_StdCat3_1720598931969_23_68,StdCat3,H2,perf-test4-alpha,perfprod110
std_StdCat5_1720601250344_40_40,StdCat5,M,perf-test9-alpha,perfprod110
std_StdCat5_1720601386727_41_27,StdCat5,H1,perf-test9-alpha,perfprod110
std_StdCat2_1720596613570_6_32,StdCat2,L,perf-test4-alpha,perfprod110
std_StdCat3_1720598931969_23_145,StdCat3,H2,perf-test4-alpha,perfprod110
std_StdCat2_1720596068067_2_30,StdCat2,L,perf-test4-alpha,perfprod110
std_StdCat3_1720598522837_20_33,StdCat3,M,perf-test4-alpha,perfprod110
std_StdCat4_1720599204720_25_5,StdCat4,L,perf-test9-alpha,perfprod110
std_StdCat3_1720598795602_22_5,StdCat3,H1,perf-test4-alpha,perfprod110
std_StdCat3_1720597704578_14_16,StdCat3,L,perf-test4-alpha,perfprod110
std_StdCat2_1720597295438_11_127,StdCat2,H2,perf-test4-alpha,perfprod110
std_StdCat4_1720599886586_30_75,StdCat4,M,perf-test9-alpha,perfprod110
std_StdCat5_1720601113976_39_72,StdCat5,M,perf-test9-alpha,perfprod110
std_StdCat3_1720597840958_15_37,StdCat3,L,perf-test4-alpha,perfprod110
std_StdCat4_1720600159342_32_19,StdCat4,H1,perf-test9-alpha,perfprod110
std_StdCat3_1720598931969_23_3,StdCat3,H2,perf-test4-alpha,perfprod110
std_StdCat2_1720597159074_10_55,StdCat2,H1,perf-test4-alpha,perfprod110
std_StdCat4_1720599750223_29_32,StdCat4,M,perf-test9-alpha,perfprod110
std_StdCat2_1720597431825_12_112,StdCat2,H2,perf-test4-alpha,perfprod110
std_StdCat2_1720596613570_6_12,StdCat2,L,perf-test4-alpha,perfprod110
std_StdCat3_1720597840958_15_28,StdCat3,L,perf-test4-alpha,perfprod110
std_StdCat4_1720599750223_29_44,StdCat4,M,perf-test9-alpha,perfprod110
std_StdCat3_1720597704578_14_36,StdCat3,L,perf-test4-alpha,perfprod110
std_StdCat4_1720600295723_33_37,StdCat4,H2,perf-test9-alpha,perfprod110
std_StdCat5_1720601659491_43_136,StdCat5,H2,perf-test9-alpha,perfprod110
std_StdCat4_1720600432100_34_149,StdCat4,H2,perf-test9-alpha,perfprod110
std_StdCat4_1720599204720_25_12,StdCat4,L,perf-test9-alpha,perfprod110
std_StdCat5_1720601795875_44_142,StdCat5,H2,perf-test9-alpha,perfprod110
std_StdCat4_1720600159342_32_2,StdCat4,H1,perf-test9-alpha,perfprod110
std_StdCat5_1720601795875_44_97,StdCat5,H2,perf-test9-alpha,perfprod110
std_StdCat5_1720601386727_41_39,StdCat5,H1,perf-test9-alpha,perfprod110
std_StdCat2_1720596613570_6_47,StdCat2,L,perf-test4-alpha,perfprod110
std_StdCat3_1720597704578_14_15,StdCat3,L,perf-test4-alpha,perfprod110
std_StdCat5_1720601250344_40_47,StdCat5,M,perf-test9-alpha,perfprod110
std_StdCat2_1720596204442_3_34,StdCat2,L,perf-test4-alpha,perfprod110
std_StdCat3_1720597704578_14_17,StdCat3,L,perf-test4-alpha,perfprod110
std_StdCat3_1720598250091_18_4,StdCat3,L,perf-test4-alpha,perfprod110
std_StdCat3_1720599068341_24_138,StdCat3,H2,perf-test4-alpha,perfprod110
std_StdCat5_1720601523105_42_7,StdCat5,H1,perf-test9-alpha,perfprod110
std_StdCat3_1720598522837_20_64,StdCat3,M,perf-test4-alpha,perfprod110
std_StdCat3_1720598659219_21_37,StdCat3,H1,perf-test4-alpha,perfprod110
std_StdCat3_1720598386469_19_61,StdCat3,M,perf-test4-alpha,perfprod110
std_StdCat3_1720598659219_21_99,StdCat3,H1,perf-test4-alpha,perfprod110
std_StdCat3_1720599068341_24_40,StdCat3,H2,perf-test4-alpha,perfprod110
std_StdCat5_1720601386727_41_76,StdCat5,H1,perf-test9-alpha,perfprod110
std_StdCat2_1720595931682_1_6,StdCat2,L,perf-test4-alpha,perfprod110
std_StdCat3_1720598795602_22_67,StdCat3,H1,perf-test4-alpha,perfprod110
std_StdCat3_1720598386469_19_69,StdCat3,M,perf-test4-alpha,perfprod110
std_StdCat4_1720600159342_32_88,StdCat4,H1,perf-test9-alpha,perfprod110
std_StdCat4_1720600022964_31_32,StdCat4,H1,perf-test9-alpha,perfprod110
std_StdCat2_1720597431825_12_149,StdCat2,H2,perf-test4-alpha,perfprod110
std_StdCat5_1720601795875_44_30,StdCat5,H2,perf-test9-alpha,perfprod110
std_StdCat5_1720601659491_43_3,StdCat5,H2,perf-test9-alpha,perfprod110
std_StdCat3_1720598659219_21_48,StdCat3,H1,perf-test4-alpha,perfprod110
std_StdCat2_1720596204442_3_26,StdCat2,L,perf-test4-alpha,perfprod110
std_StdCat2_1720597159074_10_93,StdCat2,H1,perf-test4-alpha,perfprod110
std_StdCat3_1720598522837_20_34,StdCat3,M,perf-test4-alpha,perfprod110
std_StdCat5_1720600704845_36_10,StdCat5,L,perf-test9-alpha,perfprod110
std_StdCat4_1720599477481_27_41,StdCat4,L,perf-test9-alpha,perfprod110
std_StdCat4_1720599613853_28_15,StdCat4,L,perf-test9-alpha,perfprod110
std_StdCat2_1720596613570_6_33,StdCat2,L,perf-test4-alpha,perfprod110
std_StdCat2_1720596613570_6_45,StdCat2,L,perf-test4-alpha,perfprod110
std_StdCat3_1720598250091_18_20,StdCat3,L,perf-test4-alpha,perfprod110
std_StdCat3_1720598659219_21_89,StdCat3,H1,perf-test4-alpha,perfprod110
std_StdCat5_1720601386727_41_65,StdCat5,H1,perf-test9-alpha,perfprod110
std_StdCat2_1720597431825_12_70,StdCat2,H2,perf-test4-alpha,perfprod110
