extuserid,classcode,category,pe_category,attempt_end_index,category_type,classType
std_sx6k-2taL_1732020786721_41,sx6k-2taL,L3,l3pe,4,L,normal
std_bdsB-Huc4_1706498108473_31,bdsB-Huc4,L3,l3pe,4,L,normal
std_LTI_8qKk-9EbR_1758451714861_20,8qKk-9EbR,L2,l2pe,4,L,LTI
std_aPGr-ji9T_1706508176582_68,aPGr-ji9T,L9,l9pe,3,L,normal
std_esZh-TJ3P_1706503185176_79,esZh-TJ3P,M4,m4pe,4,M,normal
std_Ym97-JqxN_1732021534549_81,Ym97-JqxN,M2,m2pe,4,M,normal
std_3QFT-h3wA_1706511326205_55,3QFT-h3wA,L8,l8pe,4,L,normal
std_4bBN-Hf7o_1706511671241_70,4bBN-Hf7o,M1,m1pe,4,M,normal
std_AYQV-X7zQ_1706498735036_68,AYQV-X7zQ,L9,l9pe,3,L,normal
std_9gpu-Mi3P_1706511153587_47,9gpu-Mi3P,L7,l7pe,3,L,normal
std_yoxg-Q6Wd_1706513942872_36,yoxg-Q6Wd,L7,l7pe,3,L,normal
std_7q3s-GhPj_1706507703150_42,7q3s-GhPj,L7,l7pe,3,L,normal
std_z3q3-zU6y_1732012944142_44,z3q3-zU6y,L7,l7pe,3,L,normal
std_LTI_bKW9-e3Dz_1758522568590_6,bKW9-e3Dz,H7,h7pe,3,H,LTI
std_kYrW-4Ave_1732012194044_5,kYrW-4Ave,H2,h2pe,4,H,normal
std_LTI_6cXB-r9pz_1758286391281_4,6cXB-r9pz,L2,l2pe,4,L,LTI
std_r493-8Vcn_1732012786383_38,r493-8Vcn,L3,l3pe,4,L,normal
std_6vcV-C6iv_1732013967469_96,6vcV-C6iv,M5,m5pe,4,M,normal
std_XFvJ-3nrh_1732020964955_53,XFvJ-3nrh,L7,l7pe,3,L,normal
std_UZxL-b3zq_1706507674971_40,UZxL-b3zq,L7,l7pe,3,L,normal
std_fh7m-o268_1706508677064_95,fh7m-o268,H3,h3pe,4,H,normal
std_LTI_eB4a-gE92_1758451648386_17,eB4a-gE92,L2,l2pe,4,L,LTI
std_NoMT-fe8H_1706498347896_47,NoMT-fe8H,L7,l7pe,3,L,normal
std_Jt76-9Ux4_1706497598009_6,Jt76-9Ux4,L1,l1pe,3,L,normal
std_xtUR-QPYD_1732012316688_14,xtUR-QPYD,L1,l1pe,3,L,normal
std_3TQP-z78F_1732013566444_76,3TQP-z78F,L9,l9pe,3,L,normal
std_LTI_6rAq-Y74G_1758451285145_7,6rAq-Y74G,L2,l2pe,4,L,LTI
std_b9u9-L9vj_1706514272483_53,b9u9-L9vj,L8,l8pe,4,L,normal
std_3dEg-HU2C_1732012430764_20,3dEg-HU2C,L1,l1pe,3,L,normal
std_LTI_xRMY-DRq2_1758451268388_3,xRMY-DRq2,L2,l2pe,4,L,LTI
std_e64n-Cc49_1706507766436_45,e64n-Cc49,L7,l7pe,3,L,normal
std_P8it-7cC3_1706513477215_10,P8it-7cC3,L1,l1pe,3,L,normal
std_Y3p4-qkh3_1732021458189_78,Y3p4-qkh3,M1,m1pe,4,M,normal
std_6M97-xp64_1706502842676_59,6M97-xp64,L9,l9pe,3,L,normal
std_26qb-9ush_1732013699866_83,26qb-9ush,M2,m2pe,4,M,normal
std_kr3N-Vq7c_1706498394212_50,kr3N-Vq7c,L8,l8pe,4,L,normal
std_zq7w-Rz8n_1706502336710_35,zq7w-Rz8n,L7,l7pe,3,L,normal
std_LTI_bKW9-e3Dz_1758522457863_6,bKW9-e3Dz,H7,h7pe,3,H,LTI
std_n79m-4B9U_1706514332417_57,n79m-4B9U,L8,l8pe,4,L,normal
std_znVX-VhYP_1706499060772_85,znVX-VhYP,H1,h1pe,4,H,normal
std_8NBw-e3zb_1706517859377_82,8NBw-e3zb,M5,m5pe,4,M,normal
std_LTI_6cXB-r9pz_1758286284635_4,6cXB-r9pz,L2,l2pe,4,L,LTI
std_zwJ3-muL8_1706507962427_56,zwJ3-muL8,L8,l8pe,4,L,normal
std_LpDN-Y7y3_1706510937769_35,LpDN-Y7y3,L7,l7pe,3,L,normal
std_F9eh-CE9L_1706510421473_1,F9eh-CE9L,L1,l1pe,3,L,normal
std_LTI_36t7-FaWB_1758451740248_21,36t7-FaWB,L2,l2pe,4,L,LTI
std_Fdr9-oMuq_1706498959720_80,Fdr9-oMuq,M4,m4pe,4,M,normal
std_uepj-eDY7_1706503629119_95,uepj-eDY7,H3,h3pe,4,H,normal
std_n79m-4B9U_1706514313106_57,n79m-4B9U,L8,l8pe,4,L,normal
std_Y7t2-PRMX_1706508059257_61,Y7t2-PRMX,L9,l9pe,3,L,normal
std_c6R7-g6kZ_1706511149413_48,c6R7-g6kZ,L7,l7pe,3,L,normal
std_LTI_8s8L-NU9J_1758451958966_29,8s8L-NU9J,M3,m3pe,4,M,LTI
std_y4LH-QVv6_1706513916700_35,y4LH-QVv6,L7,l7pe,3,L,normal
std_9pF4-L8GC_1732013715548_84,9pF4-L8GC,M2,m2pe,4,M,normal
std_Wm4Q-iro2_1706503025413_70,Wm4Q-iro2,M1,m1pe,4,M,normal
std_LTI_rQA8-Zwxi_1758451190402_2,rQA8-Zwxi,L2,l2pe,4,L,LTI
std_LTI_t69r-DQxd_1758451349280_9,t69r-DQxd,L2,l2pe,4,L,LTI
std_43LZ-uy3V_1732012976430_47,43LZ-uy3V,L7,l7pe,3,L,normal
std_L9Xr-p67d_1706511081356_42,L9Xr-p67d,L7,l7pe,3,L,normal
std_B9Nr-6LZA_1706507628846_37,B9Nr-6LZA,L7,l7pe,3,L,normal
std_u48N-9B96_1706514439338_62,u48N-9B96,L9,l9pe,3,L,normal
std_J3x7-Z96h_1706513392494_4,J3x7-Z96h,L1,l1pe,3,L,normal
std_VC26-Y89F_1706520846827_72,VC26-Y89F,M2,m2pe,4,M,normal
std_LTI_ARaE-7k2J_1758286295581_3,ARaE-7k2J,L2,l2pe,4,L,LTI
std_a7Me-pTtL_1706507914525_54,a7Me-pTtL,L8,l8pe,4,L,normal
std_enUv-dH74_1706520705010_69,enUv-dH74,M1,m1pe,4,M,normal
std_vfj8-cFXZ_1732020053704_5,vfj8-cFXZ,H2,h2pe,4,H,normal
std_dA4N-E6JY_1706498816971_69,dA4N-E6JY,M1,m1pe,4,M,normal
std_aPGr-ji9T_1706508160341_68,aPGr-ji9T,L9,l9pe,3,L,normal
std_LTI_t69r-DQxd_1758451553730_9,t69r-DQxd,L2,l2pe,4,L,LTI
std_n82e-EABa_1706511941567_81,n82e-EABa,M5,m5pe,4,M,normal
std_LTI_46jN-dg3C_1758522623129_1,46jN-dg3C,H5,h5pe,4,H,LTI
std_464k-3k4U_1706517217073_53,464k-3k4U,L8,l8pe,4,L,normal
std_fdDu-qdj7_1706514603662_73,fdDu-qdj7,M2,m2pe,4,M,normal
std_LTI_yYD2-R7Kn_1758522479141_7,yYD2-R7Kn,H7,h7pe,3,H,LTI
std_LTI_RA3N-Mrj7_1758286499442_7,RA3N-Mrj7,M3,m3pe,4,M,LTI
std_LTI_jU2H-W2Lo_1758522592717_4,jU2H-W2Lo,H5,h5pe,4,H,LTI
std_T9t4-ELH7_1732012238073_7,T9t4-ELH7,H4,h4pe,4,H,normal
std_Mf3M-czRm_1706520776845_73,Mf3M-czRm,M2,m2pe,4,M,normal
std_t26H-CJz3_1706508437709_83,t26H-CJz3,M5,m5pe,4,M,normal
std_3x9D-mXnc_1706502717568_55,3x9D-mXnc,L8,l8pe,4,L,normal
std_LTI_R7V8-V7iN_1758452019026_30,R7V8-V7iN,M3,m3pe,4,M,LTI
std_hLpm-NcjK_1706502450761_39,hLpm-NcjK,L7,l7pe,3,L,normal
std_ajPR-WKH2_1706499450405_97,ajPR-WKH2,H4,h4pe,4,H,normal
std_L9Xr-p67d_1706511096187_42,L9Xr-p67d,L7,l7pe,3,L,normal
std_3Ud7-d8rP_1706508396095_80,3Ud7-d8rP,M4,m4pe,4,M,normal
std_LTI_cZF2-TV3s_1758286325702_6,cZF2-TV3s,M3,m3pe,4,M,LTI
std_Y7t2-PRMX_1706508069748_61,Y7t2-PRMX,L9,l9pe,3,L,normal
std_oZ4C-EMr7_1732021347400_72,oZ4C-EMr7,L9,l9pe,3,L,normal
std_7fWo-pq8B_1706511148730_46,7fWo-pq8B,L7,l7pe,3,L,normal
std_Rs7U-NUEA_1732021481593_76,Rs7U-NUEA,L9,l9pe,3,L,normal
std_McED-26z7_1706502700323_51,McED-26z7,L8,l8pe,4,L,normal
std_Lvtz-eB8p_1706498455203_51,Lvtz-eB8p,L8,l8pe,4,L,normal
std_LTI_6cXB-r9pz_1758286290118_4,6cXB-r9pz,L2,l2pe,4,L,LTI
std_s2m4-n8Ty_1706510494749_6,s2m4-n8Ty,L1,l1pe,3,L,normal
std_LTI_b437-F2hD_1758451449594_6,b437-F2hD,L2,l2pe,4,L,LTI
std_LTI_tj24-JzmU_1758451965426_27,tj24-JzmU,M3,m3pe,4,M,LTI
std_2WuU-BJCj_1706507514013_32,2WuU-BJCj,L3,l3pe,4,L,normal
std_Xbn3-A8P9_1706511580413_72,Xbn3-A8P9,M2,m2pe,4,M,normal
std_7dA9-BAsN_1706501846442_2,7dA9-BAsN,L1,l1pe,3,L,normal
std_T9t4-ELH7_1732012264272_7,T9t4-ELH7,H4,h4pe,4,H,normal
std_F8RF-uky4_1706507932544_55,F8RF-uky4,L8,l8pe,4,L,normal
std_LTI_By42-wjgj_1758451501359_14,By42-wjgj,L2,l2pe,4,L,LTI
std_3df7-4Fd7_1732013381251_67,3df7-4Fd7,L8,l8pe,4,L,normal
std_ZE7m-grco_1706503038442_73,ZE7m-grco,M2,m2pe,4,M,normal
std_qN4x-VJCU_1706514281428_54,qN4x-VJCU,L8,l8pe,4,L,normal
std_LTI_By42-wjgj_1758451569706_14,By42-wjgj,L2,l2pe,4,L,LTI
std_a7Me-pTtL_1706507920579_54,a7Me-pTtL,L8,l8pe,4,L,normal
std_W9pT-neg6_1732013130791_55,W9pT-neg6,L7,l7pe,3,L,normal
std_upLn-d262_1706510585133_14,upLn-d262,L1,l1pe,3,L,normal
std_ZE7m-grco_1706503065853_73,ZE7m-grco,M2,m2pe,4,M,normal
std_8NBw-e3zb_1706517889061_82,8NBw-e3zb,M5,m5pe,4,M,normal
std_jxHT-nECc_1706511364578_59,jxHT-nECc,L9,l9pe,3,L,normal
std_9cMC-xGsd_1706514779815_83,9cMC-xGsd,M5,m5pe,4,M,normal
std_LTI_GkZT-uv39_1758451550761_13,GkZT-uv39,L2,l2pe,4,L,LTI
std_J7CM-E2qb_1706503431450_83,J7CM-E2qb,M5,m5pe,4,M,normal
std_LTI_Beyt-HwZr_1758522590145_2,Beyt-HwZr,H5,h5pe,4,H,LTI
std_LTI_Agw2-RzZr_1758451286232_1,Agw2-RzZr,L2,l2pe,4,L,LTI
std_LTI_ZNrt-ZJ7w_1758451664663_15,ZNrt-ZJ7w,L2,l2pe,4,L,LTI
std_LTI_4QjU-6468_1758286384095_5,4QjU-6468,L2,l2pe,4,L,LTI
std_876u-Cy6H_1706499209766_91,876u-Cy6H,H2,h2pe,4,H,normal
std_232H-GsRM_1706499202810_94,232H-GsRM,H3,h3pe,4,H,normal
std_xC8X-ALzs_1706502017611_13,xC8X-ALzs,L1,l1pe,3,L,normal
std_pCjg-4fQL_1706503055391_69,pCjg-4fQL,M1,m1pe,4,M,normal
std_T9t4-ELH7_1732012234399_7,T9t4-ELH7,H4,h4pe,4,H,normal
std_Vo38-7p4n_1706501987597_14,Vo38-7p4n,L1,l1pe,3,L,normal
std_LTI_Qd29-XVP9_1758286177318_2,Qd29-XVP9,L2,l2pe,4,L,LTI
std_WUtK-eAGW_1706514555006_68,WUtK-eAGW,L9,l9pe,3,L,normal
std_CDBG-3Ddy_1732013035612_50,CDBG-3Ddy,L7,l7pe,3,L,normal
std_jAGE-9E9v_1706502448455_40,jAGE-9E9v,L7,l7pe,3,L,normal
std_LTI_cZF2-TV3s_1758286320260_6,cZF2-TV3s,M3,m3pe,4,M,LTI
std_LTI_yYD2-R7Kn_1758522575165_7,yYD2-R7Kn,H7,h7pe,3,H,LTI
std_2KEe-HFKQ_1732020209094_7,2KEe-HFKQ,H4,h4pe,4,H,normal
std_Wm4Q-iro2_1706503087324_70,Wm4Q-iro2,M1,m1pe,4,M,normal
std_Bg79-RXo6_1706498669862_62,Bg79-RXo6,L9,l9pe,3,L,normal
std_nT67-34Ps_1706513499441_11,nT67-34Ps,L1,l1pe,3,L,normal
std_LTI_w7x2-9xCp_1758452071899_32,w7x2-9xCp,M3,m3pe,4,M,LTI
std_LTI_ezF6-Ykv3_1758286545593_9,ezF6-Ykv3,M3,m3pe,4,M,LTI
std_LTI_Agw2-RzZr_1758451133128_1,Agw2-RzZr,L2,l2pe,4,L,LTI
std_W6Lo-4MLA_1706514816094_84,W6Lo-4MLA,M5,m5pe,4,M,normal
std_LTI_6rAq-Y74G_1758451393859_7,6rAq-Y74G,L2,l2pe,4,L,LTI
std_JQR8-AB3y_1732012152010_3,JQR8-AB3y,H1,h1pe,4,H,normal
std_koUh-8E32_1706510356698_2,koUh-8E32,L1,l1pe,3,L,normal
std_osV8-MWLk_1706510929706_31,osV8-MWLk,L3,l3pe,4,L,normal
std_Ebsm-JnWu_1706508225695_70,Ebsm-JnWu,M1,m1pe,4,M,normal
std_n2hr-9wmw_1706511531984_67,n2hr-9wmw,L9,l9pe,3,L,normal
std_eswQ-dQw2_1706513562166_14,eswQ-dQw2,L1,l1pe,3,L,normal
std_7kW8-4Ey7_1706508211363_69,7kW8-4Ey7,M1,m1pe,4,M,normal
std_a4nJ-KPB6_1706497608743_4,a4nJ-KPB6,L1,l1pe,3,L,normal
std_PEwd-fPGH_1706507485605_31,PEwd-fPGH,L3,l3pe,4,L,normal
std_haKy-qpRK_1706503545440_97,haKy-qpRK,H4,h4pe,4,H,normal
std_LTI_xRMY-DRq2_1758451242938_3,xRMY-DRq2,L2,l2pe,4,L,LTI
std_82V4-qYnv_1706513393305_5,82V4-qYnv,L1,l1pe,3,L,normal
std_f6he-JqXr_1706498314155_46,f6he-JqXr,L7,l7pe,3,L,normal
std_LTI_xRMY-DRq2_1758451396890_3,xRMY-DRq2,L2,l2pe,4,L,LTI
std_LTI_eB4a-gE92_1758451756710_17,eB4a-gE92,L2,l2pe,4,L,LTI
std_3EPU-VvYm_1706511255904_51,3EPU-VvYm,L8,l8pe,4,L,normal
std_hUbR-vKVu_1706510563202_13,hUbR-vKVu,L1,l1pe,3,L,normal
std_aU32-EW2h_1732013146714_54,aU32-EW2h,L7,l7pe,3,L,normal
std_LTI_odUn-Y4by_1758451370844_4,odUn-Y4by,L2,l2pe,4,L,LTI
std_LTI_xqzw-4CL3_1758451629404_12,xqzw-4CL3,L2,l2pe,4,L,LTI
std_c6YH-F2G3_1732013339561_65,c6YH-F2G3,L8,l8pe,4,L,normal
std_T9t4-ELH7_1732012246139_7,T9t4-ELH7,H4,h4pe,4,H,normal
std_qzgR-hqH4_1706502357581_32,qzgR-hqH4,L3,l3pe,4,L,normal
std_ZhvZ-XxTk_1706513519018_13,ZhvZ-XxTk,L1,l1pe,3,L,normal
std_Emy8-Prw4_1706503412317_90,Emy8-Prw4,H2,h2pe,4,H,normal
std_Lvtz-eB8p_1706498461057_51,Lvtz-eB8p,L8,l8pe,4,L,normal
std_r4xR-7h6i_1732021211328_65,r4xR-7h6i,L8,l8pe,4,L,normal
std_Lbh3-p9pE_1706508637313_94,Lbh3-p9pE,H3,h3pe,4,H,normal
std_3fj2-4pK8_1706508261275_72,3fj2-4pK8,M2,m2pe,4,M,normal
std_93Az-vC8F_1732021838107_93,93Az-vC8F,M4,m4pe,4,M,normal
std_LTI_6cXB-r9pz_1758286370844_4,6cXB-r9pz,L2,l2pe,4,L,LTI
std_haKy-qpRK_1706503665030_97,haKy-qpRK,H4,h4pe,4,H,normal
std_LTI_Qd29-XVP9_1758286182301_2,Qd29-XVP9,L2,l2pe,4,L,LTI
std_LTI_6237-3ib2_1758522367439_3,6237-3ib2,H5,h5pe,4,H,LTI
std_Z9Y6-3UrU_1706508574673_89,Z9Y6-3UrU,H1,h1pe,4,H,normal
std_7fWo-pq8B_1706511152267_46,7fWo-pq8B,L7,l7pe,3,L,normal
std_6wDW-YrN4_1706517181452_49,6wDW-YrN4,L8,l8pe,4,L,normal
std_W7H6-nCy2_1732013638966_80,W7H6-nCy2,M1,m1pe,4,M,normal
std_ipsU-8fzx_1706513889135_33,ipsU-8fzx,L3,l3pe,4,L,normal
std_6bUs-wYGU_1732013490727_73,6bUs-wYGU,L9,l9pe,3,L,normal
std_LTI_xRMY-DRq2_1758451211877_3,xRMY-DRq2,L2,l2pe,4,L,LTI
std_3Yq3-Bp82_1706514362861_58,3Yq3-Bp82,L8,l8pe,4,L,normal
std_cf2d-B9Qp_1732021358921_70,cf2d-B9Qp,L9,l9pe,3,L,normal
std_74FV-Ctch_1732020077866_4,74FV-Ctch,H1,h1pe,4,H,normal
std_Af42-Z7JC_1732021590577_82,Af42-Z7JC,M2,m2pe,4,M,normal
std_3Yq3-Bp82_1706514354874_58,3Yq3-Bp82,L8,l8pe,4,L,normal
std_4bBN-Hf7o_1706511667906_70,4bBN-Hf7o,M1,m1pe,4,M,normal
std_WUtK-eAGW_1706514557390_68,WUtK-eAGW,L9,l9pe,3,L,normal
std_LTI_cZF2-TV3s_1758286423736_6,cZF2-TV3s,M3,m3pe,4,M,LTI
std_4m26-ZtWy_1706510390375_4,4m26-ZtWy,L1,l1pe,3,L,normal
std_A6pc-oAhA_1732012859966_42,A6pc-oAhA,L3,l3pe,4,L,normal
std_LkL6-47eL_1706508403509_81,LkL6-47eL,M5,m5pe,4,M,normal
std_znVX-VhYP_1706499058453_85,znVX-VhYP,H1,h1pe,4,H,normal
std_LTI_6XUi-P6Ca_1758522518777_8,6XUi-P6Ca,H7,h7pe,3,H,LTI
std_3Yq3-Bp82_1706514352351_58,3Yq3-Bp82,L8,l8pe,4,L,normal
std_a4nJ-KPB6_1706497528141_4,a4nJ-KPB6,L1,l1pe,3,L,normal
std_p4B2-Lz43_1706498304785_45,p4B2-Lz43,L7,l7pe,3,L,normal
std_6RNP-oD7L_1706498240731_40,6RNP-oD7L,L7,l7pe,3,L,normal
std_n82e-EABa_1706511945375_81,n82e-EABa,M5,m5pe,4,M,normal
std_ujps-K3uE_1732020850318_48,ujps-K3uE,L7,l7pe,3,L,normal
std_ALFj-73m6_1706502989931_66,ALFj-73m6,L9,l9pe,3,L,normal
std_ksjm-Z3eA_1732012269601_12,ksjm-Z3eA,L1,l1pe,3,L,normal
std_LTI_xRMY-DRq2_1758451413196_3,xRMY-DRq2,L2,l2pe,4,L,LTI
std_m6Xu-9h7L_1706497595457_1,m6Xu-9h7L,L1,l1pe,3,L,normal
std_LTI_rQA8-Zwxi_1758451308508_2,rQA8-Zwxi,L2,l2pe,4,L,LTI
std_82Q7-8KpY_1706507062313_7,82Q7-8KpY,L1,l1pe,3,L,normal
std_hUbR-vKVu_1706510530246_13,hUbR-vKVu,L1,l1pe,3,L,normal
std_9cMC-xGsd_1706514775875_83,9cMC-xGsd,M5,m5pe,4,M,normal
std_vPRU-YQ7L_1732021292121_68,vPRU-YQ7L,L9,l9pe,3,L,normal
std_Q7E6-BU49_1706503614187_94,Q7E6-BU49,H3,h3pe,4,H,normal
std_qzgR-hqH4_1706502310875_32,qzgR-hqH4,L3,l3pe,4,L,normal
std_Y3p4-qkh3_1732021446718_78,Y3p4-qkh3,M1,m1pe,4,M,normal
