extuserid,classcode,classid,invid,tchextuserid,category,category_type
s42_1735803368773_29,bRCx-QxW2,f37e4b4a-6135-4949-bd46-fcafd16d5b20,46d8aa40-874c-4565-a5ad-a4aa56dee90c,tch_M2_20241220-104739_10,M2,M
s42_1736225499445_62,qeao-Th3J,6d3266e8-6b30-442f-aff4-ca1ca92d52aa,e201eba6-1a8a-4b5b-837b-f59dfcc98e71,tch_L1_20241220-120126_2,L1,L
s42_1735630726297_52,Wp6p-trQh,bdb41575-ea00-4c77-9a47-41c1f74258d1,b07d7d35-4eb0-45ba-8846-eaeb4cefeeff,tch_L7_20241219-130914_7,L7,L
s42_1736227179814_2,a9iR-nyzo,879dbd35-e7af-4743-a9f2-701560cdd23c,8f31f241-83cb-469e-9e7b-b20ec36f0f68,tch_L2_20241114-102050_4,L2,L
s42_1735629659631_1,6ZE8-7vpe,767f6e91-0b67-4c75-b72e-a7ce984aaba1,feaae63f-850a-4a84-82d8-44ac6e56ef6a,tch_L7_20241114-102050_6,L7,L
s42_1735810923220_29,BaD7-aMaK,31fd1481-4ba1-4218-9b83-1d82d30d9038,36b58144-29bd-41e7-96b4-89839651bbdb,tch_M5_20241220-104739_12,M5,M
s42_1735808515415_26,4M3k-V8DJ,32ebbba8-7aaa-4991-ab7c-19a8cb176eab,28eb9cdc-c03a-4811-8397-1a62237c75d2,tch_M3_20241219-130914_11,M3,M
s42_1735792072750_4,p9o7-Ff7L,31f0ef5a-b871-4233-9922-98dd158ff953,25081833-6ced-430f-9e3b-29c0691b3ea6,tch_L8_20241114-122355_8,L8,L
s42_1735628989596_12,y9C4-376U,9ec25c19-d4bd-43cd-a4df-f87efbeaa4ab,e4ea9268-0c17-4e80-9c0b-dc7e30a077a1,tch_L3_20241118-102254_5,L3,L
s42_1735808207509_19,u2mp-zN86,c496d385-4f56-424c-b67b-3782711b0e11,87f9f905-c6ea-4d5e-a3f0-d4464dabea25,tch_M3_20241219-101523_11,M3,M
s42_1736225130043_42,BUbi-2ZbN,ae01eb58-620a-4a35-9765-b2cd33e4fc7c,0de7cc98-069d-4216-890a-1710fb7330f7,tch_L1_20241219-111930_2,L1,L
s42_1735630763854_54,TpB9-V2MA,ed34d8b1-cd5b-4733-ab7c-e55c9c134280,56953b86-1b89-422d-95e3-0cb81e206aca,tch_L7_20241220-095811_7,L7,L
s42_1736228691985_2,ued2-Hw7t,5a99e5e8-9724-4351-9062-c495022042ea,ae9766d8-1fb2-472f-a0cb-32d0d3d3309d,tch_H1_20241114-105717_13,H1,H
s42_1736227865778_39,zEGU-i8N9,9139d674-3621-4f95-90fc-d63a7c99682c,2cda4e90-0edb-410d-9b73-a44bab41dff4,tch_L2_20241219-105858_3,L2,L
s42_1735630722050_54,TpB9-V2MA,ed34d8b1-cd5b-4733-ab7c-e55c9c134280,8a971047-68bd-42eb-a002-91575854cc55,tch_L7_20241220-095811_7,L7,L
s42_1735630044002_18,7mGg-p39f,6d50345b-f90f-46c6-af11-3063d793c5b3,3ab1ebd0-e2cf-4ee3-90ad-1d216a92d52d,tch_L7_20241114-154555_6,L7,L
s42_1735792744641_19,2wuH-dnP6,d622e58a-43ce-490c-a5ea-926b9df62164,1b76d30c-eae9-41df-a8c5-c6f3c02a2cbe,tch_L8_20241219-101523_8,L8,L
s42_1735628880926_5,kZ3i-6oT8,fa37e244-1835-446a-8a84-f882f43c977e,7f9ac688-6d95-47a5-8359-9495ff8af748,tch_L3_20241114-124601_5,L3,L
s42_1735628854218_7,U9W2-Dz63,57d661b3-eaef-400e-a51d-36fd473df8a7,95560967-72ff-415d-a9fe-e672a44fd2ec,tch_L3_20241114-143802_5,L3,L
s42_1735802594082_13,F6H6-N9qg,df453360-061c-4922-b3f6-6a7876b8c2d8,4b8eb45e-4e0f-455a-9b4c-acc30654d4ca,tch_M2_20241119-123357_10,M2,M
s42_1736224939025_31,FCuH-7ciL,ce3469b5-7753-4388-b877-1004de87b72e,d1a03bae-21af-40cb-b92f-c6e68d50ce54,tch_L1_20241211-111527_1,L1,L
s42_1736229292286_17,g286-wk7T,9789aad5-c1dc-4f16-b603-6e21b05e0ce6,65ac84d0-1198-4262-9b0c-267af50da827,tch_H1_20241211-114436_13,H1,H
s42_1735792207143_7,MoGQ-Ysy8,ac21cc71-9d6a-41aa-aa52-f48d8bc558c7,47d2d64e-7151-49a8-bb6d-4ee610dd3b90,tch_L8_20241114-143802_8,L8,L
s42_1735629840231_8,H827-tds9,d470a5d4-8ef1-42ec-b8cf-f4aa08ddecb5,1d009da0-d98a-494d-9cac-29f36683d3ea,tch_L7_20241114-122355_7,L7,L
s42_1736225187213_45,4cj2-KFCR,f84eb8cd-b7b1-4932-9408-d05c37bc9690,6cbc3a5b-2887-481d-a019-2fd6e7450653,tch_L1_20241219-114559_1,L1,L
s42_1735630416387_36,MD2N-AoC9,ec6b27fa-9038-435f-8ad3-10541e37db11,4977ce13-47c2-491f-a298-400f2bad784b,tch_L7_20241211-123805_7,L7,L
s42_1736228015218_47,nYnR-VEG6,98f9f19b-70e7-429e-a6e1-284975f60104,d348c593-e5d5-404f-bdba-1652f15b84ff,tch_L2_20241219-122125_4,L2,L
s42_1736227394934_16,EfyX-2X47,718f5ac4-0aa4-4a2f-b071-83d88e43ce4e,1a6f9f09-f131-4ec4-8a76-745dbaf8dc67,tch_L2_20241114-152217_4,L2,L
s42_1736227465032_20,7H4Y-9e2r,5777f864-8dc6-44fe-acb9-3294009fdbb8,86d82c13-7085-4482-b1fc-b29493086b0a,tch_L2_20241114-161323_3,L2,L
s42_1735809505324_2,hVw3-8r9F,ab362c97-2e16-409b-bd68-18689d9e1e8c,aafbeed8-d377-4cae-8c70-804ae373f572,tch_M5_20241114-105717_12,M5,M
s42_1735798907574_7,7E6M-t3L4,47859959-a882-44a0-bb9f-efeaa3acc40b,0d693615-38e9-4495-a41e-218d6b346d74,tch_L9_20241114-143802_9,L9,L
s42_1736229101620_12,Ao4Z-T4m9,e0d50516-f4ec-4148-9f1c-fe97483141fd,f1d9f686-4557-46f6-bcbd-23ea5f6a3d20,tch_H1_20241118-102254_13,H1,H
s42_1735792795156_19,2wuH-dnP6,d622e58a-43ce-490c-a5ea-926b9df62164,4ce8598a-60a5-433b-bb64-9cc34dac83d4,tch_L8_20241219-101523_8,L8,L
s42_1736229738832_28,AfWr-mfiH,ab7a210a-dbdd-45c9-a6aa-485e5d3930ea,a8003fec-96f7-4bb9-8804-232a506ad728,tch_H1_20241220-102523_13,H1,H
s42_1735628839540_5,kZ3i-6oT8,fa37e244-1835-446a-8a84-f882f43c977e,84603d00-27a2-49fc-9f1a-d95f1742524f,tch_L3_20241114-124601_5,L3,L
s42_1735792135334_5,E623-79H9,9134a62d-fb44-4fba-bf3f-c7d457ab9732,908be5a8-cf7b-42e8-bcbf-c44c8f0b6372,tch_L8_20241114-124601_8,L8,L
s42_1735798775343_4,dH49-3b78,94a8ba92-d8b3-4aeb-8409-7f715bc09bd7,41131022-edcb-4451-83b8-c86f6cd55782,tch_L9_20241114-122355_9,L9,L
s42_1736228828603_6,VcZX-FEXm,4bfce7b6-e871-4798-b50e-c27886e05b9d,cecf73a7-4ca7-497c-93ab-63ab5a8c615e,tch_H1_20241114-134749_13,H1,H
s42_1736227755126_33,X74A-3w9Q,a428a380-9d4f-4fb0-9197-ac75630dac3f,ba00e23f-e2b7-44e4-bbdd-6c421a3b3eac,tch_L2_20241211-114436_3,L2,L
s42_1736224995263_33,J8fP-79oQ,5f7cc648-e982-44f1-a234-dfc156984660,35785473-c73c-4a81-8b92-5eed34aabe28,tch_L1_20241211-114436_2,L1,L
s42_1735630245861_27,fhT9-3o68,8308ff76-ad1f-4bda-ae70-39856b3a8115,fc39177b-b501-4332-bedc-3fbbc4fe96f3,tch_L7_20241119-125944_6,L7,L
s42_1736227675249_26,tT6n-T7M2,21020452-9717-4678-811d-e8202439a887,c66ccda2-297d-4159-98bc-07288cbee153,tch_L2_20241119-123357_4,L2,L
s42_1735630495141_40,Mm3C-jEvW,47845a51-c1ff-45dc-a47d-89d41b0cac6b,442b02ee-0246-4a1c-b24a-0beb0b02fac8,tch_L7_20241219-105858_7,L7,L
s42_1735810122139_13,eBuA-Ng4s,5c024f34-14e1-449d-8d7e-266241aa6e47,2a1423e3-94f9-44f1-8d5a-fa2145ae683a,tch_M5_20241119-123357_12,M5,M
s42_1736224895491_32,3iCj-4ka9,b81ef590-fb67-4cce-893e-9c34ad8825bd,9e966d50-dc87-474f-8295-d0eb8a042a4d,tch_L1_20241211-111527_2,L1,L
s42_1735792748549_18,2zD3-LCR4,8d2d41be-77b3-452e-852e-cf5dd33d74b3,2b5b4957-3986-49d9-b06b-b4219cd5380a,tch_L8_20241211-123805_8,L8,L
s42_1736224413452_4,MH3f-j7Rk,f0cd8f2c-a507-4b6a-a1b0-f18e7136fcc7,dd17e353-900e-474b-8f33-8b3e50a109cb,tch_L1_20241114-105717_2,L1,L
s42_1736227969855_43,X74A-3w9Q,a428a380-9d4f-4fb0-9197-ac75630dac3f,7d686769-7aa5-4d80-8540-ca9ac03edd87,tch_L2_20241211-114436_3,L2,L
s42_1735629113291_17,HTmu-3cVa,67efcf7c-cdac-4f4d-84a2-bac3c38cae06,134a91d2-e576-4764-ae7b-547db8ecf053,tch_L3_20241211-114436_5,L3,L
s42_1736229538225_23,8wW7-aU23,21580b6b-fee8-42e3-91c8-4f56dfb0c2f5,f942d668-acac-4922-81e7-248b3cc96af7,tch_H1_20241219-114559_13,H1,H
s42_1735792011919_2,2Gsr-MU7h,7d5a7868-51e2-456b-9abf-a7cc21dab04c,135d81a4-5617-437a-a437-2ec588d5b164,tch_L8_20241114-105717_8,L8,L
s42_1735798661640_3,cf3N-272X,951f91a5-5913-461e-8e94-68c5b5dc3ed9,03f111e0-fbd7-41af-b019-a34788a129c6,tch_L9_20241114-112810_9,L9,L
s42_1735793333264_29,363b-ap8Q,adb2ec6c-caca-4efc-9a72-6cf42801280e,17b6339b-2aa2-4049-a3ec-1f11db9de396,tch_L8_20241220-104739_8,L8,L
s42_1736228275190_60,kXx7-h673,7d628ae5-cbc4-44ad-96f3-1792f1e6d1dd,e22469d9-5078-4404-8136-84ede4045960,tch_L2_20241220-112940_4,L2,L
s42_1735798949638_7,7E6M-t3L4,47859959-a882-44a0-bb9f-efeaa3acc40b,cc082661-83ca-4932-b3f9-caee93de84cb,tch_L9_20241114-143802_9,L9,L
s42_1735809674073_4,6cv8-ytzi,534ac24e-5e6c-4772-bc7d-3625a3c1726b,e40b0712-2bcf-42e6-90b3-9c5b4bede027,tch_M5_20241114-122355_12,M5,M
s42_1736224613045_18,ebUR-ysJk,76b5fae0-a312-43f5-8079-36f93532c548,5ac9b234-3ab5-40ab-b38e-57dad5efd8ec,tch_L1_20241114-154555_1,L1,L
s42_1735629124013_20,uERG-icTp,2fb8e31e-7300-4bef-8e39-a0c8575d0071,30911348-7d8b-4b6b-92bc-4e758da8b8ff,tch_L3_20241219-105858_5,L3,L
s42_1736228334714_62,bWQT-iwd2,dff7f104-02a6-4881-a4ab-7a1e016e09b3,b1f9d13c-51e8-4230-a9ab-b3eb09587e36,tch_L2_20241220-120126_4,L2,L
s42_1736227287463_6,Nf2a-C9mK,eb8676e1-2ced-4bd5-8048-5eec1c82ae0d,b70c438b-4ca1-4b1f-942b-21cca9692da9,tch_L2_20241114-112810_4,L2,L
s42_1735630723240_51,hK3H-gy3W,345edadc-5ed8-4e3c-8d4f-bf25384cc935,18eb8941-5c9b-4696-82ee-dcdb126576d6,tch_L7_20241219-130914_6,L7,L
s42_1735793083340_24,7t8u-3u7Q,cdb93d5a-5b1b-4f02-bb55-2e704bef9dfe,d4e007b9-8379-43d6-b56c-d64c33fce6b1,tch_L8_20241219-122125_8,L8,L
s42_1735799325899_15,XAq9-w8pT,9527e661-2b4f-4734-9e29-71741fb8cdf5,f4f6795b-b59c-4992-958e-0a9f3c276c91,tch_L9_20241211-104452_9,L9,L
s42_1736224759487_25,hDTq-c3aA,15c4a390-7abf-4e89-b151-2d5f5ad1122b,b1a9a5c1-79f2-425f-bcd9-e3727c25b776,tch_L1_20241119-123357_1,L1,L
s42_1736228891307_6,VcZX-FEXm,4bfce7b6-e871-4798-b50e-c27886e05b9d,0b702d15-72d3-44f7-8f5a-128c80dacac4,tch_H1_20241114-134749_13,H1,H
s42_1736229147664_12,Ao4Z-T4m9,e0d50516-f4ec-4148-9f1c-fe97483141fd,f9ffcaac-7df8-4d00-a8c3-dcb89c21d531,tch_H1_20241118-102254_13,H1,H
s42_1736227500680_22,92wA-yAib,1190a2d6-f838-49ba-9580-59d9d314740d,b982010c-5f6f-4b17-bd25-19a07033d167,tch_L2_20241118-095649_4,L2,L
s42_1735810026686_11,mpYp-4EBm,231eca64-406d-43ef-9afc-ab394653cc70,af20b494-cf51-4ffe-8e45-973cb6b61e22,tch_M5_20241118-095649_12,M5,M
s42_1736227860721_40,9PLb-MD6Y,02f21d4c-3b1c-4fdb-b2ff-961dbae94c81,8fb91285-56ca-423d-9051-88b4c0783ec9,tch_L2_20241219-105858_4,L2,L
s42_1735798901223_7,7E6M-t3L4,47859959-a882-44a0-bb9f-efeaa3acc40b,0d04e908-3326-45d5-8c1f-81afc995048a,tch_L9_20241114-143802_9,L9,L
s42_1736229323475_16,tyVu-ZFJ6,f1b21a4c-547c-4773-a5eb-0f9c4aea0228,c481da5c-89ba-4c85-922d-f7a1e3448422,tch_H1_20241211-111527_13,H1,H
s42_1736228188682_54,en39-34nY,9f6ee579-1e1d-45cb-8ac3-6a990d914cdc,c87fbaad-373a-4634-bd0f-b6893c80cd6b,tch_L2_20241220-095811_4,L2,L
s42_1735793213765_27,RNZL-679R,a1c20476-bf89-43f8-8f94-12a78041db57,4f93c355-71eb-4ce1-b52c-b3c4384dff39,tch_L8_20241220-095811_8,L8,L
s42_1735629360824_30,a6hJ-7Q7j,8a4e79a5-d87e-494f-b519-306edd3be371,091c9776-8e68-4138-9ea1-2e2d5ef6cfe9,tch_L3_20241220-112940_5,L3,L
s42_1735791894676_2,2Gsr-MU7h,7d5a7868-51e2-456b-9abf-a7cc21dab04c,213f5a22-7247-40e3-93f7-ddb6878e4fcd,tch_L8_20241114-105717_8,L8,L
s42_1735809851815_7,NXrx-JeLK,34c7548a-29ee-48c8-9819-cb20f92dcf11,6da0b607-c53c-4ae8-a005-7280a536ca14,tch_M5_20241114-143802_12,M5,M
s42_1735629324658_30,a6hJ-7Q7j,8a4e79a5-d87e-494f-b519-306edd3be371,de488cf1-205b-48a5-b1cc-ade47b787a92,tch_L3_20241220-112940_5,L3,L
s42_1735628984849_13,B6Gn-FXQ8,022cd127-cf66-4d20-9d4c-03704b59b22a,9341d8f4-86d7-4f51-8631-0ea2e18db363,tch_L3_20241119-123357_5,L3,L
s42_1736228341956_59,wj3J-RQ9N,85455b03-3a7a-4e33-beec-c2f40c924188,0a6c2c12-b92a-4ac1-a4aa-a704f086a202,tch_L2_20241220-112940_3,L2,L
s42_1735630469717_38,D4ox-4qrh,68d68c74-6792-4769-9c1a-676db2d6bbc7,f1871ea3-9e6a-4c97-b581-7f8391f5b55b,tch_L7_20241219-101523_7,L7,L
s42_1736224912576_28,aLmT-CEA9,8c4a6105-ff5a-4c72-ae74-c9c2b97f25e6,3d37940b-6b94-4914-9cb8-1c10a2a8de31,tch_L1_20241119-125944_2,L1,L
s42_1735802736717_15,vF8B-G3U3,1baad59c-5824-499f-9afe-d5002d3a6868,05a8dbfa-6703-48d0-9ca0-b6f957c82d89,tch_M2_20241211-104452_10,M2,M
s42_1736225365351_55,yNxJ-b6Vp,e36533ae-eef1-4b9b-8cfd-e907bcede52f,e35ea714-5c1c-475d-a1b2-b6e1aecc64bf,tch_L1_20241220-102523_2,L1,L
s42_1735628802709_2,8qNf-bxtY,cc13f6a8-244d-457d-a34d-2cd7549bf052,1ac8ff15-cfbf-40da-80d2-705495e1524b,tch_L3_20241114-105717_5,L3,L
s42_1736228017155_46,L8TK-QH7g,6c22cc93-7fc9-4516-9f5f-6cd1f0ca8ab9,62058507-a567-4044-8039-430ff101f2da,tch_L2_20241219-114559_4,L2,L
s42_1735629164074_23,NMyf-WxPd,ca65da71-395a-4cde-9683-2aa0cf7c56d6,495e2d98-733f-4969-bf6e-4be02fdad61d,tch_L3_20241219-114559_5,L3,L
s42_1736225272875_50,Dd4s-j97k,090f79e4-8a56-498a-ba93-7dd1abcfdcc6,31f04932-bad5-43b5-af96-77e796684b85,tch_L1_20241219-124752_2,L1,L
s42_1735807564978_7,N6xE-QqUx,a7bf3ea9-ffe6-4b07-a975-30dcbb09a194,83704092-57ee-4239-9ceb-cd50e39031ff,tch_M3_20241114-143802_11,M3,M
s42_1735802392159_9,m4GH-Kvct,cc56bf9d-5977-4efe-a7ff-ca3d1a09f19c,27cacdaa-5811-4278-a928-a88e78c6400b,tch_M2_20241114-154555_10,M2,M
s42_1735798737037_4,dH49-3b78,94a8ba92-d8b3-4aeb-8409-7f715bc09bd7,0d75f5c4-5a88-42ac-8e44-35023d00b487,tch_L9_20241114-122355_9,L9,L
s42_1736229348356_19,wNgd-L8Pi,a6ff0f8d-8f51-4fe3-a088-fc51425b4d08,c7fdce4e-03d1-4d6c-a28f-cd818e65c763,tch_H1_20241219-101523_13,H1,H
s42_1735630580675_46,Uw9j-VfvZ,6ceb3415-8a58-4b04-b650-23f529f65851,7683d350-387c-4e38-92ab-5d23e695af66,tch_L7_20241219-114559_7,L7,L
s42_1735808428695_23,nM7k-B7eA,29995915-43ed-4802-84f6-cf91e6118624,5448b770-0e67-4a62-a871-342ce04debc4,tch_M3_20241219-114559_11,M3,M
s42_1735807938893_15,bVCg-wznj,2175ac15-0541-4439-b267-e5e0a3befd1d,501fb70a-6c28-478c-9215-1d8fc71fb23f,tch_M3_20241211-104452_11,M3,M
s42_1736227596543_22,92wA-yAib,1190a2d6-f838-49ba-9580-59d9d314740d,034fff0e-524c-4829-8586-54b18f6e609f,tch_L2_20241118-095649_4,L2,L
s42_1735630854459_57,rDtE-saLU,1e6afbd1-c423-4889-8322-1ac562eb9fe7,1ed36dd4-8013-406e-b1f2-7f05f188e411,tch_L7_20241220-104739_6,L7,L
s42_1735630077529_18,7mGg-p39f,6d50345b-f90f-46c6-af11-3063d793c5b3,c4927a87-5e5f-49b7-b68a-9f7cdcc728fd,tch_L7_20241114-154555_6,L7,L
s42_1736229072816_12,Ao4Z-T4m9,e0d50516-f4ec-4148-9f1c-fe97483141fd,61e4fb20-6e28-417b-a1a2-ce0439371d7c,tch_H1_20241118-102254_13,H1,H
s42_1736228700469_1,T6Wt-phr2,447fd8d5-b0e3-4ed2-93af-8073eb2d5815,f63f07c7-80b1-4682-b604-cf8acd2845c7,tch_H1_20241114-102050_13,H1,H
s42_1735630231512_28,d2vP-EJub,6036a9bc-8def-4904-a26d-e59bb12ba611,43d7d34e-7914-40a6-b174-a33bbf5df592,tch_L7_20241119-125944_7,L7,L
s42_1735802647021_13,F6H6-N9qg,df453360-061c-4922-b3f6-6a7876b8c2d8,efe25646-92ff-47d3-8b76-ddffcaa10749,tch_M2_20241119-123357_10,M2,M
s42_1735629711917_3,P436-AMKE,630a024e-81e9-4e52-98cd-7a342261a73a,031f58e1-91e1-47d6-9d6e-e4f08f089107,tch_L7_20241114-105717_6,L7,L
s42_1735803192525_24,Yjmj-7Uo7,3f178a52-4fec-48ed-aa41-43db294c6ca3,c88c981f-693a-4b50-bf29-02101a24d80c,tch_M2_20241219-122125_10,M2,M
s42_1735630688896_48,sw3o-mkeK,3a11670b-73ec-4e2e-af20-8af3df1088de,ba6dd0ae-00d3-4726-9050-935c33ccc4b5,tch_L7_20241219-122125_7,L7,L
s42_1735809593680_2,hVw3-8r9F,ab362c97-2e16-409b-bd68-18689d9e1e8c,b6769d95-8511-4c94-83b8-33cba379db2a,tch_M5_20241114-105717_12,M5,M
s42_1735792771254_19,2wuH-dnP6,d622e58a-43ce-490c-a5ea-926b9df62164,8e3e3d63-f36d-4e36-b508-ffaa956f61ab,tch_L8_20241219-101523_8,L8,L
s42_1735629301796_29,V2Yn-N8G7,aefca5e5-2393-4e71-94c7-aeda190dd99c,59ccfaaf-73b9-431f-ac85-c9d1938dd84d,tch_L3_20241220-104739_5,L3,L
s42_1735628884825_10,8Nf8-c9hg,d66a5665-6c5e-45b3-a180-faa367f3ce6a,11422d40-ec1d-47c8-b487-410bef4460d6,tch_L3_20241114-161323_5,L3,L
s42_1736227366473_11,T9hY-x9fQ,5981f059-4412-486b-a2c1-bb271b36d32e,1f2d68ba-f979-4325-b519-6a39b2bb76ef,tch_L2_20241114-134749_3,L2,L
s42_1736227144806_1,oG3U-z9CG,e92ea808-613e-458c-93dc-7cdf06e82baf,518217a4-9868-477b-ae65-16c08ff216b6,tch_L2_20241114-102050_3,L2,L
s42_1736224963953_36,t4Ue-Ff2w,d4eef48d-2c35-430e-8015-534d03567f5a,61adbfeb-ff1b-4fac-91f4-4ed56210c359,tch_L1_20241211-123805_2,L1,L
s42_1736227372564_14,ckNJ-2Re3,38a31f6d-2d54-4586-b72d-5cb965b8a29b,fe007372-2d8f-4c3a-a440-d79b57080f33,tch_L2_20241114-143802_4,L2,L
s42_1735799288311_14,Xe32-qjCY,8ef2f046-87b1-432e-98bb-cf0253585ac4,e44bc930-c060-42e9-bc0c-728eac8e90d4,tch_L9_20241119-125944_9,L9,L
s42_1735793202717_28,JV2E-2y8f,738abc14-e5f3-49b4-9037-04123c20605f,9deb4b6f-30fd-4d16-99b5-a5b6f1141e60,tch_L8_20241220-102523_8,L8,L
s42_1735629374436_31,7WkW-gt8N,26dd1c58-59a4-47bb-afc4-0018a27d30c6,c775af49-3946-4196-9ec6-8f9ac4b46798,tch_L3_20241220-120126_5,L3,L
s42_1735630439643_39,wMWH-WKGC,eb26cc07-ce8c-4c6a-a432-7038f0cf26bd,80013307-a7b2-4298-89eb-6db325af1be2,tch_L7_20241219-105858_6,L7,L
s42_1735802363240_9,m4GH-Kvct,cc56bf9d-5977-4efe-a7ff-ca3d1a09f19c,4434c48b-cd29-48e4-a291-4ab028581bc5,tch_M2_20241114-154555_10,M2,M
s42_1735630793960_55,nkdZ-4RJ4,f513ea5c-0774-47c9-9b7b-8ec3fe66f518,6e44c4d4-db3a-45b0-bab2-a587ce2ee1e3,tch_L7_20241220-102523_6,L7,L
