teacherextuserid,classtitle,classcode,category,pe_category,category_type,assignment_count,assignment_category,cursor,classType
tch_L2_20250921-205619_8,ltiClass_class_L2_20250921-205619_8,2RFa-6Hpc,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_L2_20250919-180459_33,ltiClass_class_L2_20250919-180459_33,qFK8-xRx6,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_L8_20240118-160029_106,class_L8_20240118-160029_106,3D6h-vo96,L8,l8pe,L,9,A_Low,No_Cursor,normal
tch_L9_20240128-205614_68,class_L9_20240128-205614_68,xfN9-VHnu,L9,l9pe,L,10,A_Low,No_Cursor,normal
tch_L7_20240222-143108_35,class_L7_20240222-143108_35,Phg2-skQB,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_L2_20250921-214456_4,ltiClass_class_L2_20250921-214456_4,2Knx-qCZy,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_L8_20240118-160029_64,class_L8_20240118-160029_64,x46e-24Pp,L8,l8pe,L,9,A_Low,No_Cursor,normal
tch_H7_20250922-213421_8,ltiClass_class_H7_20250922-213421_8,Ww48-9a84,H7,h7pe,H,150,A_High,High_Cursor,LTI
tch_L7_20240222-110512_38,class_L7_20240222-110512_38,3GM6-83rp,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_H3_20240128-170457_96,class_H3_20240128-170457_96,4Zc6-4GpR,H3,h3pe,H,26,A_High,No_Cursor,normal
tch_L2_20250921-155445_8,ltiClass_class_L2_20250921-155445_8,cd3j-McVo,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_H4_20231229-183345_87,class_H4_20231229-183345_87,W4rN-98na,H4,h4pe,H,198,A_High,High_Cursor,normal
tch_L9_20240128-142311_61,class_L9_20240128-142311_61,4yt6-z6Co,L9,l9pe,L,10,A_Low,No_Cursor,normal
tch_L9_20240222-143108_163,class_L9_20240222-143108_163,bPmG-EFv2,L9,l9pe,L,9,A_Low,No_Cursor,normal
tch_M3_20250921-205619_13,ltiClass_class_M3_20250921-205619_13,LuR4-m9UQ,M3,m3pe,M,17,A_Med,No_Cursor,LTI
tch_H1_20240222-143108_85,class_H1_20240222-143108_85,wVdW-Fia9,H1,h1pe,H,26,A_High,No_Cursor,LTI
tch_L7_20240128-220541_47,class_L7_20240128-220541_47,7cBT-H6a2,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_L7_20240119-093415_79,class_L7_20240119-093415_79,7FZP-aZjR,L7,l7pe,L,10,A_Low,No_Cursor,normal
tch_L2_20250923-102342_11,ltiClass_class_L2_20250923-102342_11,vM78-g2T6,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_M5_20240222-110512_182,class_M5_20240222-110512_182,HAsZ-8QAZ,M5,m5pe,M,18,A_Med,No_Cursor,normal
tch_L1_20240128-205614_2,class_L1_20240128-205614_2,eUDH-9yLz,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_L7_20240222-143108_139,class_L7_20240222-143108_139,XVeu-r4fH,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_L9_20240222-143108_65,class_L9_20240222-143108_65,7UYP-tNKr,L9,l9pe,L,10,A_Low,No_Cursor,normal
tch_L7_20240128-170457_48,class_L7_20240128-170457_48,n3Y3-PFL6,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_M5_20240111-185155_7,class_M5_20240111-185155_7,nJb9-vHAW,M5,m5pe,M,17,A_Med,No_Cursor,normal
tch_H4_20231229-163209_89,class_H4_20231229-163209_89,hsGT-fQiP,H4,h4pe,H,198,A_High,High_Cursor,normal
tch_L8_20240128-195807_55,class_L8_20240128-195807_55,RYA3-G7Tg,L8,l8pe,L,9,A_Low,No_Cursor,normal
tch_L2_20250919-180459_25,ltiClass_class_L2_20250919-180459_25,7CDd-xzWy,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_M3_20250921-155445_49,ltiClass_class_M3_20250921-155445_49,ykZ2-6j9G,M3,m3pe,M,17,A_Med,No_Cursor,LTI
tch_L2_20250921-155445_12,ltiClass_class_L2_20250921-155445_12,xqzw-4CL3,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_H1_20231229-183345_73,class_H1_20231229-183345_73,39ij-h4vu,H1,h1pe,H,26,A_High,No_Cursor,LTI
tch_L3_20240102-192514_27,class_L3_20240102-192514_27,o237-g4Hq,L3,l3pe,L,9,A_Low,No_Cursor,normal
tch_L1_20240130-090904_8,class_L1_20240130-090904_8,e7LX-JjJ4,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_L9_20240222-143108_159,class_L9_20240222-143108_159,ed2h-926V,L9,l9pe,L,10,A_Low,No_Cursor,normal
tch_L9_20240117-181958_55,class_L9_20240117-181958_55,P8Po-968T,L9,l9pe,L,10,A_Low,No_Cursor,normal
tch_L2_20250921-155445_10,ltiClass_class_L2_20250921-155445_10,yJXV-bT3d,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_L9_20240117-181958_54,class_L9_20240117-181958_54,C4bC-2698,L9,l9pe,L,10,A_Low,No_Cursor,normal
tch_L7_20240128-195807_37,class_L7_20240128-195807_37,XRfo-yuUk,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_L1_20240222-110512_102,class_L1_20240222-110512_102,9t7U-Q6mp,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_H5_20250922-182234_1,ltiClass_class_H5_20250922-182234_1,7yCf-x6af,H5,h5pe,H,150,A_High,High_Cursor,LTI
tch_L3_20240222-110512_31,class_L3_20240222-110512_31,BaUP-xkU4,L3,l3pe,L,9,A_Low,No_Cursor,normal
tch_L1_20240128-220541_5,class_L1_20240128-220541_5,p3e2-LmrU,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_L7_20240222-143108_141,class_L7_20240222-143108_141,3cQW-Avy7,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_L7_20240119-093415_103,class_L7_20240119-093415_103,T3ZY-Tzyv,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_L1_20240222-143108_9,class_L1_20240222-143108_9,g3vL-eL8E,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_L1_20240128-190832_15,class_L1_20240128-190832_15,9skF-9N8n,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_L1_20240222-110512_7,class_L1_20240222-110512_7,2V2g-8Jyp,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_M1_20240128-220541_69,class_M1_20240128-220541_69,QFW9-tzf2,M1,m1pe,M,15,A_Med,No_Cursor,normal
tch_L2_20250923-102342_8,ltiClass_class_L2_20250923-102342_8,Me9U-4oGY,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_H1_20240124-195937_89,class_H1_20240124-195937_89,49wL-i8i9,H1,h1pe,H,26,A_High,No_Cursor,LTI
tch_M4_20240124-195937_79,class_M4_20240124-195937_79,6vx6-bx8T,M4,m4pe,M,26,A_Med,No_Cursor,normal
tch_L7_20240222-172411_46,class_L7_20240222-172411_46,F87y-AJTj,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_H1_20231229-183345_72,class_H1_20231229-183345_72,MC7J-Y67F,H1,h1pe,H,26,A_High,No_Cursor,LTI
tch_L3_20240128-195807_29,class_L3_20240128-195807_29,Hrs4-9qZM,L3,l3pe,L,9,A_Low,No_Cursor,normal
tch_M3_20250923-102342_38,ltiClass_class_M3_20250923-102342_38,aDKg-94qA,M3,m3pe,M,17,A_Med,No_Cursor,LTI
tch_L1_20240128-195807_15,class_L1_20240128-195807_15,Ad89-Z9MC,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_M3_20250921-192554_17,ltiClass_class_M3_20250921-192554_17,J3cg-f96n,M3,m3pe,M,17,A_Med,No_Cursor,LTI
tch_L1_20240104-161036_6,class_L1_20240104-161036_6,nZCa-ihXh,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_L2_20250923-102342_4,ltiClass_class_L2_20250923-102342_4,2EX9-npCb,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_L2_20250921-192554_8,ltiClass_class_L2_20250921-192554_8,6w73-9KDg,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_M3_20250923-102342_33,ltiClass_class_M3_20250923-102342_33,942g-Aer3,M3,m3pe,M,17,A_Med,No_Cursor,LTI
tch_L9_20240228-113644_65,class_L9_20240228-113644_65,Lw72-t6Vk,L9,l9pe,L,9,A_Low,No_Cursor,normal
tch_L7_20240124-195937_35,class_L7_20240124-195937_35,Q9hN-Jw48,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_H4_20240128-130831_97,class_H4_20240128-130831_97,8iKb-g7Eh,H4,h4pe,H,198,A_High,High_Cursor,normal
tch_L1_20231229-163209_10,class_L1_20231229-163209_10,Ww2f-HKDF,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_L7_20240128-195807_44,class_L7_20240128-195807_44,UeKG-fT7i,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_M4_20240102-154640_66,class_M4_20240102-154640_66,34L6-vi4k,M4,m4pe,M,26,A_Med,No_Cursor,normal
tch_L8_20240118-160029_70,class_L8_20240118-160029_70,7vWq-3o9E,L8,l8pe,L,9,A_Low,No_Cursor,normal
tch_L3_20240222-110512_131,class_L3_20240222-110512_131,Wti6-W6cx,L3,l3pe,L,9,A_Low,No_Cursor,normal
tch_L1_20240222-143108_12,class_L1_20240222-143108_12,Z4k7-uyA4,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_H4_20240128-170457_97,class_H4_20240128-170457_97,qh36-yeNT,H4,h4pe,H,198,A_High,High_Cursor,normal
tch_H4_20240128-142311_97,class_H4_20240128-142311_97,tqXa-76er,H4,h4pe,H,198,A_High,High_Cursor,normal
tch_L9_20240222-172411_164,class_L9_20240222-172411_164,vMnF-kvT2,L9,l9pe,L,10,A_Low,No_Cursor,normal
tch_M3_20250919-180459_6,ltiClass_class_M3_20250919-180459_6,cZF2-TV3s,M3,m3pe,M,17,A_Med,No_Cursor,LTI
tch_L1_20240222-143108_3,class_L1_20240222-143108_3,bea4-jtKR,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_L7_20240222-110512_34,class_L7_20240222-110512_34,JPWa-4oFE,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_M5_20240111-185155_22,class_M5_20240111-185155_22,hPqC-AP49,M5,m5pe,M,17,A_Med,No_Cursor,normal
tch_L7_20240128-170457_47,class_L7_20240128-170457_47,kVZR-92d6,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_L1_20240124-195937_5,class_L1_20240124-195937_5,8XtQ-jrhw,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_L1_20240102-192514_10,class_L1_20240102-192514_10,73sj-34j4,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_H1_20240222-172411_188,class_H1_20240222-172411_188,C6x2-stdv,H1,h1pe,H,26,A_High,No_Cursor,LTI
tch_L9_20240117-181958_76,class_L9_20240117-181958_76,M4wj-X62m,L9,l9pe,L,10,A_Low,No_Cursor,normal
tch_H1_20240128-180332_86,class_H1_20240128-180332_86,eUc9-7vGH,H1,h1pe,H,26,A_High,No_Cursor,LTI
tch_L8_20240128-195807_54,class_L8_20240128-195807_54,uLkR-iQ9z,L8,l8pe,L,9,A_Low,No_Cursor,normal
tch_L7_20240222-110512_40,class_L7_20240222-110512_40,Nk3o-wBbm,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_M4_20240222-110512_79,class_M4_20240222-110512_79,F2g7-T3b3,M4,m4pe,M,26,A_Med,No_Cursor,normal
tch_L1_20240103-170558_10,class_L1_20240103-170558_10,CgnU-g9F8,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_M3_20250921-192554_17,ltiClass_class_M3_20250921-192554_17,J3cg-f96n,M3,m3pe,M,17,A_Med,No_Cursor,LTI
tch_M1_20240128-195807_70,class_M1_20240128-195807_70,PCR6-t2X6,M1,m1pe,M,15,A_Med,No_Cursor,normal
tch_L7_20240222-172411_138,class_L7_20240222-172411_138,R6r8-98U4,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_H2_20240222-143108_90,class_H2_20240222-143108_90,F8sa-bsz7,H2,h2pe,H,32,A_High,No_Cursor,normal
tch_M1_20240128-180332_69,class_M1_20240128-180332_69,2EQ7-WphN,M1,m1pe,M,15,A_Med,No_Cursor,normal
