teacherextuserid,classtitle,classcode,category,pe_category,pe_end_index,category_type
tch_L1_20240131-171252_3,context_class_L1_20240131-171252_3,PmZX-zjao,L1,l1pe,3,L
tch_L1_20240130-184533_4,class_L1_20240130-184533_4,CspR-wKGY,L1,l1pe,3,L
tch_M3_20240104-171321_61,class_M3_20240104-171321_61,dPi2-42b4,M3,m3pe,5,M
tch_L7_20240119-103128_93,class_L7_20240119-103128_93,9Tpw-2sQu,L7,l7pe,3,L
tch_L7_20240201-190951_47,class_L7_20240201-190951_47,4GE4-nvo8,L7,l7pe,3,L
tch_L9_20240117-195400_26,class_L9_20240117-195400_26,n4ve-R3FB,L9,l9pe,3,L
tch_L9_20240117-195400_50,class_L9_20240117-195400_50,BjVT-2p39,L9,l9pe,3,L
tch_L7_20240119-113354_39,class_L7_20240119-113354_39,6Qej-yPMT,L7,l7pe,3,L
tch_M3_20240106-201002_61,class_M3_20240106-201002_61,4byN-2Q8R,M3,m3pe,5,M
tch_L8_20240130-184533_55,class_L8_20240130-184533_55,i3Pt-jB83,L8,l8pe,4,L
tch_L8_20240120-145701_56,class_L8_20240120-145701_56,2Bri-32hg,L8,l8pe,4,L
tch_M1_20240131-171252_70,context_class_M1_20240131-171252_70,hAsT-3T8k,M1,m1pe,11,M
tch_L3_20240104-171321_29,class_L3_20240104-171321_29,u3ib-iGh2,L3,l3pe,7,L
tch_L8_20240120-145701_17,class_L8_20240120-145701_17,URYE-XcZv,L8,l8pe,4,L
tch_L9_20240130-184533_64,class_L9_20240130-184533_64,qF7C-FdDR,L9,l9pe,3,L
tch_L2_20240201-190951_24,class_L2_20240201-190951_24,rfoN-KFXL,L2,l2pe,5,L
tch_L9_20240117-195400_58,class_L9_20240117-195400_58,sRUM-W4eu,L9,l9pe,3,L
tch_M5_20240131-174940_81,context_class_M5_20240131-174940_81,v7NL-pkb4,M5,m5pe,4,M
tch_M3_20240106-201002_63,class_M3_20240106-201002_63,8F6y-EmQw,M3,m3pe,5,M
tch_L9_20240117-181958_107,class_L9_20240117-181958_107,898R-cZ6X,L9,l9pe,3,L
tch_H5_20240123-124557_15,class_H5_20240123-124557_15,C62K-tH63,H5,h5pe,7,H
tch_L2_20240131-171252_23,context_class_L2_20240131-171252_23,6p4G-ze8Z,L2,l2pe,5,L
tch_L1_20240201-182440_10,class_L1_20240201-182440_10,7Q9g-Bz3h,L1,l1pe,3,L
tch_L1_20240130-202449_8,class_L1_20240130-202449_8,69q2-jav8,L1,l1pe,3,L
tch_L9_20240201-182440_65,class_L9_20240201-182440_65,7NRh-XM9W,L9,l9pe,3,L
tch_L3_20240104-171321_23,class_L3_20240104-171321_23,sb6b-m83F,L3,l3pe,7,L
tch_M1_20240130-184533_69,class_M1_20240130-184533_69,yL9g-TpoF,M1,m1pe,11,M
tch_M3_20240130-184533_76,class_M3_20240130-184533_76,7mE4-7ti9,M3,m3pe,5,M
tch_L3_20240104-171321_28,class_L3_20240104-171321_28,gZ3Q-72cH,L3,l3pe,7,L
tch_L7_20240201-182440_38,class_L7_20240201-182440_38,sg94-6k6u,L7,l7pe,3,L
tch_L8_20240120-145701_62,class_L8_20240120-145701_62,qcJ8-yn9M,L8,l8pe,4,L
tch_H3_20240201-182440_95,class_H3_20240201-182440_95,9Kqe-RLQf,H3,h3pe,9,H
tch_L7_20240130-202449_35,class_L7_20240130-202449_35,abR7-qe3F,L7,l7pe,3,L
tch_L1_20240201-190951_15,class_L1_20240201-190951_15,Y3pG-hJwe,L1,l1pe,3,L
tch_L2_20240105-161058_17,class_L2_20240105-161058_17,x6dc-vxz4,L2,l2pe,5,L
tch_L9_20240201-190951_68,class_L9_20240201-190951_68,u82m-hspT,L9,l9pe,3,L
tch_L2_20240131-171252_22,context_class_L2_20240131-171252_22,tm3p-yGTw,L2,l2pe,5,L
tch_H1_20240201-182440_88,class_H1_20240201-182440_88,2rE9-uHrt,H1,h1pe,7,H
tch_M3_20240130-202449_78,class_M3_20240130-202449_78,yatC-8pUq,M3,m3pe,5,M
tch_M5_20240111-185155_55,class_M5_20240111-185155_55,Ap36-t4Xg,M5,m5pe,4,M
tch_M1_20240131-174940_70,context_class_M1_20240131-174940_70,nier-78yp,M1,m1pe,11,M
tch_L2_20240131-171252_16,context_class_L2_20240131-171252_16,Uj7f-9tnY,L2,l2pe,5,L
tch_L2_20240105-183209_20,class_L2_20240105-183209_20,823B-oYhW,L2,l2pe,5,L
tch_H4_20240131-174940_97,context_class_H4_20240131-174940_97,R3e2-NHu3,H4,h4pe,10,H
tch_L2_20240130-202449_16,class_L2_20240130-202449_16,9Pey-MKzY,L2,l2pe,5,L
tch_L7_20240131-174940_38,context_class_L7_20240131-174940_38,joJp-jG7C,L7,l7pe,3,L
tch_H3_20240130-202449_93,class_H3_20240130-202449_93,u8yW-7s4r,H3,h3pe,9,H
tch_M3_20240109-104910_64,class_M3_20240109-104910_64,MwG4-Cna3,M3,m3pe,5,M
tch_L9_20240130-202449_59,class_L9_20240130-202449_59,7AW3-KZK9,L9,l9pe,3,L
tch_L8_20240130-202449_54,class_L8_20240130-202449_54,Ca7P-8EDc,L8,l8pe,4,L
tch_L2_20240105-161058_19,class_L2_20240105-161058_19,iT9q-jCDd,L2,l2pe,5,L
tch_M4_20240131-171252_79,context_class_M4_20240131-171252_79,DHEN-HRA4,M4,m4pe,13,M
tch_L8_20240201-182440_50,class_L8_20240201-182440_50,2T8y-kuf9,L8,l8pe,4,L
tch_L3_20240130-202449_29,class_L3_20240130-202449_29,as3s-K38p,L3,l3pe,7,L
tch_L1_20240201-190951_11,class_L1_20240201-190951_11,Jkd8-YBar,L1,l1pe,3,L
tch_L2_20240105-161058_14,class_L2_20240105-161058_14,oYF7-F8M6,L2,l2pe,5,L
tch_L1_20240131-171252_9,context_class_L1_20240131-171252_9,i3hz-V8A6,L1,l1pe,3,L
tch_M2_20240201-182440_73,class_M2_20240201-182440_73,PYim-WsB8,M2,m2pe,11,M
tch_M4_20240103-170558_69,class_M4_20240103-170558_69,ai7v-ec36,M4,m4pe,13,M
tch_L8_20240201-182440_58,class_L8_20240201-182440_58,8sa3-63a9,L8,l8pe,4,L
tch_L7_20240119-103128_118,class_L7_20240119-103128_118,n864-q8ir,L7,l7pe,3,L
tch_L7_20240131-174940_45,context_class_L7_20240131-174940_45,9cmf-PiJo,L7,l7pe,3,L
tch_L9_20240201-182440_59,class_L9_20240201-182440_59,FqT4-9H7V,L9,l9pe,3,L
tch_L2_20240131-174940_21,context_class_L2_20240131-174940_21,oTxR-L9Zj,L2,l2pe,5,L
tch_L2_20240201-182440_23,class_L2_20240201-182440_23,HEZR-iViA,L2,l2pe,5,L
tch_M3_20240123-135053_27,class_M3_20240123-135053_27,24Ex-49iT,M3,m3pe,5,M
tch_L7_20240131-171252_40,context_class_L7_20240131-171252_40,JMnb-Lbgx,L7,l7pe,3,L
tch_L7_20240201-182440_44,class_L7_20240201-182440_44,huhx-8J4A,L7,l7pe,3,L
tch_H3_20240130-202449_96,class_H3_20240130-202449_96,kdqc-Rvkm,H3,h3pe,9,H
tch_H5_20240130-202449_99,class_H5_20240130-202449_99,NRcB-4L9B,H5,h5pe,7,H
tch_L7_20240119-103128_32,class_L7_20240119-103128_32,Nc4q-az2K,L7,l7pe,3,L
tch_M1_20240201-190951_70,class_M1_20240201-190951_70,8Ha7-v3vP,M1,m1pe,11,M
tch_L1_20240130-202449_1,class_L1_20240130-202449_1,792R-wAe4,L1,l1pe,3,L
tch_M5_20240131-171252_82,context_class_M5_20240131-171252_82,L2Db-z2NX,M5,m5pe,4,M
tch_L2_20240104-171321_20,class_L2_20240104-171321_20,H97T-283k,L2,l2pe,5,L
tch_M5_20240111-185155_33,class_M5_20240111-185155_33,Tib2-bvLK,M5,m5pe,4,M
tch_L7_20240130-202449_34,class_L7_20240130-202449_34,Pa8g-MWwd,L7,l7pe,3,L
tch_L8_20240131-171252_58,context_class_L8_20240131-171252_58,3n74-q4Hm,L8,l8pe,4,L
tch_L2_20240201-190951_16,class_L2_20240201-190951_16,RszV-P28p,L2,l2pe,5,L
tch_L9_20240117-181958_112,class_L9_20240117-181958_112,Pra6-u7Fg,L9,l9pe,3,L
tch_H3_20240201-182440_96,class_H3_20240201-182440_96,8EsH-NoN2,H3,h3pe,9,H
tch_L7_20240130-184533_48,class_L7_20240130-184533_48,KqyJ-X4d3,L7,l7pe,3,L
tch_L9_20240117-195400_67,class_L9_20240117-195400_67,L6Eu-C8cK,L9,l9pe,3,L
tch_L7_20240119-103128_102,class_L7_20240119-103128_102,LxzD-j823,L7,l7pe,3,L
tch_M3_20240123-135053_21,class_M3_20240123-135053_21,gYLq-8po7,M3,m3pe,5,M
tch_M3_20240109-151917_62,class_M3_20240109-151917_62,RyxY-wKCq,M3,m3pe,5,M
tch_L3_20240131-171252_33,context_class_L3_20240131-171252_33,WEWE-Aqbu,L3,l3pe,7,L
tch_H1_20240130-202449_87,class_H1_20240130-202449_87,fHdb-oZcT,H1,h1pe,7,H
tch_L7_20240119-103128_117,class_L7_20240119-103128_117,y87U-Aj4c,L7,l7pe,3,L
tch_L1_20240130-202449_12,class_L1_20240130-202449_12,93aU-QdU8,L1,l1pe,3,L
tch_M3_20240201-190951_75,class_M3_20240201-190951_75,wYNm-28pE,M3,m3pe,5,M
tch_L3_20240201-190951_32,class_L3_20240201-190951_32,6Zz4-2946,L3,l3pe,7,L
tch_L3_20240103-170558_26,class_L3_20240103-170558_26,BP6t-jt3Z,L3,l3pe,7,L
tch_L1_20240105-151148_5,class_L1_20240105-151148_5,VU6n-Lkfk,L1,l1pe,3,L
tch_L1_20240201-182440_5,class_L1_20240201-182440_5,XEe9-JL24,L1,l1pe,3,L
tch_L1_20240105-173130_6,class_L1_20240105-173130_6,Uvx7-KaQY,L1,l1pe,3,L
tch_L7_20240131-171252_47,context_class_L7_20240131-171252_47,6cdh-vg6z,L7,l7pe,3,L
tch_L1_20240201-190951_4,class_L1_20240201-190951_4,8T2a-KJQD,L1,l1pe,3,L
tch_M5_20240201-182440_82,class_M5_20240201-182440_82,ugXF-aucN,M5,m5pe,4,M
tch_L8_20240131-171252_55,context_class_L8_20240131-171252_55,gEJD-38ny,L8,l8pe,4,L
tch_L8_20240131-171252_57,context_class_L8_20240131-171252_57,8L9o-h3cF,L8,l8pe,4,L
tch_M2_20240105-161058_60,class_M2_20240105-161058_60,MRyJ-4ybH,M2,m2pe,11,M
tch_M2_20240130-202449_71,class_M2_20240130-202449_71,zA3H-8gMe,M2,m2pe,11,M
tch_L2_20240201-190951_18,class_L2_20240201-190951_18,gYUf-nxEF,L2,l2pe,5,L
tch_L9_20240117-181958_101,class_L9_20240117-181958_101,v2B7-4gGZ,L9,l9pe,3,L
tch_L8_20240201-182440_57,class_L8_20240201-182440_57,zexD-8fgw,L8,l8pe,4,L
tch_L8_20240131-174940_58,context_class_L8_20240131-174940_58,8K3T-4zqj,L8,l8pe,4,L
tch_L1_20240201-182440_6,class_L1_20240201-182440_6,n4K2-h7YX,L1,l1pe,3,L
tch_L8_20240130-184533_57,class_L8_20240130-184533_57,hyRk-D93G,L8,l8pe,4,L
tch_L3_20240104-171321_25,class_L3_20240104-171321_25,kFp4-vg6C,L3,l3pe,7,L
tch_M1_20240130-184533_70,class_M1_20240130-184533_70,CNKg-3ZsB,M1,m1pe,11,M
tch_H1_20240123-135053_3,class_H1_20240123-135053_3,yDJF-8HY9,H1,h1pe,7,H
tch_L8_20240118-160029_110,class_L8_20240118-160029_110,YR36-Ud3e,L8,l8pe,4,L
tch_L2_20240130-184533_20,class_L2_20240130-184533_20,UXt3-ijYX,L2,l2pe,5,L
tch_H1_20240109-151917_74,class_H1_20240109-151917_74,oNWV-X8b4,H1,h1pe,7,H
tch_L7_20240119-103128_13,class_L7_20240119-103128_13,Pruo-BDn3,L7,l7pe,3,L
tch_M5_20240201-190951_84,class_M5_20240201-190951_84,NJN8-Qo4L,M5,m5pe,4,M
tch_L7_20240119-113354_2,class_L7_20240119-113354_2,3e48-Uu8u,L7,l7pe,3,L
tch_L7_20240119-113354_37,class_L7_20240119-113354_37,XNiZ-puEc,L7,l7pe,3,L
tch_L1_20240131-174940_12,context_class_L1_20240131-174940_12,T9BM-846n,L1,l1pe,3,L
tch_L7_20240119-103128_40,class_L7_20240119-103128_40,XMB8-42za,L7,l7pe,3,L
tch_L3_20240201-190951_33,class_L3_20240201-190951_33,L4et-w74D,L3,l3pe,7,L
tch_H1_20240201-190951_87,class_H1_20240201-190951_87,6wtB-HApF,H1,h1pe,7,H
tch_L1_20240201-182440_4,class_L1_20240201-182440_4,76Tn-PkWZ,L1,l1pe,3,L
tch_L9_20240117-195400_44,class_L9_20240117-195400_44,af6v-iNCd,L9,l9pe,3,L
tch_M5_20240131-171252_83,context_class_M5_20240131-171252_83,i93m-U38b,M5,m5pe,4,M
tch_L7_20240130-202449_43,class_L7_20240130-202449_43,6G6i-8AtM,L7,l7pe,3,L
tch_L3_20240201-182440_31,class_L3_20240201-182440_31,sjU8-Xjb7,L3,l3pe,7,L
tch_L8_20240120-145701_53,class_L8_20240120-145701_53,3qPx-pq8Q,L8,l8pe,4,L
tch_L7_20240119-103128_111,class_L7_20240119-103128_111,z3q3-wi7p,L7,l7pe,3,L
tch_L7_20240130-202449_39,class_L7_20240130-202449_39,iJBN-PAmp,L7,l7pe,3,L
tch_L7_20240130-184533_41,class_L7_20240130-184533_41,nKGo-3TG4,L7,l7pe,3,L
tch_L9_20240117-195400_31,class_L9_20240117-195400_31,7MN7-27LP,L9,l9pe,3,L
tch_L3_20240104-161036_24,class_L3_20240104-161036_24,sz9N-MUkp,L3,l3pe,7,L
tch_L2_20240105-173130_20,class_L2_20240105-173130_20,T7rc-x678,L2,l2pe,5,L
tch_H3_20240109-141501_82,class_H3_20240109-141501_82,b4kM-e62K,H3,h3pe,9,H
tch_L1_20240130-184533_2,class_L1_20240130-184533_2,c6eT-VfJc,L1,l1pe,3,L
tch_L7_20240119-103128_78,class_L7_20240119-103128_78,gRTA-wq2i,L7,l7pe,3,L
tch_L7_20240201-190951_44,class_L7_20240201-190951_44,wGmH-CtR7,L7,l7pe,3,L
tch_L2_20240130-184533_25,class_L2_20240130-184533_25,phKj-DZVZ,L2,l2pe,5,L
tch_L3_20240105-151148_25,class_L3_20240105-151148_25,ruXJ-AbaW,L3,l3pe,7,L
tch_L7_20240131-174940_47,context_class_L7_20240131-174940_47,TrZm-64pT,L7,l7pe,3,L
tch_L8_20240118-160029_97,class_L8_20240118-160029_97,gsp3-m4iF,L8,l8pe,4,L
tch_L1_20240131-171252_6,context_class_L1_20240131-171252_6,6G9f-7RF4,L1,l1pe,3,L
tch_H3_20240201-190951_95,class_H3_20240201-190951_95,Le93-6Trq,H3,h3pe,9,H
tch_L7_20240201-182440_46,class_L7_20240201-182440_46,CkWC-fL9i,L7,l7pe,3,L
tch_L1_20240105-151148_4,class_L1_20240105-151148_4,676p-Gefx,L1,l1pe,3,L
tch_L3_20240130-184533_29,class_L3_20240130-184533_29,7xvA-9cdL,L3,l3pe,7,L
tch_H2_20240131-171252_90,context_class_H2_20240131-171252_90,Fq78-VcJ6,H2,h2pe,17,H
tch_L8_20240130-184533_49,class_L8_20240130-184533_49,N7u6-U2hJ,L8,l8pe,4,L
tch_M4_20240102-154640_70,class_M4_20240102-154640_70,r6fk-e38t,M4,m4pe,13,M
tch_M3_20240130-184533_78,class_M3_20240130-184533_78,898Z-679g,M3,m3pe,5,M
tch_L1_20240130-202449_2,class_L1_20240130-202449_2,3QL4-t3sx,L1,l1pe,3,L
tch_L9_20240131-171252_64,context_class_L9_20240131-171252_64,Jp2M-gbQi,L9,l9pe,3,L
tch_L7_20240130-202449_46,class_L7_20240130-202449_46,7f2J-36q8,L7,l7pe,3,L
tch_L8_20240118-160029_101,class_L8_20240118-160029_101,Drfr-cHEV,L8,l8pe,4,L
tch_L3_20240131-174940_29,context_class_L3_20240131-174940_29,W8GX-8ajJ,L3,l3pe,7,L
tch_H1_20240130-202449_89,class_H1_20240130-202449_89,X7bX-h6Fe,H1,h1pe,7,H
tch_M3_20240131-174940_74,context_class_M3_20240131-174940_74,t7jB-Rcd3,M3,m3pe,5,M
tch_L2_20240201-190951_21,class_L2_20240201-190951_21,2T8G-8wqh,L2,l2pe,5,L
tch_L9_20240131-174940_62,context_class_L9_20240131-174940_62,Rvfi-L7fp,L9,l9pe,3,L
tch_H3_20240131-171252_92,context_class_H3_20240131-171252_92,6xeC-hWJv,H3,h3pe,9,H
tch_H3_20240130-184533_96,class_H3_20240130-184533_96,8a84-dUM8,H3,h3pe,9,H
tch_M1_20240201-182440_70,class_M1_20240201-182440_70,4Gw2-u2Qs,M1,m1pe,11,M
tch_L7_20240119-103128_55,class_L7_20240119-103128_55,QL63-RZ8R,L7,l7pe,3,L
tch_H1_20240131-171252_85,context_class_H1_20240131-171252_85,L4i7-2Ysk,H1,h1pe,7,H
tch_L7_20240119-113354_35,class_L7_20240119-113354_35,b7W9-Pchm,L7,l7pe,3,L
tch_M2_20240105-151148_56,class_M2_20240105-151148_56,x2bu-6pih,M2,m2pe,11,M
tch_L7_20240130-202449_47,class_L7_20240130-202449_47,P6X7-486o,L7,l7pe,3,L
tch_L1_20240105-183209_9,class_L1_20240105-183209_9,LzyU-c4JV,L1,l1pe,3,L
tch_L2_20240130-184533_19,class_L2_20240130-184533_19,V372-3V9K,L2,l2pe,5,L
tch_M5_20240130-184533_82,class_M5_20240130-184533_82,GJ2c-Gvko,M5,m5pe,4,M
tch_L8_20240120-145701_26,class_L8_20240120-145701_26,kC7a-7h4Z,L8,l8pe,4,L
tch_M4_20240201-190951_79,class_M4_20240201-190951_79,VFYc-t4b7,M4,m4pe,13,M
tch_L9_20240130-202449_63,class_L9_20240130-202449_63,Z23o-A7oy,L9,l9pe,3,L
tch_H1_20240131-171252_86,context_class_H1_20240131-171252_86,A2wZ-92yV,H1,h1pe,7,H
tch_L7_20240131-174940_40,context_class_L7_20240131-174940_40,Mto7-3sx3,L7,l7pe,3,L
tch_L9_20240131-171252_61,context_class_L9_20240131-171252_61,ixev-P92h,L9,l9pe,3,L
tch_L1_20240130-202449_9,class_L1_20240130-202449_9,g3RN-93Gm,L1,l1pe,3,L
