studentextuserid,firstname,classcode
std_1589259089655_478,200716_std_1589259089655_478,7Ndx-Udb7
std_1589259091660_479,200716_std_1589259091660_479,dFYf-2QC7
std_1589259093666_480,200716_std_1589259093666_480,yfv6-ipK2
std_1589259095671_481,200716_std_1589259095671_481,348T-zH97
std_1589259097676_482,200716_std_1589259097676_482,A28Z-3i6o
std_1589259099681_483,200716_std_1589259099681_483,ZpNL-NK2w
std_1589259101685_484,200716_std_1589259101685_484,Fy2v-jPc9
std_1589259103693_485,200716_std_1589259103693_485,TMNK-iDa8
std_1589259105697_486,200716_std_1589259105697_486,xKzn-9w38
std_1589259107702_487,200716_std_1589259107702_487,NB3m-T7Qn
std_1589259109706_488,200716_std_1589259109706_488,m89j-wt2f
std_1589259111712_489,200716_std_1589259111712_489,GBbW-bT38
std_1589259113715_490,200716_std_1589259113715_490,YN4U-Zd8X
std_1589259115720_491,200716_std_1589259115720_491,taWJ-Qc2N
std_1589259117726_492,200716_std_1589259117726_492,Fra3-mkYh
std_1589259119732_493,200716_std_1589259119732_493,qZFT-MDx6
std_1589259121735_494,200716_std_1589259121735_494,V28u-AnQE
std_1589259123740_495,200716_std_1589259123740_495,R34k-JHfk
std_1589259125767_496,200716_std_1589259125767_496,Yqzd-L7gp
std_1589259127771_497,200716_std_1589259127771_497,Nq2E-7v9Z
std_1589259129775_498,200716_std_1589259129775_498,tA2k-j6DH
std_1589259131780_499,200716_std_1589259131780_499,Xt72-kveA
std_1589259133785_500,200716_std_1589259133785_500,74Z4-7946
std_1589259135789_501,200716_std_1589259135789_501,YVi4-iZ6R
std_1589259137794_502,200716_std_1589259137794_502,vrut-Nu2L
std_1589259139800_503,200716_std_1589259139800_503,439a-rWvP
std_1589259141805_504,200716_std_1589259141805_504,8Y3d-rdxW
std_1589259143808_505,200716_std_1589259143808_505,nYyt-37be
std_1589259145812_506,200716_std_1589259145812_506,6wiC-nT98
std_1589259147818_507,200716_std_1589259147818_507,7a8h-BZMP
std_1589259149823_508,200716_std_1589259149823_508,CEaB-Z6Y4
std_1589259151826_509,200716_std_1589259151826_509,f392-Yc6Z
std_1589259153831_510,200716_std_1589259153831_510,JxTM-4v6m
std_1589259155836_511,200716_std_1589259155836_511,2Y7g-38JY
std_1589259157842_512,200716_std_1589259157842_512,DHiG-Xx4p
std_1589259159848_513,200716_std_1589259159848_513,Wnor-R74t
std_1589259161856_514,200716_std_1589259161856_514,87AY-vnuo
std_1589259163861_515,200716_std_1589259163861_515,Gjqk-vQpv
std_1589259165868_516,200716_std_1589259165868_516,fK6v-RJvo
std_1589259167875_517,200716_std_1589259167875_517,R97i-7mhr
std_1589259169880_518,200716_std_1589259169880_518,9kuq-2cTm
std_1589259171885_519,200716_std_1589259171885_519,Vtaw-rMZf
std_1589259173891_520,200716_std_1589259173891_520,fWhy-zQ6k
std_1589259175896_521,200716_std_1589259175896_521,rExW-Ut37
std_1589259177899_522,200716_std_1589259177899_522,qR4K-HBR4
std_1589259179904_523,200716_std_1589259179904_523,itap-g6mv
std_1589259181910_524,200716_std_1589259181910_524,D27j-WK7n
std_1589259183915_525,200716_std_1589259183915_525,7Egz-9aPe
std_1589259185920_526,200716_std_1589259185920_526,wiD6-pR83
std_1589259188231_527,200716_std_1589259188231_527,GUkx-yvC2
std_1589259190272_528,200716_std_1589259190272_528,83nm-yuVM
std_1589259192277_529,200716_std_1589259192277_529,mrvB-4sg9
std_1589259194281_530,200716_std_1589259194281_530,VXTA-Rzjo
std_1589259196286_531,200716_std_1589259196286_531,cR7B-e3br
std_1589259198291_532,200716_std_1589259198291_532,2c7w-KiNV
std_1589259200295_533,200716_std_1589259200295_533,gH6o-icjv
std_1589259202300_534,200716_std_1589259202300_534,iJgk-aU4X
std_1589259204306_535,200716_std_1589259204306_535,7C92-rCt2
std_1589259206311_536,200716_std_1589259206311_536,iFqz-uowT
std_1589259208314_537,200716_std_1589259208314_537,WuVx-Bma6
std_1589259210319_538,200716_std_1589259210319_538,2cy3-JpkM
std_1589259212324_539,200716_std_1589259212324_539,2eTm-ad9E
std_1589259214329_540,200716_std_1589259214329_540,r8bK-M6si
