teacher,classtitle,classcode
R-3_teacher_1018_20181123-133147_114,R-3_perf_class_20181123-133147_114,fidc-dQjf
R-3_teacher_1018_20181123-133147_115,R-3_perf_class_20181123-133147_115,893j-3ZU8
R-3_teacher_1018_20181123-133147_117,R-3_perf_class_20181123-133147_117,cdMi-Wgb2
R-3_teacher_1018_20181123-133147_119,R-3_perf_class_20181123-133147_119,9Zei-gZaN
R-3_teacher_1018_20181123-133147_118,R-3_perf_class_20181123-133147_118,iCET-ej62
R-3_teacher_1018_20181123-133147_116,R-3_perf_class_20181123-133147_116,Rj6d-4W8F
R-3_teacher_1018_20181123-133147_120,R-3_perf_class_20181123-133147_120,Ubjf-bahj
R-3_teacher_1018_20181123-133147_122,R-3_perf_class_20181123-133147_122,aDea-U4LT
R-3_teacher_1018_20181123-133147_121,R-3_perf_class_20181123-133147_121,7JYg-j8V2
R-3_teacher_1018_20181123-133147_123,R-3_perf_class_20181123-133147_123,fKXd-9g6G
R-3_teacher_1018_20181123-133147_125,R-3_perf_class_20181123-133147_125,9cJZ-ebhC
R-3_teacher_1018_20181123-133147_124,R-3_perf_class_20181123-133147_124,KJbV-Hca4
R-3_teacher_1018_20181123-133147_127,R-3_perf_class_20181123-133147_127,e7j7-e2N8
R-3_teacher_1018_20181123-133147_126,R-3_perf_class_20181123-133147_126,7bYD-Yg83
R-3_teacher_1018_20181123-133147_128,R-3_perf_class_20181123-133147_128,4iUc-d7WZ
R-3_teacher_1018_20181123-133147_130,R-3_perf_class_20181123-133147_130,PH7a-4age
R-3_teacher_1018_20181123-133147_129,R-3_perf_class_20181123-133147_129,a3Bg-eh3e
R-3_teacher_1018_20181123-133147_131,R-3_perf_class_20181123-133147_131,49h9-7gY7
R-3_teacher_1018_20181123-133147_132,R-3_perf_class_20181123-133147_132,2bMD-Ge29
R-3_teacher_1018_20181123-133147_133,R-3_perf_class_20181123-133147_133,2Mhd-6e9N
R-3_teacher_1018_20181123-133147_134,R-3_perf_class_20181123-133147_134,cA36-Y23g
R-3_teacher_1018_20181123-133147_135,R-3_perf_class_20181123-133147_135,4dM2-j4Ai
perf_teacher_1018_20181205-163115_1,perf_class_20181205-163115_1,feF8-Yh3c
perf_teacher_1018_20181205-163115_3,perf_class_20181205-163115_3,jH7d-LX4g
perf_teacher_1018_20181205-163115_2,perf_class_20181205-163115_2,eCNh-X9dC
perf_teacher_1018_20181205-163115_4,perf_class_20181205-163115_4,iNRB-d3g2
perf_teacher_1018_20181205-163115_5,perf_class_20181205-163115_5,jDhc-WUVW
perf_teacher_1018_20181205-163115_6,perf_class_20181205-163115_6,gMH4-FdW3
perf_teacher_1018_20181205-163115_7,perf_class_20181205-163115_7,bFJh-97Wj
perf_teacher_1018_20181205-163115_8,perf_class_20181205-163115_8,68PQ-734d
perf_teacher_1018_20181205-163115_9,perf_class_20181205-163115_9,YdGa-4i9j
perf_teacher_1018_20181205-163115_10,perf_class_20181205-163115_10,9JbB-2E9i
perf_teacher_1018_20181205-163115_11,perf_class_20181205-163115_11,9h28-cPJ3
perf_teacher_1018_20181205-163115_12,perf_class_20181205-163115_12,cefa-XeQB
perf_teacher_1018_20181205-163115_13,perf_class_20181205-163115_13,H32T-3T9g
perf_teacher_1018_20181205-163115_14,perf_class_20181205-163115_14,gN48-M4hV
perf_teacher_1018_20181205-163115_15,perf_class_20181205-163115_15,dT9L-a6Dd
perf_teacher_1018_20181205-163115_17,perf_class_20181205-163115_17,D4Q7-fZRT
perf_teacher_1018_20181205-163115_16,perf_class_20181205-163115_16,g8jD-TiLG
perf_teacher_1018_20181205-163115_18,perf_class_20181205-163115_18,NWge-TQ7P
perf_teacher_1018_20181205-163115_19,perf_class_20181205-163115_19,T67Y-fN67
perf_teacher_1018_20181205-163115_21,perf_class_20181205-163115_21,3hXj-4BTY
perf_teacher_1018_20181205-163115_20,perf_class_20181205-163115_20,Hd92-93jK
perf_teacher_1018_20181205-163115_22,perf_class_20181205-163115_22,e7h4-987H
perf_teacher_1018_20181205-163115_23,perf_class_20181205-163115_23,DLhg-4X7i
perf_teacher_1018_20181205-163115_24,perf_class_20181205-163115_24,fRPj-EVf8
perf_teacher_1018_20181205-163115_25,perf_class_20181205-163115_25,c6hd-9B38
