studentextuserjid,classcode,classid,invitationid,tch
s42_1594823632651_28,KMas-ykRC,12f828a2-c6a8-11ea-96b3-0242ac110002,95888a8c-020b-4ec9-96ab-c6ecd890e271,t42_20200715-194839_28
s42_1594823633152_20,e4By-Zny3,829ff3c0-c6a7-11ea-96b3-0242ac110002,e5781ae9-37bb-409f-886d-0a09120fa22f,t42_20200715-194839_20
s42_1594823630795_23,24T7-Ueyf,bca836fe-c6a7-11ea-af23-0242ac110002,4e454bd2-3594-4de9-a04f-beb68eec4fcb,t42_20200715-194839_23
s42_1594823629644_24,Zcxw-roqo,cbb6e38c-c6a7-11ea-96b3-0242ac110002,14993e02-fa75-47fe-9d9a-ffd5cbe1a57b,t42_20200715-194839_24
s42_1594823636566_22,pg4X-wtk3,a5401679-c6a7-11ea-acee-0242ac110002,fc074b96-f11e-40cc-95d7-e989b7dc92f5,t42_20200715-194839_22
s42_1594823633020_21,EUGd-YDq3,97479420-c6a7-11ea-acee-0242ac110002,4b51c8dc-9818-4109-91d6-12b6ae0eeb45,t42_20200715-194839_21
s42_1594823640244_25,sJk4-9UjR,e01aeb99-c6a7-11ea-89f8-0242ac110002,00b8794f-03c2-42a6-8610-bb2d8c57d58b,t42_20200715-194839_25
s42_1594823639596_26,ynMa-je9E,f046047a-c6a7-11ea-96b3-0242ac110002,79984ade-dd1b-48bb-aaa1-c9f29a2cbfed,t42_20200715-194839_26
s42_1594823642514_29,78HF-i86Z,28246394-c6a8-11ea-acee-0242ac110002,5627063f-4851-4bd4-9603-51d018831dd5,t42_20200715-194839_29
s42_1594823643373_28,KMas-ykRC,12f828a2-c6a8-11ea-96b3-0242ac110002,53275416-8bfb-4316-a56f-429c7e6755fc,t42_20200715-194839_28
s42_1594823639362_27,mw7k-CpHZ,fec51bbe-c6a7-11ea-af23-0242ac110002,64fef40d-2dfc-4187-a3e1-197bd3739ef3,t42_20200715-194839_27
s42_1594823646536_23,24T7-Ueyf,bca836fe-c6a7-11ea-af23-0242ac110002,03002688-49ab-41aa-b047-ee4f6af1834e,t42_20200715-194839_23
s42_1594823646780_24,Zcxw-roqo,cbb6e38c-c6a7-11ea-96b3-0242ac110002,4d2bc0d3-99db-46fd-ae29-f7d6ad9072d9,t42_20200715-194839_24
s42_1594823646924_22,pg4X-wtk3,a5401679-c6a7-11ea-acee-0242ac110002,f71478c6-e6e3-4565-aaeb-f157baede6c7,t42_20200715-194839_22
s42_1594823653039_26,ynMa-je9E,f046047a-c6a7-11ea-96b3-0242ac110002,ab547c70-cc90-46f9-b289-91a834d745df,t42_20200715-194839_26
s42_1594823654156_28,KMas-ykRC,12f828a2-c6a8-11ea-96b3-0242ac110002,bf502e71-a43b-4e71-9278-1b6e06987da8,t42_20200715-194839_28
s42_1594823648680_21,EUGd-YDq3,97479420-c6a7-11ea-acee-0242ac110002,6db23202-d5af-42bd-bf44-5bccfb107d9c,t42_20200715-194839_21
s42_1594823651967_25,sJk4-9UjR,e01aeb99-c6a7-11ea-89f8-0242ac110002,af2b1bcf-36dd-47e8-8ca1-5ebe264eae78,t42_20200715-194839_25
s42_1594823653578_29,78HF-i86Z,28246394-c6a8-11ea-acee-0242ac110002,956c91ab-7151-493a-95fa-9b3fc10d5235,t42_20200715-194839_29
s42_1594823659251_30,J34J-DZyp,3491d82e-c6a8-11ea-96b3-0242ac110002,0b2f9e09-532b-47c8-9ae6-de2ed69d30df,t42_20200715-194839_30
s42_1594823655767_27,mw7k-CpHZ,fec51bbe-c6a7-11ea-af23-0242ac110002,60f2d641-c8bf-4648-afc3-c049f63785fd,t42_20200715-194839_27
s42_1594823661809_22,pg4X-wtk3,a5401679-c6a7-11ea-acee-0242ac110002,ce44ce17-d4b8-417e-976c-223ab4a432cb,t42_20200715-194839_22
s42_1594823660220_23,24T7-Ueyf,bca836fe-c6a7-11ea-af23-0242ac110002,21e57193-f985-4519-b227-f68738b7c26a,t42_20200715-194839_23
s42_1594823664780_28,KMas-ykRC,12f828a2-c6a8-11ea-96b3-0242ac110002,7d74c98c-d08c-4d31-91e7-fc3037196f98,t42_20200715-194839_28
s42_1594823664424_26,ynMa-je9E,f046047a-c6a7-11ea-96b3-0242ac110002,916f67a4-410c-47d2-a4c9-d95e826e3da0,t42_20200715-194839_26
s42_1594823665157_21,EUGd-YDq3,97479420-c6a7-11ea-acee-0242ac110002,ff9da5b6-095b-4ae7-bec1-54a7d4a09b7a,t42_20200715-194839_21
s42_1594823661082_24,Zcxw-roqo,cbb6e38c-c6a7-11ea-96b3-0242ac110002,923ce646-c3fb-4511-875f-5b2cc2139708,t42_20200715-194839_24
s42_1594823667052_25,sJk4-9UjR,e01aeb99-c6a7-11ea-89f8-0242ac110002,aff0b346-9d5e-4f1c-a798-181ac72c4ac8,t42_20200715-194839_25
s42_1594823667607_29,78HF-i86Z,28246394-c6a8-11ea-acee-0242ac110002,3e36f670-36b7-4337-8776-c30ec3ca85e7,t42_20200715-194839_29
s42_1594823670806_30,J34J-DZyp,3491d82e-c6a8-11ea-96b3-0242ac110002,ee36ed61-d537-4a30-af4f-3ee1a5b02ca7,t42_20200715-194839_30
s42_1594823674394_22,pg4X-wtk3,a5401679-c6a7-11ea-acee-0242ac110002,e75da7bc-a01a-467e-98b7-eda339f64718,t42_20200715-194839_22
s42_1594823674996_23,24T7-Ueyf,bca836fe-c6a7-11ea-af23-0242ac110002,693a411e-56f6-45c1-a269-2b1ae454698b,t42_20200715-194839_23
s42_1594823672954_27,mw7k-CpHZ,fec51bbe-c6a7-11ea-af23-0242ac110002,bd767729-5e42-42f0-8de7-98b40e95b176,t42_20200715-194839_27
s42_1594823678499_21,EUGd-YDq3,97479420-c6a7-11ea-acee-0242ac110002,4ddb57f9-ccd5-4fca-8c33-1b7127fffc1f,t42_20200715-194839_21
s42_1594823681283_29,78HF-i86Z,28246394-c6a8-11ea-acee-0242ac110002,88294e7f-cbaa-4a8c-8866-ca741963a3e4,t42_20200715-194839_29
s42_1594823676878_28,KMas-ykRC,12f828a2-c6a8-11ea-96b3-0242ac110002,4e06a3e0-bc0d-4b41-bee7-901a601c0135,t42_20200715-194839_28
s42_1594823682689_30,J34J-DZyp,3491d82e-c6a8-11ea-96b3-0242ac110002,fc445f28-84fb-4327-baeb-20832e718462,t42_20200715-194839_30
s42_1594823680780_25,sJk4-9UjR,e01aeb99-c6a7-11ea-89f8-0242ac110002,e4ce4728-35b6-4099-9370-8d0087e275dc,t42_20200715-194839_25
s42_1594823678161_26,ynMa-je9E,f046047a-c6a7-11ea-96b3-0242ac110002,319c9a51-4711-4c26-86e8-5c3830854a28,t42_20200715-194839_26
s42_1594823678675_24,Zcxw-roqo,cbb6e38c-c6a7-11ea-96b3-0242ac110002,d1c3b3c7-bb59-478e-b1ff-8b9283953b14,t42_20200715-194839_24
s42_1594823690560_23,24T7-Ueyf,bca836fe-c6a7-11ea-af23-0242ac110002,737d19e7-1981-4754-9b4a-73aec22a51e7,t42_20200715-194839_23
s42_1594823690678_27,mw7k-CpHZ,fec51bbe-c6a7-11ea-af23-0242ac110002,9831126a-01b8-4783-a2e0-fdb14a59ba16,t42_20200715-194839_27
s42_1594823692360_29,78HF-i86Z,28246394-c6a8-11ea-acee-0242ac110002,7ded05c1-19b6-4391-8ec4-b69643bf841c,t42_20200715-194839_29
s42_1594823692681_28,KMas-ykRC,12f828a2-c6a8-11ea-96b3-0242ac110002,d986fd13-17dd-4aaf-a092-43c298ffe481,t42_20200715-194839_28
s42_1594823694820_25,sJk4-9UjR,e01aeb99-c6a7-11ea-89f8-0242ac110002,04207553-b92c-4aa9-9f57-21477ced48eb,t42_20200715-194839_25
s42_1594823695731_26,ynMa-je9E,f046047a-c6a7-11ea-96b3-0242ac110002,ff7a23c3-63df-4ded-b666-fa53461e14ab,t42_20200715-194839_26
s42_1594823694840_31,FvRG-n637,48784c41-c6a8-11ea-89f8-0242ac110002,e0fa6b18-06b1-4eeb-b7eb-32c8cc27d84d,t42_20200715-194839_31
s42_1594823693957_30,J34J-DZyp,3491d82e-c6a8-11ea-96b3-0242ac110002,21517f77-3353-4527-8382-cdd5cf89c8ed,t42_20200715-194839_30
s42_1594823696708_24,Zcxw-roqo,cbb6e38c-c6a7-11ea-96b3-0242ac110002,910f6cce-b5b0-4871-bdec-0530d68fd6d2,t42_20200715-194839_24
s42_1594823705988_29,78HF-i86Z,28246394-c6a8-11ea-acee-0242ac110002,48b27944-9622-441b-84e5-52b3c8c53740,t42_20200715-194839_29
s42_1594823708089_28,KMas-ykRC,12f828a2-c6a8-11ea-96b3-0242ac110002,b07f89b4-1f3e-49b3-b6d9-5c02a1a4f441,t42_20200715-194839_28
s42_1594823702487_23,24T7-Ueyf,bca836fe-c6a7-11ea-af23-0242ac110002,627c1e0c-f5a4-441f-9e65-f59c20805959,t42_20200715-194839_23
s42_1594823704808_27,mw7k-CpHZ,fec51bbe-c6a7-11ea-af23-0242ac110002,0dc01b6c-9ec1-4be8-a945-25cf5048d597,t42_20200715-194839_27
s42_1594823708154_25,sJk4-9UjR,e01aeb99-c6a7-11ea-89f8-0242ac110002,7a380ca7-55c8-4316-b805-a784eca8fc0f,t42_20200715-194839_25
s42_1594823711412_31,FvRG-n637,48784c41-c6a8-11ea-89f8-0242ac110002,22100327-6b35-4cce-98fa-6b21a68bba72,t42_20200715-194839_31
s42_1594823711619_30,J34J-DZyp,3491d82e-c6a8-11ea-96b3-0242ac110002,3800d1a6-9121-491f-8a24-8ca627e934a4,t42_20200715-194839_30
s42_1594823712466_24,Zcxw-roqo,cbb6e38c-c6a7-11ea-96b3-0242ac110002,b481ab36-0705-4b98-845b-37627fbff585,t42_20200715-194839_24
s42_1594823711210_26,ynMa-je9E,f046047a-c6a7-11ea-96b3-0242ac110002,214fcfbb-5d2b-4b26-b941-e8b6b442839d,t42_20200715-194839_26
s42_1594823717125_32,PupB-y6vP,595cf140-c6a8-11ea-af23-0242ac110002,46cd4adb-c6f5-4ba5-b364-7396a77bcba4,t42_20200715-194839_32
s42_1594823719077_28,KMas-ykRC,12f828a2-c6a8-11ea-96b3-0242ac110002,37cec364-4ed9-43b5-93f5-18b1b1d9f149,t42_20200715-194839_28
s42_1594823718908_29,78HF-i86Z,28246394-c6a8-11ea-acee-0242ac110002,ab1eef58-314b-416e-bd97-8b3f6f6ed529,t42_20200715-194839_29
s42_1594823719176_23,24T7-Ueyf,bca836fe-c6a7-11ea-af23-0242ac110002,a5b64996-9c7c-4d70-9205-769bc13ab7d8,t42_20200715-194839_23
s42_1594823722641_31,FvRG-n637,48784c41-c6a8-11ea-89f8-0242ac110002,32b689e5-621e-44fe-ba13-f4946fcf1889,t42_20200715-194839_31
s42_1594823725960_30,J34J-DZyp,3491d82e-c6a8-11ea-96b3-0242ac110002,eb7ff0b4-ac50-4ab7-9732-d86ebdd82bc2,t42_20200715-194839_30
s42_1594823720193_27,mw7k-CpHZ,fec51bbe-c6a7-11ea-af23-0242ac110002,f1812bf7-82a0-414c-8567-79e59e728280,t42_20200715-194839_27
s42_1594823728566_26,ynMa-je9E,f046047a-c6a7-11ea-96b3-0242ac110002,30d5404c-62cc-49bb-844b-d38c128d5327,t42_20200715-194839_26
s42_1594823722405_25,sJk4-9UjR,e01aeb99-c6a7-11ea-89f8-0242ac110002,2f0e10a5-52dd-4fe3-ae34-fba4c613f63c,t42_20200715-194839_25
s42_1594823726491_24,Zcxw-roqo,cbb6e38c-c6a7-11ea-96b3-0242ac110002,98149c9a-8267-4712-8e3b-2447096ac5a3,t42_20200715-194839_24
s42_1594823731906_32,PupB-y6vP,595cf140-c6a8-11ea-af23-0242ac110002,2da32e79-16a2-4ecf-8a3b-47b452c1190b,t42_20200715-194839_32
s42_1594823735959_30,J34J-DZyp,3491d82e-c6a8-11ea-96b3-0242ac110002,69ad8b6e-b7e8-412b-bed7-7613bf2e0ba5,t42_20200715-194839_30
s42_1594823735820_23,24T7-Ueyf,bca836fe-c6a7-11ea-af23-0242ac110002,486aefc2-b5b3-4e66-b787-5a54799d25be,t42_20200715-194839_23
s42_1594823731913_28,KMas-ykRC,12f828a2-c6a8-11ea-96b3-0242ac110002,18ef1b9e-3d1f-4bdc-b236-122c467dae5e,t42_20200715-194839_28
s42_1594823735860_31,FvRG-n637,48784c41-c6a8-11ea-89f8-0242ac110002,82441ea3-c03e-47a6-b0e5-dfb1514c62be,t42_20200715-194839_31
s42_1594823735289_29,78HF-i86Z,28246394-c6a8-11ea-acee-0242ac110002,f5e2a44a-6890-4a5e-9071-eaf751fb6dcb,t42_20200715-194839_29
s42_1594823739311_25,sJk4-9UjR,e01aeb99-c6a7-11ea-89f8-0242ac110002,1d03dc8e-0d9e-4c35-baf4-0ac8837af93d,t42_20200715-194839_25
s42_1594823739154_26,ynMa-je9E,f046047a-c6a7-11ea-96b3-0242ac110002,0ad73b0b-466f-4742-9892-373a6108f4a5,t42_20200715-194839_26
s42_1594823736350_27,mw7k-CpHZ,fec51bbe-c6a7-11ea-af23-0242ac110002,e5a614ce-77bd-43d7-bbee-c3e11862b5d2,t42_20200715-194839_27
s42_1594823746353_32,PupB-y6vP,595cf140-c6a8-11ea-af23-0242ac110002,389ed559-67a0-4fa5-897e-65585d4f157f,t42_20200715-194839_32
s42_1594823746364_30,J34J-DZyp,3491d82e-c6a8-11ea-96b3-0242ac110002,ad8c2e3d-04c7-4bb8-b9ec-74b3df8147bf,t42_20200715-194839_30
s42_1594823746944_23,24T7-Ueyf,bca836fe-c6a7-11ea-af23-0242ac110002,7956ab50-d0bc-4526-9c05-41dd73964f3b,t42_20200715-194839_23
s42_1594823748594_29,78HF-i86Z,28246394-c6a8-11ea-acee-0242ac110002,2618f49a-8fd8-4884-9ec8-ae49ca7a4c82,t42_20200715-194839_29
s42_1594823743962_24,Zcxw-roqo,cbb6e38c-c6a7-11ea-96b3-0242ac110002,a2147b57-2339-4153-86fa-ba54d5c87d6a,t42_20200715-194839_24
s42_1594823749917_26,ynMa-je9E,f046047a-c6a7-11ea-96b3-0242ac110002,9fc166a6-4fd4-4080-97ef-b9b53409a7e6,t42_20200715-194839_26
s42_1594823749749_25,sJk4-9UjR,e01aeb99-c6a7-11ea-89f8-0242ac110002,8c576592-0c66-4ef4-bc60-5bd26e110e8d,t42_20200715-194839_25
s42_1594823750659_27,mw7k-CpHZ,fec51bbe-c6a7-11ea-af23-0242ac110002,eb5c7763-5e01-41e0-8190-412a5db1e7b7,t42_20200715-194839_27
s42_1594823748395_31,FvRG-n637,48784c41-c6a8-11ea-89f8-0242ac110002,283ec156-1e88-4852-a470-5a2d2ac5d418,t42_20200715-194839_31
s42_1594823748097_28,KMas-ykRC,12f828a2-c6a8-11ea-96b3-0242ac110002,44537abd-58e8-4221-a2f1-bde5a00f4436,t42_20200715-194839_28
s42_1594823760509_26,ynMa-je9E,f046047a-c6a7-11ea-96b3-0242ac110002,b1127607-8c19-4381-b687-c6929a113a3e,t42_20200715-194839_26
s42_1594823759539_29,78HF-i86Z,28246394-c6a8-11ea-acee-0242ac110002,e42b3d11-70b5-4a0d-82ce-6a8896c0a032,t42_20200715-194839_29
s42_1594823758454_30,J34J-DZyp,3491d82e-c6a8-11ea-96b3-0242ac110002,103dc0c6-bc6f-4752-ae41-7cf0c46df65c,t42_20200715-194839_30
s42_1594823762131_27,mw7k-CpHZ,fec51bbe-c6a7-11ea-af23-0242ac110002,d8f34620-f892-4979-be85-904d85e899d5,t42_20200715-194839_27
s42_1594823758393_32,PupB-y6vP,595cf140-c6a8-11ea-af23-0242ac110002,a5373f2e-478a-4e09-8e1d-421a9ac3d9a7,t42_20200715-194839_32
s42_1594823761716_25,sJk4-9UjR,e01aeb99-c6a7-11ea-89f8-0242ac110002,53e5f276-d3cf-400e-9cea-1dfb227f0cba,t42_20200715-194839_25
s42_1594823760293_24,Zcxw-roqo,cbb6e38c-c6a7-11ea-96b3-0242ac110002,0cccbe72-4e48-447e-a769-b59009c607fb,t42_20200715-194839_24
s42_1594823760093_33,p6r6-b3sa,6e4989f2-c6a8-11ea-acee-0242ac110002,59cec9dd-a82f-489b-adf8-fc947a297145,t42_20200715-194839_33
s42_1594823765354_28,KMas-ykRC,12f828a2-c6a8-11ea-96b3-0242ac110002,5b7a74a4-3d53-424b-98a8-0c6c03644a32,t42_20200715-194839_28
s42_1594823764225_31,FvRG-n637,48784c41-c6a8-11ea-89f8-0242ac110002,6712a886-d4ed-4770-a60e-6bfbcd01879e,t42_20200715-194839_31
s42_1594823772911_29,78HF-i86Z,28246394-c6a8-11ea-acee-0242ac110002,b1eb5e33-7dc5-4e24-9c7a-79afe94cc114,t42_20200715-194839_29
