studentextuserid,firstname,classcode
std_1589258848718_358,200716_std_1589258848718_358,Z4DK-d62r
std_1589258850734_359,200716_std_1589258850734_359,93U8-38df
std_1589258852743_360,200716_std_1589258852743_360,78Hc-W3Z9
std_1589258854751_361,200716_std_1589258854751_361,6Ua7-ubhE
std_1589258856755_362,200716_std_1589258856755_362,Jdj4-F87b
std_1589258858775_363,200716_std_1589258858775_363,2w8i-2y27
std_1589258860783_364,200716_std_1589258860783_364,3Zo4-GCrN
std_1589258862787_365,200716_std_1589258862787_365,jP9Y-zU4u
std_1589258864792_366,200716_std_1589258864792_366,7Bi4-E3Wp
std_1589258866796_367,200716_std_1589258866796_367,fBZn-DyP9
std_1589258868802_368,200716_std_1589258868802_368,M272-363X
std_1589258870805_369,200716_std_1589258870805_369,8HQe-h63n
std_1589258872823_370,200716_std_1589258872823_370,BxW4-u4ha
std_1589258874838_371,200716_std_1589258874838_371,p9N8-CiVr
std_1589258876845_372,200716_std_1589258876845_372,3979-HF6c
std_1589258878854_373,200716_std_1589258878854_373,w6hd-9m68
std_1589258880860_374,200716_std_1589258880860_374,9b97-zXtJ
std_1589258882889_375,200716_std_1589258882889_375,4PDv-w38y
std_1589258884894_376,200716_std_1589258884894_376,FG8w-Wsof
std_1589258886900_377,200716_std_1589258886900_377,fXpk-n6TY
std_1589258888904_378,200716_std_1589258888904_378,duL2-Y6fa
std_1589258890909_379,200716_std_1589258890909_379,h4rc-Pr7V
std_1589258892915_380,200716_std_1589258892915_380,n6dc-DCyU
std_1589258894920_381,200716_std_1589258894920_381,R92f-N6kH
std_1589258896926_382,200716_std_1589258896926_382,H83p-2tv6
std_1589258898931_383,200716_std_1589258898931_383,r8q6-N964
std_1589258900993_384,200716_std_1589258900993_384,mf4j-9q6X
std_1589258903004_385,200716_std_1589258903004_385,sLQZ-cxXj
std_1589258905010_386,200716_std_1589258905010_386,xKnK-Lwd8
std_1589258907021_387,200716_std_1589258907021_387,wyMm-w4sb
std_1589258909027_388,200716_std_1589258909027_388,da78-9iJ6
std_1589258911058_389,200716_std_1589258911058_389,n6xd-qjTp
std_1589258913063_390,200716_std_1589258913063_390,GP2u-4aK7
std_1589258915068_391,200716_std_1589258915068_391,236p-x4TP
std_1589258917087_392,200716_std_1589258917087_392,6KeL-4V7N
std_1589258919093_393,200716_std_1589258919093_393,iMtZ-XqdR
std_1589258921112_394,200716_std_1589258921112_394,MkTJ-mpMa
std_1589258923133_395,200716_std_1589258923133_395,cA4g-H28Q
std_1589258925137_396,200716_std_1589258925137_396,QRkj-X47M
std_1589258927143_397,200716_std_1589258927143_397,R4rp-Poyo
std_1589258929149_398,200716_std_1589258929149_398,3Uuz-7Fui
std_1589258931152_399,200716_std_1589258931152_399,NYLp-Y32Z
std_1589258933157_400,200716_std_1589258933157_400,xg2U-6kVX
std_1589258935167_401,200716_std_1589258935167_401,7hHU-3nC8
std_1589258937183_402,200716_std_1589258937183_402,F6RC-duYr
std_1589258939186_403,200716_std_1589258939186_403,mj6Q-tx6h
std_1589258941190_404,200716_std_1589258941190_404,bTKp-iTVH
std_1589258943196_405,200716_std_1589258943196_405,VfDK-278H
std_1589258945201_406,200716_std_1589258945201_406,TgZF-93Rf
std_1589258947204_407,200716_std_1589258947204_407,hZtJ-H82n
std_1589258949210_408,200716_std_1589258949210_408,Kry9-7P4p
std_1589258951215_409,200716_std_1589258951215_409,9ny7-sh2N
std_1589258953220_410,200716_std_1589258953220_410,hebs-3T6j
std_1589258955225_411,200716_std_1589258955225_411,4D3W-6B9Y
std_1589258957230_412,200716_std_1589258957230_412,TKv4-WUm7
std_1589258959252_413,200716_std_1589258959252_413,86h6-Trwg
std_1589258961261_414,200716_std_1589258961261_414,69Bx-9RNc
