tchextid,repeatcount,page
Perf_teacher_20210323-195327_10,1,60
Perf_teacher_20210323-195327_12,1,60
Perf_teacher_20210323-195327_13,1,60
Perf_teacher_20210323-195327_14,1,60
Perf_teacher_20210323-195327_15,1,60
Perf_teacher_20210323-195327_16,1,60
Perf_teacher_20210323-195327_17,1,60
Perf_teacher_20210323-195327_18,1,60
Perf_teacher_20210323-195327_19,1,60
Perf_teacher_20210323-195327_20,1,60
Perf_teacher_20210323-195327_21,1,60
Perf_teacher_20210323-195327_22,1,60
Perf_teacher_20210323-195327_23,1,60
Perf_teacher_20210323-195327_24,1,60
Perf_teacher_20210323-195327_25,1,60
Perf_teacher_20210323-195327_26,1,60
Perf_teacher_20210323-195327_27,1,60
Perf_teacher_20210323-195327_28,1,60
Perf_teacher_20210323-195327_29,1,60
Perf_teacher_20210323-195327_30,1,60
Perf_teacher_20210323-195327_32,1,60
Perf_teacher_20210323-195327_31,1,60
Perf_teacher_20210323-195327_33,1,60
Perf_teacher_20210323-195327_34,1,60
Perf_teacher_20210323-195327_35,1,60
Perf_teacher_20210323-195327_36,1,60
Perf_teacher_20210323-195327_37,1,60
Perf_teacher_20210323-195327_38,1,60
Perf_teacher_20210323-195327_39,1,60
Perf_teacher_20210323-195327_40,1,60
Perf_teacher_20210323-195327_41,1,60
Perf_teacher_20210323-195327_42,1,60
Perf_teacher_20210323-195327_43,1,60
Perf_teacher_20210323-195327_44,1,60
Perf_teacher_20210323-195327_45,1,60
Perf_teacher_20210323-195327_46,1,60
Perf_teacher_20210323-195327_47,1,60
Perf_teacher_20210323-195327_48,1,60
Perf_teacher_20210323-195327_49,1,60
Perf_teacher_20210323-195327_50,1,60
Perf_teacher_20210323-195327_51,1,60
Perf_teacher_20210323-195327_52,1,60
Perf_teacher_20210323-195327_53,1,60
Perf_teacher_20210323-195327_54,1,60
Perf_teacher_20210323-195327_56,1,60
Perf_teacher_20210323-195327_55,1,60
Perf_teacher_20210323-195327_62,1,60
Perf_teacher_20210323-195327_63,1,60
Perf_teacher_20210323-195327_64,1,60
Perf_teacher_20210323-195327_65,1,60
Perf_teacher_20210323-195327_66,1,60
Perf_teacher_20210323-195327_67,1,60
Perf_teacher_20210323-195327_68,1,60
Perf_teacher_20210323-195327_69,1,60
Perf_teacher_20210323-195327_70,1,60
Perf_teacher_20210323-195327_71,1,60
Perf_teacher_20210323-195327_72,1,60
Perf_teacher_20210323-195327_73,1,60
Perf_teacher_20210323-195327_74,1,60
Perf_teacher_20210323-195327_75,1,60
Perf_teacher_20210323-195327_76,1,60
Perf_teacher_20210323-195327_77,1,60
Perf_teacher_20210323-195327_78,1,60
Perf_teacher_20210323-195327_79,1,60
Perf_teacher_20210323-195327_80,1,60
Perf_teacher_20210323-195327_81,1,60
Perf_teacher_20210323-195327_82,1,60
Perf_teacher_20210323-195327_83,1,60
Perf_teacher_20210323-195327_84,1,60
Perf_teacher_20210323-195327_85,1,60
Perf_teacher_20210323-195327_86,1,60
Perf_teacher_20210323-195327_87,1,60
Perf_teacher_20210323-195327_89,1,60
Perf_teacher_20210323-195327_88,1,60
Perf_teacher_20210323-195327_90,1,60
Perf_teacher_20210323-195327_91,1,60
Perf_teacher_20210323-195327_92,1,60
Perf_teacher_20210323-195327_93,1,60
Perf_teacher_20210323-195327_94,1,60
Perf_teacher_20210323-195327_96,1,60
Perf_teacher_20210323-195327_95,1,60
Perf_teacher_20210323-195327_97,1,60
Perf_teacher_20210323-195327_98,1,60
Perf_teacher_20210323-195327_99,1,60
Perf_teacher_20210323-195327_100,1,60
Perf_teacher_20210323-194128_1,1,60
Perf_teacher_20210323-194128_2,1,60
Perf_teacher_20210323-194128_3,1,60
Perf_teacher_20210323-194128_4,1,60
Perf_teacher_20210323-194128_5,1,60
Perf_teacher_20210323-194128_6,1,60
Perf_teacher_20210323-194128_7,1,60
Perf_teacher_20210323-194128_8,1,60
Perf_teacher_20210323-194128_10,1,60
Perf_teacher_20210323-194128_9,1,60
Perf_teacher_20210323-194128_11,1,60
Perf_teacher_20210323-194128_12,1,60
Perf_teacher_20210323-194128_13,1,60
Perf_teacher_20210323-194128_14,1,60
Perf_teacher_20210323-194128_15,1,60
Perf_teacher_20210323-194128_16,1,60
Perf_teacher_20210323-194128_17,1,60
Perf_teacher_20210323-194128_19,1,60
Perf_teacher_20210323-194128_18,1,60
Perf_teacher_20210323-194128_20,1,60
Perf_teacher_20210323-194128_22,1,60
Perf_teacher_20210323-194128_21,1,60
Perf_teacher_20210323-194128_23,1,60
Perf_teacher_20210323-194128_25,1,60
Perf_teacher_20210323-194128_24,1,60
Perf_teacher_20210323-194128_26,1,60
Perf_teacher_20210323-194128_27,1,60
Perf_teacher_20210323-194128_28,1,60
Perf_teacher_20210323-194128_29,1,60
Perf_teacher_20210323-194128_30,1,60
Perf_teacher_20210323-194128_31,1,60
Perf_teacher_20210323-194128_33,1,60
Perf_teacher_20210323-194128_32,1,60
Perf_teacher_20210323-194128_34,1,60
Perf_teacher_20210323-194128_35,1,60
Perf_teacher_20210323-194128_36,1,60
Perf_teacher_20210323-194128_37,1,60
Perf_teacher_20210323-194128_38,1,60
Perf_teacher_20210323-194128_39,1,60
Perf_teacher_20210323-194128_40,1,60
Perf_teacher_20210323-194128_41,1,60
Perf_teacher_20210323-194128_42,1,60
Perf_teacher_20210323-194128_43,1,60
Perf_teacher_20210323-194128_44,1,60
Perf_teacher_20210323-194128_46,1,60
Perf_teacher_20210323-194128_45,1,60
Perf_teacher_20210323-194128_47,1,60
Perf_teacher_20210323-194128_48,1,60
Perf_teacher_20210323-194128_49,1,60
Perf_teacher_20210323-194128_50,1,60
Perf_teacher_20210323-194128_51,1,60
Perf_teacher_20210323-194128_52,1,60
Perf_teacher_20210323-194128_53,1,60
Perf_teacher_20210323-194128_54,1,60
Perf_teacher_20210323-194128_55,1,60
Perf_teacher_20210323-194128_56,1,60
Perf_teacher_20210323-194128_57,1,60
Perf_teacher_20210323-194128_58,1,60
Perf_teacher_20210323-194128_59,1,60
Perf_teacher_20210323-194128_60,1,60
Perf_teacher_20210323-194128_61,1,60
Perf_teacher_20210323-194128_62,1,60
Perf_teacher_20210323-194128_63,1,60
Perf_teacher_20210323-194128_65,1,60
Perf_teacher_20210323-194128_64,1,60
Perf_teacher_20210323-194128_66,1,60
Perf_teacher_20210323-194128_67,1,60
Perf_teacher_20210323-194128_68,1,60
Perf_teacher_20210323-194128_69,1,60
Perf_teacher_20210323-194128_70,1,60
Perf_teacher_20210323-194128_71,1,60
Perf_teacher_20210323-194128_72,1,60
Perf_teacher_20210323-194128_73,1,60
Perf_teacher_20210323-194128_74,1,60
Perf_teacher_20210323-194128_75,1,60
Perf_teacher_20210323-194128_76,1,60
Perf_teacher_20210323-194128_77,1,60
Perf_teacher_20210323-194128_78,1,60
Perf_teacher_20210323-194128_79,1,60
Perf_teacher_20210323-194128_80,1,60
Perf_teacher_20210323-194128_81,1,60
Perf_teacher_20210323-194128_82,1,60
Perf_teacher_20210323-194128_83,1,60
Perf_teacher_20210323-194128_84,1,60
Perf_teacher_20210323-194128_86,1,60
Perf_teacher_20210323-194128_85,1,60
Perf_teacher_20210323-194128_87,1,60
Perf_teacher_20210323-194128_88,1,60
Perf_teacher_20210323-194128_89,1,60
Perf_teacher_20210323-194128_90,1,60
Perf_teacher_20210323-194128_91,1,60
Perf_teacher_20210323-194128_93,1,60
Perf_teacher_20210323-194128_92,1,60
Perf_teacher_20210323-194128_94,1,60
Perf_teacher_20210323-194128_95,1,60
Perf_teacher_20210323-194128_96,1,60
Perf_teacher_20210323-194128_97,1,60
Perf_teacher_20210323-194128_98,1,60
Perf_teacher_20210323-194128_99,1,60
Perf_teacher_20210323-194128_100,1,60
tch_20210323-225423_1,1,60
tch_20210323-225423_2,1,60
tch_20210323-225423_3,1,60
tch_20210323-225423_4,1,60
tch_20210323-225423_5,1,60
tch_20210323-225423_6,1,60
tch_20210323-225423_7,1,60
tch_20210323-225423_8,1,60
tch_20210323-225423_9,1,60
tch_20210323-225423_10,1,60
tch_20210323-225423_11,1,60
tch_20210323-225423_12,1,60
tch_20210323-225423_13,1,60
tch_20210323-225423_14,1,60
tch_20210323-225423_15,1,60
tch_20210323-225423_16,1,60
tch_20210323-225423_17,1,60
tch_20210323-225423_18,1,60
tch_20210323-225423_19,1,60
tch_20210323-225423_21,1,60
tch_20210323-225423_20,1,60
tch_20210323-225423_22,1,60
tch_20210323-225423_23,1,60
tch_20210323-225423_24,1,60
tch_20210323-225423_25,1,60
tch_20210323-225423_26,1,60
tch_20210323-225423_27,1,60
tch_20210323-225423_28,1,60
tch_20210323-225423_30,1,60
tch_20210323-225423_29,1,60
tch_20210323-225423_31,1,60
tch_20210323-225423_32,1,60
tch_20210323-225423_34,1,60
tch_20210323-225423_33,1,60
tch_20210323-225423_36,1,60
tch_20210323-225423_35,1,60
tch_20210323-225423_37,1,60
tch_20210323-225423_39,1,60
tch_20210323-225423_38,1,60
tch_20210323-225423_40,1,60
tch_20210323-225423_41,1,60
tch_20210323-225423_43,1,60
tch_20210323-225423_42,1,60
tch_20210323-225423_45,1,60
tch_20210323-225423_44,1,60
tch_20210323-225423_47,1,60
tch_20210323-225423_46,1,60
tch_20210323-225423_48,1,60
tch_20210323-225423_49,1,60
tch_20210323-225423_51,1,60
tch_20210323-225423_50,1,60
tch_20210323-225423_52,1,60
tch_20210323-225423_53,1,60
tch_20210323-225423_54,1,60
tch_20210323-225423_56,1,60
tch_20210323-225423_55,1,60
tch_20210323-225423_57,1,60
tch_20210323-225423_58,1,60
tch_20210323-225423_59,1,60
tch_20210323-225423_60,1,60
tch_20210323-225423_62,1,60
tch_20210323-225423_61,1,60
tch_20210323-225423_63,1,60
tch_20210323-225423_64,1,60
tch_20210323-225423_65,1,60
tch_20210323-225423_66,1,60
tch_20210323-225423_67,1,60
tch_20210323-225423_69,1,60
tch_20210323-225423_68,1,60
tch_20210323-225423_70,1,60
tch_20210323-225423_71,1,60
tch_20210323-225423_72,1,60
tch_20210323-225423_73,1,60
tch_20210323-225423_74,1,60
tch_20210323-225423_75,1,60
tch_20210323-225423_76,1,60
tch_20210323-225423_77,1,60
tch_20210323-225423_79,1,60
tch_20210323-225423_78,1,60
tch_20210323-225423_81,1,60
tch_20210323-225423_80,1,60
tch_20210323-225423_82,1,60
tch_20210323-225423_83,1,60
tch_20210323-225423_84,1,60
tch_20210323-225423_85,1,60
tch_20210323-225423_86,1,60
tch_20210323-225423_87,1,60
tch_20210323-225423_88,1,60
tch_20210323-225423_89,1,60
tch_20210323-225423_90,1,60
tch_20210323-225423_91,1,60
tch_20210323-225423_92,1,60
tch_20210323-225423_93,1,60
tch_20210323-225423_94,1,60
tch_20210323-225423_95,1,60
tch_20210323-225423_96,1,60
tch_20210323-225423_97,1,60
tch_20210323-225423_98,1,60
tch_20210323-225423_99,1,60
tch_20210323-225423_100,1,60
tch_20210323-225423_101,1,60
tch_20210323-225423_102,1,60
tch_20210323-225423_104,1,60
tch_20210323-225423_103,1,60
tch_20210323-225423_105,1,60
tch_20210323-225423_107,1,60
tch_20210323-225423_106,1,60
tch_20210323-225423_108,1,60
tch_20210323-225423_109,1,60
tch_20210323-225423_110,1,60
tch_20210323-225423_112,1,60
tch_20210323-225423_111,1,60
tch_20210323-225423_113,1,60
tch_20210323-225423_114,1,60
tch_20210323-225423_115,1,60
tch_20210323-225423_116,1,60
tch_20210323-225423_117,1,60
tch_20210323-225423_118,1,60
tch_20210323-225423_119,1,60
tch_20210323-225423_120,1,60
tch_20210323-225423_121,1,60
tch_20210323-225423_123,1,60
tch_20210323-225423_122,1,60
tch_20210323-225423_124,1,60
tch_20210323-225423_126,1,60
tch_20210323-225423_125,1,60
tch_20210323-225423_127,1,60
tch_20210323-225423_128,1,60
tch_20210323-225423_129,1,60
tch_20210323-225423_131,1,60
tch_20210323-225423_130,1,60
tch_20210323-225423_132,1,60
tch_20210323-225423_133,1,60
tch_20210323-225423_134,1,60
tch_20210323-225423_135,1,60
tch_20210323-225423_136,1,60
tch_20210323-225423_138,1,60
tch_20210323-225423_137,1,60
tch_20210323-225423_139,1,60
tch_20210323-225423_141,1,60
tch_20210323-225423_140,1,60
tch_20210323-225423_142,1,60
tch_20210323-225423_143,1,60
tch_20210323-225423_144,1,60
tch_20210323-225423_145,1,60
tch_20210323-225423_146,1,60
tch_20210323-225423_147,1,60
tch_20210323-225423_148,1,60
tch_20210323-225423_149,1,60
tch_20210323-225423_150,1,60
tch_20210323-225423_151,1,60
tch_20210323-225423_152,1,60
tch_20210323-225423_153,1,60
tch_20210323-225423_154,1,60
tch_20210323-225423_155,1,60
tch_20210323-225423_156,1,60
tch_20210323-225423_157,1,60
tch_20210323-225423_158,1,60
tch_20210323-225423_159,1,60
tch_20210323-225423_160,1,60
tch_20210323-225423_161,1,60
tch_20210323-225423_162,1,60
tch_20210323-225423_163,1,60
tch_20210323-225423_165,1,60
tch_20210323-225423_164,1,60
tch_20210323-225423_166,1,60
tch_20210323-225423_167,1,60
tch_20210323-225423_168,1,60
tch_20210323-225423_169,1,60
tch_20210323-225423_170,1,60
tch_20210323-225423_171,1,60
tch_20210323-225423_172,1,60
tch_20210323-225423_173,1,60
tch_20210323-225423_174,1,60
tch_20210323-225423_175,1,60
tch_20210323-225423_176,1,60
tch_20210323-225423_177,1,60
tch_20210323-225423_178,1,60
tch_20210323-225423_179,1,60
tch_20210323-225423_181,1,60
tch_20210323-225423_180,1,60
tch_20210323-225423_182,1,60
tch_20210323-225423_183,1,60
tch_20210323-225423_184,1,60
tch_20210323-225423_185,1,60
tch_20210323-225423_186,1,60
tch_20210323-225423_187,1,60
tch_20210323-225423_189,1,60
tch_20210323-225423_188,1,60
tch_20210323-225423_190,1,60
tch_20210323-225423_191,1,60
tch_20210323-225423_192,1,60
tch_20210323-225423_193,1,60
tch_20210323-225423_194,1,60
tch_20210323-225423_195,1,60
tch_20210323-225423_196,1,60
tch_20210323-225423_197,1,60
tch_20210323-225423_198,1,60
tch_20210323-225423_199,1,60
tch_20210323-225423_200,1,60
Perf_teacher_20210323-201137_1,1,60
Perf_teacher_20210323-201137_2,1,60
Perf_teacher_20210323-201137_3,1,60
Perf_teacher_20210323-201137_4,1,60
Perf_teacher_20210323-201137_5,1,60
Perf_teacher_20210323-201137_7,1,60
Perf_teacher_20210323-201137_6,1,60
Perf_teacher_20210323-201137_8,1,60
Perf_teacher_20210323-201137_10,1,60
Perf_teacher_20210323-201137_9,1,60
Perf_teacher_20210323-201137_11,1,60
Perf_teacher_20210323-201137_12,1,60
Perf_teacher_20210323-201137_13,1,60
Perf_teacher_20210323-201137_14,1,60
Perf_teacher_20210323-201137_15,1,60
Perf_teacher_20210323-201137_16,1,60
Perf_teacher_20210323-201137_17,1,60
Perf_teacher_20210323-201137_18,1,60
Perf_teacher_20210323-201137_20,1,60
Perf_teacher_20210323-201137_19,1,60
Perf_teacher_20210323-201137_21,1,60
Perf_teacher_20210323-201137_22,1,60
Perf_teacher_20210323-201137_23,1,60
Perf_teacher_20210323-201137_24,1,60
Perf_teacher_20210323-201137_25,1,60
Perf_teacher_20210323-201137_26,1,60
Perf_teacher_20210323-201137_27,1,60
Perf_teacher_20210323-201137_28,1,60
Perf_teacher_20210323-201137_29,1,60
Perf_teacher_20210323-201137_30,1,60
Perf_teacher_20210323-201137_31,1,60
Perf_teacher_20210323-201137_32,1,60
Perf_teacher_20210323-201137_33,1,60
Perf_teacher_20210323-201137_35,1,60
Perf_teacher_20210323-201137_34,1,60
Perf_teacher_20210323-201137_36,1,60
Perf_teacher_20210323-201137_37,1,60
Perf_teacher_20210323-201137_38,1,60
Perf_teacher_20210323-201137_39,1,60
Perf_teacher_20210323-201137_40,1,60
Perf_teacher_20210323-201137_41,1,60
Perf_teacher_20210323-201137_43,1,60
Perf_teacher_20210323-201137_42,1,60
Perf_teacher_20210323-201137_44,1,60
Perf_teacher_20210323-201137_46,1,60
Perf_teacher_20210323-201137_45,1,60
Perf_teacher_20210323-201137_47,1,60
Perf_teacher_20210323-201137_48,1,60
Perf_teacher_20210323-201137_49,1,60
Perf_teacher_20210323-201137_50,1,60
Perf_teacher_20210323-201137_51,1,60
Perf_teacher_20210323-201137_52,1,60
Perf_teacher_20210323-201137_53,1,60
Perf_teacher_20210323-201137_54,1,60
Perf_teacher_20210323-201137_55,1,60
Perf_teacher_20210323-201137_56,1,60
Perf_teacher_20210323-201137_57,1,60
Perf_teacher_20210323-201137_58,1,60
Perf_teacher_20210323-201137_59,1,60
Perf_teacher_20210323-201137_60,1,60
Perf_teacher_20210323-201137_61,1,60
Perf_teacher_20210323-201137_62,1,60
Perf_teacher_20210323-201137_63,1,60
Perf_teacher_20210323-201137_64,1,60
Perf_teacher_20210323-201137_65,1,60
Perf_teacher_20210323-201137_66,1,60
Perf_teacher_20210323-201137_67,1,60
