teacher_extuserid,class_title,class_code
perf-_teacher_20190724-113724_244,perf-_perf_class_20190724-113724_244,ihHd-j8Rj
perf-_teacher_20190724-113724_245,perf-_perf_class_20190724-113724_245,hajJ-iUej
perf-_teacher_20190724-113724_246,perf-_perf_class_20190724-113724_246,742Q-MBYi
perf-_teacher_20190724-113724_247,perf-_perf_class_20190724-113724_247,hLae-FjiA
perf-_teacher_20190724-113724_248,perf-_perf_class_20190724-113724_248,M7Ri-8JP4
perf-_teacher_20190724-113724_249,perf-_perf_class_20190724-113724_249,6i3a-MfV8
perf-_teacher_20190724-113724_250,perf-_perf_class_20190724-113724_250,e9C4-EQdb
perf-_teacher_20190724-113724_251,perf-_perf_class_20190724-113724_251,eg8d-eRNQ
perf-_teacher_20190724-113724_252,perf-_perf_class_20190724-113724_252,iWc9-63ie
perf-_teacher_20190724-113724_253,perf-_perf_class_20190724-113724_253,8hFg-HfjY
perf-_teacher_20190724-113724_254,perf-_perf_class_20190724-113724_254,cJjR-he2i
perf-_teacher_20190724-113724_255,perf-_perf_class_20190724-113724_255,7Vhb-DGh2
perf-_teacher_20190724-113724_256,perf-_perf_class_20190724-113724_256,826h-UFdY
perf-_teacher_20190724-113724_257,perf-_perf_class_20190724-113724_257,78CP-fEc4
perf-_teacher_20190724-113724_258,perf-_perf_class_20190724-113724_258,23Dd-j9DW
perf-_teacher_20190724-113724_259,perf-_perf_class_20190724-113724_259,jVU4-X8Ni
perf-_teacher_20190724-113724_260,perf-_perf_class_20190724-113724_260,W2RJ-8cJT
perf-_teacher_20190724-113724_261,perf-_perf_class_20190724-113724_261,cVJe-f6UH
perf-_teacher_20190724-113724_262,perf-_perf_class_20190724-113724_262,je4Z-9Kbg
perf-_teacher_20190724-113724_263,perf-_perf_class_20190724-113724_263,hFjR-i8Ea
perf-_teacher_20190724-113724_264,perf-_perf_class_20190724-113724_264,gb7G-KQXY
perf-_teacher_20190724-113724_265,perf-_perf_class_20190724-113724_265,daRE-dPf7
perf-_teacher_20190724-113724_266,perf-_perf_class_20190724-113724_266,67gY-86fD
perf-_teacher_20190724-113724_267,perf-_perf_class_20190724-113724_267,4Wd8-i8Te
perf-_teacher_20190724-113724_268,perf-_perf_class_20190724-113724_268,DjVb-6g6Y
perf-_teacher_20190724-113724_269,perf-_perf_class_20190724-113724_269,bdf9-JPij
perf-_teacher_20190724-113724_270,perf-_perf_class_20190724-113724_270,3ide-HC6F
perf-_teacher_20190724-113724_271,perf-_perf_class_20190724-113724_271,bfN9-ejC7
perf-_teacher_20190724-113724_272,perf-_perf_class_20190724-113724_272,6ZY2-b8W4
perf-_teacher_20190724-113724_273,perf-_perf_class_20190724-113724_273,Cc4J-9i8g
perf-_teacher_20190724-113724_274,perf-_perf_class_20190724-113724_274,RTfB-jH8V
perf-_teacher_20190724-113724_275,perf-_perf_class_20190724-113724_275,diQR-9j36
perf-_teacher_20190724-113724_276,perf-_perf_class_20190724-113724_276,dL49-Y3e8
perf-_teacher_20190724-113724_277,perf-_perf_class_20190724-113724_277,acVN-834E
perf-_teacher_20190724-113724_278,perf-_perf_class_20190724-113724_278,hd8d-f7fh
perf-_teacher_20190724-113724_279,perf-_perf_class_20190724-113724_279,XjTa-6fNf
perf-_teacher_20190724-113724_280,perf-_perf_class_20190724-113724_280,gc8M-4Y7i
perf-_teacher_20190724-113724_281,perf-_perf_class_20190724-113724_281,g42E-DB42
perf-_teacher_20190724-113724_282,perf-_perf_class_20190724-113724_282,2CdD-23Hf
perf-_teacher_20190724-113724_283,perf-_perf_class_20190724-113724_283,2Ybe-8a9d
perf-_teacher_20190724-113724_284,perf-_perf_class_20190724-113724_284,hjR3-bceH
perf-_teacher_20190724-113724_285,perf-_perf_class_20190724-113724_285,Ejhd-9jU9
perf-_teacher_20190724-113724_286,perf-_perf_class_20190724-113724_286,dBgC-4a2H
perf-_teacher_20190724-113724_287,perf-_perf_class_20190724-113724_287,P7j9-Yi2K
perf-_teacher_20190724-113724_288,perf-_perf_class_20190724-113724_288,3DUH-4bJT
perf-_teacher_20190724-113724_289,perf-_perf_class_20190724-113724_289,fMWe-42aB
perf-_teacher_20190724-113724_290,perf-_perf_class_20190724-113724_290,2cY7-Tg64
perf-_teacher_20190724-113724_291,perf-_perf_class_20190724-113724_291,6GZB-cZ9B
perf-_teacher_20190724-113724_292,perf-_perf_class_20190724-113724_292,63bc-f2hf
perf-_teacher_20190724-113724_293,perf-_perf_class_20190724-113724_293,gjQH-bRVA
perf-_teacher_20190724-113724_294,perf-_perf_class_20190724-113724_294,bfWY-JZfi
perf-_teacher_20190724-113724_295,perf-_perf_class_20190724-113724_295,h4U9-b8cG
perf-_teacher_20190724-113724_296,perf-_perf_class_20190724-113724_296,cie3-Na6c
perf-_teacher_20190724-113724_297,perf-_perf_class_20190724-113724_297,9H4H-TgNg
perf-_teacher_20190724-113724_298,perf-_perf_class_20190724-113724_298,f9QU-LgD8
perf-_teacher_20190724-113724_299,perf-_perf_class_20190724-113724_299,9hJ8-fD46
perf-_teacher_20190724-113724_300,perf-_perf_class_20190724-113724_300,4h4c-WHgU
perf-_teacher_20190724-113724_301,perf-_perf_class_20190724-113724_301,9K6R-iCef
perf-_teacher_20190724-113724_302,perf-_perf_class_20190724-113724_302,Y6cG-2ef4
perf-_teacher_20190724-113724_303,perf-_perf_class_20190724-113724_303,6b8g-U9fL
perf-_teacher_20190724-113724_304,perf-_perf_class_20190724-113724_304,6f7f-Zi4T
perf-_teacher_20190724-113724_305,perf-_perf_class_20190724-113724_305,V4Fd-jTeg
perf-_teacher_20190724-113724_306,perf-_perf_class_20190724-113724_306,b8g9-PiC6
perf-_teacher_20190724-113724_307,perf-_perf_class_20190724-113724_307,346h-caMb
perf-_teacher_20190724-113724_308,perf-_perf_class_20190724-113724_308,7i4d-8be7
perf-_teacher_20190724-113724_309,perf-_perf_class_20190724-113724_309,7ciV-geX6
perf-_teacher_20190724-113724_310,perf-_perf_class_20190724-113724_310,bg7E-j7aJ
perf-_teacher_20190724-113724_311,perf-_perf_class_20190724-113724_311,fX8e-9ce3
perf-_teacher_20190724-113724_312,perf-_perf_class_20190724-113724_312,9Lib-9hUD
perf-_teacher_20190724-113724_313,perf-_perf_class_20190724-113724_313,6eV7-2MRE
perf-_teacher_20190724-113724_314,perf-_perf_class_20190724-113724_314,8KdA-PgdH
perf-_teacher_20190724-113724_315,perf-_perf_class_20190724-113724_315,YBf7-f42J
perf-_teacher_20190724-113724_316,perf-_perf_class_20190724-113724_316,bWaV-a634
perf-_teacher_20190724-113724_317,perf-_perf_class_20190724-113724_317,e3aC-3P8c
perf-_teacher_20190724-113724_318,perf-_perf_class_20190724-113724_318,3B3d-TMgJ
perf-_teacher_20190724-113724_319,perf-_perf_class_20190724-113724_319,2j3N-K8Ad
perf-_teacher_20190724-113724_320,perf-_perf_class_20190724-113724_320,8Da9-CEfh
