studentextuserjid,classcode,classid,invitationid
perf_std_1042_0839,j8Wh-ahfR,861c6888-b515-11e9-9198-0242ac110003,7f1db9bf-e87a-4126-b133-746f86fa216e
perf_std_1042_0843,YMaH-acaN,85b0fc43-b515-11e9-ad14-0242ac110003,789bd436-1e0c-478d-9e25-d8ba61f1d696
perf_std_1042_0848,U8YZ-ci4h,88d287b3-b515-11e9-9198-0242ac110003,a7686913-726b-439b-ae69-f7fd408884e3
perf_std_1042_0849,3a8G-KdhK,8ad498fb-b515-11e9-ad14-0242ac110003,40cf7e6f-befa-47bb-8812-bd89acc5d4d2
perf_std_1042_0846,6aPN-fcAh,880266a9-b515-11e9-89b9-0242ac110002,68d57641-8b33-4373-be85-2e14f3871460
perf_std_1042_0845,QbFG-N6bB,894f0a83-b515-11e9-89b9-0242ac110002,a28d4b38-ac0a-4e58-b036-d275a842d735
perf_std_1042_0850,YXQ8-7Mfg,8cb5b519-b515-11e9-a587-0242ac110003,20c6fee4-96c9-46d6-8b77-46b61bca82d6
perf_std_1042_0847,P7iM-8GCJ,88571650-b515-11e9-a587-0242ac110003,a6d528c0-48c4-43dd-bf51-fa619684bce9
perf_std_1042_0851,hD8F-gf3J,c4e4a49a-b515-11e9-aead-0242ac110003,870cefb7-e6f3-43d0-8ae3-68d777e5d56a
perf_std_1042_0853,ZWXj-bh28,c61f6ebc-b515-11e9-aead-0242ac110003,babefae8-7406-42c8-880a-5d688ae87ae0
perf_std_1042_0854,384W-8B7j,c73264ef-b515-11e9-ad14-0242ac110003,6d0256a2-2a66-495f-b938-fe9df9699d86
perf_std_1042_0855,dPW3-AbdH,c8495397-b515-11e9-aead-0242ac110003,de885d94-6402-4f13-9d31-0a9116195155
perf_std_1042_0852,DXZi-eNMD,c6bce688-b515-11e9-9198-0242ac110003,20baeba0-bce4-442b-917c-8e44b26ebe03
perf_std_1042_0856,jLiF-C8UZ,c8429cdb-b515-11e9-a587-0242ac110003,69f164da-2d52-43eb-9173-9285775156f4
perf_std_1042_0859,7gU3-2e9P,caa3be41-b515-11e9-ad14-0242ac110003,050ace94-3163-4ca3-a4d1-db88e9e201c5
perf_std_1042_0858,8ZGR-NKa3,ca21bcb4-b515-11e9-a587-0242ac110003,058cf346-f64c-4f81-bf65-1c6f0798b2aa
perf_std_1042_0857,h4bG-f9Lh,cbfa4d11-b515-11e9-ad14-0242ac110003,26b28163-7437-458a-86d0-4f55b8b4c62c
perf_std_1042_0861,DH6d-ieER,cde4b8ce-b515-11e9-ad14-0242ac110003,3dc6ce74-fe83-49e8-b0bd-5dce3c766e4a
perf_std_1042_0860,BTaT-87WD,cabec079-b515-11e9-89b9-0242ac110002,1abe9e86-4a81-490d-b18c-55129861192d
perf_std_1042_0862,R6bE-CdfD,cd4e6be1-b515-11e9-ad14-0242ac110003,529e3038-715f-40a5-969f-76bb9a612b22
perf_std_1042_0863,6bg4-GJgf,ccb0f332-b515-11e9-ad14-0242ac110003,81120a6c-4e06-4dd7-bb05-4d78534483ba
perf_std_1042_0866,XTjd-j4Bd,d028db84-b515-11e9-ad14-0242ac110003,ec697c89-52c7-42f2-81b2-bc83672f59d6
perf_std_1042_0868,84i3-hf8b,d185d372-b515-11e9-9198-0242ac110003,486ec04c-8571-4e70-a73e-3ab5cb93f852
perf_std_1042_0864,ej6V-acg6,cf28d0f9-b515-11e9-89b9-0242ac110002,a573d520-40b4-4a70-8fa9-12501ca6f540
perf_std_1042_0865,46fQ-gU28,cf5845ec-b515-11e9-aead-0242ac110003,e113a9f4-7323-4036-9428-b8be0352d62d
perf_std_1042_0867,LAVF-Jjde,ce5c0ad1-b515-11e9-9198-0242ac110003,e3f3cdbc-242f-4d62-be97-2ce1d7d06e9b
perf_std_1042_0870,dBf9-hj49,d6f064f5-b515-11e9-9198-0242ac110003,179c9e29-f186-4793-b674-28903d2ffa07
perf_std_1042_0873,hif7-gWG9,d668be50-b515-11e9-a587-0242ac110003,05af9bf2-4a4c-45b8-9ac3-2c82f913b081
perf_std_1042_0869,92aW-fjhL,d3397777-b515-11e9-ad14-0242ac110003,97cbba5b-2867-4916-b036-1545bc156e38
perf_std_1042_0874,8HTF-ae68,d4342acb-b515-11e9-9198-0242ac110003,4d6d31b9-d34c-4e7c-b433-5f99db373878
perf_std_1042_0877,Z2N9-eg2f,d81e36d5-b515-11e9-ad14-0242ac110003,574e7b2e-5184-48cc-87c7-89996fbf2918
perf_std_1042_0871,f6f9-ijP3,d1c9bad6-b515-11e9-aead-0242ac110003,facfc1be-6100-4f7c-af3e-1681694e5376
perf_std_1042_0876,678R-3feg,d7909c70-b515-11e9-aead-0242ac110003,fd494649-d6a1-4f6b-887d-a077421a143f
perf_std_1042_0872,PiT2-Hfg8,d59e9020-b515-11e9-9198-0242ac110003,2c19d553-1356-4add-9ab4-2076f665f95c
perf_std_1042_0875,hKEa-f2jY,d64557ee-b515-11e9-9198-0242ac110003,fbfe97bd-87fb-46f1-99d0-d7165bf3e86a
perf_std_1042_0878,gY62-chdF,d4d57438-b515-11e9-89b9-0242ac110002,70bc1501-9ada-4caa-87c9-c31ca682d6af
perf_std_1042_0881,bMUX-HfeC,da1cc5d1-b515-11e9-9198-0242ac110003,bbf99839-78ac-4747-b1e5-3023f2d4c060
perf_std_1042_0883,ijc4-egh7,d9d0c8c1-b515-11e9-ad14-0242ac110003,408b0658-a12a-4076-922f-93a0590e1b5c
perf_std_1042_0879,U6F7-iU2Y,d5c9e5ed-b515-11e9-ad14-0242ac110003,59a075a3-8467-486b-8d6f-3d742f88239a
perf_std_1042_0882,T2bh-Paea,d81c618a-b515-11e9-9198-0242ac110003,66825a47-86de-493d-b985-37c57311ac73
perf_std_1042_0880,6eHK-2Ye4,d49ab4f3-b515-11e9-ad14-0242ac110003,17176a53-0ef1-451e-baa2-96e12e400e77
perf_std_1042_0888,JhK3-aiZH,dbf248f9-b515-11e9-a587-0242ac110003,764ed019-2e16-4924-93a2-50e72a8a9c81
perf_std_1042_0886,HjDd-ZifD,db1a3895-b515-11e9-9198-0242ac110003,d7059c47-edd4-4a94-8f89-3f407fb894e3
perf_std_1042_0885,gTfN-fcP4,dab275cd-b515-11e9-a587-0242ac110003,d7dc7a6e-4fab-41e1-b4fe-3fde8079f974
perf_std_1042_0884,hcCe-hdcZ,d8aba951-b515-11e9-a587-0242ac110003,c46de3d2-5556-483b-ae39-fabe5c82f164
perf_std_1042_0887,29N3-2jNi,df4e44c6-b515-11e9-a587-0242ac110003,79c61eb8-c0ac-48c2-bdce-0762ba5b3244
perf_std_1042_0889,48W4-NdbY,db2ab364-b515-11e9-a587-0242ac110003,57dfa144-d450-459e-803d-a9ff65748ffc
perf_std_1042_0893,cg6W-a9K7,e0dbc348-b515-11e9-89b9-0242ac110002,4b9edb9f-7da7-483c-8ad6-01e29d44c12f
perf_std_1042_0892,c2hf-PX8A,dff7f29d-b515-11e9-a587-0242ac110003,c4a1de16-5570-4e75-8a77-6a248f74d75a
perf_std_1042_0890,R86R-LZ4d,db28422d-b515-11e9-ad14-0242ac110003,ae9705fd-7b93-4678-8067-43f7aa4d20f0
perf_std_1042_0894,W46j-TbY7,e0fabc69-b515-11e9-a587-0242ac110003,52dbfd52-a525-46a0-8e73-a6a442037497
perf_std_1042_0898,8Gac-fZDX,e27ceff6-b515-11e9-89b9-0242ac110002,89786e12-b6f3-405e-b570-89605433b264
perf_std_1042_0897,J6Ye-2W8d,e3a9fdc7-b515-11e9-89b9-0242ac110002,fd70ed88-cb29-4f89-bb8d-c540c20c82d6
perf_std_1042_0891,97Qd-j3hb,dd965bf1-b515-11e9-aead-0242ac110003,50ecdbfc-4303-4b67-8719-cdac5cf484e3
perf_std_1042_0896,4adg-96hg,e0a5e658-b515-11e9-aead-0242ac110003,07c9f4d5-b8b0-4502-a2e9-beee905bb770
perf_std_1042_0895,hcj7-643c,e1a13577-b515-11e9-aead-0242ac110003,e789b79e-d12f-48a1-945c-5ffbd022022d
perf_std_1042_0900,C939-6chc,e27e75fd-b515-11e9-aead-0242ac110003,2cb5b251-78a2-46a2-ba49-d94c30cacbe9
perf_std_1042_0899,7AQ7-CfAL,e3e77bf2-b515-11e9-ad14-0242ac110003,94411a5e-3cf7-4142-81a7-4495d6bb44ed
perf_std_1042_0903,beBE-eEZD,7dc6ec3c-b515-11e9-9198-0242ac110003,367490d8-db94-49e5-a4e4-57095f0a7333
perf_std_1042_0902,NKCb-N372,7c441d5e-b515-11e9-a587-0242ac110003,1fa4a2d1-5403-4d69-b3ec-1ff25078e064
perf_std_1042_0905,h832-6a2H,7f81e305-b515-11e9-aead-0242ac110003,a8f5b35f-3ee8-42dd-8212-0ce2b3e8c42b
perf_std_1042_0901,HXEa-3CQR,7d567750-b515-11e9-ad14-0242ac110003,92d501a0-b0bd-466c-b2a4-4d6cc38788c6
perf_std_1042_0907,4PgL-9c4b,7ce0f925-b515-11e9-a587-0242ac110003,c8feaaa9-1aea-4213-9318-c13c2c52f0e2
perf_std_1042_0904,ja9W-Q9jf,7dc2587d-b515-11e9-a587-0242ac110003,88f18d6d-a46f-41a6-b1dc-65156ca30405
perf_std_1042_0906,GifP-2C7L,7c04072e-b515-11e9-89b9-0242ac110002,aa39b8b6-69e6-441a-8db4-e1198ca3bdab
perf_std_1042_0908,4feX-24AM,8058941c-b515-11e9-89b9-0242ac110002,8361df13-ff40-4bb3-b475-8d821b19ca7b
perf_std_1042_0910,afcR-ecWi,81b6c4d0-b515-11e9-ad14-0242ac110003,70afb613-47ca-4e43-a386-2dbd7d64295f
perf_std_1042_0909,egbf-MG4d,80f9683d-b515-11e9-9198-0242ac110003,a13499b8-6f0d-4ab2-b34c-40d8aa413130
perf_std_1042_0911,3R2a-j4id,810c7a4b-b515-11e9-89b9-0242ac110002,d02fa0bb-7524-4a66-82d0-da3d6d12d10c
perf_std_1042_0916,6Yh8-7Kdi,85b0fc26-b515-11e9-a587-0242ac110003,c0b26859-a00c-4a38-aaed-a3664d360b6d
perf_std_1042_0915,ebea-dbcA,878b1313-b515-11e9-9198-0242ac110003,acd0a4ea-14f7-4260-8bb3-a7f3a7767f84
perf_std_1042_0917,7d6d-6f2N,85ac8f3e-b515-11e9-89b9-0242ac110002,cc260f8f-5cc8-4bca-8fc2-d8140080e790
perf_std_1042_0913,6giC-jR69,828f2296-b515-11e9-89b9-0242ac110002,f113349f-556b-409d-a67a-37107e678930
perf_std_1042_0912,9YVg-Bjhb,853a1e81-b515-11e9-9198-0242ac110003,636d2768-d18b-4957-843f-2d224a2dafd5
perf_std_1042_0914,j8Wh-ahfR,861c6888-b515-11e9-9198-0242ac110003,f9b8c89e-c1ce-4ab5-856c-83dc36f9f3db
perf_std_1042_0920,QbFG-N6bB,894f0a83-b515-11e9-89b9-0242ac110002,f7d4c748-4c08-49d7-bf31-f26ce43a705b
perf_std_1042_0918,YMaH-acaN,85b0fc43-b515-11e9-ad14-0242ac110003,db20d71f-49e1-4d1a-838e-14475583b514
perf_std_1042_0921,6aPN-fcAh,880266a9-b515-11e9-89b9-0242ac110002,7d96d04b-dfc1-4437-a1c4-060c4ef6335f
perf_std_1042_0923,U8YZ-ci4h,88d287b3-b515-11e9-9198-0242ac110003,300eaa03-f7de-45de-b4d3-ee46907a9295
perf_std_1042_0919,U9c9-b8e6,8844c660-b515-11e9-89b9-0242ac110002,d6546713-4996-4fbe-9bdb-80f81e8f3c84
perf_std_1042_0924,3a8G-KdhK,8ad498fb-b515-11e9-ad14-0242ac110003,3005b11f-b0df-4160-bcb6-4ca094f67498
perf_std_1042_0922,P7iM-8GCJ,88571650-b515-11e9-a587-0242ac110003,6ba9a017-d213-4499-a564-8af98d7bae34
perf_std_1042_0927,DXZi-eNMD,c6bce688-b515-11e9-9198-0242ac110003,3a8f75a7-206b-47e6-b25d-94964a6683dc
perf_std_1042_0930,dPW3-AbdH,c8495397-b515-11e9-aead-0242ac110003,33105f80-5097-4ac5-9999-a946529de76c
perf_std_1042_0928,ZWXj-bh28,c61f6ebc-b515-11e9-aead-0242ac110003,bc4db060-c350-457a-8000-8f1031df7ff6
perf_std_1042_0925,YXQ8-7Mfg,8cb5b519-b515-11e9-a587-0242ac110003,fe247bae-62eb-49c2-9972-4fb46376e81c
perf_std_1042_0926,hD8F-gf3J,c4e4a49a-b515-11e9-aead-0242ac110003,d780b080-4e37-4f63-a2ff-471d49fce0c5
perf_std_1042_0929,384W-8B7j,c73264ef-b515-11e9-ad14-0242ac110003,6e54417e-3f2d-4d8a-842b-a8fc16dcdfd8
perf_std_1042_0933,8ZGR-NKa3,ca21bcb4-b515-11e9-a587-0242ac110003,801cb889-13e7-49d3-91cd-6cd09371dbaf
perf_std_1042_0931,jLiF-C8UZ,c8429cdb-b515-11e9-a587-0242ac110003,bf66a95a-69d2-458c-8b7e-abe18436e2d7
perf_std_1042_0934,7gU3-2e9P,caa3be41-b515-11e9-ad14-0242ac110003,c7f5b30d-3a3b-4bf7-a7bf-6ac3d6f6579c
perf_std_1042_0932,h4bG-f9Lh,cbfa4d11-b515-11e9-ad14-0242ac110003,95006d72-7c29-4634-9f1a-175cc463db4c
perf_std_1042_0936,DH6d-ieER,cde4b8ce-b515-11e9-ad14-0242ac110003,c7a8e68a-8215-4ccd-b5b2-d2262e0547ba
perf_std_1042_0941,XTjd-j4Bd,d028db84-b515-11e9-ad14-0242ac110003,483c5562-16ea-444f-a46f-6d5f3bf18eb5
perf_std_1042_0939,ej6V-acg6,cf28d0f9-b515-11e9-89b9-0242ac110002,92f2b9ed-d33c-4778-9945-5064bd74855c
perf_std_1042_0935,BTaT-87WD,cabec079-b515-11e9-89b9-0242ac110002,0e312aeb-3a1f-4ba8-aea5-f526baef5549
perf_std_1042_0938,6bg4-GJgf,ccb0f332-b515-11e9-ad14-0242ac110003,5eda3fe8-5aa4-455c-ae4c-4c0c4cac8876
perf_std_1042_0937,R6bE-CdfD,cd4e6be1-b515-11e9-ad14-0242ac110003,a73295cd-ce00-44de-986f-24aebe113b5c
perf_std_1042_0943,84i3-hf8b,d185d372-b515-11e9-9198-0242ac110003,d30e1752-e963-4e1c-b66b-aa582ed1a14b
perf_std_1042_0940,46fQ-gU28,cf5845ec-b515-11e9-aead-0242ac110003,19937d26-db65-4d81-96d5-96de8af604e9
perf_std_1042_0945,dBf9-hj49,d6f064f5-b515-11e9-9198-0242ac110003,6ad512b5-f4cb-4810-9148-3ae17388bed3
perf_std_1042_0942,LAVF-Jjde,ce5c0ad1-b515-11e9-9198-0242ac110003,312b5b3a-24e2-4065-b6be-aae624a6915b
perf_std_1042_0949,8HTF-ae68,d4342acb-b515-11e9-9198-0242ac110003,317dc4ed-c6d5-4b79-a96a-706a6cce438d
perf_std_1042_0944,92aW-fjhL,d3397777-b515-11e9-ad14-0242ac110003,daf529d7-1a8e-47c0-a49a-1df4ce4b3c88
perf_std_1042_0951,678R-3feg,d7909c70-b515-11e9-aead-0242ac110003,03693dac-d26e-441f-a937-10f65f0e799d
perf_std_1042_0947,PiT2-Hfg8,d59e9020-b515-11e9-9198-0242ac110003,a93754c9-2444-4067-b5cc-864567c11dbe
perf_std_1042_0950,hKEa-f2jY,d64557ee-b515-11e9-9198-0242ac110003,1810bfbb-28eb-4ee7-9e6d-54c6041ee6e1
perf_std_1042_0946,f6f9-ijP3,d1c9bad6-b515-11e9-aead-0242ac110003,6f62eaf6-74c8-448d-a47d-24e1c291f3b4
perf_std_1042_0952,Z2N9-eg2f,d81e36d5-b515-11e9-ad14-0242ac110003,ed59c3bf-7ba7-4dc6-b1d7-fcb751ea810d
perf_std_1042_0953,gY62-chdF,d4d57438-b515-11e9-89b9-0242ac110002,9c91f118-a7fe-4ed9-a7e8-1f50082c90f5
perf_std_1042_0948,hif7-gWG9,d668be50-b515-11e9-a587-0242ac110003,d4c3aacd-5ad4-489e-9fd1-7bfe86d0bed3
perf_std_1042_0954,U6F7-iU2Y,d5c9e5ed-b515-11e9-ad14-0242ac110003,2978840f-38c4-4e8b-822c-96b50e73ad1d
perf_std_1042_0955,6eHK-2Ye4,d49ab4f3-b515-11e9-ad14-0242ac110003,727dabd5-4a78-43fb-8348-3afdc1c5c25c
perf_std_1042_0956,bMUX-HfeC,da1cc5d1-b515-11e9-9198-0242ac110003,090fb0e0-e43d-4476-bbb9-6cf0a22f197e
perf_std_1042_0961,HjDd-ZifD,db1a3895-b515-11e9-9198-0242ac110003,faa360fd-c34f-4756-a1eb-e760c2e163be
perf_std_1042_0957,T2bh-Paea,d81c618a-b515-11e9-9198-0242ac110003,e648475c-bfef-4ee4-bf65-e1f400379aa7
perf_std_1042_0959,hcCe-hdcZ,d8aba951-b515-11e9-a587-0242ac110003,5d2c6c50-a8ab-4cd0-aa86-42bf4a03df0d
perf_std_1042_0958,ijc4-egh7,d9d0c8c1-b515-11e9-ad14-0242ac110003,690b8e86-ac8e-4918-9074-1edacfa5136e
perf_std_1042_0964,48W4-NdbY,db2ab364-b515-11e9-a587-0242ac110003,b2aa3ff6-04d2-4e4e-84fa-6da3b2ddebb8
perf_std_1042_0960,gTfN-fcP4,dab275cd-b515-11e9-a587-0242ac110003,5e401ecb-b91b-41b9-ae24-bdcd1e97b27d
perf_std_1042_0963,JhK3-aiZH,dbf248f9-b515-11e9-a587-0242ac110003,613c73a7-c1cb-452d-aba4-00b43e4c060e
perf_std_1042_0962,29N3-2jNi,df4e44c6-b515-11e9-a587-0242ac110003,6bab0d39-ff81-446b-aea6-6b92619fed83
perf_std_1042_0967,c2hf-PX8A,dff7f29d-b515-11e9-a587-0242ac110003,9951090f-4a62-42f4-b194-9bfe3fedbe21
perf_std_1042_0965,R86R-LZ4d,db28422d-b515-11e9-ad14-0242ac110003,964ec1d5-c3d6-4c64-9de3-05b5230b4034
perf_std_1042_0966,97Qd-j3hb,dd965bf1-b515-11e9-aead-0242ac110003,a0e8d2ae-4da8-4868-bd74-dba5e8001b89
perf_std_1042_0969,W46j-TbY7,e0fabc69-b515-11e9-a587-0242ac110003,5eef2608-7d57-4548-93b5-1b3bca4e0830
perf_std_1042_0968,cg6W-a9K7,e0dbc348-b515-11e9-89b9-0242ac110002,e336717f-1f16-4c6b-90d2-2ac11d2032e1
perf_std_1042_0972,J6Ye-2W8d,e3a9fdc7-b515-11e9-89b9-0242ac110002,168f75d1-5ca1-4e56-86ab-5ac4e2ec7090
perf_std_1042_0970,hcj7-643c,e1a13577-b515-11e9-aead-0242ac110003,5a33133b-a60f-41a8-8f74-b365181f6ba5
perf_std_1042_0971,4adg-96hg,e0a5e658-b515-11e9-aead-0242ac110003,e6620d50-fa0b-4017-aed2-3cedf6a35f6f
perf_std_1042_0974,7AQ7-CfAL,e3e77bf2-b515-11e9-ad14-0242ac110003,44f2407e-6521-48b9-89e9-9fd3bdc814c3
perf_std_1042_0976,HXEa-3CQR,7d567750-b515-11e9-ad14-0242ac110003,a589fda6-f860-437d-8657-fed7585769cd
perf_std_1042_0973,8Gac-fZDX,e27ceff6-b515-11e9-89b9-0242ac110002,f3d6aeaf-c22a-4978-bed3-9daf3fc90a75
perf_std_1042_0975,C939-6chc,e27e75fd-b515-11e9-aead-0242ac110003,c7f4ca16-d4e8-4375-9364-8a7190dd83e6
perf_std_1042_0979,ja9W-Q9jf,7dc2587d-b515-11e9-a587-0242ac110003,2b12a636-bc72-4036-84b9-56b9f4e3ef12
perf_std_1042_0981,GifP-2C7L,7c04072e-b515-11e9-89b9-0242ac110002,62ed718e-903f-4eae-b9fa-e5c75f4618c1
perf_std_1042_0977,NKCb-N372,7c441d5e-b515-11e9-a587-0242ac110003,070f1028-2c9d-4b80-8a09-0bb02ea31188
perf_std_1042_0983,4feX-24AM,8058941c-b515-11e9-89b9-0242ac110002,b40bfa5b-6612-45d4-ac94-8b234b2a1fc9
perf_std_1042_0978,beBE-eEZD,7dc6ec3c-b515-11e9-9198-0242ac110003,31f4cab5-8fd9-4c55-a327-e97aab686189
perf_std_1042_0984,egbf-MG4d,80f9683d-b515-11e9-9198-0242ac110003,a25780d1-dd52-4acf-86af-d8e99038bda8
perf_std_1042_0980,h832-6a2H,7f81e305-b515-11e9-aead-0242ac110003,1792221b-cb6f-4aec-a428-0a33d8ddea2b
perf_std_1042_0982,4PgL-9c4b,7ce0f925-b515-11e9-a587-0242ac110003,ea8cb564-8c7a-4949-8e2f-a1bf516ebd90
perf_std_1042_0985,afcR-ecWi,81b6c4d0-b515-11e9-ad14-0242ac110003,22d8b08c-7b5e-42bd-bf40-dcad7b1a928c
perf_std_1042_0991,6Yh8-7Kdi,85b0fc26-b515-11e9-a587-0242ac110003,ade909c5-b86d-4d66-a928-1eb15854906c
perf_std_1042_0987,9YVg-Bjhb,853a1e81-b515-11e9-9198-0242ac110003,a6eb0f24-0f69-4824-88a1-c6c2b1977488
perf_std_1042_0986,3R2a-j4id,810c7a4b-b515-11e9-89b9-0242ac110002,639a4556-5e4c-4973-9d82-6258119d359a
perf_std_1042_0992,7d6d-6f2N,85ac8f3e-b515-11e9-89b9-0242ac110002,6a4526a5-c0b6-4d40-a79e-842b838ac101
perf_std_1042_0990,ebea-dbcA,878b1313-b515-11e9-9198-0242ac110003,2d5def1e-2755-47e4-800a-3ae30dfa11c0
perf_std_1042_0988,6giC-jR69,828f2296-b515-11e9-89b9-0242ac110002,5f32a0d0-040a-49ba-9b83-e044fef10a50
perf_std_1042_0993,YMaH-acaN,85b0fc43-b515-11e9-ad14-0242ac110003,de10d52b-9f22-4a56-82ca-61a29c02e4c0
perf_std_1042_0989,j8Wh-ahfR,861c6888-b515-11e9-9198-0242ac110003,237aa0a7-3346-4077-86ff-321f0c3116ae
perf_std_1042_0994,U9c9-b8e6,8844c660-b515-11e9-89b9-0242ac110002,bebd2175-f403-4ae1-8b4d-a30bb71bee20
perf_std_1042_0995,QbFG-N6bB,894f0a83-b515-11e9-89b9-0242ac110002,850f5a19-8201-4dcc-946c-88238c0d49fa
perf_std_1042_0997,P7iM-8GCJ,88571650-b515-11e9-a587-0242ac110003,399d2b72-d4c9-46ca-9d2a-74993bb31161
perf_std_1042_0996,6aPN-fcAh,880266a9-b515-11e9-89b9-0242ac110002,acb2057e-bfcd-45b3-b4fd-27f913be4da1
perf_std_1042_0998,U8YZ-ci4h,88d287b3-b515-11e9-9198-0242ac110003,f8054975-e45a-43b7-8797-1698b431baff
perf_std_1042_0999,3a8G-KdhK,8ad498fb-b515-11e9-ad14-0242ac110003,1748b98a-9719-4037-9932-bc1cb1730b7e
perf_std_1042_1003,ZWXj-bh28,c61f6ebc-b515-11e9-aead-0242ac110003,5b5f8a18-a771-4ca0-b054-ea0a17f3421f
