tchtextuserjid,classcode,classid,invitationid,tch
t145_1607951111793_1,QscQ-x8r7,65c4fc4b-3e0c-11eb-a47c-0242ac110003,1037cb9b-ba52-4ca4-ac54-233a997126c6,t245_20201214-183049_1
t145_1607951117922_4,ro4r-9CHt,c12bba28-3e0c-11eb-a47c-0242ac110003,db608f7f-5738-4a3c-b9d9-ddb30236db56,t245_20201214-183049_4
t145_1607951121084_2,UbNz-WvEk,84d122c6-3e0c-11eb-a47c-0242ac110003,05fa23ba-28ac-4fc0-826b-54574aeef6c3,t245_20201214-183049_2
t145_1607951123386_3,8bBc-8P7Y,9e6c4faf-3e0c-11eb-a47c-0242ac110003,9fb288d4-b2eb-486a-9539-d1edd58239dd,t245_20201214-183049_3
t145_1607951125820_1,QscQ-x8r7,65c4fc4b-3e0c-11eb-a47c-0242ac110003,48d7c768-6496-4fed-b7e5-3ce50099becf,t245_20201214-183049_1
t145_1607951131212_4,ro4r-9CHt,c12bba28-3e0c-11eb-a47c-0242ac110003,5aa8cf42-c4fb-4ec3-80d2-b02f62a4ed40,t245_20201214-183049_4
t145_1607951134235_2,UbNz-WvEk,84d122c6-3e0c-11eb-a47c-0242ac110003,a8082168-98aa-4ada-8a51-6bcbb84fc832,t245_20201214-183049_2
t145_1607951135407_3,8bBc-8P7Y,9e6c4faf-3e0c-11eb-a47c-0242ac110003,d67c3b1a-c582-45d3-a978-a323eaef6b10,t245_20201214-183049_3
t145_1607951141134_1,QscQ-x8r7,65c4fc4b-3e0c-11eb-a47c-0242ac110003,d46cde9b-acc3-4e6b-bfc1-a16c57d040a7,t245_20201214-183049_1
t145_1607951139884_5,gzG4-wbPh,dd0209f4-3e0c-11eb-90a7-0242ac110003,ebfd47bd-689c-4c32-a5a5-55d2d757900d,t245_20201214-183049_5
t145_1607951144052_4,ro4r-9CHt,c12bba28-3e0c-11eb-a47c-0242ac110003,fc30e6fe-2a1f-4c61-9f41-000331416cf4,t245_20201214-183049_4
t145_1607951145757_2,UbNz-WvEk,84d122c6-3e0c-11eb-a47c-0242ac110003,c379495b-4aad-4dc6-a80a-7f335d8c2eee,t245_20201214-183049_2
t145_1607951147426_3,8bBc-8P7Y,9e6c4faf-3e0c-11eb-a47c-0242ac110003,af8f0e7c-f800-4472-b4ea-f6e087dbaba1,t245_20201214-183049_3
t145_1607951153140_1,QscQ-x8r7,65c4fc4b-3e0c-11eb-a47c-0242ac110003,ae77cd43-f4ca-4291-8bd8-59eb6add3312,t245_20201214-183049_1
t145_1607951158116_4,ro4r-9CHt,c12bba28-3e0c-11eb-a47c-0242ac110003,78a312bd-a87e-4ed7-8048-6ca4c6417c05,t245_20201214-183049_4
t145_1607951157880_5,gzG4-wbPh,dd0209f4-3e0c-11eb-90a7-0242ac110003,a4424c9b-1aa6-46a6-ac84-1524d38ab165,t245_20201214-183049_5
t145_1607951161720_3,8bBc-8P7Y,9e6c4faf-3e0c-11eb-a47c-0242ac110003,19dc4d3f-8dd7-472e-9719-a24a52cd652d,t245_20201214-183049_3
t145_1607951161665_2,UbNz-WvEk,84d122c6-3e0c-11eb-a47c-0242ac110003,c5f96651-8c2f-40b4-b908-59972c18e9db,t245_20201214-183049_2
t145_1607951166343_1,QscQ-x8r7,65c4fc4b-3e0c-11eb-a47c-0242ac110003,4e59d20b-803a-4979-b99f-e21cffc82d47,t245_20201214-183049_1
t145_1607951170573_4,ro4r-9CHt,c12bba28-3e0c-11eb-a47c-0242ac110003,2a3b77b0-09f5-43f3-a991-7068f6d04bdc,t245_20201214-183049_4
t145_1607951171425_5,gzG4-wbPh,dd0209f4-3e0c-11eb-90a7-0242ac110003,99790fcb-f256-4b70-9792-d639751063c4,t245_20201214-183049_5
t145_1607951173169_3,8bBc-8P7Y,9e6c4faf-3e0c-11eb-a47c-0242ac110003,bc6074b0-4e0c-4320-9cb9-e98b4c6f5523,t245_20201214-183049_3
t145_1607951177651_2,UbNz-WvEk,84d122c6-3e0c-11eb-a47c-0242ac110003,fc119885-8c1e-404e-a541-9e1091b388eb,t245_20201214-183049_2
t145_1607951180089_1,QscQ-x8r7,65c4fc4b-3e0c-11eb-a47c-0242ac110003,816d0303-8dd4-4e80-9e1c-fc904e99a062,t245_20201214-183049_1
t145_1607951188065_6,JTV4-dhqw,fc643fa5-3e0c-11eb-a47c-0242ac110003,8bb2000a-848b-4cf7-9ae0-8599f58a17a6,t245_20201214-183049_6
t145_1607951190059_3,8bBc-8P7Y,9e6c4faf-3e0c-11eb-a47c-0242ac110003,3f0d2009-def4-4bde-a920-cdac95cd0068,t245_20201214-183049_3
t145_1607951188071_5,gzG4-wbPh,dd0209f4-3e0c-11eb-90a7-0242ac110003,b5bc17b5-316b-4b16-a563-49e87c89a4ad,t245_20201214-183049_5
t145_1607951187882_4,ro4r-9CHt,c12bba28-3e0c-11eb-a47c-0242ac110003,d40737f3-3682-4484-804a-f2fbe707d876,t245_20201214-183049_4
t145_1607951192874_2,UbNz-WvEk,84d122c6-3e0c-11eb-a47c-0242ac110003,696bc7ad-3f4b-447b-9af7-69bb89a95a87,t245_20201214-183049_2
t145_1607951193410_1,QscQ-x8r7,65c4fc4b-3e0c-11eb-a47c-0242ac110003,a4501376-8329-4a6d-b02a-e5c4b6283648,t245_20201214-183049_1
t145_1607951204336_2,UbNz-WvEk,84d122c6-3e0c-11eb-a47c-0242ac110003,cb5842ca-57ea-4e55-bb08-53c503d5bd41,t245_20201214-183049_2
t145_1607951198902_6,JTV4-dhqw,fc643fa5-3e0c-11eb-a47c-0242ac110003,970e0c4e-d344-4b5a-9691-66cbb1c57711,t245_20201214-183049_6
t145_1607951202256_5,gzG4-wbPh,dd0209f4-3e0c-11eb-90a7-0242ac110003,a69dfc8f-150e-4d15-b96b-667ea43531b9,t245_20201214-183049_5
t145_1607951203560_4,ro4r-9CHt,c12bba28-3e0c-11eb-a47c-0242ac110003,8369a06a-e6bd-40e2-8791-72e483aa77d8,t245_20201214-183049_4
t145_1607951200806_3,8bBc-8P7Y,9e6c4faf-3e0c-11eb-a47c-0242ac110003,07e20f69-d023-456f-abd5-9487d2c0e5ad,t245_20201214-183049_3
t145_1607951206968_1,QscQ-x8r7,65c4fc4b-3e0c-11eb-a47c-0242ac110003,631f015e-46ec-429a-bdaa-f2f83a13c005,t245_20201214-183049_1
t145_1607951215271_6,JTV4-dhqw,fc643fa5-3e0c-11eb-a47c-0242ac110003,a3e3f7e1-ade1-49d7-852b-e46604b4e62e,t245_20201214-183049_6
t145_1607951215696_5,gzG4-wbPh,dd0209f4-3e0c-11eb-90a7-0242ac110003,c3d93df4-580d-4d6f-b919-abaa8cf445cb,t245_20201214-183049_5
t145_1607951214996_2,UbNz-WvEk,84d122c6-3e0c-11eb-a47c-0242ac110003,e3128a41-3ad1-4451-8192-88bfc619ebfe,t245_20201214-183049_2
t145_1607951216473_4,ro4r-9CHt,c12bba28-3e0c-11eb-a47c-0242ac110003,82ab5ac4-7ef2-43fa-a516-d3e5b3017d9c,t245_20201214-183049_4
t145_1607951218251_3,8bBc-8P7Y,9e6c4faf-3e0c-11eb-a47c-0242ac110003,15b9effe-04d4-49e1-8477-bed207a24159,t245_20201214-183049_3
t145_1607951225397_6,JTV4-dhqw,fc643fa5-3e0c-11eb-a47c-0242ac110003,2b9d4092-08fc-4e33-98c0-bf1d7a3303ab,t245_20201214-183049_6
t145_1607951226379_5,gzG4-wbPh,dd0209f4-3e0c-11eb-90a7-0242ac110003,0d174211-d06d-46a8-8b17-9567d5004a43,t245_20201214-183049_5
t145_1607951231966_4,ro4r-9CHt,c12bba28-3e0c-11eb-a47c-0242ac110003,eea8c3ec-5fcc-4cce-81e7-71faf22c22e0,t245_20201214-183049_4
t145_1607951228027_2,UbNz-WvEk,84d122c6-3e0c-11eb-a47c-0242ac110003,23497f70-11d6-407b-bc07-271e69032165,t245_20201214-183049_2
t145_1607951238123_6,JTV4-dhqw,fc643fa5-3e0c-11eb-a47c-0242ac110003,7fb91d3c-7d1d-4722-a050-5dc2cb6f0228,t245_20201214-183049_6
t145_1607951235918_3,8bBc-8P7Y,9e6c4faf-3e0c-11eb-a47c-0242ac110003,4c2a6779-5e39-45f6-8555-ea25073c8486,t245_20201214-183049_3
t145_1607951243694_4,ro4r-9CHt,c12bba28-3e0c-11eb-a47c-0242ac110003,7a7824c4-0c24-40ca-a7fe-fa8b6621bc52,t245_20201214-183049_4
t145_1607951241660_5,gzG4-wbPh,dd0209f4-3e0c-11eb-90a7-0242ac110003,e818ded6-14b2-4037-bdd3-1c0a125d204e,t245_20201214-183049_5
t145_1607951243828_2,UbNz-WvEk,84d122c6-3e0c-11eb-a47c-0242ac110003,9f3bb6e7-1a22-447b-857a-64c31c7328f4,t245_20201214-183049_2
t145_1607951244284_7,7qTh-vRTz,1b01ecde-3e0d-11eb-90a7-0242ac110003,d3611928-6657-4590-ba96-24cfad28a38e,t245_20201214-183049_7
t145_1607951250230_3,8bBc-8P7Y,9e6c4faf-3e0c-11eb-a47c-0242ac110003,1cfe685b-84db-4caa-b338-93f5b96205f4,t245_20201214-183049_3
t145_1607951249476_6,JTV4-dhqw,fc643fa5-3e0c-11eb-a47c-0242ac110003,47bcc0bc-91ad-41db-abb8-a0710f5041ae,t245_20201214-183049_6
t145_1607951254009_5,gzG4-wbPh,dd0209f4-3e0c-11eb-90a7-0242ac110003,5ee79cf8-1254-4779-8176-594811095ea3,t245_20201214-183049_5
t145_1607951253799_4,ro4r-9CHt,c12bba28-3e0c-11eb-a47c-0242ac110003,f7ba79e1-a2cc-4eab-a398-47272288349d,t245_20201214-183049_4
t145_1607951261433_7,7qTh-vRTz,1b01ecde-3e0d-11eb-90a7-0242ac110003,85169f57-ce17-477c-b7a6-9507bc871830,t245_20201214-183049_7
t145_1607951258042_2,UbNz-WvEk,84d122c6-3e0c-11eb-a47c-0242ac110003,769d9d6b-a289-4f36-a467-f31570f9382d,t245_20201214-183049_2
t145_1607951264048_6,JTV4-dhqw,fc643fa5-3e0c-11eb-a47c-0242ac110003,d7a5881b-c6f5-4e7e-808e-9a3507f71b99,t245_20201214-183049_6
t145_1607951263443_3,8bBc-8P7Y,9e6c4faf-3e0c-11eb-a47c-0242ac110003,a951b7ba-3086-44ac-a9c8-ecc024df400a,t245_20201214-183049_3
t145_1607951268371_4,ro4r-9CHt,c12bba28-3e0c-11eb-a47c-0242ac110003,9789855b-04fa-4d29-a5f2-67940ebe0056,t245_20201214-183049_4
t145_1607951266059_5,gzG4-wbPh,dd0209f4-3e0c-11eb-90a7-0242ac110003,a61e2533-072a-4473-b5ee-9db2e1f332e6,t245_20201214-183049_5
t145_1607951272780_7,7qTh-vRTz,1b01ecde-3e0d-11eb-90a7-0242ac110003,a5a9ea87-3a35-4a01-84d7-06a42d93766f,t245_20201214-183049_7
t145_1607951278014_3,8bBc-8P7Y,9e6c4faf-3e0c-11eb-a47c-0242ac110003,635f3594-f8e3-41b9-9595-c1c003e35309,t245_20201214-183049_3
t145_1607951277791_6,JTV4-dhqw,fc643fa5-3e0c-11eb-a47c-0242ac110003,aeec9870-451f-4b6d-b9ef-47501b889161,t245_20201214-183049_6
t145_1607951280439_4,ro4r-9CHt,c12bba28-3e0c-11eb-a47c-0242ac110003,ddbcccc2-ccbf-429a-ab8e-360185fb052e,t245_20201214-183049_4
t145_1607951283817_7,7qTh-vRTz,1b01ecde-3e0d-11eb-90a7-0242ac110003,707c0297-5e10-446c-ab4c-10ee1ec3cf3b,t245_20201214-183049_7
t145_1607951283692_5,gzG4-wbPh,dd0209f4-3e0c-11eb-90a7-0242ac110003,2c1e7b7f-6e8d-42ba-bba3-98f0805af183,t245_20201214-183049_5
t145_1607951290308_3,8bBc-8P7Y,9e6c4faf-3e0c-11eb-a47c-0242ac110003,1ae565c5-50ed-4b33-bfe7-83d893cc5be2,t245_20201214-183049_3
t145_1607951296052_7,7qTh-vRTz,1b01ecde-3e0d-11eb-90a7-0242ac110003,a3977ad0-3f7f-4fe3-8705-57f6bdeaa8a9,t245_20201214-183049_7
t145_1607951295121_8,79a3-fm29,38f9bd1c-3e0d-11eb-a47c-0242ac110003,db6566bf-92cf-4769-aa50-9473510f5dcc,t245_20201214-183049_8
t145_1607951292810_6,JTV4-dhqw,fc643fa5-3e0c-11eb-a47c-0242ac110003,2f7236d8-26f4-4ad6-9b2a-9f49070f3dfa,t245_20201214-183049_6
t145_1607951294789_4,ro4r-9CHt,c12bba28-3e0c-11eb-a47c-0242ac110003,468bca19-7ddf-4480-afb7-85a54936533b,t245_20201214-183049_4
t145_1607951300839_5,gzG4-wbPh,dd0209f4-3e0c-11eb-90a7-0242ac110003,9ca7be22-7e07-4d04-9338-8cb3a10373cc,t245_20201214-183049_5
t145_1607951307113_8,79a3-fm29,38f9bd1c-3e0d-11eb-a47c-0242ac110003,798e3b42-68f5-43f6-89d3-6ccff15af956,t245_20201214-183049_8
t145_1607951308744_6,JTV4-dhqw,fc643fa5-3e0c-11eb-a47c-0242ac110003,4c4840fc-336e-4074-ba04-e2dd2603d9f1,t245_20201214-183049_6
t145_1607951306497_7,7qTh-vRTz,1b01ecde-3e0d-11eb-90a7-0242ac110003,370b98dd-b648-4ae0-abed-ed194c4a09a1,t245_20201214-183049_7
t145_1607951312980_5,gzG4-wbPh,dd0209f4-3e0c-11eb-90a7-0242ac110003,e2311dfb-b93e-458a-b674-9b32c29f3410,t245_20201214-183049_5
t145_1607951311688_4,ro4r-9CHt,c12bba28-3e0c-11eb-a47c-0242ac110003,df4af829-b4d5-4c0b-b395-57e2f9044202,t245_20201214-183049_4
t145_1607951319269_6,JTV4-dhqw,fc643fa5-3e0c-11eb-a47c-0242ac110003,78d8df8a-d4b5-4942-8487-8d0e1d1dace4,t245_20201214-183049_6
t145_1607951317224_8,79a3-fm29,38f9bd1c-3e0d-11eb-a47c-0242ac110003,ac18877a-318a-4feb-b27c-11a90b2ba929,t245_20201214-183049_8
t145_1607951321996_7,7qTh-vRTz,1b01ecde-3e0d-11eb-90a7-0242ac110003,0662000e-5479-414e-a74e-8da408d52e48,t245_20201214-183049_7
t145_1607951324090_5,gzG4-wbPh,dd0209f4-3e0c-11eb-90a7-0242ac110003,b5e59000-a7a9-495e-92a1-9225308e66fa,t245_20201214-183049_5
t145_1607951327775_4,ro4r-9CHt,c12bba28-3e0c-11eb-a47c-0242ac110003,b012c4db-86b6-4a05-ab80-2319d1ebfc00,t245_20201214-183049_4
t145_1607951329499_6,JTV4-dhqw,fc643fa5-3e0c-11eb-a47c-0242ac110003,df60cf58-73f8-439d-bf84-3936d4be66f7,t245_20201214-183049_6
t145_1607951334927_5,gzG4-wbPh,dd0209f4-3e0c-11eb-90a7-0242ac110003,3bba7e30-b54f-4c59-9a08-23e1c3e76c6b,t245_20201214-183049_5
t145_1607951333935_7,7qTh-vRTz,1b01ecde-3e0d-11eb-90a7-0242ac110003,12bb23d4-ab4c-4618-a43b-eb906b05587b,t245_20201214-183049_7
t145_1607951331200_8,79a3-fm29,38f9bd1c-3e0d-11eb-a47c-0242ac110003,7a6f4874-31f7-4754-b026-7d1e610ba167,t245_20201214-183049_8
t145_1607951337691_4,ro4r-9CHt,c12bba28-3e0c-11eb-a47c-0242ac110003,bf0c24fa-2e78-4f62-a2ef-0a6abec2e3fd,t245_20201214-183049_4
t145_1607951343559_6,JTV4-dhqw,fc643fa5-3e0c-11eb-a47c-0242ac110003,d51400d7-12f5-40bc-b21a-e9aa04973f5e,t245_20201214-183049_6
t145_1607951345193_5,gzG4-wbPh,dd0209f4-3e0c-11eb-90a7-0242ac110003,b9f32144-9d6e-4057-ae6a-aad96e40fc52,t245_20201214-183049_5
t145_1607951348793_8,79a3-fm29,38f9bd1c-3e0d-11eb-a47c-0242ac110003,06fbdfe3-ff3b-4479-873f-bd899f99ca8b,t245_20201214-183049_8
t145_1607951346297_7,7qTh-vRTz,1b01ecde-3e0d-11eb-90a7-0242ac110003,8ec84719-2e22-450e-9f2e-47275911dd71,t245_20201214-183049_7
t145_1607951347577_9,yoje-3Jit,572c4c73-3e0d-11eb-90a7-0242ac110003,337a31ce-280d-4d1c-8918-cad09092d812,t245_20201214-183049_9
t145_1607951354548_4,ro4r-9CHt,c12bba28-3e0c-11eb-a47c-0242ac110003,8db01fd4-914e-4283-828c-391706d2fc8f,t245_20201214-183049_4
t145_1607951357782_6,JTV4-dhqw,fc643fa5-3e0c-11eb-a47c-0242ac110003,1289019e-af0e-4df0-ab41-b7293f53a8b7,t245_20201214-183049_6
t145_1607951362468_8,79a3-fm29,38f9bd1c-3e0d-11eb-a47c-0242ac110003,df46172d-e83c-40c6-a414-6ac1f7970c0d,t245_20201214-183049_8
t145_1607951362254_5,gzG4-wbPh,dd0209f4-3e0c-11eb-90a7-0242ac110003,777761da-be18-4a4b-97d3-04099935be81,t245_20201214-183049_5
t145_1607951363752_7,7qTh-vRTz,1b01ecde-3e0d-11eb-90a7-0242ac110003,60ffe772-d18e-4d8c-97eb-912b1472bf0a,t245_20201214-183049_7
t145_1607951365314_9,yoje-3Jit,572c4c73-3e0d-11eb-90a7-0242ac110003,d8342375-f917-4e36-884c-40b230cfc4ac,t245_20201214-183049_9
t145_1607951369984_6,JTV4-dhqw,fc643fa5-3e0c-11eb-a47c-0242ac110003,283dc992-8703-46dc-b87e-57469a36c4bb,t245_20201214-183049_6
t145_1607951375896_7,7qTh-vRTz,1b01ecde-3e0d-11eb-90a7-0242ac110003,24107c25-d631-4d37-b76b-d2aa7fae63bc,t245_20201214-183049_7
t145_1607951372959_8,79a3-fm29,38f9bd1c-3e0d-11eb-a47c-0242ac110003,063517b3-c5a7-44ac-9ef2-f52b5546d605,t245_20201214-183049_8
t145_1607951378326_9,yoje-3Jit,572c4c73-3e0d-11eb-90a7-0242ac110003,d7402ddd-702a-405b-994f-8de5834cc739,t245_20201214-183049_9
t145_1607951375490_5,gzG4-wbPh,dd0209f4-3e0c-11eb-90a7-0242ac110003,3d40653d-82ba-4a65-941d-e5eb9ee2b9cb,t245_20201214-183049_5
t145_1607951380531_6,JTV4-dhqw,fc643fa5-3e0c-11eb-a47c-0242ac110003,5943fee8-c7f3-4c26-9681-769ef7d09de5,t245_20201214-183049_6
t145_1607951387659_8,79a3-fm29,38f9bd1c-3e0d-11eb-a47c-0242ac110003,70225240-a358-4135-aa3c-643bfbc8c8a5,t245_20201214-183049_8
t145_1607951390914_5,gzG4-wbPh,dd0209f4-3e0c-11eb-90a7-0242ac110003,a3f6ded3-5fa1-43d0-9be0-909d2a7de8d8,t245_20201214-183049_5
t145_1607951386203_7,7qTh-vRTz,1b01ecde-3e0d-11eb-90a7-0242ac110003,f8ae6360-1e4e-41ad-bbee-ce678f2890a3,t245_20201214-183049_7
t145_1607951390772_10,6qhH-6AT2,74c2ea0a-3e0d-11eb-a47c-0242ac110003,cf23699d-8eb3-4682-a701-c3a212d8d070,t245_20201214-183049_10
t145_1607951394575_6,JTV4-dhqw,fc643fa5-3e0c-11eb-a47c-0242ac110003,e7dcce1b-0974-4937-b271-5fcea0fcb9f9,t245_20201214-183049_6
t145_1607951390555_9,yoje-3Jit,572c4c73-3e0d-11eb-90a7-0242ac110003,fbd941e4-c2b5-4aad-ba3f-d72789fac779,t245_20201214-183049_9
t145_1607951398971_8,79a3-fm29,38f9bd1c-3e0d-11eb-a47c-0242ac110003,e7a5076c-629c-441a-81c2-9751f03f5798,t245_20201214-183049_8
t145_1607951402923_7,7qTh-vRTz,1b01ecde-3e0d-11eb-90a7-0242ac110003,8981e453-24d5-4e53-9c7d-3c8df00c7e40,t245_20201214-183049_7
t145_1607951403387_10,6qhH-6AT2,74c2ea0a-3e0d-11eb-a47c-0242ac110003,f2320430-18c1-4c16-a6c8-8f266aaad5e1,t245_20201214-183049_10
t145_1607951402828_5,gzG4-wbPh,dd0209f4-3e0c-11eb-90a7-0242ac110003,11bde0ef-7db0-419e-9bc8-5449622d92e9,t245_20201214-183049_5
t145_1607951406965_9,yoje-3Jit,572c4c73-3e0d-11eb-90a7-0242ac110003,a9c3eb5b-e1ae-4272-bf80-1d9d86d26d53,t245_20201214-183049_9
t145_1607951405294_6,JTV4-dhqw,fc643fa5-3e0c-11eb-a47c-0242ac110003,bcbfe2b7-994c-4bb0-9da9-0f5ca8c3ba7c,t245_20201214-183049_6
t145_1607951414643_10,6qhH-6AT2,74c2ea0a-3e0d-11eb-a47c-0242ac110003,02b7da14-5757-4332-b5d6-365bdf819071,t245_20201214-183049_10
t145_1607951413541_7,7qTh-vRTz,1b01ecde-3e0d-11eb-90a7-0242ac110003,95a063a1-8aff-458b-a04a-a8830cfc45b4,t245_20201214-183049_7
t145_1607951412511_8,79a3-fm29,38f9bd1c-3e0d-11eb-a47c-0242ac110003,fa9edd2d-89cd-4b6b-8701-69ad0e35c4ec,t245_20201214-183049_8
t145_1607951421211_9,yoje-3Jit,572c4c73-3e0d-11eb-90a7-0242ac110003,d2739584-c0ed-4ec0-b908-af19486f15d4,t245_20201214-183049_9
t145_1607951422051_6,JTV4-dhqw,fc643fa5-3e0c-11eb-a47c-0242ac110003,fbf1f6fe-bb94-470b-b7b1-b26486c3b074,t245_20201214-183049_6
t145_1607951429006_7,7qTh-vRTz,1b01ecde-3e0d-11eb-90a7-0242ac110003,66b870c5-8382-4ba5-860a-be0d91cc31c4,t245_20201214-183049_7
t145_1607951427825_10,6qhH-6AT2,74c2ea0a-3e0d-11eb-a47c-0242ac110003,4fe32569-b205-4e04-ac5c-8bf983883a45,t245_20201214-183049_10
t145_1607951430364_8,79a3-fm29,38f9bd1c-3e0d-11eb-a47c-0242ac110003,60b2588f-15fe-4e59-ad53-9f5e3c539470,t245_20201214-183049_8
t145_1607951431615_9,yoje-3Jit,572c4c73-3e0d-11eb-90a7-0242ac110003,db9453a1-7d3d-488d-be18-cae823a41f7d,t245_20201214-183049_9
t145_1607951436437_11,Du8Z-RV6t,90ecb1f5-3e0d-11eb-a47c-0242ac110003,4cce6c7c-da16-4f1d-bf08-73f1ee93eb1a,t245_20201214-183049_11
t145_1607951441045_10,6qhH-6AT2,74c2ea0a-3e0d-11eb-a47c-0242ac110003,91ebbdb0-718a-4a2d-8ee0-aba6e03a463b,t245_20201214-183049_10
t145_1607951440522_7,7qTh-vRTz,1b01ecde-3e0d-11eb-90a7-0242ac110003,2d14395c-19a4-4d42-9a29-86a2c759c291,t245_20201214-183049_7
t145_1607951442274_8,79a3-fm29,38f9bd1c-3e0d-11eb-a47c-0242ac110003,3d61f43d-394d-4989-9ad8-696f74fbed81,t245_20201214-183049_8
t145_1607951438606_6,JTV4-dhqw,fc643fa5-3e0c-11eb-a47c-0242ac110003,c431e23d-0691-4ddb-9be5-dade0d4275c2,t245_20201214-183049_6
t145_1607951449225_11,Du8Z-RV6t,90ecb1f5-3e0d-11eb-a47c-0242ac110003,d4fcbfb0-78a7-4bb9-b5f0-aa76e17bfeec,t245_20201214-183049_11
t145_1607951453043_7,7qTh-vRTz,1b01ecde-3e0d-11eb-90a7-0242ac110003,88b3349c-21aa-4579-986e-3e1f3ed5f882,t245_20201214-183049_7
t145_1607951446278_9,yoje-3Jit,572c4c73-3e0d-11eb-90a7-0242ac110003,8720bbb6-bb98-4a55-ae2c-ce06aad8b5e9,t245_20201214-183049_9
t145_1607951452252_10,6qhH-6AT2,74c2ea0a-3e0d-11eb-a47c-0242ac110003,ce1feefc-e7e4-43bf-a3cf-ecaca0208058,t245_20201214-183049_10
t145_1607951455797_8,79a3-fm29,38f9bd1c-3e0d-11eb-a47c-0242ac110003,36b1fb53-f7f2-4609-b04c-55e0fcda58aa,t245_20201214-183049_8
t145_1607951460059_11,Du8Z-RV6t,90ecb1f5-3e0d-11eb-a47c-0242ac110003,e0547507-36c3-4ed7-b180-1daa8a81e714,t245_20201214-183049_11
