tchextuserjid,classcode,classid,invitationid,tch
t144_1607934757844_1,yd8h-a2Dj,214081df-3de6-11eb-90a7-0242ac110003,5a3d142b-62c1-4958-9a3c-7c5166b2263e,t244_20201214-135750_1
t144_1607934766124_4,BonM-Zs4Z,7bf15d77-3de6-11eb-90a7-0242ac110003,13e8506d-f8b8-4433-83ca-74d3552d31f8,t244_20201214-135750_4
t144_1607934764516_6,mcRj-FCXV,bb361c8b-3de6-11eb-a47c-0242ac110003,838cdb35-11d8-4ddc-8b2f-1a185dcd8cd6,t244_20201214-135750_6
t144_1607934779097_2,8ke7-HV6h,3fdca89e-3de6-11eb-a47c-0242ac110003,03a32443-e718-4f35-9d49-2f518875889d,t244_20201214-135750_2
t144_1607934778941_5,23xt-mYeo,9a9c786b-3de6-11eb-a47c-0242ac110003,b4699087-ec4d-49fe-a437-623b353e122d,t244_20201214-135750_5
t144_1607934776618_3,324M-o6W7,60786fb6-3de6-11eb-90a7-0242ac110003,915b92b2-4e66-41aa-b7f9-0d96c44de371,t244_20201214-135750_3
t144_1607934786750_6,mcRj-FCXV,bb361c8b-3de6-11eb-a47c-0242ac110003,08046ea0-3b6d-4c4b-93c3-dc9f6c758ba9,t244_20201214-135750_6
t144_1607934784465_1,yd8h-a2Dj,214081df-3de6-11eb-90a7-0242ac110003,a05bb1d6-a6d7-4a23-b2f8-7073f8bced15,t244_20201214-135750_1
t144_1607934786561_4,BonM-Zs4Z,7bf15d77-3de6-11eb-90a7-0242ac110003,5811bc14-87fc-4e8d-a7f4-f4c88ff2e91d,t244_20201214-135750_4
t144_1607934800316_2,8ke7-HV6h,3fdca89e-3de6-11eb-a47c-0242ac110003,981676f5-5e65-4173-b934-bd0220186fd9,t244_20201214-135750_2
t144_1607934802373_3,324M-o6W7,60786fb6-3de6-11eb-90a7-0242ac110003,6ff85d42-1ce2-4223-81fc-6d481545a7b2,t244_20201214-135750_3
t144_1607934800638_5,23xt-mYeo,9a9c786b-3de6-11eb-a47c-0242ac110003,be02a96e-48ef-48ab-9927-7c4aa0fba722,t244_20201214-135750_5
t144_1607934807988_6,mcRj-FCXV,bb361c8b-3de6-11eb-a47c-0242ac110003,2efd097d-88e1-4d9b-8cba-4b8f04cca813,t244_20201214-135750_6
t144_1607934810747_7,9aAN-tJLj,d6488021-3de6-11eb-a47c-0242ac110003,940f4fb4-181d-4fef-be8a-e3af036ea4c3,t244_20201214-135750_7
t144_1607934812414_4,BonM-Zs4Z,7bf15d77-3de6-11eb-90a7-0242ac110003,a4d5f6a5-deea-4db6-ae64-8f59dfc316c9,t244_20201214-135750_4
t144_1607934810479_1,yd8h-a2Dj,214081df-3de6-11eb-90a7-0242ac110003,c37bc5f1-e826-4786-a331-4069967bf5e6,t244_20201214-135750_1
t144_1607934824987_3,324M-o6W7,60786fb6-3de6-11eb-90a7-0242ac110003,5df6ae96-de59-40e8-91cf-3d6f5e523b68,t244_20201214-135750_3
t144_1607934825698_5,23xt-mYeo,9a9c786b-3de6-11eb-a47c-0242ac110003,1ad49791-c140-4f46-aa87-f3c1f6cc8834,t244_20201214-135750_5
t144_1607934823170_2,8ke7-HV6h,3fdca89e-3de6-11eb-a47c-0242ac110003,e81b7fd7-7a7e-4510-934d-33b73fbc4786,t244_20201214-135750_2
t144_1607934832279_7,9aAN-tJLj,d6488021-3de6-11eb-a47c-0242ac110003,7de6d5dd-87c3-45aa-8e44-9a67f5b35418,t244_20201214-135750_7
t144_1607934829868_6,mcRj-FCXV,bb361c8b-3de6-11eb-a47c-0242ac110003,525c819a-e845-4747-a734-5dfbaffab2ed,t244_20201214-135750_6
t144_1607934837762_4,BonM-Zs4Z,7bf15d77-3de6-11eb-90a7-0242ac110003,5729db10-9319-49ac-9ca5-8d913319b3c3,t244_20201214-135750_4
t144_1607934837825_1,yd8h-a2Dj,214081df-3de6-11eb-90a7-0242ac110003,7cbbedb0-6c21-4b42-81bd-cc70dad1d904,t244_20201214-135750_1
t144_1607934844799_3,324M-o6W7,60786fb6-3de6-11eb-90a7-0242ac110003,ad334528-510f-40f3-b341-ecea6de595b7,t244_20201214-135750_3
t144_1607934847904_2,8ke7-HV6h,3fdca89e-3de6-11eb-a47c-0242ac110003,58fe0d38-e192-43d5-83de-eee81f1f411c,t244_20201214-135750_2
t144_1607934845237_5,23xt-mYeo,9a9c786b-3de6-11eb-a47c-0242ac110003,b3cd67ea-66f8-4e0f-bef1-3fe9d66caaea,t244_20201214-135750_5
t144_1607934852050_7,9aAN-tJLj,d6488021-3de6-11eb-a47c-0242ac110003,62d96d10-0f6c-4ea6-bb63-d53ebf304c3c,t244_20201214-135750_7
t144_1607934853634_6,mcRj-FCXV,bb361c8b-3de6-11eb-a47c-0242ac110003,05c743a9-0f1f-4fa0-8052-3f6c811aad18,t244_20201214-135750_6
t144_1607934856612_8,L24c-xT4K,f3583a7e-3de6-11eb-a47c-0242ac110003,5bc631ab-5a78-4fc3-b8c3-9573f2150d26,t244_20201214-135750_8
t144_1607934860685_4,BonM-Zs4Z,7bf15d77-3de6-11eb-90a7-0242ac110003,336c0717-a47f-4003-a75f-1d6774069194,t244_20201214-135750_4
t144_1607934861300_1,yd8h-a2Dj,214081df-3de6-11eb-90a7-0242ac110003,bcf8d9b7-52d3-46ec-a058-819e2e6ebb9e,t244_20201214-135750_1
t144_1607934866652_3,324M-o6W7,60786fb6-3de6-11eb-90a7-0242ac110003,da1c39b8-7c69-4bd0-b504-4bbd28d3d525,t244_20201214-135750_3
t144_1607934869333_2,8ke7-HV6h,3fdca89e-3de6-11eb-a47c-0242ac110003,bcf53bde-6f07-4d0c-a76e-24d286291549,t244_20201214-135750_2
t144_1607934871258_5,23xt-mYeo,9a9c786b-3de6-11eb-a47c-0242ac110003,122d4467-ce53-45a6-8c6a-86677a04b56d,t244_20201214-135750_5
t144_1607934877106_7,9aAN-tJLj,d6488021-3de6-11eb-a47c-0242ac110003,03bd572f-ef66-4e32-b8e0-f73b3dba0e02,t244_20201214-135750_7
t144_1607934878402_6,mcRj-FCXV,bb361c8b-3de6-11eb-a47c-0242ac110003,b0a0f763-f9c2-4dbc-9765-23f0d711c900,t244_20201214-135750_6
t144_1607934881430_4,BonM-Zs4Z,7bf15d77-3de6-11eb-90a7-0242ac110003,ad9a234d-b081-48d0-8e1d-415659db3845,t244_20201214-135750_4
t144_1607934883693_1,yd8h-a2Dj,214081df-3de6-11eb-90a7-0242ac110003,680e193f-0628-4da0-999e-e1c265ec5fdf,t244_20201214-135750_1
t144_1607934879356_8,L24c-xT4K,f3583a7e-3de6-11eb-a47c-0242ac110003,6d9233f5-1579-401c-bd88-9959c762bf95,t244_20201214-135750_8
t144_1607934887368_3,324M-o6W7,60786fb6-3de6-11eb-90a7-0242ac110003,bf678f64-d205-4fec-8f11-c74a000bc177,t244_20201214-135750_3
t144_1607934891042_2,8ke7-HV6h,3fdca89e-3de6-11eb-a47c-0242ac110003,fd327025-f60b-4793-874d-dda3185afce4,t244_20201214-135750_2
t144_1607934896140_7,9aAN-tJLj,d6488021-3de6-11eb-a47c-0242ac110003,9ed44427-e9fe-4621-9011-ebf2f56fe40b,t244_20201214-135750_7
t144_1607934896214_6,mcRj-FCXV,bb361c8b-3de6-11eb-a47c-0242ac110003,44d85c62-1363-4c88-b86e-60773f1b0664,t244_20201214-135750_6
t144_1607934894510_5,23xt-mYeo,9a9c786b-3de6-11eb-a47c-0242ac110003,ddee822c-2789-4a87-a2fa-5aa024348d08,t244_20201214-135750_5
t144_1607934902334_1,yd8h-a2Dj,214081df-3de6-11eb-90a7-0242ac110003,ee33dd1c-187f-44ff-a6ad-ea22178d664a,t244_20201214-135750_1
t144_1607934901920_4,BonM-Zs4Z,7bf15d77-3de6-11eb-90a7-0242ac110003,60bdc729-096b-45e0-8197-c8cdb1709ace,t244_20201214-135750_4
t144_1607934905186_3,324M-o6W7,60786fb6-3de6-11eb-90a7-0242ac110003,304f5657-7447-4fb5-b1e4-18311640f4a0,t244_20201214-135750_3
t144_1607934902473_8,L24c-xT4K,f3583a7e-3de6-11eb-a47c-0242ac110003,5e65611a-ca51-4fd9-b343-2a2ec8ce1973,t244_20201214-135750_8
t144_1607934910430_9,7qnt-yYcN,107ab9a9-3de7-11eb-90a7-0242ac110003,e1c12277-bdd1-40db-aebb-893d9c85e782,t244_20201214-135750_9
t144_1607934911985_2,8ke7-HV6h,3fdca89e-3de6-11eb-a47c-0242ac110003,eea35e8b-8b2d-448a-b7c4-793705648644,t244_20201214-135750_2
t144_1607934920189_5,23xt-mYeo,9a9c786b-3de6-11eb-a47c-0242ac110003,21f556f4-4173-47ac-ae07-2b0faad8d255,t244_20201214-135750_5
t144_1607934919377_6,mcRj-FCXV,bb361c8b-3de6-11eb-a47c-0242ac110003,c9a156b6-2cda-49ec-8f40-84f832146354,t244_20201214-135750_6
t144_1607934917720_7,9aAN-tJLj,d6488021-3de6-11eb-a47c-0242ac110003,8ac03f42-dd11-4765-91f2-1efe57d0ab35,t244_20201214-135750_7
t144_1607934924691_4,BonM-Zs4Z,7bf15d77-3de6-11eb-90a7-0242ac110003,3a675b9c-c581-44ec-a95e-a7eb8ee27ed4,t244_20201214-135750_4
t144_1607934922483_1,yd8h-a2Dj,214081df-3de6-11eb-90a7-0242ac110003,fe655a4b-ceb8-49f8-9d6c-0e47e5784722,t244_20201214-135750_1
t144_1607934926161_3,324M-o6W7,60786fb6-3de6-11eb-90a7-0242ac110003,5421105a-c220-455a-b72b-a39741468ec8,t244_20201214-135750_3
t144_1607934928589_8,L24c-xT4K,f3583a7e-3de6-11eb-a47c-0242ac110003,a4571085-cd83-4767-936d-8a0883c4092b,t244_20201214-135750_8
t144_1607934934967_9,7qnt-yYcN,107ab9a9-3de7-11eb-90a7-0242ac110003,eb96314b-01ba-4d12-831d-b52b4eea300e,t244_20201214-135750_9
t144_1607934941395_7,9aAN-tJLj,d6488021-3de6-11eb-a47c-0242ac110003,43db6c55-8ba3-4b7a-83a6-b906bf61465d,t244_20201214-135750_7
t144_1607934935333_2,8ke7-HV6h,3fdca89e-3de6-11eb-a47c-0242ac110003,b532454e-3b35-46ac-80b8-aaf142a08b42,t244_20201214-135750_2
t144_1607934940754_6,mcRj-FCXV,bb361c8b-3de6-11eb-a47c-0242ac110003,ab024119-c1af-4dd7-b007-274637aa4819,t244_20201214-135750_6
t144_1607934940562_5,23xt-mYeo,9a9c786b-3de6-11eb-a47c-0242ac110003,d461099f-d933-42bf-8be5-7ced15157117,t244_20201214-135750_5
t144_1607934944452_1,yd8h-a2Dj,214081df-3de6-11eb-90a7-0242ac110003,38ffbb74-4fcf-46d8-b5af-15a8d8119548,t244_20201214-135750_1
t144_1607934942466_4,BonM-Zs4Z,7bf15d77-3de6-11eb-90a7-0242ac110003,8044d99f-0a5a-4da9-b331-680a277c9cdb,t244_20201214-135750_4
t144_1607934947123_3,324M-o6W7,60786fb6-3de6-11eb-90a7-0242ac110003,c6305624-7771-46d9-80ae-caefc3715f18,t244_20201214-135750_3
t144_1607934952694_8,L24c-xT4K,f3583a7e-3de6-11eb-a47c-0242ac110003,34e4d437-5e8e-4aaf-9deb-db656560ddd9,t244_20201214-135750_8
t144_1607934961612_2,8ke7-HV6h,3fdca89e-3de6-11eb-a47c-0242ac110003,6cf77f86-5465-4ff0-b31e-41c333e97ff0,t244_20201214-135750_2
t144_1607934957210_9,7qnt-yYcN,107ab9a9-3de7-11eb-90a7-0242ac110003,6b428098-75df-459e-8e45-dd20ed2d6f9f,t244_20201214-135750_9
t144_1607934961301_7,9aAN-tJLj,d6488021-3de6-11eb-a47c-0242ac110003,78ec9aaa-35be-41e9-ab38-5140b522b6d5,t244_20201214-135750_7
t144_1607934960809_10,7RQ8-hVXu,32623ab8-3de7-11eb-a47c-0242ac110003,f3f0f95d-eb98-4fca-b220-868b5a237040,t244_20201214-135750_10
t144_1607934965255_5,23xt-mYeo,9a9c786b-3de6-11eb-a47c-0242ac110003,d16b03bd-925a-4cbf-b905-6a2de17bf31f,t244_20201214-135750_5
t144_1607934964102_6,mcRj-FCXV,bb361c8b-3de6-11eb-a47c-0242ac110003,13a89e7f-4350-4c54-b66f-77b53ddcf93f,t244_20201214-135750_6
t144_1607934968161_4,BonM-Zs4Z,7bf15d77-3de6-11eb-90a7-0242ac110003,c4ef444a-c503-470c-a373-4920f2fddcc9,t244_20201214-135750_4
t144_1607934971376_3,324M-o6W7,60786fb6-3de6-11eb-90a7-0242ac110003,ccfa5323-d445-4b96-bfcf-91cc7d4b8614,t244_20201214-135750_3
t144_1607934976148_8,L24c-xT4K,f3583a7e-3de6-11eb-a47c-0242ac110003,a46c3b22-a91d-47f2-9b1b-6ce8232b8e20,t244_20201214-135750_8
t144_1607934980329_2,8ke7-HV6h,3fdca89e-3de6-11eb-a47c-0242ac110003,a9df370d-dd1f-4523-8eaf-cc71c887c2ce,t244_20201214-135750_2
t144_1607934982844_9,7qnt-yYcN,107ab9a9-3de7-11eb-90a7-0242ac110003,2c8540c2-1587-4967-92ef-6105a679872a,t244_20201214-135750_9
t144_1607934986003_5,23xt-mYeo,9a9c786b-3de6-11eb-a47c-0242ac110003,2b6f1741-8276-4d7d-ad9a-f1182beed758,t244_20201214-135750_5
t144_1607934983905_10,7RQ8-hVXu,32623ab8-3de7-11eb-a47c-0242ac110003,1471ecd7-d4cd-4c97-a902-883d834fbbd4,t244_20201214-135750_10
t144_1607934983606_7,9aAN-tJLj,d6488021-3de6-11eb-a47c-0242ac110003,2604e197-3ee6-4775-80af-a171fde32ef0,t244_20201214-135750_7
t144_1607934990050_6,mcRj-FCXV,bb361c8b-3de6-11eb-a47c-0242ac110003,e96b8ade-1c29-4a87-a55b-fb8d9b5fb59b,t244_20201214-135750_6
t144_1607934993335_4,BonM-Zs4Z,7bf15d77-3de6-11eb-90a7-0242ac110003,0035740d-8506-4f09-8656-60edae8330d9,t244_20201214-135750_4
t144_1607934994400_3,324M-o6W7,60786fb6-3de6-11eb-90a7-0242ac110003,3c1e8386-778a-4cc2-9729-02efda0aee9c,t244_20201214-135750_3
t144_1607934997383_8,L24c-xT4K,f3583a7e-3de6-11eb-a47c-0242ac110003,b25c3174-95e2-42f9-a836-75c4c6479270,t244_20201214-135750_8
t144_1607935007323_5,23xt-mYeo,9a9c786b-3de6-11eb-a47c-0242ac110003,ca3ee2df-991b-47cf-b662-dfa984d00a31,t244_20201214-135750_5
t144_1607935004280_9,7qnt-yYcN,107ab9a9-3de7-11eb-90a7-0242ac110003,1c6db9a9-301d-447f-847f-7bdc7589df26,t244_20201214-135750_9
t144_1607935007362_10,7RQ8-hVXu,32623ab8-3de7-11eb-a47c-0242ac110003,0cdd456c-9d59-4d89-b1e2-3850ec3bbd2c,t244_20201214-135750_10
t144_1607935008884_6,mcRj-FCXV,bb361c8b-3de6-11eb-a47c-0242ac110003,bc564b50-3341-41cf-9524-801aa411581c,t244_20201214-135750_6
t144_1607935007475_7,9aAN-tJLj,d6488021-3de6-11eb-a47c-0242ac110003,473c7ab9-c9a0-4a37-aed6-df9c642d7b1e,t244_20201214-135750_7
t144_1607935015285_11,v8YJ-ubRn,4f13814f-3de7-11eb-90a7-0242ac110003,47534dcf-6ee1-4eec-aa0f-e53a8dc95e6a,t244_20201214-135750_11
t144_1607935017709_3,324M-o6W7,60786fb6-3de6-11eb-90a7-0242ac110003,e6878fdb-283d-4db9-90a1-64e91d8f8df5,t244_20201214-135750_3
t144_1607935017241_4,BonM-Zs4Z,7bf15d77-3de6-11eb-90a7-0242ac110003,72d65f0f-ee37-4af3-a57a-f5e613b6b286,t244_20201214-135750_4
t144_1607935020316_8,L24c-xT4K,f3583a7e-3de6-11eb-a47c-0242ac110003,7aa8de11-b86c-47c0-9b70-4e1711d77c5a,t244_20201214-135750_8
t144_1607935028477_10,7RQ8-hVXu,32623ab8-3de7-11eb-a47c-0242ac110003,6371eb52-9649-4d28-9aed-d984061a979b,t244_20201214-135750_10
t144_1607935026815_5,23xt-mYeo,9a9c786b-3de6-11eb-a47c-0242ac110003,8f286e53-05cf-4d8a-9215-ea32d46c379a,t244_20201214-135750_5
t144_1607935028273_9,7qnt-yYcN,107ab9a9-3de7-11eb-90a7-0242ac110003,81dd0bd2-0310-4947-ba18-d42f3b98dcfd,t244_20201214-135750_9
t144_1607935031634_7,9aAN-tJLj,d6488021-3de6-11eb-a47c-0242ac110003,8cc73076-3bd9-4282-b35f-9b30f988f8fb,t244_20201214-135750_7
t144_1607935028494_6,mcRj-FCXV,bb361c8b-3de6-11eb-a47c-0242ac110003,b4c4e3ff-8fd6-48a2-8dc6-376c8f2c55b5,t244_20201214-135750_6
t144_1607935035033_11,v8YJ-ubRn,4f13814f-3de7-11eb-90a7-0242ac110003,ef2e5212-3e9f-42e7-8c9a-e2042706d432,t244_20201214-135750_11
t144_1607935042662_4,BonM-Zs4Z,7bf15d77-3de6-11eb-90a7-0242ac110003,33534378-e000-4f04-80b3-ebb63c572d12,t244_20201214-135750_4
t144_1607935041214_3,324M-o6W7,60786fb6-3de6-11eb-90a7-0242ac110003,9e9bc0c5-40a4-43c8-9f63-2aa9aa171098,t244_20201214-135750_3
t144_1607935047804_10,7RQ8-hVXu,32623ab8-3de7-11eb-a47c-0242ac110003,216c0e69-fcfb-472e-a5a4-8ae97130a3d4,t244_20201214-135750_10
t144_1607935044800_8,L24c-xT4K,f3583a7e-3de6-11eb-a47c-0242ac110003,13e3e252-7a4d-43e6-b8a8-c61e44a5128a,t244_20201214-135750_8
t144_1607935050579_5,23xt-mYeo,9a9c786b-3de6-11eb-a47c-0242ac110003,5f7c593b-32b7-4d17-b407-2305070ceff3,t244_20201214-135750_5
t144_1607935052861_12,g3Ju-38Xf,6a29b57e-3de7-11eb-90a7-0242ac110003,f600ab0c-c7c3-45c8-89d9-ae9e5b5c65f3,t244_20201214-135750_12
t144_1607935057586_11,v8YJ-ubRn,4f13814f-3de7-11eb-90a7-0242ac110003,36ba0394-ebc9-4f78-b8a8-68eb90f00b66,t244_20201214-135750_11
t144_1607935055608_6,mcRj-FCXV,bb361c8b-3de6-11eb-a47c-0242ac110003,19f0dd25-9f48-418b-b33c-6750ff9022eb,t244_20201214-135750_6
t144_1607935052206_9,7qnt-yYcN,107ab9a9-3de7-11eb-90a7-0242ac110003,4df565a8-22ac-4a7b-abec-c9ea97f3e16f,t244_20201214-135750_9
t144_1607935055451_7,9aAN-tJLj,d6488021-3de6-11eb-a47c-0242ac110003,c76892d8-89f6-41f9-bcca-6925ae106efa,t244_20201214-135750_7
t144_1607935062823_4,BonM-Zs4Z,7bf15d77-3de6-11eb-90a7-0242ac110003,af43c161-4a8d-4778-a28c-90e142db94bc,t244_20201214-135750_4
t144_1607935070789_8,L24c-xT4K,f3583a7e-3de6-11eb-a47c-0242ac110003,4c34d8ed-2fc9-4bc5-9dc0-592b7ee02a17,t244_20201214-135750_8
t144_1607935069954_10,7RQ8-hVXu,32623ab8-3de7-11eb-a47c-0242ac110003,cc3c69aa-663d-4fcc-894e-f0447a5fe9c8,t244_20201214-135750_10
t144_1607935074065_5,23xt-mYeo,9a9c786b-3de6-11eb-a47c-0242ac110003,4b4b258d-1452-4a80-a0b6-2d74496b93c7,t244_20201214-135750_5
t144_1607935077224_6,mcRj-FCXV,bb361c8b-3de6-11eb-a47c-0242ac110003,75491ba8-25af-4e67-930f-db0dfe6f7eb9,t244_20201214-135750_6
t144_1607935075252_12,g3Ju-38Xf,6a29b57e-3de7-11eb-90a7-0242ac110003,d8c05868-19d4-4511-8478-d022e0139f71,t244_20201214-135750_12
t144_1607935076666_11,v8YJ-ubRn,4f13814f-3de7-11eb-90a7-0242ac110003,a7f550e2-6baa-4ad2-965b-467b6e42cf2a,t244_20201214-135750_11
t144_1607935079381_7,9aAN-tJLj,d6488021-3de6-11eb-a47c-0242ac110003,cc5e410b-bfff-4f62-bc3f-745e1c29e053,t244_20201214-135750_7
t144_1607935077837_9,7qnt-yYcN,107ab9a9-3de7-11eb-90a7-0242ac110003,1f028d66-5ea2-40e9-ab36-ab4ede0a529e,t244_20201214-135750_9
t144_1607935091833_8,L24c-xT4K,f3583a7e-3de6-11eb-a47c-0242ac110003,0b35cfdf-ec1f-4007-b306-95d644fe5857,t244_20201214-135750_8
t144_1607935087996_4,BonM-Zs4Z,7bf15d77-3de6-11eb-90a7-0242ac110003,35adfad4-8628-47e5-abcd-710a529357ea,t244_20201214-135750_4
t144_1607935095636_5,23xt-mYeo,9a9c786b-3de6-11eb-a47c-0242ac110003,717ab69b-1ca1-4b43-8d8f-a08f3508efa0,t244_20201214-135750_5
t144_1607935097001_6,mcRj-FCXV,bb361c8b-3de6-11eb-a47c-0242ac110003,03ebb4db-11a8-40d5-b14b-aa4b1a7ba2c7,t244_20201214-135750_6
t144_1607935094243_10,7RQ8-hVXu,32623ab8-3de7-11eb-a47c-0242ac110003,d6e2d36f-b3f6-490b-bf60-41a9b5319fdd,t244_20201214-135750_10
t144_1607935098857_11,v8YJ-ubRn,4f13814f-3de7-11eb-90a7-0242ac110003,2e90e8f2-3039-41c0-86ef-a30ac61c853f,t244_20201214-135750_11
t144_1607935100040_7,9aAN-tJLj,d6488021-3de6-11eb-a47c-0242ac110003,fc3ddc23-daca-4de0-b346-b984449f8737,t244_20201214-135750_7
t144_1607935097638_12,g3Ju-38Xf,6a29b57e-3de7-11eb-90a7-0242ac110003,a44b0510-1a6e-41c1-b743-0351584cfc2e,t244_20201214-135750_12
t144_1607935104386_9,7qnt-yYcN,107ab9a9-3de7-11eb-90a7-0242ac110003,ff486795-7605-4ade-a8d5-ebaffeedb230,t244_20201214-135750_9
