teacher,classcode,c,d,e,f,g,h
tch_20200519-152222_36,class_20200519-152222_36,Jgc9-49p3,,,,,
tch_20200519-152222_37,class_20200519-152222_37,3ybh-WMc9,,,,,
tch_20200519-152222_38,class_20200519-152222_38,bWTk-ZmTE,,,,,
tch_20200519-152222_39,class_20200519-152222_39,YnyQ-wY7V,,,,,
tch_20200519-152222_40,class_20200519-152222_40,yxKn-WLq7,,,,,
tch_20200519-152222_41,class_20200519-152222_41,XiZP-uXYU,,,,,
tch_20200519-152222_42,class_20200519-152222_42,uhoD-MTn7,,,,,
tch_20200519-152222_43,class_20200519-152222_43,FN4x-cBHN,,,,,
tch_20200519-152222_44,class_20200519-152222_44,pyfk-z3ez,,,,,
tch_20200519-152222_45,class_20200519-152222_45,dDpb-vBhq,,,,,
tch_20200519-152222_46,class_20200519-152222_46,QiE7-63pa,,,,,
tch_20200519-152222_48,class_20200519-152222_48,G9T3-Qu4Y,,,,,
tch_20200519-152222_47,class_20200519-152222_47,CTZp-qE72,,,,,
tch_20200519-152222_49,class_20200519-152222_49,DW9U-GD9s,,,,,
tch_20200519-152222_50,class_20200519-152222_50,id8t-6dnj,,,,,
tch_20200519-152222_51,class_20200519-152222_51,u8yt-G6jE,,,,,
tch_20200519-152222_52,class_20200519-152222_52,BsHt-Xi9f,,,,,
tch_20200519-152222_53,class_20200519-152222_53,Tq9q-2F7Z,,,,,
tch_20200519-152222_54,class_20200519-152222_54,etdV-PmXo,,,,,
tch_20200519-152222_55,class_20200519-152222_55,WXL6-jTze,,,,,
tch_20200519-152222_56,class_20200519-152222_56,RqNP-c2Qi,,,,,
tch_20200519-152222_57,class_20200519-152222_57,9N64-rMs6,,,,,
tch_20200519-152222_58,class_20200519-152222_58,Ygor-79Fe,,,,,
tch_20200519-152222_59,class_20200519-152222_59,9M79-k8F6,,,,,
tch_20200519-152222_60,class_20200519-152222_60,f8G3-7hHr,,,,,
tch_20200519-152222_61,class_20200519-152222_61,s3mC-46k2,,,,,
tch_20200519-152222_62,class_20200519-152222_62,ueW3-e6DJ,,,,,
tch_20200519-152222_63,class_20200519-152222_63,i4x2-Y4vR,,,,,
tch_20200519-152222_64,class_20200519-152222_64,v7YC-3xdG,,,,,
tch_20200519-152222_65,class_20200519-152222_65,3v27-6sJv,,,,,
tch_20200519-152222_66,class_20200519-152222_66,oq6Z-Po4i,,,,,
tch_20200519-152222_67,class_20200519-152222_67,8p8D-BFKF,,,,,
tch_20200519-152222_68,class_20200519-152222_68,8pZx-cChj,,,,,
tch_20200519-152222_69,class_20200519-152222_69,sXWc-9pHv,,,,,
tch_20200519-152222_70,class_20200519-152222_70,7Q2W-p7QB,,,,,
tch_20200519-152222_71,class_20200519-152222_71,2r8M-6d49,,,,,
tch_20200519-152222_72,class_20200519-152222_72,kiF7-fNiv,,,,,
tch_20200519-152222_73,class_20200519-152222_73,N78w-jhm7,,,,,
tch_20200519-152222_74,class_20200519-152222_74,erHc-YLf9,,,,,
tch_20200519-152222_75,class_20200519-152222_75,Gsp9-Mf3Z,,,,,
tch_20200519-152222_76,class_20200519-152222_76,cDN3-EteJ,,,,,
tch_20200519-152222_77,class_20200519-152222_77,qPQh-oVEe,,,,,
tch_20200519-152222_78,class_20200519-152222_78,u73y-VsQT,,,,,
tch_20200519-152222_79,class_20200519-152222_79,XwnY-936e,,,,,
tch_20200519-152222_80,class_20200519-152222_80,732A-RqQn,,,,,
tch_20200506-101503_1,class_20200506-101503_1,9Z4e-tkRX,a732f447-7e08-41f7-97d4-10e49a73f4c1,89d195eb-558a-4784-bf5d-0b90060eb636,ee554be6-524c-4098-8822-7f30d8141fb2,3f09910b-ef41-4e73-8c0f-77e4bb21321e,4788fdab-6e18-4c00-aad0-6693e3ca9d87
tch_20200506-101503_2,class_20200506-101503_2,vFp2-J8HF,0b932480-4633-44e0-97d6-51e37197c1d8,a9d835eb-78b6-4519-a1ad-79371d77a020,61d06596-96b2-4af0-aac3-1a1608a7eb9d,f2f21da9-9d2a-4f6d-98b5-97b184e70f78,ae9624c7-1718-405b-b12d-05ed94ac1861
tch_20200506-101503_3,class_20200506-101503_3,8Yf6-t7AM,bce5ea5e-25cc-4636-ac9e-2ef3d7ad621a,5a59a764-e59e-49fc-98dd-ab4cc9e6692d,98647f1d-5d5b-4138-9175-fb3e69c2f7ca,950c3181-6f57-409f-866c-11f65ce4f910,00d0102e-a10a-47ff-a624-706985a2753a
tch_20200506-101503_4,class_20200506-101503_4,C6F9-mku7,434e9c57-3e9d-4d2f-888c-cbc84f8bd454,29d71ed2-da0b-452a-a41c-4a9d3cbd4f6e,f6cb2308-fe94-4959-aeda-5cc1efaa217b,6905c6e0-4bd1-45f4-9701-6df4831b64d9,2b953941-3b94-4d4a-b3ac-a4d8ad363c4d
tch_20200506-101503_5,class_20200506-101503_5,dePw-oyU2,9a1d2af2-90d2-4ede-9209-6a385e69cff3,3c0453dc-cca9-4343-b145-242914e7b993,977142da-21a9-44e0-a933-b8de9e7113f1,ed4aada5-54fd-4270-9000-6faac46d3e6b,60a0b988-4f29-4a55-b3bf-66858636c281
tch_20200506-101503_6,class_20200506-101503_6,N6Vn-Knvf,75a32223-7fae-4551-b9a5-a36a308de7ff,dc95848a-9b8e-4859-a1fa-d57a15550593,1aa797ce-9dd8-4846-8871-b545fa79f388,86a1220b-7658-45e9-9046-972c46bc2c15,868c17ab-c977-4f57-8460-cf426cd549d4
tch_20200506-101503_8,class_20200506-101503_8,BvEN-9NG4,040bd0a6-3302-4066-aa43-849305f9966f,18c424d1-b660-4eab-816b-a362e56c8225,23255ded-4a04-4df8-9291-d571777e6627,97f37e92-d9ec-4bea-ad6e-28560a3d849d,c0ee66de-abda-4832-a308-5972b0f0ac22
tch_20200506-101503_7,class_20200506-101503_7,DWVt-7634,9fa66999-3d8f-4c02-b50f-e60d306a148a,84d494c9-d0cf-4ab7-a577-ec70c29ff894,d5a0223c-bc1e-4821-bb4a-6e288838274d,ca148faa-ff89-4732-8d95-3b6dba607a19,ee8766a4-17c5-41ac-aaf0-73215c69911e
tch_20200506-101503_9,class_20200506-101503_9,V43p-346o,a2b4649b-790f-4b84-8617-8ebe08d6ce58,14f9067b-d7fb-445e-9351-25a9eef2e864,961dee58-39ac-4f8e-bd15-224a48c89fec,e97eb945-7840-41bf-a36c-8509fc2137de,558b9dc5-ef7c-4088-881f-dfface6cf7f8
tch_20200506-101503_10,class_20200506-101503_10,8M9D-AWe9,cd2ad0c2-2d0c-4122-86cf-093c9c6337db,43263e2f-5171-4ea1-a404-4cb7916347f9,c42e7954-e309-4680-baf0-1b1c02fa7e23,649c9895-c354-4808-ac52-149f6b994edb,52833dd9-3a89-43c1-b74c-66745520f714
tch_20200511-194843_886,class_20200511-194843_886,R7vD-KHw6,,,,,
tch_20200511-194843_888,class_20200511-194843_888,8otb-H48h,,,,,
tch_20200511-194843_889,class_20200511-194843_889,62w4-REVL,,,,,
tch_20200511-194843_891,class_20200511-194843_891,7e6L-QWy8,,,,,
tch_20200511-194843_890,class_20200511-194843_890,6XCh-3cXC,,,,,
tch_20200511-194843_892,class_20200511-194843_892,2Zbx-9M9q,,,,,
tch_20200511-194843_893,class_20200511-194843_893,87P9-87vC,,,,,
tch_20200511-194843_894,class_20200511-194843_894,XohR-7HEh,,,,,
tch_20200511-194843_896,class_20200511-194843_896,CqGW-PGVx,,,,,
tch_20200511-194843_895,class_20200511-194843_895,iVsV-Tf2R,,,,,
tch_20200511-194843_897,class_20200511-194843_897,NVe7-dvdj,,,,,
tch_20200511-194843_899,class_20200511-194843_899,G2QA-7CBw,,,,,
tch_20200511-194843_898,class_20200511-194843_898,cFD2-79rv,,,,,
tch_20200511-194843_900,class_20200511-194843_900,MLah-9xLh,,,,,
tch_20200511-194843_901,class_20200511-194843_901,UV2g-79ki,,,,,
tch_20200511-194843_902,class_20200511-194843_902,v76z-bE7H,,,,,
tch_20200511-194843_903,class_20200511-194843_903,q2c7-QNGo,,,,,
tch_20200511-194843_904,class_20200511-194843_904,Tc6T-74Eb,,,,,
tch_20200511-194843_905,class_20200511-194843_905,KwKL-RPTv,,,,,
tch_20200511-194843_906,class_20200511-194843_906,3grs-9dUn,,,,,
tch_20200511-194843_907,class_20200511-194843_907,dcf9-28Ju,,,,,
tch_20200511-194843_908,class_20200511-194843_908,8Yyu-AjH6,,,,,
tch_20200511-194843_910,class_20200511-194843_910,tBCx-P2oD,,,,,
tch_20200511-194843_909,class_20200511-194843_909,9w6D-269d,,,,,
tch_20200511-194843_911,class_20200511-194843_911,76dz-mKyk,,,,,
tch_20200511-194843_913,class_20200511-194843_913,4wGB-4Vxi,,,,,
tch_20200511-194843_912,class_20200511-194843_912,AmwK-Nar2,,,,,
tch_20200511-194843_914,class_20200511-194843_914,8vog-hGLi,,,,,
tch_20200511-194843_915,class_20200511-194843_915,73m2-E4zy,,,,,
tch_20200511-194843_917,class_20200511-194843_917,o7gN-6uwb,,,,,
tch_20200511-194843_916,class_20200511-194843_916,pR4U-ovBN,,,,,
tch_20200511-194843_918,class_20200511-194843_918,2d6P-732L,,,,,
tch_20200511-194843_919,class_20200511-194843_919,9qM4-Ps9t,,,,,
tch_20200511-194843_920,class_20200511-194843_920,bKRN-8ozT,,,,,
tch_20200511-194843_922,class_20200511-194843_922,fLGw-3ojU,,,,,
tch_20200511-194843_921,class_20200511-194843_921,z93t-CbyN,,,,,
tch_20200511-194843_923,class_20200511-194843_923,jqvB-Qx67,,,,,
tch_20200511-194843_924,class_20200511-194843_924,zG8o-2Lsh,,,,,
tch_20200511-194843_926,class_20200511-194843_926,86iV-EN6v,,,,,
tch_20200511-194843_925,class_20200511-194843_925,CVvq-dL28,,,,,
tch_20200511-194843_927,class_20200511-194843_927,oZJ7-VAKp,,,,,
tch_20200511-194843_928,class_20200511-194843_928,TJN4-bu7h,,,,,
tch_20200511-194843_929,class_20200511-194843_929,Re86-cpws,,,,,
tch_20200511-194843_930,class_20200511-194843_930,4X8U-hM9v,,,,,
tch_20200511-194843_932,class_20200511-194843_932,LhKL-onbn,,,,,
tch_20200511-194843_931,class_20200511-194843_931,e9R8-wrF8,,,,,
tch_20200511-194843_933,class_20200511-194843_933,eBi3-P9V2,,,,,
tch_20200511-194843_934,class_20200511-194843_934,p8e7-c9MV,,,,,
tch_20200511-194843_935,class_20200511-194843_935,P9h4-Bg83,,,,,
tch_20200511-194843_937,class_20200511-194843_937,jw9Z-RwYL,,,,,
tch_20200511-194843_936,class_20200511-194843_936,D6gL-iEAo,,,,,
tch_20200511-194843_939,class_20200511-194843_939,6dL8-pCBq,,,,,
tch_20200511-194843_938,class_20200511-194843_938,cDjN-P6cd,,,,,
tch_20200511-194843_940,class_20200511-194843_940,YU4W-4d3D,,,,,
tch_20200511-194843_941,class_20200511-194843_941,u2aJ-hTjD,,,,,
tch_20200511-194843_942,class_20200511-194843_942,cvd6-Z2mq,,,,,
tch_20200511-194843_943,class_20200511-194843_943,x6s8-6393,,,,,
tch_20200511-194843_945,class_20200511-194843_945,8Fq9-Fecd,,,,,
tch_20200511-194843_944,class_20200511-194843_944,YyoJ-7nPG,,,,,
tch_20200511-194843_946,class_20200511-194843_946,h69P-a9Ax,,,,,
tch_20200511-194843_947,class_20200511-194843_947,iZ2v-whQ7,,,,,
tch_20200511-194843_948,class_20200511-194843_948,sg3C-mLow,,,,,
tch_20200511-194843_949,class_20200511-194843_949,EatD-Z8D8,,,,,
tch_20200511-194843_950,class_20200511-194843_950,tgP9-aMd2,,,,,
tch_20200511-194843_951,class_20200511-194843_951,zp48-97Ef,,,,,
tch_20200511-194843_952,class_20200511-194843_952,3Xs3-nokC,,,,,
tch_20200511-194843_953,class_20200511-194843_953,r9KJ-Wf2F,,,,,
tch_20200511-194843_954,class_20200511-194843_954,CXB9-xhK6,,,,,
tch_20200511-194843_956,class_20200511-194843_956,7p7Z-9vtd,,,,,
tch_20200511-194843_955,class_20200511-194843_955,7iQ3-Wf2b,,,,,
tch_20200511-194843_957,class_20200511-194843_957,2E2h-7gPM,,,,,
tch_20200511-194843_958,class_20200511-194843_958,Ecs9-24My,,,,,
tch_20200511-194843_959,class_20200511-194843_959,3mKn-HTkR,,,,,
tch_20200511-194843_960,class_20200511-194843_960,ugvz-NzsM,,,,,
tch_20200511-194843_962,class_20200511-194843_962,7KE6-h989,,,,,
tch_20200511-194843_961,class_20200511-194843_961,R9uE-G4iY,,,,,
tch_20200511-194843_963,class_20200511-194843_963,xc2b-R9Aa,,,,,
tch_20200511-194843_964,class_20200511-194843_964,erby-PFVW,,,,,
tch_20200511-194843_965,class_20200511-194843_965,8M4j-kFBT,,,,,
tch_20200511-194843_966,class_20200511-194843_966,9yRe-XZsU,,,,,
tch_20200511-194843_968,class_20200511-194843_968,H9az-427F,,,,,
tch_20200511-194843_967,class_20200511-194843_967,g4bu-3X7r,,,,,
tch_20200511-194843_969,class_20200511-194843_969,JTZD-2MK4,,,,,
tch_20200511-194843_970,class_20200511-194843_970,2gPm-UM6k,,,,,
tch_20200511-194843_971,class_20200511-194843_971,x9rk-32R4,,,,,
tch_20200511-194843_972,class_20200511-194843_972,6W4Q-a3nJ,,,,,
tch_20200511-194843_974,class_20200511-194843_974,U8MT-yJ6m,,,,,
tch_20200511-194843_973,class_20200511-194843_973,e7UG-sU2h,,,,,
tch_20200511-194843_976,class_20200511-194843_976,upiL-jKbw,,,,,
tch_20200511-194843_975,class_20200511-194843_975,8arZ-6t6e,,,,,
tch_20200511-194843_978,class_20200511-194843_978,87Rh-M4fy,,,,,
tch_20200511-194843_977,class_20200511-194843_977,e2x7-R3mD,,,,,
tch_20200511-194843_980,class_20200511-194843_980,P4WH-MKau,,,,,
tch_20200511-194843_981,class_20200511-194843_981,KzGa-2RJo,,,,,
tch_20200511-194843_979,class_20200511-194843_979,gFHj-9fgo,,,,,
tch_20200511-194843_982,class_20200511-194843_982,bp9C-Ko3f,,,,,
tch_20200511-194843_983,class_20200511-194843_983,4KFw-VJtV,,,,,
tch_20200511-194843_984,class_20200511-194843_984,B8sK-47JF,,,,,
tch_20200511-194843_986,class_20200511-194843_986,8cCA-bPWy,,,,,
tch_20200511-194843_985,class_20200511-194843_985,8EDp-cJi4,,,,,
tch_20200511-194843_987,class_20200511-194843_987,xnv3-jD7d,,,,,
tch_20200511-194843_988,class_20200511-194843_988,3hER-NHbo,,,,,
tch_20200511-194843_989,class_20200511-194843_989,ngj4-JoYa,,,,,
tch_20200511-194843_990,class_20200511-194843_990,k8tv-76sB,,,,,
tch_20200511-194843_991,class_20200511-194843_991,zVBN-K4PU,,,,,
tch_20200511-194843_992,class_20200511-194843_992,3Ui8-9eBd,,,,,
tch_20200511-194843_993,class_20200511-194843_993,pXFC-g7QJ,,,,,
tch_20200511-194843_994,class_20200511-194843_994,32Q7-N4uT,,,,,
tch_20200511-194843_995,class_20200511-194843_995,y8KE-W3j7,,,,,
tch_20200511-194843_996,class_20200511-194843_996,Pr4u-G8s9,,,,,
tch_20200511-194843_997,class_20200511-194843_997,guZB-D4WB,,,,,
tch_20200511-194843_999,class_20200511-194843_999,r4oA-Zh9u,,,,,
tch_20200511-194843_998,class_20200511-194843_998,iKmL-96eQ,,,,,
tch_20200511-194843_1000,class_20200511-194843_1000,h6Gp-8D9j,,,,,
tch_20200511-194843_1001,class_20200511-194843_1001,9GAb-UX28,,,,,
tch_20200511-194843_1003,class_20200511-194843_1003,ZjRt-9ng8,,,,,
tch_20200511-194843_1002,class_20200511-194843_1002,Z3zi-uBX9,,,,,
tch_20200511-194843_1004,class_20200511-194843_1004,pRTJ-c8sY,,,,,
tch_20200511-194843_1005,class_20200511-194843_1005,oei4-KJsb,,,,,
tch_20200511-194843_1006,class_20200511-194843_1006,qP97-y46p,,,,,
tch_20200511-194843_1007,class_20200511-194843_1007,2jo7-DMgJ,,,,,
tch_20200511-194843_1008,class_20200511-194843_1008,7r97-puVr,,,,,
tch_20200511-194843_1009,class_20200511-194843_1009,hvd7-BMQK,,,,,
tch_20200511-194843_1011,class_20200511-194843_1011,C4Y8-Xvr6,,,,,
tch_20200511-194843_1010,class_20200511-194843_1010,3UQN-Q239,,,,,
tch_20200511-194843_1012,class_20200511-194843_1012,43gt-Enr9,,,,,
tch_20200511-194843_1014,class_20200511-194843_1014,jGZA-Z4xi,,,,,
tch_20200511-194843_1013,class_20200511-194843_1013,4TvV-2yQf,,,,,
tch_20200511-194843_1015,class_20200511-194843_1015,9842-mF3V,,,,,
tch_20200511-194843_1017,class_20200511-194843_1017,E82u-9A3D,,,,,
tch_20200511-194843_1016,class_20200511-194843_1016,uA4n-V7oW,,,,,
tch_20200511-194843_1018,class_20200511-194843_1018,suaU-pG3a,,,,,
tch_20200511-194843_1019,class_20200511-194843_1019,4MGx-zQeV,,,,,
tch_20200511-194843_1020,class_20200511-194843_1020,s7Fv-67n6,,,,,
tch_20200511-194843_1021,class_20200511-194843_1021,U2uh-e8tZ,,,,,
tch_20200511-194843_1022,class_20200511-194843_1022,y3Jb-6EPG,,,,,
tch_20200511-194843_1023,class_20200511-194843_1023,2gb9-769k,,,,,
tch_20200511-194843_1024,class_20200511-194843_1024,d26w-q8PL,,,,,
tch_20200511-194843_1025,class_20200511-194843_1025,uB7B-jfFc,,,,,
tch_20200511-194843_1026,class_20200511-194843_1026,Z4xR-MzFQ,,,,,
tch_20200511-194843_1027,class_20200511-194843_1027,c9dh-2Q3g,,,,,
tch_20200511-194843_1028,class_20200511-194843_1028,A6Lr-tMP6,,,,,
tch_20200511-194843_1029,class_20200511-194843_1029,egiJ-eC9p,,,,,
tch_20200511-194843_1030,class_20200511-194843_1030,Krps-9Yb2,,,,,
tch_20200511-194843_1031,class_20200511-194843_1031,DKu2-vg9i,,,,,
tch_20200511-194843_1032,class_20200511-194843_1032,2uhk-e8RM,,,,,
tch_20200511-194843_1034,class_20200511-194843_1034,83E3-ukXx,,,,,
tch_20200511-194843_1033,class_20200511-194843_1033,DpDL-9ZdF,,,,,
tch_20200511-194843_1035,class_20200511-194843_1035,Q28n-wYrT,,,,,
tch_20200511-194843_1037,class_20200511-194843_1037,L64K-Fgo4,,,,,
tch_20200511-194843_1036,class_20200511-194843_1036,CAE6-z2cp,,,,,
tch_20200511-194843_1038,class_20200511-194843_1038,oQh9-y8r7,,,,,
tch_20200511-194843_1039,class_20200511-194843_1039,AU69-FcD3,,,,,
tch_20200511-194843_1040,class_20200511-194843_1040,u9id-2QhC,,,,,
tch_20200511-194843_1041,class_20200511-194843_1041,sAKw-6vZg,,,,,
