tch,assignmenttitle,ct,cc
tch_20200511-174541_191,asgmt_200716_tch_20200511-174541_191,class_20200511-174541_191,PyJ6-7rpT
tch_20200511-174541_192,asgmt_200716_tch_20200511-174541_192,class_20200511-174541_192,KsZ8-tg7p
tch_20200511-174541_193,asgmt_200716_tch_20200511-174541_193,class_20200511-174541_193,JPpj-9L8X
tch_20200511-174541_194,asgmt_200716_tch_20200511-174541_194,class_20200511-174541_194,WQUj-JMJ7
tch_20200511-174541_195,asgmt_200716_tch_20200511-174541_195,class_20200511-174541_195,2Vfb-Biet
tch_20200511-174541_197,asgmt_200716_tch_20200511-174541_197,class_20200511-174541_197,3w7s-v6Ai
tch_20200511-174541_196,asgmt_200716_tch_20200511-174541_196,class_20200511-174541_196,g7yr-Wcfe
tch_20200511-174541_198,asgmt_200716_tch_20200511-174541_198,class_20200511-174541_198,R8Z6-Ep9L
tch_20200511-174541_199,asgmt_200716_tch_20200511-174541_199,class_20200511-174541_199,Q473-PG7x
tch_20200511-174541_200,asgmt_200716_tch_20200511-174541_200,class_20200511-174541_200,Gq4W-43vq
tch_20200511-174541_201,asgmt_200716_tch_20200511-174541_201,class_20200511-174541_201,RP8s-G24z
tch_20200511-174541_202,asgmt_200716_tch_20200511-174541_202,class_20200511-174541_202,H38k-CBsX
tch_20200511-174541_203,asgmt_200716_tch_20200511-174541_203,class_20200511-174541_203,fNA7-G9G6
tch_20200511-174541_204,asgmt_200716_tch_20200511-174541_204,class_20200511-174541_204,VF3H-sP9K
tch_20200511-174541_206,asgmt_200716_tch_20200511-174541_206,class_20200511-174541_206,j4C3-syAT
tch_20200511-174541_205,asgmt_200716_tch_20200511-174541_205,class_20200511-174541_205,6a6K-ae86
tch_20200511-174541_207,asgmt_200716_tch_20200511-174541_207,class_20200511-174541_207,8m2h-PfjB
tch_20200511-174541_208,asgmt_200716_tch_20200511-174541_208,class_20200511-174541_208,joAa-C3C8
tch_20200511-174541_209,asgmt_200716_tch_20200511-174541_209,class_20200511-174541_209,9yQg-Loj8
tch_20200511-174541_210,asgmt_200716_tch_20200511-174541_210,class_20200511-174541_210,smUR-4cQC
tch_20200511-174541_211,asgmt_200716_tch_20200511-174541_211,class_20200511-174541_211,iwLs-82Df
tch_20200511-174541_212,asgmt_200716_tch_20200511-174541_212,class_20200511-174541_212,brFr-Zx2H
tch_20200511-174541_213,asgmt_200716_tch_20200511-174541_213,class_20200511-174541_213,i2fD-zmsg
tch_20200511-174541_214,asgmt_200716_tch_20200511-174541_214,class_20200511-174541_214,uvmV-E8L6
tch_20200511-174541_216,asgmt_200716_tch_20200511-174541_216,class_20200511-174541_216,qres-Zns6
tch_20200511-174541_215,asgmt_200716_tch_20200511-174541_215,class_20200511-174541_215,2MHW-pgYJ
tch_20200511-174541_217,asgmt_200716_tch_20200511-174541_217,class_20200511-174541_217,fH9Y-zgkg
tch_20200511-174541_218,asgmt_200716_tch_20200511-174541_218,class_20200511-174541_218,bdgA-8ZN3
tch_20200511-174541_219,asgmt_200716_tch_20200511-174541_219,class_20200511-174541_219,v696-GwCb
tch_20200511-174541_220,asgmt_200716_tch_20200511-174541_220,class_20200511-174541_220,tjXa-UR9Z
tch_20200511-174541_221,asgmt_200716_tch_20200511-174541_221,class_20200511-174541_221,XmFt-prDh
tch_20200511-174541_222,asgmt_200716_tch_20200511-174541_222,class_20200511-174541_222,i6Jr-X28a
tch_20200511-174541_223,asgmt_200716_tch_20200511-174541_223,class_20200511-174541_223,N7h4-cJ9p
tch_20200511-174541_225,asgmt_200716_tch_20200511-174541_225,class_20200511-174541_225,q7C6-8Ku6
tch_20200511-174541_224,asgmt_200716_tch_20200511-174541_224,class_20200511-174541_224,9UHp-3wUA
tch_20200511-174541_226,asgmt_200716_tch_20200511-174541_226,class_20200511-174541_226,PEB2-z6k6
tch_20200511-174541_227,asgmt_200716_tch_20200511-174541_227,class_20200511-174541_227,7z2q-m7T7
tch_20200511-174541_228,asgmt_200716_tch_20200511-174541_228,class_20200511-174541_228,N4q3-2rVz
tch_20200511-174541_229,asgmt_200716_tch_20200511-174541_229,class_20200511-174541_229,3n6n-ZuiH
tch_20200511-174541_230,asgmt_200716_tch_20200511-174541_230,class_20200511-174541_230,7TQV-4kbP
tch_20200511-174541_231,asgmt_200716_tch_20200511-174541_231,class_20200511-174541_231,hkLB-vnbp
tch_20200511-174541_233,asgmt_200716_tch_20200511-174541_233,class_20200511-174541_233,wPzi-JYe8
tch_20200511-174541_232,asgmt_200716_tch_20200511-174541_232,class_20200511-174541_232,P29m-87pd
tch_20200511-174541_234,asgmt_200716_tch_20200511-174541_234,class_20200511-174541_234,V7C6-voyj
tch_20200511-174541_235,asgmt_200716_tch_20200511-174541_235,class_20200511-174541_235,9i23-LATz
tch_20200511-174541_236,asgmt_200716_tch_20200511-174541_236,class_20200511-174541_236,Y47r-3bk9
tch_20200511-174541_237,asgmt_200716_tch_20200511-174541_237,class_20200511-174541_237,6M3T-CALt
tch_20200511-174541_238,asgmt_200716_tch_20200511-174541_238,class_20200511-174541_238,2UR6-n7jC
tch_20200511-174541_239,asgmt_200716_tch_20200511-174541_239,class_20200511-174541_239,rPfr-DanY
tch_20200511-174541_240,asgmt_200716_tch_20200511-174541_240,class_20200511-174541_240,W878-dk7F
tch_20200511-174541_241,asgmt_200716_tch_20200511-174541_241,class_20200511-174541_241,uz2b-MAew
tch_20200511-174541_242,asgmt_200716_tch_20200511-174541_242,class_20200511-174541_242,7yiK-EBoC
tch_20200511-174541_244,asgmt_200716_tch_20200511-174541_244,class_20200511-174541_244,vtB8-zydv
tch_20200511-174541_245,asgmt_200716_tch_20200511-174541_245,class_20200511-174541_245,8E3u-3Qg6
tch_20200511-174541_243,asgmt_200716_tch_20200511-174541_243,class_20200511-174541_243,W49m-Y7ER
tch_20200511-174541_246,asgmt_200716_tch_20200511-174541_246,class_20200511-174541_246,ecFw-8nX9
tch_20200511-174541_247,asgmt_200716_tch_20200511-174541_247,class_20200511-174541_247,f49Q-7Kdn
tch_20200511-174541_249,asgmt_200716_tch_20200511-174541_249,class_20200511-174541_249,r4p7-eUq6
tch_20200511-174541_248,asgmt_200716_tch_20200511-174541_248,class_20200511-174541_248,dGrv-Riku
tch_20200511-174541_250,asgmt_200716_tch_20200511-174541_250,class_20200511-174541_250,4xwZ-CkVt
tch_20200511-174541_251,asgmt_200716_tch_20200511-174541_251,class_20200511-174541_251,xdXu-JaXV
tch_20200511-174541_252,asgmt_200716_tch_20200511-174541_252,class_20200511-174541_252,AnPg-fPiX
tch_20200511-174541_253,asgmt_200716_tch_20200511-174541_253,class_20200511-174541_253,4W74-8oe6
tch_20200511-174541_254,asgmt_200716_tch_20200511-174541_254,class_20200511-174541_254,hv3U-L9G9
tch_20200511-174541_255,asgmt_200716_tch_20200511-174541_255,class_20200511-174541_255,pd32-A4oe
tch_20200511-174541_256,asgmt_200716_tch_20200511-174541_256,class_20200511-174541_256,zVFY-V2ML
tch_20200511-174541_258,asgmt_200716_tch_20200511-174541_258,class_20200511-174541_258,vjmz-Zy7N
tch_20200511-174541_257,asgmt_200716_tch_20200511-174541_257,class_20200511-174541_257,otmJ-9D8r
tch_20200511-174541_259,asgmt_200716_tch_20200511-174541_259,class_20200511-174541_259,JzVt-Xa2g
tch_20200511-174541_260,asgmt_200716_tch_20200511-174541_260,class_20200511-174541_260,zw3r-hB9H
tch_20200511-174541_261,asgmt_200716_tch_20200511-174541_261,class_20200511-174541_261,dMv8-6a7s
tch_20200511-174541_262,asgmt_200716_tch_20200511-174541_262,class_20200511-174541_262,V6UQ-CXy8
tch_20200511-174541_263,asgmt_200716_tch_20200511-174541_263,class_20200511-174541_263,B4w2-VcZj
tch_20200511-174541_265,asgmt_200716_tch_20200511-174541_265,class_20200511-174541_265,YkfB-c9Ci
tch_20200511-174541_264,asgmt_200716_tch_20200511-174541_264,class_20200511-174541_264,2dRN-e89z
tch_20200511-174541_266,asgmt_200716_tch_20200511-174541_266,class_20200511-174541_266,96xH-nA82
