tch,assignmenttitle,ct,cc
tch_20200511-194843_73,asgmt_200716_tch_20200511-194843_73,class_20200511-194843_73,9s4o-qD68
tch_20200511-194843_72,asgmt_200716_tch_20200511-194843_72,class_20200511-194843_72,XF6C-24kq
tch_20200511-194843_74,asgmt_200716_tch_20200511-194843_74,class_20200511-194843_74,pD7c-768m
tch_20200511-194843_75,asgmt_200716_tch_20200511-194843_75,class_20200511-194843_75,238v-TDsP
tch_20200511-194843_76,asgmt_200716_tch_20200511-194843_76,class_20200511-194843_76,82a4-7vNt
tch_20200511-194843_77,asgmt_200716_tch_20200511-194843_77,class_20200511-194843_77,ZT9c-QXo9
tch_20200511-194843_78,asgmt_200716_tch_20200511-194843_78,class_20200511-194843_78,WicF-8j46
tch_20200511-194843_79,asgmt_200716_tch_20200511-194843_79,class_20200511-194843_79,2co7-6df9
tch_20200511-194843_80,asgmt_200716_tch_20200511-194843_80,class_20200511-194843_80,dgQt-wpKP
tch_20200511-194843_81,asgmt_200716_tch_20200511-194843_81,class_20200511-194843_81,4X8C-Tc2Z
tch_20200511-194843_82,asgmt_200716_tch_20200511-194843_82,class_20200511-194843_82,Wh3w-DWXh
tch_20200511-194843_83,asgmt_200716_tch_20200511-194843_83,class_20200511-194843_83,X3hn-F29w
tch_20200511-194843_85,asgmt_200716_tch_20200511-194843_85,class_20200511-194843_85,AZ3Z-2PCj
tch_20200511-194843_84,asgmt_200716_tch_20200511-194843_84,class_20200511-194843_84,VisR-YM2Y
tch_20200511-194843_87,asgmt_200716_tch_20200511-194843_87,class_20200511-194843_87,hnY9-3gpL
tch_20200511-194843_86,asgmt_200716_tch_20200511-194843_86,class_20200511-194843_86,798E-kDqX
tch_20200511-194843_88,asgmt_200716_tch_20200511-194843_88,class_20200511-194843_88,mDU2-yNG2
tch_20200511-194843_89,asgmt_200716_tch_20200511-194843_89,class_20200511-194843_89,jwYs-MT2K
tch_20200511-194843_90,asgmt_200716_tch_20200511-194843_90,class_20200511-194843_90,YFEY-mbgT
tch_20200511-194843_91,asgmt_200716_tch_20200511-194843_91,class_20200511-194843_91,pd8L-omD9
tch_20200511-194843_92,asgmt_200716_tch_20200511-194843_92,class_20200511-194843_92,D4tP-68pE
tch_20200511-194843_93,asgmt_200716_tch_20200511-194843_93,class_20200511-194843_93,L3By-3Drz
tch_20200511-194843_94,asgmt_200716_tch_20200511-194843_94,class_20200511-194843_94,a6FM-Ld72
tch_20200511-194843_96,asgmt_200716_tch_20200511-194843_96,class_20200511-194843_96,9vdX-sLxv
tch_20200511-194843_95,asgmt_200716_tch_20200511-194843_95,class_20200511-194843_95,WGtp-odr7
tch_20200511-194843_98,asgmt_200716_tch_20200511-194843_98,class_20200511-194843_98,a89T-6NaP
tch_20200511-194843_97,asgmt_200716_tch_20200511-194843_97,class_20200511-194843_97,MyaD-A47d
tch_20200511-194843_99,asgmt_200716_tch_20200511-194843_99,class_20200511-194843_99,UrDr-q3CQ
tch_20200511-194843_100,asgmt_200716_tch_20200511-194843_100,class_20200511-194843_100,th3k-9Rq3
tch_20200511-194843_101,asgmt_200716_tch_20200511-194843_101,class_20200511-194843_101,3947-2yq4
tch_20200511-194843_103,asgmt_200716_tch_20200511-194843_103,class_20200511-194843_103,kC7Q-4pu4
tch_20200511-194843_102,asgmt_200716_tch_20200511-194843_102,class_20200511-194843_102,Mzd6-kKAj
tch_20200511-194843_104,asgmt_200716_tch_20200511-194843_104,class_20200511-194843_104,Jdpc-R6z9
tch_20200511-194843_105,asgmt_200716_tch_20200511-194843_105,class_20200511-194843_105,aJHt-Y2Li
tch_20200511-194843_106,asgmt_200716_tch_20200511-194843_106,class_20200511-194843_106,atMW-r4EM
tch_20200511-194843_107,asgmt_200716_tch_20200511-194843_107,class_20200511-194843_107,kdpk-mW6q
tch_20200511-194843_108,asgmt_200716_tch_20200511-194843_108,class_20200511-194843_108,3vaA-eDn3
tch_20200511-194843_110,asgmt_200716_tch_20200511-194843_110,class_20200511-194843_110,xzGZ-Y262
tch_20200511-194843_109,asgmt_200716_tch_20200511-194843_109,class_20200511-194843_109,ACyM-No64
tch_20200511-194843_111,asgmt_200716_tch_20200511-194843_111,class_20200511-194843_111,B6Fc-YHU3
tch_20200511-194843_113,asgmt_200716_tch_20200511-194843_113,class_20200511-194843_113,gi76-xDn6
tch_20200511-194843_112,asgmt_200716_tch_20200511-194843_112,class_20200511-194843_112,7WK4-jfHP
tch_20200511-194843_114,asgmt_200716_tch_20200511-194843_114,class_20200511-194843_114,nyJ9-p4k8
tch_20200511-194843_115,asgmt_200716_tch_20200511-194843_115,class_20200511-194843_115,LVYw-4U98
tch_20200511-194843_116,asgmt_200716_tch_20200511-194843_116,class_20200511-194843_116,3fN2-q2qQ
tch_20200511-194843_117,asgmt_200716_tch_20200511-194843_117,class_20200511-194843_117,CFfm-HAkr
tch_20200511-194843_118,asgmt_200716_tch_20200511-194843_118,class_20200511-194843_118,u7Xt-VYQj
tch_20200511-194843_120,asgmt_200716_tch_20200511-194843_120,class_20200511-194843_120,R3f4-7FPr
tch_20200511-194843_119,asgmt_200716_tch_20200511-194843_119,class_20200511-194843_119,7j7M-ifWV
tch_20200511-194843_121,asgmt_200716_tch_20200511-194843_121,class_20200511-194843_121,YT9i-984F
tch_20200511-194843_122,asgmt_200716_tch_20200511-194843_122,class_20200511-194843_122,8wim-N9sn
tch_20200511-194843_123,asgmt_200716_tch_20200511-194843_123,class_20200511-194843_123,m69o-iZ29
tch_20200511-194843_124,asgmt_200716_tch_20200511-194843_124,class_20200511-194843_124,Uge3-aryd
tch_20200511-194843_125,asgmt_200716_tch_20200511-194843_125,class_20200511-194843_125,ALdT-jUnx
tch_20200511-194843_126,asgmt_200716_tch_20200511-194843_126,class_20200511-194843_126,DPJ3-7mLb
tch_20200511-194843_128,asgmt_200716_tch_20200511-194843_128,class_20200511-194843_128,hgy9-Kiup
tch_20200511-194843_127,asgmt_200716_tch_20200511-194843_127,class_20200511-194843_127,QdP6-2qFc
tch_20200511-194843_129,asgmt_200716_tch_20200511-194843_129,class_20200511-194843_129,o8Mu-K2sF
tch_20200511-194843_130,asgmt_200716_tch_20200511-194843_130,class_20200511-194843_130,BeEz-7kb3
tch_20200511-194843_132,asgmt_200716_tch_20200511-194843_132,class_20200511-194843_132,7WeN-9H8A
tch_20200511-194843_131,asgmt_200716_tch_20200511-194843_131,class_20200511-194843_131,qV9N-7icL
tch_20200511-194843_133,asgmt_200716_tch_20200511-194843_133,class_20200511-194843_133,wtKs-FDh9
tch_20200511-194843_134,asgmt_200716_tch_20200511-194843_134,class_20200511-194843_134,VbZg-T2xa
tch_20200511-194843_135,asgmt_200716_tch_20200511-194843_135,class_20200511-194843_135,tYqY-oZFL
tch_20200506-180235_1,asgmt_200716_tch_20200506-180235_1,class_20200506-180235_1,oAPW-MY9j
tch_20200506-180235_2,asgmt_200716_tch_20200506-180235_2,class_20200506-180235_2,7Ptk-4wtX
tch_20200506-180235_3,asgmt_200716_tch_20200506-180235_3,class_20200506-180235_3,gDAv-r4AX
tch_20200506-180235_5,asgmt_200716_tch_20200506-180235_5,class_20200506-180235_5,sj24-Ubvc
tch_20200506-180235_4,asgmt_200716_tch_20200506-180235_4,class_20200506-180235_4,hwsr-7X7h
tch_20200506-180235_6,asgmt_200716_tch_20200506-180235_6,class_20200506-180235_6,RnAg-bs83
tch_20200506-180235_7,asgmt_200716_tch_20200506-180235_7,class_20200506-180235_7,s9Wg-36hi
tch_20200506-180235_8,asgmt_200716_tch_20200506-180235_8,class_20200506-180235_8,uo4M-WGDy
tch_20200506-180235_9,asgmt_200716_tch_20200506-180235_9,class_20200506-180235_9,Do7p-qBA3
tch_20200506-180235_10,asgmt_200716_tch_20200506-180235_10,class_20200506-180235_10,TpnK-rCmL
tch_20200506-180235_12,asgmt_200716_tch_20200506-180235_12,class_20200506-180235_12,249D-k96w
tch_20200506-180235_11,asgmt_200716_tch_20200506-180235_11,class_20200506-180235_11,noAx-JxLz
tch_20200506-180235_13,asgmt_200716_tch_20200506-180235_13,class_20200506-180235_13,Ms7g-Qqwj
tch_20200506-180235_14,asgmt_200716_tch_20200506-180235_14,class_20200506-180235_14,eEFm-H4JN
tch_20200506-180235_15,asgmt_200716_tch_20200506-180235_15,class_20200506-180235_15,iY6s-Pk9d
tch_20200506-180235_16,asgmt_200716_tch_20200506-180235_16,class_20200506-180235_16,2Eey-LGkN
tch_20200506-180235_17,asgmt_200716_tch_20200506-180235_17,class_20200506-180235_17,M6JQ-3EaJ
tch_20200506-180235_18,asgmt_200716_tch_20200506-180235_18,class_20200506-180235_18,N2zT-XB2R
tch_20200506-180235_19,asgmt_200716_tch_20200506-180235_19,class_20200506-180235_19,Bv94-Mohq
tch_20200506-180235_20,asgmt_200716_tch_20200506-180235_20,class_20200506-180235_20,pydF-D9F7
tch_20200506-180235_21,asgmt_200716_tch_20200506-180235_21,class_20200506-180235_21,2E2X-6JC3
tch_20200506-180235_22,asgmt_200716_tch_20200506-180235_22,class_20200506-180235_22,VN7E-Ldsu
tch_20200506-180235_23,asgmt_200716_tch_20200506-180235_23,class_20200506-180235_23,2XyB-3prw
tch_20200506-180235_24,asgmt_200716_tch_20200506-180235_24,class_20200506-180235_24,2VeQ-gR9i
tch_20200506-180235_25,asgmt_200716_tch_20200506-180235_25,class_20200506-180235_25,gdpo-HFru
tch_20200511-194843_1948,asgmt_200716_tch_20200511-194843_1948,class_20200511-194843_1948,k87i-9dtJ
tch_20200511-194843_1947,asgmt_200716_tch_20200511-194843_1947,class_20200511-194843_1947,f7Nf-du4a
tch_20200511-194843_1949,asgmt_200716_tch_20200511-194843_1949,class_20200511-194843_1949,sUPr-MbZK
tch_20200511-194843_1951,asgmt_200716_tch_20200511-194843_1951,class_20200511-194843_1951,9CZi-jGWn
tch_20200511-194843_1950,asgmt_200716_tch_20200511-194843_1950,class_20200511-194843_1950,nCjV-Gy92
tch_20200511-194843_1952,asgmt_200716_tch_20200511-194843_1952,class_20200511-194843_1952,B6UG-z68o
tch_20200511-194843_1953,asgmt_200716_tch_20200511-194843_1953,class_20200511-194843_1953,rNr2-dJDr
tch_20200511-194843_1954,asgmt_200716_tch_20200511-194843_1954,class_20200511-194843_1954,At6L-jfxe
tch_20200511-194843_1955,asgmt_200716_tch_20200511-194843_1955,class_20200511-194843_1955,syY8-gxRe
tch_20200511-194843_1956,asgmt_200716_tch_20200511-194843_1956,class_20200511-194843_1956,7pDJ-quN3
tch_20200511-194843_1957,asgmt_200716_tch_20200511-194843_1957,class_20200511-194843_1957,n3JL-Aja2
tch_20200511-194843_1958,asgmt_200716_tch_20200511-194843_1958,class_20200511-194843_1958,r9bR-d7a3
tch_20200511-194843_1959,asgmt_200716_tch_20200511-194843_1959,class_20200511-194843_1959,NitU-J3vA
tch_20200511-194843_1960,asgmt_200716_tch_20200511-194843_1960,class_20200511-194843_1960,Gh6f-3PHA
tch_20200511-194843_1961,asgmt_200716_tch_20200511-194843_1961,class_20200511-194843_1961,h8an-jvDg
tch_20200511-194843_1962,asgmt_200716_tch_20200511-194843_1962,class_20200511-194843_1962,VsG9-Av9e
tch_20200511-194843_1963,asgmt_200716_tch_20200511-194843_1963,class_20200511-194843_1963,D7fs-MZ4z
tch_20200511-194843_1965,asgmt_200716_tch_20200511-194843_1965,class_20200511-194843_1965,UAf2-k4GD
tch_20200511-194843_1964,asgmt_200716_tch_20200511-194843_1964,class_20200511-194843_1964,hu28-NvM4
tch_20200511-194843_1966,asgmt_200716_tch_20200511-194843_1966,class_20200511-194843_1966,3vhR-3p4h
tch_20200511-194843_1968,asgmt_200716_tch_20200511-194843_1968,class_20200511-194843_1968,N3N9-f872
tch_20200511-194843_1967,asgmt_200716_tch_20200511-194843_1967,class_20200511-194843_1967,c3e7-jsu3
tch_20200511-194843_1969,asgmt_200716_tch_20200511-194843_1969,class_20200511-194843_1969,UZvf-6a3b
tch_20200511-194843_1970,asgmt_200716_tch_20200511-194843_1970,class_20200511-194843_1970,2ayr-67Hs
tch_20200511-194843_1971,asgmt_200716_tch_20200511-194843_1971,class_20200511-194843_1971,7E2B-ZU7i
tch_20200511-194843_1972,asgmt_200716_tch_20200511-194843_1972,class_20200511-194843_1972,4DwB-MGBg
tch_20200511-194843_1973,asgmt_200716_tch_20200511-194843_1973,class_20200511-194843_1973,9686-UVY4
tch_20200511-194843_1974,asgmt_200716_tch_20200511-194843_1974,class_20200511-194843_1974,6C8K-27r8
tch_20200511-194843_1975,asgmt_200716_tch_20200511-194843_1975,class_20200511-194843_1975,XUTQ-EAXh
tch_20200511-194843_1976,asgmt_200716_tch_20200511-194843_1976,class_20200511-194843_1976,9AQX-pHQf
tch_20200511-194843_1978,asgmt_200716_tch_20200511-194843_1978,class_20200511-194843_1978,gZai-jd9J
tch_20200511-194843_1977,asgmt_200716_tch_20200511-194843_1977,class_20200511-194843_1977,yxNh-wsfi
tch_20200511-194843_1979,asgmt_200716_tch_20200511-194843_1979,class_20200511-194843_1979,4Ljs-tQn2
tch_20200511-194843_1980,asgmt_200716_tch_20200511-194843_1980,class_20200511-194843_1980,Vm4b-kWFw
tch_20200511-194843_1981,asgmt_200716_tch_20200511-194843_1981,class_20200511-194843_1981,8p4n-TbYw
tch_20200511-194843_1983,asgmt_200716_tch_20200511-194843_1983,class_20200511-194843_1983,Tn9A-pT28
tch_20200511-194843_1982,asgmt_200716_tch_20200511-194843_1982,class_20200511-194843_1982,6pix-Rgt8
tch_20200511-194843_1984,asgmt_200716_tch_20200511-194843_1984,class_20200511-194843_1984,VvXV-XEDW
tch_20200511-194843_1985,asgmt_200716_tch_20200511-194843_1985,class_20200511-194843_1985,sKRa-x87Z
tch_20200511-194843_1986,asgmt_200716_tch_20200511-194843_1986,class_20200511-194843_1986,JF27-yR2G
tch_20200511-194843_1987,asgmt_200716_tch_20200511-194843_1987,class_20200511-194843_1987,36Q4-82iZ
tch_20200511-194843_1988,asgmt_200716_tch_20200511-194843_1988,class_20200511-194843_1988,4P49-7JBr
tch_20200511-194843_1989,asgmt_200716_tch_20200511-194843_1989,class_20200511-194843_1989,W2nc-6PXk
tch_20200511-194843_1991,asgmt_200716_tch_20200511-194843_1991,class_20200511-194843_1991,p3Gc-6424
tch_20200511-194843_1990,asgmt_200716_tch_20200511-194843_1990,class_20200511-194843_1990,MV4r-vqcx
tch_20200511-194843_1992,asgmt_200716_tch_20200511-194843_1992,class_20200511-194843_1992,KxWn-omVu
tch_20200511-194843_1994,asgmt_200716_tch_20200511-194843_1994,class_20200511-194843_1994,t7ab-tpCR
tch_20200511-194843_1993,asgmt_200716_tch_20200511-194843_1993,class_20200511-194843_1993,qXD2-94kJ
tch_20200511-194843_1995,asgmt_200716_tch_20200511-194843_1995,class_20200511-194843_1995,D2Wp-T2Y3
tch_20200511-194843_1997,asgmt_200716_tch_20200511-194843_1997,class_20200511-194843_1997,3LQX-W8ZD
tch_20200511-194843_1996,asgmt_200716_tch_20200511-194843_1996,class_20200511-194843_1996,eo2M-Y4Gu
tch_20200511-194843_1998,asgmt_200716_tch_20200511-194843_1998,class_20200511-194843_1998,H7db-hbKR
tch_20200511-194843_1999,asgmt_200716_tch_20200511-194843_1999,class_20200511-194843_1999,h782-s2t2
tch_20200511-194843_2000,asgmt_200716_tch_20200511-194843_2000,class_20200511-194843_2000,Ak9W-Gnz8
tch_20200511-174541_1,asgmt_200716_tch_20200511-174541_1,class_20200511-174541_1,pwx8-tBf7
tch_20200511-174541_2,asgmt_200716_tch_20200511-174541_2,class_20200511-174541_2,YNPJ-2MuG
tch_20200511-174541_3,asgmt_200716_tch_20200511-174541_3,class_20200511-174541_3,m3od-uRb6
tch_20200511-174541_5,asgmt_200716_tch_20200511-174541_5,class_20200511-174541_5,YjYE-9VxU
tch_20200511-174541_4,asgmt_200716_tch_20200511-174541_4,class_20200511-174541_4,YM2j-njM7
tch_20200511-174541_6,asgmt_200716_tch_20200511-174541_6,class_20200511-174541_6,WFer-3EVW
tch_20200511-174541_8,asgmt_200716_tch_20200511-174541_8,class_20200511-174541_8,X87T-3rJX
tch_20200511-174541_7,asgmt_200716_tch_20200511-174541_7,class_20200511-174541_7,nctB-42DN
tch_20200511-174541_9,asgmt_200716_tch_20200511-174541_9,class_20200511-174541_9,9W4h-PrDR
tch_20200511-174541_10,asgmt_200716_tch_20200511-174541_10,class_20200511-174541_10,UZBu-9CH6
tch_20200511-174541_11,asgmt_200716_tch_20200511-174541_11,class_20200511-174541_11,df2b-C8Qx
tch_20200511-174541_12,asgmt_200716_tch_20200511-174541_12,class_20200511-174541_12,468Y-MwuM
tch_20200511-174541_13,asgmt_200716_tch_20200511-174541_13,class_20200511-174541_13,EuCP-V7fj
tch_20200511-174541_14,asgmt_200716_tch_20200511-174541_14,class_20200511-174541_14,H7Nb-e4dA
tch_20200511-174541_15,asgmt_200716_tch_20200511-174541_15,class_20200511-174541_15,UMNb-H3dQ
tch_20200511-174541_17,asgmt_200716_tch_20200511-174541_17,class_20200511-174541_17,v6PK-aBtq
tch_20200511-174541_16,asgmt_200716_tch_20200511-174541_16,class_20200511-174541_16,XreY-N8GE
tch_20200511-174541_19,asgmt_200716_tch_20200511-174541_19,class_20200511-174541_19,AFd7-DXgy
tch_20200511-174541_18,asgmt_200716_tch_20200511-174541_18,class_20200511-174541_18,e38t-rDrf
tch_20200511-174541_20,asgmt_200716_tch_20200511-174541_20,class_20200511-174541_20,n23C-qonq
tch_20200511-174541_22,asgmt_200716_tch_20200511-174541_22,class_20200511-174541_22,z2Zg-qxe6
tch_20200511-174541_21,asgmt_200716_tch_20200511-174541_21,class_20200511-174541_21,236o-LA9R
tch_20200511-174541_23,asgmt_200716_tch_20200511-174541_23,class_20200511-174541_23,vo9m-ji9U
tch_20200511-174541_24,asgmt_200716_tch_20200511-174541_24,class_20200511-174541_24,7qY9-LPMU
tch_20200511-174541_25,asgmt_200716_tch_20200511-174541_25,class_20200511-174541_25,FU37-dy72
tch_20200511-174541_28,asgmt_200716_tch_20200511-174541_28,class_20200511-174541_28,PmVj-qY6A
tch_20200511-174541_267,asgmt_200716_tch_20200511-174541_267,class_20200511-174541_267,J8GL-9apj
tch_20200511-174541_268,asgmt_200716_tch_20200511-174541_268,class_20200511-174541_268,fUJt-VkiD
tch_20200511-174541_269,asgmt_200716_tch_20200511-174541_269,class_20200511-174541_269,t2KM-poMc
tch_20200511-174541_270,asgmt_200716_tch_20200511-174541_270,class_20200511-174541_270,pmF3-8QpL
tch_20200511-174541_271,asgmt_200716_tch_20200511-174541_271,class_20200511-174541_271,jTqc-7smK
tch_20200511-174541_272,asgmt_200716_tch_20200511-174541_272,class_20200511-174541_272,4y6G-oN63
tch_20200511-174541_273,asgmt_200716_tch_20200511-174541_273,class_20200511-174541_273,r2rx-r3PH
tch_20200511-174541_274,asgmt_200716_tch_20200511-174541_274,class_20200511-174541_274,ymux-RGU8
tch_20200511-174541_275,asgmt_200716_tch_20200511-174541_275,class_20200511-174541_275,4KwW-F8pv
tch_20200511-174541_276,asgmt_200716_tch_20200511-174541_276,class_20200511-174541_276,CD6z-tDf2
tch_20200511-174541_277,asgmt_200716_tch_20200511-174541_277,class_20200511-174541_277,4xWX-4gKU
tch_20200511-174541_278,asgmt_200716_tch_20200511-174541_278,class_20200511-174541_278,sz4n-REj2
tch_20200511-174541_280,asgmt_200716_tch_20200511-174541_280,class_20200511-174541_280,kJER-x9Mu
tch_20200511-174541_279,asgmt_200716_tch_20200511-174541_279,class_20200511-174541_279,KceT-Rx4q
tch_20200511-174541_281,asgmt_200716_tch_20200511-174541_281,class_20200511-174541_281,cgXe-FUk8
tch_20200511-174541_282,asgmt_200716_tch_20200511-174541_282,class_20200511-174541_282,2w7y-kYZ6
tch_20200511-174541_283,asgmt_200716_tch_20200511-174541_283,class_20200511-174541_283,c9Rf-8RU4
tch_20200511-174541_284,asgmt_200716_tch_20200511-174541_284,class_20200511-174541_284,36Yi-2VY7
tch_20200511-174541_285,asgmt_200716_tch_20200511-174541_285,class_20200511-174541_285,X8L2-ZA9r
