teacher,classtitle,classcode
tch_20200513-121247_710,class_20200513-121247_710,AXow-tnia
tch_20200513-121247_712,class_20200513-121247_712,mYWH-itdT
tch_20200513-121247_711,class_20200513-121247_711,v97t-G673
tch_20200513-121247_713,class_20200513-121247_713,y4qG-r7bv
tch_20200513-121247_714,class_20200513-121247_714,ne6W-j24M
tch_20200513-121247_717,class_20200513-121247_717,doAR-3hFP
tch_20200513-121247_716,class_20200513-121247_716,96F2-X8bJ
tch_20200513-121247_715,class_20200513-121247_715,jc7t-DrGy
tch_20200513-121247_718,class_20200513-121247_718,mqA9-Ny2b
tch_20200513-121247_719,class_20200513-121247_719,nEZ4-vm3u
tch_20200513-121247_720,class_20200513-121247_720,j92P-XAy4
tch_20200513-121247_721,class_20200513-121247_721,Wc9D-fz98
tch_20200513-121247_723,class_20200513-121247_723,UF3K-ZDkr
tch_20200513-121247_722,class_20200513-121247_722,Fy7A-g6jX
tch_20200513-121247_724,class_20200513-121247_724,wfvV-qpkU
tch_20200513-121247_726,class_20200513-121247_726,v9jU-BJhj
tch_20200513-121247_725,class_20200513-121247_725,PK8t-hRsE
tch_20200513-121247_728,class_20200513-121247_728,fv2c-EMPB
tch_20200513-121247_727,class_20200513-121247_727,2gUh-mz9J
tch_20200513-121247_729,class_20200513-121247_729,R7eh-3GxX
tch_20200513-121247_730,class_20200513-121247_730,6Fo6-43V2
tch_20200513-121247_731,class_20200513-121247_731,n8hK-4NhJ
tch_20200513-121247_732,class_20200513-121247_732,XoTc-bTxJ
tch_20200513-121247_734,class_20200513-121247_734,49ZC-Ar7t
tch_20200513-121247_733,class_20200513-121247_733,4Va7-96T4
tch_20200513-121247_737,class_20200513-121247_737,VQkp-8teV
tch_20200513-121247_735,class_20200513-121247_735,cM9d-Q93r
tch_20200513-121247_736,class_20200513-121247_736,tfEG-2H67
tch_20200513-121247_738,class_20200513-121247_738,63w3-8xNC
tch_20200513-121247_739,class_20200513-121247_739,sEHL-pnq4
tch_20200513-121247_740,class_20200513-121247_740,3jLf-EbU2
tch_20200513-121247_741,class_20200513-121247_741,69K3-bnMf
tch_20200513-121247_742,class_20200513-121247_742,Liwo-r9di
tch_20200513-121247_743,class_20200513-121247_743,saTp-4gTt
tch_20200513-121247_746,class_20200513-121247_746,Xa6P-dL3B
tch_20200513-121247_744,class_20200513-121247_744,XATF-BgEY
tch_20200513-121247_745,class_20200513-121247_745,NB2h-Mc6Q
tch_20200513-121247_747,class_20200513-121247_747,FEom-vcQJ
tch_20200513-121247_749,class_20200513-121247_749,o9Q3-i2YQ
tch_20200513-121247_748,class_20200513-121247_748,hr4t-gB6L
tch_20200513-121247_751,class_20200513-121247_751,6pJ3-7FRs
tch_20200513-121247_750,class_20200513-121247_750,8KhZ-24gP
tch_20200513-121247_753,class_20200513-121247_753,832o-Z68K
tch_20200513-121247_752,class_20200513-121247_752,YJjM-8Nbq
tch_20200513-121247_755,class_20200513-121247_755,Q9xP-fMDb
tch_20200513-121247_754,class_20200513-121247_754,NuKz-EXDP
tch_20200513-121247_756,class_20200513-121247_756,D7gR-7fnA
tch_20200513-121247_757,class_20200513-121247_757,sC7W-9mho
tch_20200513-121247_759,class_20200513-121247_759,Dw83-6jBb
tch_20200513-121247_758,class_20200513-121247_758,a8a9-4M7A
tch_20200513-121247_760,class_20200513-121247_760,AGQT-P3N8
tch_20200513-121247_761,class_20200513-121247_761,H4Ye-oa7M
tch_20200513-121247_762,class_20200513-121247_762,vN2h-6m2o
tch_20200513-121247_763,class_20200513-121247_763,CBYB-X9aH
tch_20200513-121247_765,class_20200513-121247_765,8Q6f-TbV8
tch_20200513-121247_764,class_20200513-121247_764,L6t8-Wr8b
tch_20200513-121247_768,class_20200513-121247_768,C82U-uo63
tch_20200513-121247_766,class_20200513-121247_766,9hu8-c93V
tch_20200513-121247_767,class_20200513-121247_767,83jf-4Z67
tch_20200513-121247_769,class_20200513-121247_769,zoWV-WVr4
tch_20200513-121247_771,class_20200513-121247_771,P8Bn-r9uq
tch_20200513-121247_772,class_20200513-121247_772,aZ29-xKp9
tch_20200513-121247_770,class_20200513-121247_770,38Xd-a4K3
tch_20200513-121247_773,class_20200513-121247_773,E6zH-Q27W
tch_20200513-121247_774,class_20200513-121247_774,txA2-GxYn
tch_20200513-121247_775,class_20200513-121247_775,84vX-6Z3q
tch_20200513-121247_776,class_20200513-121247_776,73Pk-Hsdc
tch_20200513-121247_778,class_20200513-121247_778,Fg48-4s3P
tch_20200513-121247_777,class_20200513-121247_777,Dn3C-zULb
tch_20200513-121247_779,class_20200513-121247_779,a6ZK-VEKX
tch_20200513-121247_781,class_20200513-121247_781,oHBH-ibq2
tch_20200513-121247_780,class_20200513-121247_780,8q87-k7ob
tch_20200513-121247_782,class_20200513-121247_782,Kspk-4c4h
tch_20200513-121247_785,class_20200513-121247_785,HYPu-H8uE
tch_20200513-121247_783,class_20200513-121247_783,jtRd-4j7R
tch_20200513-121247_784,class_20200513-121247_784,F67v-W6xZ
tch_20200513-121247_786,class_20200513-121247_786,27rm-6s6U
tch_20200513-121247_787,class_20200513-121247_787,ikTu-9vEP
tch_20200513-121247_789,class_20200513-121247_789,e4GN-aL3e
tch_20200513-121247_788,class_20200513-121247_788,oCnd-X939
tch_20200513-121247_790,class_20200513-121247_790,YReT-Kh78
tch_20200513-121247_793,class_20200513-121247_793,xgH4-Jwe7
tch_20200513-121247_791,class_20200513-121247_791,U2Cv-G9fx
tch_20200513-121247_792,class_20200513-121247_792,24r8-evD3
tch_20200513-121247_795,class_20200513-121247_795,fbzL-q8nB
tch_20200513-121247_794,class_20200513-121247_794,tN3V-C8je
tch_20200513-121247_796,class_20200513-121247_796,L4m6-3F9M
tch_20200513-121247_799,class_20200513-121247_799,B84q-d8ze
tch_20200513-121247_797,class_20200513-121247_797,y23B-vnUv
tch_20200513-121247_800,class_20200513-121247_800,x7Lf-e8PR
tch_20200513-121247_801,class_20200513-121247_801,m4Mx-Pioa
tch_20200513-121247_798,class_20200513-121247_798,Nv46-zrG3
tch_20200513-121247_802,class_20200513-121247_802,C4w4-p4tx
tch_20200513-121247_803,class_20200513-121247_803,EVNC-KB8j
tch_20200513-121247_804,class_20200513-121247_804,DfPQ-g78w
tch_20200513-121247_806,class_20200513-121247_806,yhQA-9ogf
tch_20200513-121247_807,class_20200513-121247_807,qZxn-Em27
tch_20200513-121247_805,class_20200513-121247_805,V9zP-huMc
tch_20200513-121247_809,class_20200513-121247_809,U7jv-CJn9
tch_20200513-121247_808,class_20200513-121247_808,vart-vXyc
tch_20200513-121247_810,class_20200513-121247_810,X396-9B4x
tch_20200513-121247_812,class_20200513-121247_812,2Z6t-kQKw
tch_20200513-121247_811,class_20200513-121247_811,ZAYt-dvqx
tch_20200513-121247_814,class_20200513-121247_814,fh6n-MK23
tch_20200513-121247_813,class_20200513-121247_813,R9BP-7iLZ
tch_20200513-121247_815,class_20200513-121247_815,q6mP-qQ4E
tch_20200513-121247_816,class_20200513-121247_816,U6YQ-Jczt
tch_20200513-121247_817,class_20200513-121247_817,n8qG-397h
tch_20200513-121247_818,class_20200513-121247_818,QUTJ-Ay34
tch_20200513-121247_820,class_20200513-121247_820,ma8k-j9u2
tch_20200513-121247_822,class_20200513-121247_822,FhUC-Y2kC
tch_20200513-121247_819,class_20200513-121247_819,7Gap-uDTN
tch_20200513-121247_821,class_20200513-121247_821,Hi4q-TM4Z
tch_20200513-121247_823,class_20200513-121247_823,b46U-n8BU
tch_20200513-121247_824,class_20200513-121247_824,4DdX-nyiP
tch_20200513-121247_825,class_20200513-121247_825,tjzM-d6d3
tch_20200513-121247_827,class_20200513-121247_827,NLJX-249t
tch_20200513-121247_826,class_20200513-121247_826,i74C-KvUd
tch_20200513-121247_828,class_20200513-121247_828,6r8F-eW9K
tch_20200513-121247_830,class_20200513-121247_830,rcYQ-dKkT
tch_20200513-121247_829,class_20200513-121247_829,LCef-Qi6f
tch_20200513-121247_831,class_20200513-121247_831,F2e6-PRn2
tch_20200513-121247_832,class_20200513-121247_832,AK3F-zerA
tch_20200513-121247_833,class_20200513-121247_833,42op-39Ts
tch_20200513-121247_834,class_20200513-121247_834,p2wg-x2Aa
tch_20200513-121247_835,class_20200513-121247_835,xuhT-3Z6L
tch_20200513-121247_838,class_20200513-121247_838,Akyw-6P3L
tch_20200513-121247_837,class_20200513-121247_837,A3uB-jmAY
tch_20200513-121247_836,class_20200513-121247_836,6878-W9kn
tch_20200513-121247_840,class_20200513-121247_840,t7To-4W9C
tch_20200513-121247_841,class_20200513-121247_841,mqkA-Lp92
tch_20200513-121247_839,class_20200513-121247_839,BxLT-Jkd8
tch_20200513-121247_843,class_20200513-121247_843,i8tM-xyzM
tch_20200513-121247_842,class_20200513-121247_842,484A-3Lxh
tch_20200513-121247_844,class_20200513-121247_844,D98D-NV4C
tch_20200513-121247_845,class_20200513-121247_845,Z69Y-3AxD
tch_20200513-121247_846,class_20200513-121247_846,Zt8e-iyR3
tch_20200513-121247_847,class_20200513-121247_847,epwd-8Csr
tch_20200513-121247_848,class_20200513-121247_848,ycmc-34FV
tch_20200513-121247_849,class_20200513-121247_849,6eV9-pduQ
tch_20200513-121247_850,class_20200513-121247_850,kNE9-2E42
tch_20200513-121247_851,class_20200513-121247_851,rzrc-48o3
tch_20200513-121247_852,class_20200513-121247_852,y4rA-DrA6
tch_20200513-121247_853,class_20200513-121247_853,NQ9V-684f
tch_20200513-121247_856,class_20200513-121247_856,26pX-8wVz
tch_20200513-121247_854,class_20200513-121247_854,Azy4-82gj
tch_20200513-121247_855,class_20200513-121247_855,2t6G-FTiN
tch_20200513-121247_858,class_20200513-121247_858,83w7-Ac2H
tch_20200513-121247_857,class_20200513-121247_857,hQR8-79jD
tch_20200513-121247_859,class_20200513-121247_859,gW8F-Q6xY
tch_20200513-121247_860,class_20200513-121247_860,d2a7-ApeE
tch_20200513-121247_861,class_20200513-121247_861,Nm78-98Wq
tch_20200513-121247_862,class_20200513-121247_862,ZzTQ-fHKX
tch_20200513-121247_863,class_20200513-121247_863,XkU8-A4Hx
tch_20200513-121247_865,class_20200513-121247_865,d647-aRax
tch_20200513-121247_864,class_20200513-121247_864,2a68-rgCT
tch_20200513-121247_867,class_20200513-121247_867,9i8k-28vW
tch_20200513-121247_866,class_20200513-121247_866,3U8X-Ztgo
tch_20200513-121247_870,class_20200513-121247_870,84rs-Z974
tch_20200513-121247_868,class_20200513-121247_868,zpyW-yVyn
tch_20200513-121247_871,class_20200513-121247_871,fZKV-vgs9
tch_20200513-121247_869,class_20200513-121247_869,jhrp-Ww4Y
tch_20200513-121247_872,class_20200513-121247_872,dfZ3-9jfw
tch_20200513-121247_873,class_20200513-121247_873,P7zT-wVnh
tch_20200513-121247_874,class_20200513-121247_874,z767-U3JV
tch_20200513-121247_876,class_20200513-121247_876,dDzX-jTPz
tch_20200513-121247_879,class_20200513-121247_879,qgMK-Z7Mm
tch_20200513-121247_875,class_20200513-121247_875,4969-AHKA
tch_20200513-121247_877,class_20200513-121247_877,4AbX-39C8
tch_20200513-121247_878,class_20200513-121247_878,U8Z2-i87K
