teacher,classtitle,classcode
R-3_teacher_1022_20181123-150020_30,R-3_perf_class_20181123-150020_30,bUFj-8b32
R-3_teacher_1022_20181123-150020_29,R-3_perf_class_20181123-150020_29,iHb6-aj8d
R-3_teacher_1022_20181123-150020_28,R-3_perf_class_20181123-150020_28,3d68-h8cW
R-3_teacher_1022_20181123-150020_31,R-3_perf_class_20181123-150020_31,7Zae-6g9j
R-3_teacher_1022_20181123-150020_34,R-3_perf_class_20181123-150020_34,2iai-8F2Z
R-3_teacher_1022_20181123-150020_32,R-3_perf_class_20181123-150020_32,Mb6e-49g2
R-3_teacher_1022_20181123-150020_33,R-3_perf_class_20181123-150020_33,B4Wh-9MeV
R-3_teacher_1022_20181123-150020_35,R-3_perf_class_20181123-150020_35,KeG8-iBg4
R-3_teacher_1022_20181123-150020_36,R-3_perf_class_20181123-150020_36,ZhL6-Cg8D
R-3_teacher_1022_20181123-150020_38,R-3_perf_class_20181123-150020_38,dXTd-jh6W
R-3_teacher_1022_20181123-150020_37,R-3_perf_class_20181123-150020_37,aYjb-26hf
R-3_teacher_1022_20181123-150020_39,R-3_perf_class_20181123-150020_39,ed9T-Y9Nj
R-3_teacher_1022_20181123-150020_40,R-3_perf_class_20181123-150020_40,69N7-aceH
R-3_teacher_1022_20181123-150020_42,R-3_perf_class_20181123-150020_42,ef7U-hQh4
R-3_teacher_1022_20181123-150020_41,R-3_perf_class_20181123-150020_41,LH79-a83g
R-3_teacher_1022_20181123-150020_43,R-3_perf_class_20181123-150020_43,UXh4-b323
R-3_teacher_1022_20181123-150020_44,R-3_perf_class_20181123-150020_44,ef6e-T894
R-3_teacher_1022_20181123-150020_45,R-3_perf_class_20181123-150020_45,iCfj-iThE
R-3_teacher_1022_20181123-150020_46,R-3_perf_class_20181123-150020_46,cP36-GdPb
R-3_teacher_1022_20181123-150020_47,R-3_perf_class_20181123-150020_47,67eg-4bgB
R-3_teacher_1022_20181123-150020_48,R-3_perf_class_20181123-150020_48,UL2a-3hKP
R-3_teacher_1022_20181123-150020_49,R-3_perf_class_20181123-150020_49,d7i8-T6E7
R-3_teacher_1022_20181123-150020_50,R-3_perf_class_20181123-150020_50,Md26-eNVh
R-3_teacher_1022_20181123-150020_51,R-3_perf_class_20181123-150020_51,Xece-7gZh
R-3_teacher_1022_20181123-150020_52,R-3_perf_class_20181123-150020_52,MXRg-Ccec
R-3_teacher_1022_20181123-150020_53,R-3_perf_class_20181123-150020_53,63cg-JAF9
R-3_teacher_1022_20181123-150020_54,R-3_perf_class_20181123-150020_54,H9Qc-jeAD
R-3_teacher_1022_20181123-150020_55,R-3_perf_class_20181123-150020_55,XVQY-adR2
R-3_teacher_1022_20181123-150020_56,R-3_perf_class_20181123-150020_56,9hXY-a8c3
R-3_teacher_1022_20181123-150020_58,R-3_perf_class_20181123-150020_58,H3i8-2bWf
R-3_teacher_1022_20181123-150020_57,R-3_perf_class_20181123-150020_57,fUa2-K8d2
R-3_teacher_1022_20181123-150020_60,R-3_perf_class_20181123-150020_60,VXM3-aZ8e
R-3_teacher_1022_20181123-150020_59,R-3_perf_class_20181123-150020_59,3Ubf-WYbe
R-3_teacher_1022_20181123-150020_61,R-3_perf_class_20181123-150020_61,dDBe-Nh26
R-3_teacher_1022_20181123-150020_62,R-3_perf_class_20181123-150020_62,JgLH-XZV9
R-3_teacher_1022_20181123-150020_63,R-3_perf_class_20181123-150020_63,N2Yh-ed3b
R-3_teacher_1022_20181123-150020_64,R-3_perf_class_20181123-150020_64,39X8-7gfU
R-3_teacher_1022_20181123-150020_66,R-3_perf_class_20181123-150020_66,cRPf-h9DQ
R-3_teacher_1022_20181123-150020_65,R-3_perf_class_20181123-150020_65,2a62-NcK3
R-3_teacher_1022_20181123-150020_67,R-3_perf_class_20181123-150020_67,8VdH-4EiC
R-3_teacher_1022_20181123-150020_68,R-3_perf_class_20181123-150020_68,Eihb-TgQL
R-3_teacher_1022_20181123-150020_69,R-3_perf_class_20181123-150020_69,FjdV-cLh2
R-3_teacher_1022_20181123-150020_70,R-3_perf_class_20181123-150020_70,82dF-Afd2
R-3_teacher_1022_20181123-150020_72,R-3_perf_class_20181123-150020_72,3bJ2-i3WX
R-3_teacher_1022_20181123-150020_71,R-3_perf_class_20181123-150020_71,hf6i-7ALj
R-3_teacher_1022_20181123-150020_75,R-3_perf_class_20181123-150020_75,TWJ6-37cf
R-3_teacher_1022_20181123-150020_76,R-3_perf_class_20181123-150020_76,463d-XZje
R-3_teacher_1022_20181123-150020_74,R-3_perf_class_20181123-150020_74,HUa8-4b9g
R-3_teacher_1022_20181123-150020_73,R-3_perf_class_20181123-150020_73,jNg2-gfHL
R-3_teacher_1022_20181123-150020_77,R-3_perf_class_20181123-150020_77,Rc3B-UjMe
R-3_teacher_1022_20181123-150020_79,R-3_perf_class_20181123-150020_79,3RDY-Hghc
R-3_teacher_1022_20181123-150020_80,R-3_perf_class_20181123-150020_80,igZi-H2JT
R-3_teacher_1022_20181123-150020_78,R-3_perf_class_20181123-150020_78,UcVf-M26f
R-3_teacher_1022_20181123-150020_82,R-3_perf_class_20181123-150020_82,W94c-bHfZ
R-3_teacher_1022_20181123-150020_81,R-3_perf_class_20181123-150020_81,8Qc9-fhi3
R-3_teacher_1022_20181123-150020_83,R-3_perf_class_20181123-150020_83,ige9-2f8T
R-3_teacher_1022_20181123-150020_84,R-3_perf_class_20181123-150020_84,Ach3-f98L
R-3_teacher_1022_20181123-150020_86,R-3_perf_class_20181123-150020_86,eiF3-7WiA
R-3_teacher_1022_20181123-150020_87,R-3_perf_class_20181123-150020_87,b2QZ-degd
R-3_teacher_1022_20181123-150020_85,R-3_perf_class_20181123-150020_85,c89E-X49E
R-3_teacher_1022_20181123-150020_89,R-3_perf_class_20181123-150020_89,gP6B-2aQ3
R-3_teacher_1022_20181123-150020_88,R-3_perf_class_20181123-150020_88,N9N8-4BZ3
R-3_teacher_1022_20181123-150020_91,R-3_perf_class_20181123-150020_91,ejGB-cWg3
R-3_teacher_1022_20181123-150020_90,R-3_perf_class_20181123-150020_90,K4eE-aWYF
R-3_teacher_1022_20181123-150020_92,R-3_perf_class_20181123-150020_92,Bdba-3DXC
R-3_teacher_1022_20181123-150020_93,R-3_perf_class_20181123-150020_93,jZ43-ebPE
R-3_teacher_1022_20181123-150020_94,R-3_perf_class_20181123-150020_94,bhah-DAYi
R-3_teacher_1022_20181123-150020_95,R-3_perf_class_20181123-150020_95,2J3L-Zd8W
R-3_teacher_1022_20181123-150020_96,R-3_perf_class_20181123-150020_96,gaf9-URhe
R-3_teacher_1022_20181123-150020_97,R-3_perf_class_20181123-150020_97,2eaM-3LJa
R-3_teacher_1022_20181123-150020_98,R-3_perf_class_20181123-150020_98,MC9j-Njhf
R-3_teacher_1022_20181123-150020_99,R-3_perf_class_20181123-150020_99,hfaR-FHjF
