teacher,classtitle,classcode
R-3_teacher_1022_20181123-150020_182,R-3_perf_class_20181123-150020_182,fG2c-FebN
R-3_teacher_1022_20181123-150020_181,R-3_perf_class_20181123-150020_181,EFW7-cJda
R-3_teacher_1022_20181123-150020_186,R-3_perf_class_20181123-150020_186,QdLX-QbHc
R-3_teacher_1022_20181123-150020_185,R-3_perf_class_20181123-150020_185,aMP7-dEh3
R-3_teacher_1022_20181123-150020_184,R-3_perf_class_20181123-150020_184,2fa3-cPYC
R-3_teacher_1022_20181123-150020_187,R-3_perf_class_20181123-150020_187,i2jf-Z96e
R-3_teacher_1022_20181123-150020_189,R-3_perf_class_20181123-150020_189,a3ja-326e
R-3_teacher_1022_20181123-150020_188,R-3_perf_class_20181123-150020_188,Qc4j-8cjQ
R-3_teacher_1022_20181123-150020_192,R-3_perf_class_20181123-150020_192,8dL8-dRfj
R-3_teacher_1022_20181123-150020_190,R-3_perf_class_20181123-150020_190,aYfi-gfce
R-3_teacher_1022_20181123-150020_191,R-3_perf_class_20181123-150020_191,j34G-2Vji
R-3_teacher_1022_20181123-150020_194,R-3_perf_class_20181123-150020_194,fTMX-TgHM
R-3_teacher_1022_20181123-150020_193,R-3_perf_class_20181123-150020_193,cE9f-WAfe
R-3_teacher_1022_20181123-150020_195,R-3_perf_class_20181123-150020_195,h3i9-W49Y
R-3_teacher_1022_20181123-150020_196,R-3_perf_class_20181123-150020_196,ghJW-c248
R-3_teacher_1022_20181123-150020_199,R-3_perf_class_20181123-150020_199,hD7N-KXc3
R-3_teacher_1022_20181123-150020_198,R-3_perf_class_20181123-150020_198,f83a-h8bg
R-3_teacher_1022_20181123-150020_197,R-3_perf_class_20181123-150020_197,26dG-AYda
R-3_teacher_1022_20181123-150020_200,R-3_perf_class_20181123-150020_200,Zfa4-76F3
