tchextuserid,stduuid,stdextid,classcode
tch_20240418-114603_28,f7c77721-b7e5-406b-850d-41074aa11d87,std_1713436329239_21,LKR4-6yA6
tch_20240418-114603_30,925bf1f3-076d-4e95-9067-def0573dac1a,std_1713436327200_13,V372-PUfA
tch_20240418-114603_31,3ee2d3e3-57f0-455f-89a6-e478bd8de496,std_1713436323640_55,6ETA-C9he
tch_20240418-114603_45,5197a369-543b-4f83-9230-56f0efa77d6e,std_1713436329877_37,N2YK-qrqM
tch_20240418-114603_29,a0c99b76-b69b-41c1-b600-770e210fa52d,std_1713436328066_22,gQ64-r3xU
tch_20240418-114603_79,ac72653d-6134-4913-bd8b-7e8bb4f2f392,std_1713436330958_52,9f8F-nkhN
tch_20240418-114603_50,5bc7affe-2eb9-4aab-8e37-6789ecec20d3,std_1713436330995_69,xF48-7Drd
tch_20240418-114603_48,604a5b4a-1ffb-4374-99ca-d558f97fe4ef,std_1713436330206_36,KsH7-Yt3f
tch_20240418-114603_51,7e10ab76-29eb-4a74-a709-d1ea09b87d41,std_1713436334233_26,hN69-WLW9
tch_20240418-114603_60,5424334d-f88a-4ce4-865c-9c1a1cf9373d,std_1713436329027_28,HVP3-zZCs
tch_20240418-114603_43,612d6d26-931f-4c27-872f-491742f34602,std_1713436328881_46,XzWe-92Ey
tch_20240418-114603_80,1c418342-d0fd-4357-8e84-b99880b7a5c2,std_1713436332035_31,zLZY-k8nB
tch_20240418-114603_49,f5d0abd3-938d-4faf-9839-ceb9a4c9d964,std_1713436332689_24,V4iH-b8sQ
tch_20240418-114603_65,128c13b4-6378-43f3-8b54-aed920df29eb,std_1713436331457_29,hb27-DKi2
tch_20240418-114603_64,12579744-fc54-4bf1-a141-35fa0e022585,std_1713436333968_27,uH27-jzje
tch_20240418-114603_78,14204ca6-766c-4cf1-8273-ef9845c44f2b,std_1713436330305_74,JyJh-b386
tch_20240418-114603_32,85fc5a16-aee5-403f-bdd9-1e03ba49b336,std_1713436335510_44,c387-2mGY
tch_20240418-114603_35,07aab9f4-731e-4f7a-8640-815afeaba30f,std_1713436334251_23,qw8e-2hxr
tch_20240418-114603_36,597bdebf-4ef3-48d0-968e-51f25eb37e8c,std_1713436336019_56,DcDH-KFr7
tch_20240418-114603_37,5dcc6f93-ec2d-433c-a5cd-8b9dcb06e346,std_1713436333801_35,uc4m-B8w9
tch_20240418-114603_67,b1b0dc7f-0859-484e-8faf-138fe29ee7f4,std_1713436336838_19,yA96-LKRG
tch_20240418-114603_69,b707713c-e30f-4f32-a9b7-8aaea22c7225,std_1713436335571_40,69Gh-GMm2
tch_20240418-114603_70,a3ad0f54-077b-4cbf-8b3f-15658dc788e7,std_1713436335599_50,W69B-CMwU
tch_20240418-114603_82,7ee0dcd8-98d4-4fc1-8a96-c7594b1d32d9,std_1713436336915_20,3txu-Y8B9
tch_20240418-114603_38,44b020a0-3e66-4921-8c2b-e9055ede1686,std_1713436335289_34,C4p9-pRNY
tch_20240418-114603_81,3ca55138-96d7-4155-acc3-382fc16467e5,std_1713436336105_42,EWAM-9K36
tch_20240418-114603_54,bad2a9ac-30f8-4a60-b051-b7dca76e7deb,std_1713436336715_58,9k2p-BD9t
tch_20240418-114603_53,03c4e75c-bfe4-4975-80f5-cbb85520877d,std_1713436340228_15,UHt2-YHv3
tch_20240418-114603_83,ec09d618-48b9-4560-8b74-e8f85f7380ec,std_1713436340309_75,vfXu-vn7w
tch_20240418-114603_87,74e00077-6e3f-4b34-a5c0-194b1d47ef80,std_1713436342839_64,owpk-aY4o
tch_20240418-114603_40,5a0bdc5a-a261-4e62-b901-db134ed0baca,std_1713436342237_25,76dr-2QuU
tch_20240418-114603_39,59eabd24-2701-4061-85a8-162f93cd50f2,std_1713436342234_67,vN8j-YBCk
tch_20240418-114603_86,d3b0297c-dc87-46ac-b26c-424000d02387,std_1713436342525_53,d7Hd-KHAb
tch_20240418-114603_84,473cee6d-84f8-4520-94e5-83c2a60900e2,std_1713436341736_43,362p-9vk2
tch_20240418-114603_52,e07f7dc5-386a-4058-a8b5-af5d1a9eca59,std_1713436340454_38,vob8-4ZvD
tch_20240418-114603_41,107fd1d1-d424-465b-ba40-0cf090871973,std_1713436346785_14,jhUD-9yAz
tch_20240418-114603_66,ebebc57b-6c0f-44dc-aa45-98568ac5c858,std_1713436337142_17,RN84-Ger4
tch_20240418-114603_85,73aa0781-170a-400e-a82e-e729efd8ffcd,std_1713436341850_32,ukbt-FfZg
tch_20240418-114603_71,58e0558f-4615-4f9b-aa8e-19063385a342,std_1713436344897_61,E96u-2m9i
tch_20240418-114603_72,d4819d3f-995e-4e90-b7f2-31be048afcfd,std_1713436346457_30,w9hb-fDs3
tch_20240418-114603_89,4730b586-0ca1-4ca6-98d8-ab3fdafa8969,std_1713436349132_65,4cXe-346z
tch_20240418-114603_88,bea470ea-a342-437f-a2a8-cb2045a1f676,std_1713436347400_54,rW69-mcs3
tch_20240418-114603_68,cd1966f0-b6a8-4271-8ef8-46b117f9748f,std_1713436343397_72,DBxB-oL67
tch_20240418-114603_55,ab557f1c-239d-4e72-ac19-182fea351ff7,std_1713436345885_49,d6p4-x4GV
tch_20240418-114603_73,24b75c1a-4c57-456a-bd5f-d689465446c7,std_1713436347697_73,bD7B-knkW
tch_20240418-114603_59,108521a2-83d8-42dd-8814-0aa36acda7fc,std_1713436347947_60,68Q2-g4dt
tch_20240418-114603_56,510cde01-f6db-4859-b3c9-dae029151849,std_1713436349918_70,7vJ7-i3sV
tch_20240418-114603_57,83bb9357-f9c9-469b-9c4c-561dfadc3e4e,std_1713436349034_48,XKnY-ghnT
tch_20240418-114603_90,4c792fc6-6e26-44c4-b344-fe0e187006fd,std_1713436350301_76,oVmC-QRqh
tch_20240418-114603_47,3a6f7e05-8f6b-4ca4-bb97-3a9b059c881b,std_1713436354426_47,8P2m-iZGJ
tch_20240418-114603_42,72f7ae77-c30c-47e5-b96f-2d0053755046,std_1713436353591_16,HZ46-a8gd
tch_20240418-114603_63,d3f35b1e-6d6f-4803-9901-470f61559849,std_1713436355202_71,b93P-E3Cc
tch_20240418-114603_74,35d39f37-e459-4387-930f-fc92623077a7,std_1713436351597_51,k4A4-QBNx
tch_20240418-114603_58,0c532600-ef0b-48ca-9732-f00db5e1aab1,std_1713436351805_59,LA4v-wezQ
tch_20240418-114603_75,06c53d46-1972-4d11-b5cf-39629e0af0a3,std_1713436352660_62,grMN-8w9U
tch_20240418-114603_44,311a910d-0e9a-4d30-87b1-fa2a59109e4f,std_1713436353491_68,9Xw2-qRVt
tch_20240418-114603_94,0c58f619-4a63-4796-98bb-87052ceb349e,std_1713436356689_21,Xp24-6agx
tch_20240418-114603_50,b90cd244-fcd8-4006-8c19-2f7e412c1ddb,std_1713436357716_69,xF48-7Drd
tch_20240418-114603_48,a57f4126-e753-4db6-9705-c41ca06e68ce,std_1713436357946_36,KsH7-Yt3f
tch_20240418-114603_61,ee9f288f-3f6c-481b-af58-a26aed9a18b5,std_1713436352860_18,4wve-RV79
tch_20240418-114603_62,82c0939e-0ec6-4e38-ad03-ffac79598f70,std_1713436354573_39,yRF6-psyF
tch_20240418-114603_46,dcec21cd-b363-453c-9eb8-194bd85596fc,std_1713436355342_57,mPhx-9RTf
tch_20240418-114603_77,bd253944-9b59-45d5-8be6-09ddd239e79c,std_1713436355968_41,DgAd-43fz
tch_20240418-114603_95,ecccd274-adef-4e97-bd71-e1b4b0865d6b,std_1713436357059_55,Tid8-9Ndf
tch_20240418-114603_76,cf6558e8-5409-4aa2-a405-1fa6208cc435,std_1713436354408_63,GZm8-NVAP
tch_20240418-114603_43,3f031bcf-e701-4dda-9721-224c7dc478a8,std_1713436358591_46,XzWe-92Ey
tch_20240418-114603_51,6d53113c-2449-4f93-ba56-a7d6f0ce235d,std_1713436358020_26,hN69-WLW9
tch_20240418-114603_45,b62736fd-5f2d-4c6f-be21-4b6e71901923,std_1713436357397_37,N2YK-qrqM
tch_20240418-114603_60,301605b5-2a11-48ed-8963-1d262dfb402c,std_1713436358589_28,HVP3-zZCs
tch_20240418-114603_49,5ca2418d-b4e8-4f89-83b6-fa7dfa9759ad,std_1713436359980_24,V4iH-b8sQ
tch_20240418-114603_96,c787e9b4-ed28-4b17-97dc-d93d16e2c4a3,std_1713436357454_22,MTCD-jZM4
tch_20240418-114603_91,d7c24793-1fa9-45b9-bb7e-03e4ac09c707,std_1713436355580_33,kcto-vm6f
tch_20240418-114603_93,d32d8eaa-bf1c-447f-98cc-812bf6db8bb3,std_1713436355950_45,3rNn-h7zM
tch_20240418-114603_99,5ad20355-bdd1-4841-8795-f89c819374b4,std_1713436361825_23,w72L-2ipa
tch_20240418-114603_92,6557abb2-d2ed-4713-8bf3-1bd624d7f390,std_1713436355877_66,6M8k-QM73
tch_20240418-114603_79,79dde7c6-3fb8-4643-9864-6144b9ac88bf,std_1713436357666_52,9f8F-nkhN
tch_20240418-114603_78,f4615be9-8cf9-4917-8053-0f8edaab1d9d,std_1713436360698_74,JyJh-b386
tch_20240418-114603_64,e5bed3ff-c057-4a57-bcdf-5c0ba4a15575,std_1713436360682_27,uH27-jzje
tch_20240418-114603_80,84031b90-7b90-4f93-b40f-12f4d4e4460b,std_1713436358921_31,zLZY-k8nB
tch_20240418-114603_97,8d052626-d5dc-4db2-8d11-0294ecbb8510,std_1713436360308_77,a7aW-2eN9
tch_20240418-114603_98,8d6cda54-1324-4b3a-a97b-f2d9971027a2,std_1713436361129_44,D2WC-8Fd4
tch_20240418-114603_100,53abf2f8-631a-43ac-966f-939e549e9652,std_1713436362289_56,ef7U-6us2
tch_20240418-114603_65,45d052b5-d725-4bf0-8234-bcbb7c00eab8,std_1713436360511_29,hb27-DKi2
tch_20240418-122342_1,6e552040-282f-4cd5-818a-b9864efb0115,std_1713436363350_35,Z8nk-RAqs
tch_20240418-114603_70,c751f661-f340-4da2-af2e-8dc95ac57169,std_1713436364541_50,W69B-CMwU
tch_20240418-114603_69,302caa25-d61d-4c20-8302-252b915d9641,std_1713436363967_40,69Gh-GMm2
tch_20240418-122342_2,64f6114f-23ee-4c91-b64c-00ffa88f5c77,std_1713436365831_34,73mL-dzts
tch_20240418-114603_67,47ec790d-95a1-4c79-b591-fb33ae21b2f3,std_1713436363661_19,yA96-LKRG
tch_20240418-114603_82,e172458a-2b91-4e84-bf35-c1f900b95ee4,std_1713436365657_20,3txu-Y8B9
tch_20240418-114603_81,f050c865-c208-4902-9f27-ba87c2a02f3e,std_1713436366093_42,EWAM-9K36
tch_20240418-122342_4,c1b63a07-435e-4fc5-be5f-4e613ff837af,std_1713436368805_67,FzYg-WKQn
tch_20240418-114603_83,7ff5ad75-aabe-4c32-8d10-05c9311853e7,std_1713436367620_75,vfXu-vn7w
tch_20240418-114603_53,ed435f5d-0f8b-4a09-818c-ba1d88e5bcc2,std_1713436366987_15,UHt2-YHv3
tch_20240418-114603_84,15b4a578-4b28-4815-bcad-2a12e90dcecd,std_1713436369696_43,362p-9vk2
tch_20240418-122342_3,7d75823c-d24f-44a2-8ab6-da980a0bac0d,std_1713436368468_25,37tg-hrDp
tch_20240418-114603_54,2bc021d8-bd9f-427d-b4a6-e5b5ff7244ef,std_1713436366737_58,9k2p-BD9t
tch_20240418-122342_5,1a3d0bc7-9967-4f99-b9c4-57af8ef5bc43,std_1713436370315_78,4e8V-td2Q
tch_20240418-114603_66,56fc31b5-bcf8-41a5-96bc-3e1f854a2301,std_1713436370529_17,RN84-Ger4
tch_20240418-114603_85,c6139f09-1a8f-4a3e-ac95-27070d691dbd,std_1713436372121_32,ukbt-FfZg
tch_20240418-114603_52,44eb78e7-872c-4ff6-ac68-6e2f46c0fb29,std_1713436370155_38,vob8-4ZvD
tch_20240418-114603_57,8ace0eeb-ccc9-413a-8549-1a1e119ee0fd,std_1713436378441_48,XKnY-ghnT
tch_20240418-114603_71,45f4ed28-f0ae-4763-aac9-756636453931,std_1713436373523_61,E96u-2m9i
tch_20240418-114603_89,c39da639-ee50-4c89-a9bb-9e2699c27b71,std_1713436375897_65,4cXe-346z
tch_20240418-114603_72,410ad361-a2d4-47f8-a4be-cff959213ee2,std_1713436374798_30,w9hb-fDs3
tch_20240418-122342_7,b7383302-9caa-4b7c-a02b-62f2a34c24fc,std_1713436380319_79,wt4i-M9PE
tch_20240418-114603_68,14d8bf1b-6614-40a4-b126-d218adce057c,std_1713436376221_72,DBxB-oL67
tch_20240418-114603_73,1a26d93b-1051-424b-8193-27cfa92aed3b,std_1713436377196_73,bD7B-knkW
tch_20240418-114603_55,912f4bad-2938-4b28-91c8-82bd04af3d27,std_1713436376953_49,d6p4-x4GV
tch_20240418-122342_6,131a6c21-ecec-48b0-bdc0-8a69ae2a51de,std_1713436379134_47,c36c-p3Z4
tch_20240418-114603_58,8ada8389-1d8a-4679-8e4f-15a9fead5ba8,std_1713436380223_59,LA4v-wezQ
tch_20240418-114603_88,46888099-7271-40bb-a2c0-7f6de4c8c648,std_1713436376176_54,rW69-mcs3
tch_20240418-114603_56,1bcd91e1-530a-4d20-961d-d48673a2e503,std_1713436378221_70,7vJ7-i3sV
tch_20240418-114603_63,2908f184-ed51-4fab-89ac-42de6c1b7be2,std_1713436380147_71,b93P-E3Cc
tch_20240418-114603_90,4f34e19d-4dac-4cc0-90bf-563f49535b66,std_1713436378832_76,oVmC-QRqh
tch_20240418-114603_74,5646a0d4-b0bb-4265-8c25-67f71c5d9e8d,std_1713436380157_51,k4A4-QBNx
tch_20240418-114603_61,391172b5-456e-417c-859b-6d0bab720d58,std_1713436383936_18,4wve-RV79
tch_20240418-114603_62,9698e815-7675-4c1f-a9ff-36495f0fdf93,std_1713436384134_39,yRF6-psyF
tch_20240418-114603_59,8185aa64-fd38-41d6-ad05-71269910909a,std_1713436377477_60,68Q2-g4dt
tch_20240418-122342_8,03b3eca8-3da5-4e57-9771-4f94fc2845a0,std_1713436381205_68,72Uu-6zri
tch_20240418-122342_10,31822007-2eda-48c4-a54a-923763e729e0,std_1713436383789_36,kKf7-63DW
tch_20240418-122342_13,e4bc7e73-b6fc-4b83-92f3-0257e69afc18,std_1713436385039_26,QC8o-X7F8
tch_20240418-114603_94,a08cf5ac-a520-4e1b-9c40-71154d870d8a,std_1713436381884_21,Xp24-6agx
tch_20240418-114603_92,81ab320b-db53-4d47-8d3b-2f4ca9b0ac71,std_1713436386457_66,6M8k-QM73
tch_20240418-114603_75,98d5dabc-a4e5-49d1-8a25-b74ab2c19a51,std_1713436380472_62,grMN-8w9U
tch_20240418-122342_12,3cabaeb9-affd-451c-905e-514a5a3d1aa0,std_1713436384910_46,gCmz-eK8d
tch_20240418-114603_95,a212bd8a-4afe-4031-b7d1-45801fb79d7c,std_1713436384614_55,Tid8-9Ndf
tch_20240418-122342_9,25b9d733-7eae-4976-b31d-b17570517884,std_1713436383324_69,gp7z-Dak8
tch_20240418-114603_99,0f088617-953b-47be-9869-2f06bb395210,std_1713436386235_23,w72L-2ipa
tch_20240418-114603_96,e5690827-b00e-449c-97c2-c5f4efd42c46,std_1713436385723_22,MTCD-jZM4
tch_20240418-114603_91,d516a7b8-ea82-4e69-9e66-cc51f91803a3,std_1713436385988_33,kcto-vm6f
tch_20240418-114603_79,c9e1a854-78f5-4585-a91f-bf6be961a562,std_1713436386958_52,9f8F-nkhN
tch_20240418-122342_14,d36b6989-5472-413b-b9d2-629870aae1b4,std_1713436385264_37,XAZ6-t6YF
tch_20240418-114603_60,77bd2de5-bd95-4af1-be7b-7238fe7d2b14,std_1713436385332_28,HVP3-zZCs
tch_20240418-114603_98,552a6081-2208-4b45-81a8-ed4f399ae9ed,std_1713436388964_44,D2WC-8Fd4
tch_20240418-114603_77,06a9513c-a1be-4d8e-b3a2-68ab209439a8,std_1713436384342_41,DgAd-43fz
tch_20240418-114603_93,c736ba23-9e11-40d0-944a-c1123e934889,std_1713436386181_45,3rNn-h7zM
tch_20240418-114603_69,fe0b6dce-56bf-478a-ac14-51f90d94db44,std_1713436392014_40,69Gh-GMm2
tch_20240418-114603_97,f967e655-6782-4ac1-93b9-9f0e63eab860,std_1713436388607_77,a7aW-2eN9
tch_20240418-114603_76,740f63a1-d2ef-4eee-a6c4-6f5848475dbd,std_1713436384817_63,GZm8-NVAP
tch_20240418-114603_64,bd43174f-fc4b-4d14-bdfc-82017eb67c6a,std_1713436387092_27,uH27-jzje
tch_20240418-122342_1,f8310624-e388-455b-8286-c07a02ea6e62,std_1713436390846_35,Z8nk-RAqs
tch_20240418-114603_70,f931c725-3696-4986-908f-26550af120ea,std_1713436390919_50,W69B-CMwU
tch_20240418-114603_100,cecfdb79-6a07-45fb-808d-20bf5535130e,std_1713436389692_56,ef7U-6us2
tch_20240418-114603_67,1e76f854-3f33-42c0-a852-37b4430bd42b,std_1713436392225_19,yA96-LKRG
tch_20240418-122342_16,d92c16cc-3d12-40d5-ae2b-2f7f8afc3745,std_1713436390315_80,NKG7-n37y
tch_20240418-114603_65,8775bb18-d271-49e2-9364-29e60977a013,std_1713436390480_29,hb27-DKi2
tch_20240418-122342_2,af726549-ff7f-44b4-ae84-8fde86bfe4fd,std_1713436392102_34,73mL-dzts
tch_20240418-114603_83,ece451cf-2525-45a2-b844-e8872c78aa09,std_1713436395257_75,vfXu-vn7w
tch_20240418-122342_4,8efceb60-7351-4c8e-8ab0-b2126cdc392b,std_1713436395161_67,FzYg-WKQn
tch_20240418-114603_82,cd4d6a38-bbf7-4956-bade-df38149ac9cb,std_1713436392295_20,3txu-Y8B9
tch_20240418-114603_81,1861cb08-8fb5-4e86-ba0d-d8c20791c99e,std_1713436395042_42,EWAM-9K36
tch_20240418-114603_87,d0158809-2fee-4852-9ae6-9bb4ff52aaa3,std_1713436398478_64,owpk-aY4o
tch_20240418-114603_71,5fc1f7e0-8ada-4c59-9b36-751b1c49062b,std_1713436401245_61,E96u-2m9i
tch_20240418-114603_86,a5a597b0-a7d3-4aa1-9764-4cae76dde7cd,std_1713436398478_53,d7Hd-KHAb
tch_20240418-114603_84,dbc0b906-e959-4135-9cff-23e64e5012b7,std_1713436396204_43,362p-9vk2
tch_20240418-122342_5,3fe5be09-20aa-4ea5-aeda-3e783077ff2e,std_1713436397407_78,4e8V-td2Q
tch_20240418-122342_3,0b473c06-b3c2-4d08-8089-33241090a6b2,std_1713436396320_25,37tg-hrDp
tch_20240418-114603_85,379b0304-0749-47b3-9721-c3cab5f0c972,std_1713436400050_32,ukbt-FfZg
tch_20240418-122342_19,87092297-defb-4951-9a47-f0ebaedd4ca0,std_1713436401088_38,9Zm8-ipsd
tch_20240418-114603_89,e7d2b717-b3ea-4bfd-8cec-201e04889622,std_1713436402281_65,4cXe-346z
tch_20240418-122342_17,0244da81-79e8-4fbb-b80d-bd494acf7930,std_1713436396924_58,K2P3-qcoC
tch_20240418-114603_66,fc514513-e0fe-43c4-9954-c9e9b7276bc5,std_1713436398768_17,RN84-Ger4
tch_20240418-122342_20,6f2a6456-27e4-44af-b1b5-2f56152eadc8,std_1713436401197_48,648v-aV9T
tch_20240418-122342_6,263c1079-b4da-45eb-b3d0-2f06c5cdf224,std_1713436405773_47,c36c-p3Z4
tch_20240418-114603_68,bbefbd39-e944-4f02-ae7e-60dae26d07df,std_1713436403686_72,DBxB-oL67
tch_20240418-122342_18,7f838e9d-fc54-4b3c-a009-a2fd605de375,std_1713436400326_81,jk73-F8vQ
tch_20240418-114603_73,81c6eaac-6313-4e8d-9b34-180375978458,std_1713436404421_73,bD7B-knkW
tch_20240418-114603_72,86c343d5-c499-4180-883e-6b35adbbca58,std_1713436403289_30,w9hb-fDs3
tch_20240418-114603_88,e0352952-5672-4e0f-bc86-d9893da936b2,std_1713436406146_54,rW69-mcs3
tch_20240418-122342_21,499234ac-433c-4c8d-b19d-1fbb37ed2452,std_1713436405573_49,43po-HoB8
tch_20240418-122342_26,b49fdb8e-1f09-4cad-ac52-6daa7410c8b0,std_1713436408811_60,Tz9C-8YHg
tch_20240418-122342_24,f33fb571-a3ca-4e48-9417-399a3a0c875a,std_1713436407079_71,FY78-DhA4
tch_20240418-122342_22,f0fb9c7b-614d-4498-bee4-6f8e3ef90158,std_1713436405957_59,kw62-xHhG
tch_20240418-122342_7,fdc87579-7bba-4809-8949-2f19d9e9e4d8,std_1713436403431_79,wt4i-M9PE
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
