teacherextuserid,classtitle,classcode,category,pe_category,category_type,
tch_H1_20240128-195807_88,class_H1_20240128-195807_88,Ch3N-Tbj8,H1,h1pe,H,Low_Cursor
tch_H1_20240124-195937_86,class_H1_20240124-195937_86,jEs3-d6v6,H1,h1pe,H,Low_Cursor
tch_H1_20240128-190832_87,class_H1_20240128-190832_87,nFWN-byik,H1,h1pe,H,Low_Cursor
tch_H1_20240128-220541_85,class_H1_20240128-220541_85,xY8C-6HpB,H1,h1pe,H,Low_Cursor
tch_H1_20231229-173128_72,class_H1_20231229-173128_72,wphp-yQR4,H1,h1pe,H,Low_Cursor
tch_H1_20240128-195807_89,class_H1_20240128-195807_89,DJxq-rToL,H1,h1pe,H,Low_Cursor
tch_H1_20240128-220541_89,class_H1_20240128-220541_89,6Kn9-48xu,H1,h1pe,H,Low_Cursor
tch_H1_20240102-192514_73,class_H1_20240102-192514_73,wQ8A-47iP,H1,h1pe,H,Low_Cursor
tch_H1_20240222-110512_86,class_H1_20240222-110512_86,t278-CqC8,H1,h1pe,H,Low_Cursor
tch_H1_20240222-110512_185,class_H1_20240222-110512_185,28L3-4egY,H1,h1pe,H,Low_Cursor
tch_H1_20240128-180332_87,class_H1_20240128-180332_87,kyTb-fN3y,H1,h1pe,H,Low_Cursor
tch_H2_20240222-172411_191,class_H2_20240222-172411_191,kq9m-8a8b,H2,h2pe,H,Low_Cursor
tch_H2_20240124-195937_90,class_H2_20240124-195937_90,XET8-2hD3,H2,h2pe,H,Low_Cursor
tch_H2_20240128-142311_90,class_H2_20240128-142311_90,Tk4s-rvrR,H2,h2pe,H,Low_Cursor
tch_H2_20240128-220541_90,class_H2_20240128-220541_90,rNBJ-RM6h,H2,h2pe,H,Low_Cursor
tch_H2_20240128-220541_91,class_H2_20240128-220541_91,voTh-fb24,H2,h2pe,H,Low_Cursor
tch_H2_20240128-205614_91,class_H2_20240128-205614_91,kM2k-9wD8,H2,h2pe,H,Low_Cursor
tch_H2_20240128-170457_90,class_H2_20240128-170457_90,mQMq-PzKp,H2,h2pe,H,Low_Cursor
tch_H2_20240102-154640_79,class_H2_20240102-154640_79,2v9B-ow3c,H2,h2pe,H,Low_Cursor
tch_H2_20240128-205614_90,class_H2_20240128-205614_90,LT3j-7Xsx,H2,h2pe,H,Low_Cursor
tch_H2_20240128-190832_90,class_H2_20240128-190832_90,vNXn-4WkZ,H2,h2pe,H,Low_Cursor
tch_H2_20231229-183345_78,class_H2_20231229-183345_78,2M28-NK6G,H2,h2pe,H,Low_Cursor
tch_H2_20231229-163209_80,class_H2_20231229-163209_80,3DCB-hLKm,H2,h2pe,H,Low_Cursor
tch_H2_20240102-154640_77,class_H2_20240102-154640_77,PkQM-9HY2,H2,h2pe,H,Low_Cursor
tch_H2_20240222-110512_91,class_H2_20240222-110512_91,FH2j-nBX7,H2,h2pe,H,Low_Cursor
tch_H2_20240222-143108_91,class_H2_20240222-143108_91,HU6Y-sW2C,H2,h2pe,H,Low_Cursor
tch_H2_20240128-130831_90,class_H2_20240128-130831_90,36sG-FCZY,H2,h2pe,H,Low_Cursor
tch_H2_20231229-183345_76,class_H2_20231229-183345_76,i3aL-rCLB,H2,h2pe,H,Low_Cursor
tch_H2_20240222-110512_191,class_H2_20240222-110512_191,DpYQ-R9i3,H2,h2pe,H,Low_Cursor
tch_H2_20240128-142311_91,class_H2_20240128-142311_91,CV68-hJsi,H2,h2pe,H,Low_Cursor
tch_H2_20240222-110512_190,class_H2_20240222-110512_190,FvLB-VrX7,H2,h2pe,H,Low_Cursor
tch_H2_20240128-195807_91,class_H2_20240128-195807_91,9sQh-78xJ,H2,h2pe,H,Low_Cursor
tch_H2_20240102-154640_78,class_H2_20240102-154640_78,ahXQ-67RT,H2,h2pe,H,Low_Cursor
tch_H2_20240128-190832_91,class_H2_20240128-190832_91,7kAP-8kYe,H2,h2pe,H,Low_Cursor
tch_H2_20240128-195807_90,class_H2_20240128-195807_90,sYri-8d2z,H2,h2pe,H,Low_Cursor
tch_H2_20240124-195937_91,class_H2_20240124-195937_91,z8h6-DBEj,H2,h2pe,H,Low_Cursor
tch_H2_20240128-180332_90,class_H2_20240128-180332_90,CMgk-rpPv,H2,h2pe,H,Low_Cursor
tch_H2_20240128-180332_91,class_H2_20240128-180332_91,Y7t8-c6Q6,H2,h2pe,H,Low_Cursor
tch_H2_20240222-143108_190,class_H2_20240222-143108_190,P972-x3su,H2,h2pe,H,Low_Cursor
tch_H2_20240222-110512_90,class_H2_20240222-110512_90,Q6yJ-dEru,H2,h2pe,H,Low_Cursor
tch_H2_20240102-154640_80,class_H2_20240102-154640_80,ZU36-4bNM,H2,h2pe,H,Low_Cursor
26aed227740e438982d763482a3dde8e,className,zreP-NtHy,H2,h2pe,H,Low_Cursor
tch_H2_20240222-143108_90,class_H2_20240222-143108_90,F8sa-bsz7,H2,h2pe,H,Low_Cursor
tch_H2_20231229-151113_77,class_H2_20231229-151113_77,yt7e-Lx7E,H2,h2pe,H,Low_Cursor
tch_H2_20240228-113644_190,class_H2_20240228-113644_190,87CD-x7G3,H2,h2pe,H,Low_Cursor
tch_H2_20240102-192514_78,class_H2_20240102-192514_78,98q7-g6V9,H2,h2pe,H,Low_Cursor
tch_H2_20240128-170457_91,class_H2_20240128-170457_91,G2f2-c7nF,H2,h2pe,H,Low_Cursor
tch_H2_20240128-130831_91,class_H2_20240128-130831_91,x4fw-4jgX,H2,h2pe,H,Low_Cursor
tch_H2_20231229-151113_79,class_H2_20231229-151113_79,Tn42-ZuB7,H2,h2pe,H,Low_Cursor
tch_H2_20240222-143108_191,class_H2_20240222-143108_191,ayx8-9dQD,H2,h2pe,H,Low_Cursor
tch_H4_20240222-110512_97,class_H4_20240222-110512_97,M8Mc-3M32,H4,h4pe,H,Low_Cursor
tch_H4_20231229-151113_86,class_H4_20231229-151113_86,36Wm-t4im,H4,h4pe,H,Low_Cursor
tch_H4_20240128-220541_97,class_H4_20240128-220541_97,BkhX-scvs,H4,h4pe,H,Low_Cursor
tch_H4_20240124-195937_97,class_H4_20240124-195937_97,Ybd3-XG2v,H4,h4pe,H,Low_Cursor
tch_H4_20240128-205614_97,class_H4_20240128-205614_97,DJA4-8H4C,H4,h4pe,H,Low_Cursor
tch_H4_20240128-195807_97,class_H4_20240128-195807_97,DMuA-u39r,H4,h4pe,H,Low_Cursor
tch_H4_20240222-110512_197,class_H4_20240222-110512_197,42yi-dA6T,H4,h4pe,H,Low_Cursor
tch_H4_20240128-180332_97,class_H4_20240128-180332_97,6aU8-D3AY,H4,h4pe,H,Low_Cursor
tch_H4_20231229-183345_87,class_H4_20231229-183345_87,W4rN-98na,H4,h4pe,H,Low_Cursor
tch_H4_20231229-183345_86,class_H4_20231229-183345_86,nf8T-R29D,H4,h4pe,H,Low_Cursor
tch_H4_20240128-130831_97,class_H4_20240128-130831_97,8iKb-g7Eh,H4,h4pe,H,Low_Cursor
tch_H4_20240222-143108_97,class_H4_20240222-143108_97,4W6L-tVA6,H4,h4pe,H,Low_Cursor
tch_H4_20240222-143108_197,class_H4_20240222-143108_197,XYQ9-X8yU,H4,h4pe,H,Low_Cursor
tch_H4_20240128-170457_97,class_H4_20240128-170457_97,qh36-yeNT,H4,h4pe,H,Low_Cursor
tch_H4_20231229-163209_90,class_H4_20231229-163209_90,sdRa-7WF7,H4,h4pe,H,Low_Cursor
tch_H4_20231229-163209_89,class_H4_20231229-163209_89,hsGT-fQiP,H4,h4pe,H,Low_Cursor
tch_H4_20240128-142311_97,class_H4_20240128-142311_97,tqXa-76er,H4,h4pe,H,Low_Cursor
tch_H4_20240128-190832_97,class_H4_20240128-190832_97,hKVn-mWP6,H4,h4pe,H,Low_Cursor
