teacher,classcode,c,d,e,f,g,h
tch_20200511-194843_950,class_20200511-194843_950,tgP9-aMd2,,,,,
tch_20200511-194843_951,class_20200511-194843_951,zp48-97Ef,,,,,
tch_20200511-194843_952,class_20200511-194843_952,3Xs3-nokC,,,,,
tch_20200511-194843_953,class_20200511-194843_953,r9KJ-Wf2F,,,,,
tch_20200511-194843_954,class_20200511-194843_954,CXB9-xhK6,,,,,
tch_20200511-194843_956,class_20200511-194843_956,7p7Z-9vtd,,,,,
tch_20200511-194843_955,class_20200511-194843_955,7iQ3-Wf2b,,,,,
tch_20200511-194843_957,class_20200511-194843_957,2E2h-7gPM,,,,,
tch_20200511-194843_958,class_20200511-194843_958,Ecs9-24My,,,,,
tch_20200511-194843_959,class_20200511-194843_959,3mKn-HTkR,,,,,
tch_20200511-194843_960,class_20200511-194843_960,ugvz-NzsM,,,,,
tch_20200511-194843_962,class_20200511-194843_962,7KE6-h989,,,,,
tch_20200511-194843_961,class_20200511-194843_961,R9uE-G4iY,,,,,
tch_20200511-194843_963,class_20200511-194843_963,xc2b-R9Aa,,,,,
tch_20200511-194843_964,class_20200511-194843_964,erby-PFVW,,,,,
tch_20200511-194843_965,class_20200511-194843_965,8M4j-kFBT,,,,,
tch_20200511-194843_966,class_20200511-194843_966,9yRe-XZsU,,,,,
tch_20200511-194843_968,class_20200511-194843_968,H9az-427F,,,,,
tch_20200511-194843_967,class_20200511-194843_967,g4bu-3X7r,,,,,
tch_20200511-194843_969,class_20200511-194843_969,JTZD-2MK4,,,,,
tch_20200511-194843_970,class_20200511-194843_970,2gPm-UM6k,,,,,
tch_20200511-194843_971,class_20200511-194843_971,x9rk-32R4,,,,,
tch_20200511-194843_972,class_20200511-194843_972,6W4Q-a3nJ,,,,,
tch_20200511-194843_974,class_20200511-194843_974,U8MT-yJ6m,,,,,
tch_20200511-194843_973,class_20200511-194843_973,e7UG-sU2h,,,,,
tch_20200511-194843_976,class_20200511-194843_976,upiL-jKbw,,,,,
tch_20200511-194843_975,class_20200511-194843_975,8arZ-6t6e,,,,,
tch_20200511-194843_978,class_20200511-194843_978,87Rh-M4fy,,,,,
tch_20200511-194843_977,class_20200511-194843_977,e2x7-R3mD,,,,,
tch_20200511-194843_980,class_20200511-194843_980,P4WH-MKau,,,,,
tch_20200511-194843_981,class_20200511-194843_981,KzGa-2RJo,,,,,
tch_20200511-194843_979,class_20200511-194843_979,gFHj-9fgo,,,,,
tch_20200511-194843_982,class_20200511-194843_982,bp9C-Ko3f,,,,,
tch_20200511-194843_983,class_20200511-194843_983,4KFw-VJtV,,,,,
tch_20200511-194843_984,class_20200511-194843_984,B8sK-47JF,,,,,
tch_20200511-194843_986,class_20200511-194843_986,8cCA-bPWy,,,,,
tch_20200511-194843_985,class_20200511-194843_985,8EDp-cJi4,,,,,
tch_20200511-194843_987,class_20200511-194843_987,xnv3-jD7d,,,,,
tch_20200511-194843_988,class_20200511-194843_988,3hER-NHbo,,,,,
tch_20200511-194843_989,class_20200511-194843_989,ngj4-JoYa,,,,,
tch_20200511-194843_990,class_20200511-194843_990,k8tv-76sB,,,,,
tch_20200511-194843_991,class_20200511-194843_991,zVBN-K4PU,,,,,
tch_20200511-194843_992,class_20200511-194843_992,3Ui8-9eBd,,,,,
tch_20200511-194843_993,class_20200511-194843_993,pXFC-g7QJ,,,,,
tch_20200511-194843_994,class_20200511-194843_994,32Q7-N4uT,,,,,
tch_20200511-194843_995,class_20200511-194843_995,y8KE-W3j7,,,,,
tch_20200511-194843_996,class_20200511-194843_996,Pr4u-G8s9,,,,,
tch_20200511-194843_997,class_20200511-194843_997,guZB-D4WB,,,,,
tch_20200511-194843_999,class_20200511-194843_999,r4oA-Zh9u,,,,,
tch_20200511-194843_998,class_20200511-194843_998,iKmL-96eQ,,,,,
tch_20200511-194843_1000,class_20200511-194843_1000,h6Gp-8D9j,,,,,
tch_20200511-194843_1001,class_20200511-194843_1001,9GAb-UX28,,,,,
tch_20200511-194843_1003,class_20200511-194843_1003,ZjRt-9ng8,,,,,
tch_20200511-194843_1002,class_20200511-194843_1002,Z3zi-uBX9,,,,,
tch_20200511-194843_1004,class_20200511-194843_1004,pRTJ-c8sY,,,,,
tch_20200511-194843_1005,class_20200511-194843_1005,oei4-KJsb,,,,,
tch_20200511-194843_1006,class_20200511-194843_1006,qP97-y46p,,,,,
tch_20200511-194843_1007,class_20200511-194843_1007,2jo7-DMgJ,,,,,
tch_20200511-194843_1008,class_20200511-194843_1008,7r97-puVr,,,,,
tch_20200511-194843_1009,class_20200511-194843_1009,hvd7-BMQK,,,,,
tch_20200511-194843_1011,class_20200511-194843_1011,C4Y8-Xvr6,,,,,
tch_20200511-194843_1010,class_20200511-194843_1010,3UQN-Q239,,,,,
tch_20200511-194843_1012,class_20200511-194843_1012,43gt-Enr9,,,,,
tch_20200511-194843_1014,class_20200511-194843_1014,jGZA-Z4xi,,,,,
tch_20200511-194843_1013,class_20200511-194843_1013,4TvV-2yQf,,,,,
tch_20200511-194843_1015,class_20200511-194843_1015,9842-mF3V,,,,,
tch_20200511-194843_1017,class_20200511-194843_1017,E82u-9A3D,,,,,
tch_20200511-194843_1016,class_20200511-194843_1016,uA4n-V7oW,,,,,
tch_20200511-194843_1018,class_20200511-194843_1018,suaU-pG3a,,,,,
tch_20200511-194843_1019,class_20200511-194843_1019,4MGx-zQeV,,,,,
tch_20200511-194843_1020,class_20200511-194843_1020,s7Fv-67n6,,,,,
tch_20200511-194843_1021,class_20200511-194843_1021,U2uh-e8tZ,,,,,
tch_20200511-194843_1022,class_20200511-194843_1022,y3Jb-6EPG,,,,,
tch_20200511-194843_1023,class_20200511-194843_1023,2gb9-769k,,,,,
tch_20200511-194843_1024,class_20200511-194843_1024,d26w-q8PL,,,,,
tch_20200511-194843_1025,class_20200511-194843_1025,uB7B-jfFc,,,,,
tch_20200511-194843_1026,class_20200511-194843_1026,Z4xR-MzFQ,,,,,
tch_20200511-194843_1027,class_20200511-194843_1027,c9dh-2Q3g,,,,,
tch_20200511-194843_1028,class_20200511-194843_1028,A6Lr-tMP6,,,,,
tch_20200511-194843_1029,class_20200511-194843_1029,egiJ-eC9p,,,,,
tch_20200511-194843_1030,class_20200511-194843_1030,Krps-9Yb2,,,,,
tch_20200511-194843_1031,class_20200511-194843_1031,DKu2-vg9i,,,,,
tch_20200511-194843_1032,class_20200511-194843_1032,2uhk-e8RM,,,,,
tch_20200511-194843_1034,class_20200511-194843_1034,83E3-ukXx,,,,,
tch_20200511-194843_1033,class_20200511-194843_1033,DpDL-9ZdF,,,,,
tch_20200511-194843_1035,class_20200511-194843_1035,Q28n-wYrT,,,,,
tch_20200511-194843_1037,class_20200511-194843_1037,L64K-Fgo4,,,,,
tch_20200511-194843_1036,class_20200511-194843_1036,CAE6-z2cp,,,,,
tch_20200511-194843_1038,class_20200511-194843_1038,oQh9-y8r7,,,,,
tch_20200511-194843_1039,class_20200511-194843_1039,AU69-FcD3,,,,,
tch_20200511-194843_1040,class_20200511-194843_1040,u9id-2QhC,,,,,
tch_20200511-194843_1041,class_20200511-194843_1041,sAKw-6vZg,,,,,
