stdextid,groupid
std_1601296975070_8,7e3e26bb-93cc-42cb-b43b-11be77518403
std_1601297178561_11,fa960433-8c3e-4189-b6ea-f2e2a2051013
std_1601296927015_7,22af7998-b30a-451b-8df5-c7cfce8e0d14
std_1601297044579_9,02523132-1bbf-4d42-920f-31ea0651a965
std_1601296963764_8,7e3e26bb-93cc-42cb-b43b-11be77518403
std_1601296919214_7,22af7998-b30a-451b-8df5-c7cfce8e0d14
std_1601297168705_11,fa960433-8c3e-4189-b6ea-f2e2a2051013
std_1601297116059_10,8b830b84-1e8f-4b9e-b5eb-305d04451318
std_1601297036397_9,02523132-1bbf-4d42-920f-31ea0651a965
std_1601296952211_8,7e3e26bb-93cc-42cb-b43b-11be77518403
std_1601297158136_11,fa960433-8c3e-4189-b6ea-f2e2a2051013
std_1601296910790_7,22af7998-b30a-451b-8df5-c7cfce8e0d14
std_1601297103723_10,8b830b84-1e8f-4b9e-b5eb-305d04451318
std_1601297026764_9,02523132-1bbf-4d42-920f-31ea0651a965
std_1601296943231_8,7e3e26bb-93cc-42cb-b43b-11be77518403
std_1601297149053_11,fa960433-8c3e-4189-b6ea-f2e2a2051013
std_1601297093509_10,8b830b84-1e8f-4b9e-b5eb-305d04451318
std_1601297014840_9,02523132-1bbf-4d42-920f-31ea0651a965
std_1601296934185_8,7e3e26bb-93cc-42cb-b43b-11be77518403
std_1601297084707_10,8b830b84-1e8f-4b9e-b5eb-305d04451318
std_1601297004051_9,02523132-1bbf-4d42-920f-31ea0651a965
std_1601297077004_10,8b830b84-1e8f-4b9e-b5eb-305d04451318
std_1601297214356_12,fff5aee3-9342-4efb-aebc-4b0815793391
std_1601297137137_11,5580a728-985d-45fe-8498-8e705509aedc
std_1601297202150_12,fff5aee3-9342-4efb-aebc-4b0815793391
std_1601297128081_11,5580a728-985d-45fe-8498-8e705509aedc
std_1601297193374_12,fff5aee3-9342-4efb-aebc-4b0815793391
std_1601296994031_9,c44a28ea-5daf-4f02-a6a4-8255969dd2a9
std_1601297066222_10,c23554ef-1925-4807-a965-40b5124a03ca
std_1601297117360_11,5580a728-985d-45fe-8498-8e705509aedc
std_1601297181673_12,fff5aee3-9342-4efb-aebc-4b0815793391
std_1601297054426_10,c23554ef-1925-4807-a965-40b5124a03ca
std_1601296983987_9,c44a28ea-5daf-4f02-a6a4-8255969dd2a9
std_1601297109320_11,5580a728-985d-45fe-8498-8e705509aedc
std_1601297172163_12,fff5aee3-9342-4efb-aebc-4b0815793391
std_1601296976437_9,c44a28ea-5daf-4f02-a6a4-8255969dd2a9
std_1601297043374_10,c23554ef-1925-4807-a965-40b5124a03ca
std_1601297100848_11,5580a728-985d-45fe-8498-8e705509aedc
std_1601296966172_9,c44a28ea-5daf-4f02-a6a4-8255969dd2a9
std_1601297032826_10,c23554ef-1925-4807-a965-40b5124a03ca
std_1601296954956_9,c44a28ea-5daf-4f02-a6a4-8255969dd2a9
std_1601297022093_10,c23554ef-1925-4807-a965-40b5124a03ca
std_1601297163391_12,30599602-f661-410d-a546-7e7125020393
std_1601297092196_11,4c2fc4e0-9d64-4985-bda6-93a573ddba4e
std_1601297243723_13,5f18c7f1-6238-4be9-8e77-b68d30eeca53
std_1601297152205_12,30599602-f661-410d-a546-7e7125020393
std_1601297081840_11,4c2fc4e0-9d64-4985-bda6-93a573ddba4e
std_1601297142763_12,30599602-f661-410d-a546-7e7125020393
std_1601297234808_13,5f18c7f1-6238-4be9-8e77-b68d30eeca53
std_1601297013162_10,67456ef5-3683-4822-8fe4-c4a0531e2395
std_1601297072498_11,4c2fc4e0-9d64-4985-bda6-93a573ddba4e
std_1601297227184_13,5f18c7f1-6238-4be9-8e77-b68d30eeca53
std_1601297133959_12,30599602-f661-410d-a546-7e7125020393
std_1601297003204_10,67456ef5-3683-4822-8fe4-c4a0531e2395
std_1601297061513_11,4c2fc4e0-9d64-4985-bda6-93a573ddba4e
std_1601297214814_13,5f18c7f1-6238-4be9-8e77-b68d30eeca53
std_1601297125276_12,30599602-f661-410d-a546-7e7125020393
std_1601297051207_11,4c2fc4e0-9d64-4985-bda6-93a573ddba4e
std_1601296993422_10,67456ef5-3683-4822-8fe4-c4a0531e2395
std_1601297203790_13,5f18c7f1-6238-4be9-8e77-b68d30eeca53
std_1601296985281_10,67456ef5-3683-4822-8fe4-c4a0531e2395
std_1601297263304_14,a7e0ced5-4d2b-4278-bf04-3b974eb0463b
std_1601296976880_10,67456ef5-3683-4822-8fe4-c4a0531e2395
std_1601297252298_14,a7e0ced5-4d2b-4278-bf04-3b974eb0463b
std_1601297117156_12,0ccbdeea-e4ff-4965-abe1-91ee0a97b473
std_1601297039528_11,4a6fb6d3-eb01-4124-9be1-508cc319276c
std_1601297244534_14,a7e0ced5-4d2b-4278-bf04-3b974eb0463b
std_1601297104751_12,0ccbdeea-e4ff-4965-abe1-91ee0a97b473
std_1601297027843_11,4a6fb6d3-eb01-4124-9be1-508cc319276c
std_1601297233158_14,a7e0ced5-4d2b-4278-bf04-3b974eb0463b
std_1601297192001_13,2b7607a0-6964-44ac-a243-bcc9603b425a
std_1601297092283_12,0ccbdeea-e4ff-4965-abe1-91ee0a97b473
std_1601297020127_11,4a6fb6d3-eb01-4124-9be1-508cc319276c
std_1601297224676_14,a7e0ced5-4d2b-4278-bf04-3b974eb0463b
std_1601297083907_12,0ccbdeea-e4ff-4965-abe1-91ee0a97b473
std_1601297180206_13,2b7607a0-6964-44ac-a243-bcc9603b425a
std_1601297007959_11,4a6fb6d3-eb01-4124-9be1-508cc319276c
std_1601297170211_13,2b7607a0-6964-44ac-a243-bcc9603b425a
std_1601297073216_12,0ccbdeea-e4ff-4965-abe1-91ee0a97b473
std_1601296998304_11,4a6fb6d3-eb01-4124-9be1-508cc319276c
std_1601297162450_13,2b7607a0-6964-44ac-a243-bcc9603b425a
std_1601297154752_13,2b7607a0-6964-44ac-a243-bcc9603b425a
std_1601297215016_14,98537e16-d648-43ec-acbc-5ed6cf321542
std_1601297203117_14,98537e16-d648-43ec-acbc-5ed6cf321542
std_1601297295484_15,f3bc2ab4-b5a9-419f-84c7-4b1c0eea8ce6
std_1601297065194_12,8491267d-7942-4040-86e9-772e7d937a91
std_1601297192764_14,98537e16-d648-43ec-acbc-5ed6cf321542
std_1601297285130_15,f3bc2ab4-b5a9-419f-84c7-4b1c0eea8ce6
std_1601297057236_12,8491267d-7942-4040-86e9-772e7d937a91
std_1601297185060_14,98537e16-d648-43ec-acbc-5ed6cf321542
std_1601297144267_13,53b6657d-eeec-4e93-ae8a-716693f861ca
std_1601297274821_15,f3bc2ab4-b5a9-419f-84c7-4b1c0eea8ce6
std_1601297048576_12,8491267d-7942-4040-86e9-772e7d937a91
std_1601297176691_14,98537e16-d648-43ec-acbc-5ed6cf321542
std_1601297262561_15,f3bc2ab4-b5a9-419f-84c7-4b1c0eea8ce6
std_1601297136553_13,53b6657d-eeec-4e93-ae8a-716693f861ca
std_1601297037275_12,8491267d-7942-4040-86e9-772e7d937a91
std_1601297125474_13,53b6657d-eeec-4e93-ae8a-716693f861ca
std_1601297252535_15,f3bc2ab4-b5a9-419f-84c7-4b1c0eea8ce6
std_1601297025758_12,8491267d-7942-4040-86e9-772e7d937a91
std_1601297113823_13,53b6657d-eeec-4e93-ae8a-716693f861ca
std_1601297105949_13,53b6657d-eeec-4e93-ae8a-716693f861ca
std_1601297316498_16,8c9e2a1e-a54a-4884-9085-d169cdf134cd
std_1601297168860_14,94cb8f01-81f9-4323-a0d5-83b39ff68c9b
std_1601297305592_16,8c9e2a1e-a54a-4884-9085-d169cdf134cd
std_1601297244822_15,fdcfe74b-a5fd-4b45-bcf1-c24309532fe8
std_1601297159676_14,94cb8f01-81f9-4323-a0d5-83b39ff68c9b
std_1601297293328_16,8c9e2a1e-a54a-4884-9085-d169cdf134cd
std_1601297235289_15,fdcfe74b-a5fd-4b45-bcf1-c24309532fe8
std_1601297148257_14,94cb8f01-81f9-4323-a0d5-83b39ff68c9b
std_1601297283191_16,8c9e2a1e-a54a-4884-9085-d169cdf134cd
std_1601297222889_15,fdcfe74b-a5fd-4b45-bcf1-c24309532fe8
std_1601297138661_14,94cb8f01-81f9-4323-a0d5-83b39ff68c9b
std_1601297096186_13,f9cc9a0a-a465-4c6b-986d-9b531dc83f62
std_1601297273345_16,8c9e2a1e-a54a-4884-9085-d169cdf134cd
std_1601297214432_15,fdcfe74b-a5fd-4b45-bcf1-c24309532fe8
std_1601297331831_17,35d2999d-88a7-486c-b41e-a8aa542f6769
std_1601297085798_13,f9cc9a0a-a465-4c6b-986d-9b531dc83f62
std_1601297127885_14,94cb8f01-81f9-4323-a0d5-83b39ff68c9b
std_1601297205893_15,fdcfe74b-a5fd-4b45-bcf1-c24309532fe8
std_1601297323652_17,35d2999d-88a7-486c-b41e-a8aa542f6769
std_1601297073388_13,f9cc9a0a-a465-4c6b-986d-9b531dc83f62
std_1601297315352_17,35d2999d-88a7-486c-b41e-a8aa542f6769
std_1601297065012_13,f9cc9a0a-a465-4c6b-986d-9b531dc83f62
std_1601297307897_17,35d2999d-88a7-486c-b41e-a8aa542f6769
std_1601297052395_13,f9cc9a0a-a465-4c6b-986d-9b531dc83f62
std_1601297261951_16,2fdf1d33-6dbd-48f5-8f9c-da7f24c46ccb
std_1601297116817_14,4ef12873-7cee-4a4a-bb29-d28867cf2dd5
std_1601297299935_17,35d2999d-88a7-486c-b41e-a8aa542f6769
std_1601297109228_14,4ef12873-7cee-4a4a-bb29-d28867cf2dd5
std_1601297253918_16,2fdf1d33-6dbd-48f5-8f9c-da7f24c46ccb
std_1601297197317_15,d107da6d-f90c-45b0-9ea8-a6c47bc71395
std_1601297096880_14,4ef12873-7cee-4a4a-bb29-d28867cf2dd5
std_1601297241658_16,2fdf1d33-6dbd-48f5-8f9c-da7f24c46ccb
std_1601297185079_15,d107da6d-f90c-45b0-9ea8-a6c47bc71395
std_1601297086892_14,4ef12873-7cee-4a4a-bb29-d28867cf2dd5
std_1601297172891_15,d107da6d-f90c-45b0-9ea8-a6c47bc71395
std_1601297230571_16,2fdf1d33-6dbd-48f5-8f9c-da7f24c46ccb
std_1601297079154_14,4ef12873-7cee-4a4a-bb29-d28867cf2dd5
std_1601297163681_15,d107da6d-f90c-45b0-9ea8-a6c47bc71395
std_1601297222244_16,2fdf1d33-6dbd-48f5-8f9c-da7f24c46ccb
std_1601297291431_17,a64605b8-0011-43b3-89df-8593eb8f5ac4
std_1601297360663_18,58cee6f1-c655-4117-8013-652c92f8a1b7
std_1601297152318_15,d107da6d-f90c-45b0-9ea8-a6c47bc71395
std_1601297280691_17,a64605b8-0011-43b3-89df-8593eb8f5ac4
std_1601297352134_18,58cee6f1-c655-4117-8013-652c92f8a1b7
std_1601297271434_17,a64605b8-0011-43b3-89df-8593eb8f5ac4
std_1601297343622_18,58cee6f1-c655-4117-8013-652c92f8a1b7
std_1601297261015_17,a64605b8-0011-43b3-89df-8593eb8f5ac4
std_1601297209937_16,ebc51941-e8dc-4983-bbda-96d11b4dfda6
std_1601297335686_18,58cee6f1-c655-4117-8013-652c92f8a1b7
std_1601297248747_17,a64605b8-0011-43b3-89df-8593eb8f5ac4
std_1601297140061_15,a3924de0-ab16-4d5d-8512-cf354178420e
std_1601297202559_16,ebc51941-e8dc-4983-bbda-96d11b4dfda6
std_1601297327169_18,58cee6f1-c655-4117-8013-652c92f8a1b7
std_1601297130875_15,a3924de0-ab16-4d5d-8512-cf354178420e
std_1601297191190_16,ebc51941-e8dc-4983-bbda-96d11b4dfda6
std_1601297119119_15,a3924de0-ab16-4d5d-8512-cf354178420e
std_1601297183058_16,ebc51941-e8dc-4983-bbda-96d11b4dfda6
std_1601297110843_15,a3924de0-ab16-4d5d-8512-cf354178420e
std_1601297175035_16,ebc51941-e8dc-4983-bbda-96d11b4dfda6
std_1601297099177_15,a3924de0-ab16-4d5d-8512-cf354178420e
std_1601297237375_17,50552493-27ae-4c97-8e41-27eaa32f0261
std_1601297385674_19,7a541561-5fca-4bd3-97f4-5fe38b34184a
std_1601297314881_18,a3f778f8-29a0-43f9-8fef-cad09293a0b6
std_1601297226786_17,50552493-27ae-4c97-8e41-27eaa32f0261
std_1601297376657_19,7a541561-5fca-4bd3-97f4-5fe38b34184a
std_1601297302519_18,a3f778f8-29a0-43f9-8fef-cad09293a0b6
std_1601297215060_17,50552493-27ae-4c97-8e41-27eaa32f0261
std_1601297365940_19,7a541561-5fca-4bd3-97f4-5fe38b34184a
std_1601297290347_18,a3f778f8-29a0-43f9-8fef-cad09293a0b6
std_1601297164222_16,9db5f185-4e57-4486-be29-f1f9bd6932f7
std_1601297204521_17,50552493-27ae-4c97-8e41-27eaa32f0261
std_1601297357596_19,7a541561-5fca-4bd3-97f4-5fe38b34184a
std_1601297282820_18,a3f778f8-29a0-43f9-8fef-cad09293a0b6
std_1601297195142_17,50552493-27ae-4c97-8e41-27eaa32f0261
std_1601297153771_16,9db5f185-4e57-4486-be29-f1f9bd6932f7
std_1601297346801_19,7a541561-5fca-4bd3-97f4-5fe38b34184a
std_1601297271661_18,a3f778f8-29a0-43f9-8fef-cad09293a0b6
std_1601297144458_16,9db5f185-4e57-4486-be29-f1f9bd6932f7
std_1601297136457_16,9db5f185-4e57-4486-be29-f1f9bd6932f7
std_1601297187605_17,753bf590-e693-4dfc-8af7-87a4f0b0a845
std_1601297126667_16,9db5f185-4e57-4486-be29-f1f9bd6932f7
std_1601297261372_18,1d95f52d-e578-406a-a2e3-c9b267d6c3e1
std_1601297177953_17,753bf590-e693-4dfc-8af7-87a4f0b0a845
std_1601297334591_19,ad76bfd1-1a83-4275-9e78-8077cbfd7b0a
std_1601297253386_18,1d95f52d-e578-406a-a2e3-c9b267d6c3e1
std_1601297412734_20,d315ad6c-8400-4875-abca-cec5c2d7a3d1
std_1601297170064_17,753bf590-e693-4dfc-8af7-87a4f0b0a845
std_1601297324742_19,ad76bfd1-1a83-4275-9e78-8077cbfd7b0a
std_1601297241615_18,1d95f52d-e578-406a-a2e3-c9b267d6c3e1
std_1601297400435_20,d315ad6c-8400-4875-abca-cec5c2d7a3d1
std_1601297160495_17,753bf590-e693-4dfc-8af7-87a4f0b0a845
std_1601297316582_19,ad76bfd1-1a83-4275-9e78-8077cbfd7b0a
std_1601297233505_18,1d95f52d-e578-406a-a2e3-c9b267d6c3e1
std_1601297393019_20,d315ad6c-8400-4875-abca-cec5c2d7a3d1
std_1601297147910_17,753bf590-e693-4dfc-8af7-87a4f0b0a845
std_1601297306647_19,ad76bfd1-1a83-4275-9e78-8077cbfd7b0a
std_1601297223925_18,1d95f52d-e578-406a-a2e3-c9b267d6c3e1
std_1601297384594_20,d315ad6c-8400-4875-abca-cec5c2d7a3d1
std_1601297295351_19,ad76bfd1-1a83-4275-9e78-8077cbfd7b0a
std_1601297373785_20,d315ad6c-8400-4875-abca-cec5c2d7a3d1
std_1601297283205_19,2880352a-d222-4873-81a1-5329cc96ce31
std_1601297213518_18,80cd3948-575c-48ca-81ab-b42851b22af7
std_1601297440268_21,de9d2d18-ac4f-45cf-ae22-7b444606abd3
std_1601297362711_20,10552ea9-a52c-489d-a254-65d6fd327572
std_1601297274605_19,2880352a-d222-4873-81a1-5329cc96ce31
std_1601297204581_18,80cd3948-575c-48ca-81ab-b42851b22af7
