tchextuserid,studentuserid1,stdextuserid,classcode
tch_20220802-161405_16,50c3e544-c8f8-4923-84ee-d9d1133f7b87,std_1659627599445_16,h9Ts-byc2
tch_20220802-161405_14,c57ff379-604c-43d0-a9d5-8d74f90f2628,std_1659627603055_14,fUmg-8Pku
tch_20220802-161405_11,d7076eb3-d473-4e0e-abda-b60fc6f36864,std_1659627602653_11,DUX7-Y9oz
tch_20220802-161405_17,8cf3f7dd-a3f1-4f42-8663-94c39f6852a2,std_1659627607755_17,xDPv-YBw6
tch_20220802-161405_12,57f19f24-d175-412a-aa9c-cfa9d8cab3bf,std_1659627609247_12,7VKj-aH9r
tch_20220802-161405_20,77619b1a-0fb7-4488-803d-78282bc6ecb7,std_1659627611546_20,76Yh-wY48
tch_20220802-161405_15,d164b712-eba7-4d50-b1c1-a3d364130585,std_1659627620510_15,2ynH-3wh3
tch_20220802-161405_13,83f484f7-2be6-43b9-932a-395d1caddfe7,std_1659627620176_13,JrHM-t9t4
tch_20220802-161405_21,a64454a4-85cb-43b4-910a-a4baa216dbce,std_1659627621545_21,38LK-UHX8
tch_20220802-161405_16,80310857-9edb-492f-8c1d-4911835c3993,std_1659627625605_16,h9Ts-byc2
tch_20220802-161405_18,d43c7aa6-e87a-4679-871e-c8d1786e7c7c,std_1659627621829_18,ujUR-X93w
tch_20220802-161405_19,9f4c5c3d-3401-4671-baba-0da2194df7f6,std_1659627624744_19,soms-RN7T
tch_20220802-161405_22,23f6e9ee-469c-46e9-8323-931cf6e15d2a,std_1659627631562_22,dCp9-dC7t
tch_20220802-161405_14,df0425d7-12c4-4e90-a90c-1465dd90a216,std_1659627630778_14,fUmg-8Pku
tch_20220802-161405_17,a4d1e4f0-ffb7-4915-af1b-a7b165a8221b,std_1659627632873_17,xDPv-YBw6
tch_20220802-161405_20,455515ff-dc72-4e49-a332-e466232bb30d,std_1659627638747_20,76Yh-wY48
tch_20220802-161405_23,25613a56-6fc8-4622-817c-d72855dbf50b,std_1659627641562_23,3uPM-2dE8
tch_20220802-161405_15,eeb35dde-08d9-4da7-8531-e43de0624cad,std_1659627644250_15,2ynH-3wh3
tch_20220802-161405_21,32203f8f-df70-4d1d-9f24-f6e4945fd527,std_1659627647211_21,38LK-UHX8
tch_20220802-161405_24,f5a4d4ac-b5ad-4df6-8fa6-fd3e03cb4b49,std_1659627651561_24,gfwq-cksR
tch_20220802-161405_16,d018c8ce-92b9-4ff7-98b0-0793fe98f356,std_1659627649467_16,h9Ts-byc2
tch_20220802-161405_19,3f79d3f1-073a-4379-ba3f-d6947c6d0f7f,std_1659627651599_19,soms-RN7T
tch_20220802-161405_18,84b59885-c5bd-45d9-8a0a-0fc44875c03b,std_1659627649766_18,ujUR-X93w
tch_20220802-161405_22,83335f1a-1613-4f46-945c-5a2f8b6b8f7f,std_1659627658797_22,dCp9-dC7t
tch_20220802-161405_17,30c3e718-e88a-41e7-949b-d89e7f2582cd,std_1659627660353_17,xDPv-YBw6
tch_20220802-161405_20,e5ce6c0c-405e-4b6e-be46-4398103f5d3a,std_1659627664683_20,76Yh-wY48
tch_20220802-161405_25,4808a86e-4c30-4e0c-abec-b10bdc49235e,std_1659627661576_25,aB67-J93Q
tch_20220802-161405_23,3b4e2351-ab3b-45f6-a6d7-6db02cdbc36d,std_1659627665006_23,3uPM-2dE8
tch_20220802-161405_26,72be9355-2fab-4b0f-a4b4-08a1efd677ef,std_1659627671576_26,vgtx-Kq28
tch_20220802-161405_21,f25955f1-310a-4c6b-9706-3dfbed31cd7a,std_1659627670257_21,38LK-UHX8
tch_20220802-161405_24,963559d4-5c73-4143-8a4c-d1f4fbec84b6,std_1659627673774_24,gfwq-cksR
tch_20220802-161405_19,d7a5eafa-ee1d-4d69-9876-43929b995659,std_1659627679369_19,soms-RN7T
tch_20220802-161405_18,1dd89b9d-cd43-4197-9d1f-f8bb66108fff,std_1659627679838_18,ujUR-X93w
tch_20220802-161405_27,63c1379b-663b-4df0-a358-de8475091d2b,std_1659627681577_27,n2P9-vJQP
tch_20220802-161405_22,6ebb7a43-1075-494b-8af4-9f7a0b9d3200,std_1659627687145_22,dCp9-dC7t
tch_20220802-161405_25,53e51b4e-3b6e-49ae-aa9a-7d1ec02a801c,std_1659627691308_25,aB67-J93Q
tch_20220802-161405_20,1c8f8a3e-be73-476d-bbfd-8c2dbabe6e1b,std_1659627690100_20,76Yh-wY48
tch_20220802-161405_23,5611a7c3-6c5e-4358-b5ed-a879b8cf38c5,std_1659627691423_23,3uPM-2dE8
tch_20220802-161405_28,64ea8b81-a3d7-42d1-822a-d4038689b128,std_1659627691593_28,V47K-Yc78
tch_20220802-161405_26,c5f46c7f-fc77-439a-99b6-3e0e7c96d9de,std_1659627696621_26,vgtx-Kq28
tch_20220802-161405_21,6564ab34-10d4-44cf-b1e4-eeb019a6f1cc,std_1659627698498_21,38LK-UHX8
tch_20220802-161405_29,4c372a3a-631c-415f-aa50-65023776aab2,std_1659627701592_29,os6F-9w3L
tch_20220802-161405_24,38b816d9-4dd8-4673-9594-6a83e01fea10,std_1659627702206_24,gfwq-cksR
tch_20220802-161405_30,eb582be9-a3b3-4f50-aafa-38dc23f54f52,std_1659627711592_30,JRXy-VL9V
tch_20220802-161405_22,375e739a-c0ae-44fc-89d8-f0507350cdde,std_1659627712236_22,dCp9-dC7t
tch_20220802-161405_27,364ee580-445b-4397-b791-48a531d55bf2,std_1659627710214_27,n2P9-vJQP
tch_20220802-161405_23,5c413c9f-6bfd-4de5-b196-6352d24adb8c,std_1659627719745_23,3uPM-2dE8
tch_20220802-161405_25,042c0b14-52f8-417b-9fca-8e9ca641f1ea,std_1659627718370_25,aB67-J93Q
tch_20220802-161405_28,025c7cef-9837-4cd5-a96c-8359996bfa47,std_1659627720514_28,V47K-Yc78
tch_20220802-161405_26,96cdd645-1f07-486e-a913-79b214029c84,std_1659627722211_26,vgtx-Kq28
tch_20220802-161405_31,0049c32d-68dc-4449-9af8-9e2f8c117af1,std_1659627721608_31,wkja-rGDA
tch_20220802-161405_29,52f6bc57-761b-4799-b19b-afcb6391461e,std_1659627728615_29,os6F-9w3L
tch_20220802-161405_32,4928a469-62ca-4cea-afda-a9e2afac06ed,std_1659627731623_32,ritR-4724
tch_20220802-161405_24,be02505d-7cd6-4739-8f19-a9e8b07702a6,std_1659627730130_24,gfwq-cksR
tch_20220802-161405_30,589e61cd-9b4e-4868-8755-e7545992ba17,std_1659627737623_30,JRXy-VL9V
tch_20220802-161405_27,ada8633d-7496-43d8-aabf-dfaea14d991a,std_1659627742018_27,n2P9-vJQP
tch_20220802-161405_33,58cd7375-1106-4eca-a22c-bdbb9314e792,std_1659627741640_33,d6JD-EAUr
tch_20220802-161405_34,7fc81400-0471-4d43-b0b3-1c6ea114507a,std_1659627751639_34,3747-fQam
tch_20220802-161405_25,877a051c-d5bc-46f7-a14c-e9a859f43648,std_1659627747300_25,aB67-J93Q
tch_20220802-161405_28,3504ed4e-e72d-4601-ad71-28800d224a42,std_1659627748060_28,V47K-Yc78
tch_20220802-161405_31,27c934af-f1c7-4eb1-8115-9a6d64f89e34,std_1659627752025_31,wkja-rGDA
tch_20220802-161405_26,e6ba719e-16c9-4555-a71a-758249cc69f6,std_1659627751627_26,vgtx-Kq28
tch_20220802-161405_29,8e009a3c-2408-41ec-8bbb-8c79764affe8,std_1659627755403_29,os6F-9w3L
tch_20220802-161405_32,b7a478c9-faa6-4ba6-bd1a-1109754731c2,std_1659627756908_32,ritR-4724
tch_20220802-161405_27,3dda8467-ec95-4c06-86c8-74c3dff8412d,std_1659627764605_27,n2P9-vJQP
tch_20220802-161405_35,e6632f24-b0bd-4ad4-ae5e-66fce332ecb0,std_1659627761639_35,2rkH-MCm4
tch_20220802-161405_30,683d89ba-c4e6-4c95-82c1-9f0d2d7fb9c6,std_1659627761718_30,JRXy-VL9V
tch_20220802-161405_33,1c6e3fab-a0fd-4d72-82b3-f08ef4a619cf,std_1659627768416_33,d6JD-EAUr
tch_20220802-161405_34,5dafc764-2892-4687-8208-ecd0196765be,std_1659627775828_34,3747-fQam
tch_20220802-161405_28,69cca1b4-2073-4184-8cb6-78e01a3648c3,std_1659627776599_28,V47K-Yc78
tch_20220802-161405_36,2451b028-b5e3-44da-8f70-be0f2719f561,std_1659627771656_36,3Zqv-3t9N
tch_20220802-161405_31,7edbb9dc-c4f6-431e-b250-b8fd24901661,std_1659627779109_31,wkja-rGDA
tch_20220802-161405_29,115a8886-e22b-4c61-b809-b10a690d886a,std_1659627779596_29,os6F-9w3L
tch_20220802-161405_37,502c5f9e-54b4-469d-9c6c-a1e43b2b33f3,std_1659627781655_37,qo6f-XLA7
tch_20220802-161405_30,f45baf75-f1a0-4034-9b5f-2ca0bb0c7c83,std_1659627790744_30,JRXy-VL9V
tch_20220802-161405_32,85c4b72d-a8c5-4600-b96b-34f55ddb5420,std_1659627784359_32,ritR-4724
tch_20220802-161405_38,90d66db5-5384-4d68-be5d-207a1e379a78,std_1659627791655_38,8oxN-TF2B
tch_20220802-161405_35,917a03b0-2e9a-42a2-9056-b4ff419c3914,std_1659627790449_35,2rkH-MCm4
tch_20220802-161405_33,a33d599f-9b77-46e5-b7ca-e5a92258352c,std_1659627795704_33,d6JD-EAUr
tch_20220802-161405_39,6153cf19-ad18-4232-b06c-d7c9fdda5b12,std_1659627801671_39,Cdsg-7qmF
tch_20220802-161405_31,9ea17ac6-1723-45b2-84b2-9ca04940187e,std_1659627803403_31,wkja-rGDA
tch_20220802-161405_34,75615903-0518-4800-8169-1d88952f054d,std_1659627801730_34,3747-fQam
tch_20220802-161405_36,451c5040-7a9d-4087-a61a-9c06891931d5,std_1659627802135_36,3Zqv-3t9N
tch_20220802-161405_40,5a768964-947b-484d-8383-90e847490320,std_1659627811671_40,Qhm3-kYE7
tch_20220802-161405_37,90c802d4-dc89-4eae-8d40-e96573ace1c0,std_1659627811540_37,qo6f-XLA7
tch_20220802-161405_32,16c1b6a7-a55b-4490-bff5-43e9d96b337c,std_1659627815525_32,ritR-4724
tch_20220802-161405_41,73c646e0-0bfb-4a73-89bf-cb84a86063d0,std_1659627821671_41,4koa-X4up
tch_20220802-161405_38,73260ab0-37d0-4653-a69f-0c639b3c47d2,std_1659627820094_38,8oxN-TF2B
tch_20220802-161405_39,0150b0e5-1819-43ab-8d81-094e4aebf7c6,std_1659627825287_39,Cdsg-7qmF
tch_20220802-161405_35,fa6b0e34-19c6-4f36-aeec-b56f2fc42a46,std_1659627821820_35,2rkH-MCm4
tch_20220802-161405_33,88af1eb5-cdee-4bcf-9b2b-f92446026031,std_1659627824080_33,d6JD-EAUr
tch_20220802-161405_34,71285ced-7d38-423b-9f8a-570c32aeba40,std_1659627828324_34,3747-fQam
tch_20220802-161405_36,26cee9fd-ee63-4e5e-af5c-7109caf2658e,std_1659627830339_36,3Zqv-3t9N
tch_20220802-161405_42,d729746d-8b7c-460d-9f96-d7afc283604d,std_1659627831687_42,Zt3r-R3jY
tch_20220802-161405_40,d732f47c-1fff-445d-9ae4-cd1db3325764,std_1659627836008_40,Qhm3-kYE7
tch_20220802-161405_37,7385cd98-e811-4352-b32a-bd9ff0b621db,std_1659627836026_37,qo6f-XLA7
tch_20220802-161405_43,8dd02e14-438d-4198-9215-0f4414344f50,std_1659627841686_43,vzGb-4F63
tch_20220802-161405_41,c2269e79-ca2a-4241-a47c-2c2eb1174ccf,std_1659627847952_41,4koa-X4up
tch_20220802-161405_35,8c438f91-144b-419d-8af9-f7a11b0dcff8,std_1659627850654_35,2rkH-MCm4
tch_20220802-161405_38,bb1c213c-3d89-40ce-b51e-97f251de6597,std_1659627848473_38,8oxN-TF2B
tch_20220802-161405_44,0059163e-efca-45a7-9e47-21e5ac68231b,std_1659627851686_44,oaPs-o8fd
tch_20220802-161405_39,7c5b3d14-1112-47c4-8e3b-058a544953eb,std_1659627849153_39,Cdsg-7qmF
tch_20220802-161405_36,8240501c-6226-46e8-a9f2-ca72a9b23523,std_1659627859018_36,3Zqv-3t9N
tch_20220802-161405_42,ae84a304-f6bb-481a-acf1-a57164bbf44b,std_1659627862292_42,Zt3r-R3jY
tch_20220802-161405_45,68443db6-2e9c-46f8-a1e9-e39c1d0144a8,std_1659627861704_45,6ovK-23Np
tch_20220802-161405_37,884d2160-1811-4d61-a18c-be004b123ed4,std_1659627862941_37,qo6f-XLA7
tch_20220802-161405_40,a862af3e-803e-4821-8dc6-665667fdcc2d,std_1659627862556_40,Qhm3-kYE7
tch_20220802-161405_46,a16604d9-14a6-41d3-b6f8-cccba1ec6093,std_1659627871705_46,Pyv3-pmgV
tch_20220802-161405_38,2c2ce05c-d79f-4a0c-82a6-5a24ac642431,std_1659627873542_38,8oxN-TF2B
tch_20220802-161405_43,9cddc260-255f-4daf-95be-35e4bbbfb078,std_1659627870857_43,vzGb-4F63
tch_20220802-161405_44,2dfa171a-321d-4f34-a7cd-acc732675369,std_1659627876438_44,oaPs-o8fd
tch_20220802-161405_41,65cec6ce-00a5-4bc3-80df-43d6e3b49ac7,std_1659627871581_41,4koa-X4up
tch_20220802-161405_39,c14b4199-4b49-4399-8ac6-08ad51d1cfdd,std_1659627876645_39,Cdsg-7qmF
tch_20220802-161405_42,bf811d8f-8042-4fc6-a7c2-ef36ac8bbea1,std_1659627885756_42,Zt3r-R3jY
tch_20220802-161405_47,03abd9de-8645-4d6e-950e-942081cfb638,std_1659627881705_47,8avy-Z4VE
tch_20220802-161405_45,b3d316ac-b315-4abe-98b3-ab7c4b972f81,std_1659627887513_45,6ovK-23Np
tch_20220802-161405_48,ac18af9b-bfa3-4ca2-94be-cf0c2cb01765,std_1659627891721_48,csJY-obPC
tch_20220802-161405_40,12d685f3-ae8a-40d2-a8cf-68dde2cef3e5,std_1659627892583_40,Qhm3-kYE7
tch_20220802-161405_46,b229c294-87cf-4fe4-aafa-9e1581268a30,std_1659627895318_46,Pyv3-pmgV
tch_20220802-161405_43,0ab17543-c3c9-4ecf-b1dc-cca503231c47,std_1659627898112_43,vzGb-4F63
tch_20220802-161405_44,4ea0bebc-3122-41ca-8c19-653288321bba,std_1659627900021_44,oaPs-o8fd
tch_20220802-161405_49,e1706f87-60d8-46ad-9717-c22bc9ac4fa4,std_1659627901721_49,b46E-Z6tw
tch_20220802-161405_41,43208166-e0c0-4475-8e07-41f02a044e9b,std_1659627900869_41,4koa-X4up
tch_20220802-161405_45,3fb11df8-98c8-4735-b8c7-094cd1c74fc4,std_1659627911786_45,6ovK-23Np
tch_20220802-161405_42,8fb5d41d-bfd0-48b8-b28e-5ae90c69fac5,std_1659627910493_42,Zt3r-R3jY
tch_20220802-161405_47,34ea2beb-22d5-4056-aab6-b51148b35b82,std_1659627911505_47,8avy-Z4VE
tch_20220802-161405_50,6648fa86-f863-4b39-b5cc-de4fdb5996a0,std_1659627911720_50,7sfa-XLRw
tch_20220802-161405_48,48dcf553-523d-4dc5-ad06-e29680384ad2,std_1659627919306_48,csJY-obPC
tch_20220802-161405_51,4bff3514-b3c6-44e9-9643-35925cb16c03,std_1659627922321_51,kzyH-FvrH
tch_20220802-161405_46,0615caa5-47f3-4ba9-a499-f0ae68b27070,std_1659627925169_46,Pyv3-pmgV
tch_20220802-161405_44,f8f785d4-aca9-4cc2-97b1-5f6dc7865b44,std_1659627926663_44,oaPs-o8fd
tch_20220802-161405_43,d3cf5ce8-9c09-4346-8caf-e3bb93d3b317,std_1659627925736_43,vzGb-4F63
tch_20220802-161405_49,1f33c2d3-3cfc-4d9e-a803-101a818670a4,std_1659627930710_49,b46E-Z6tw
tch_20220802-161405_52,600f6ac9-d1c0-4006-bfeb-c829158c5605,std_1659627931738_52,MJiF-XLCc
tch_20220802-161405_45,0ca0e531-b6a6-4baa-9a93-3cd070c4ea68,std_1659627935116_45,6ovK-23Np
tch_20220802-161405_53,081622a1-2213-4891-a011-7ff6799657e4,std_1659627941739_53,83X7-e8Yv
tch_20220802-161405_50,8e619543-56a1-4de1-8f9e-35f711dcf9f0,std_1659627942414_50,7sfa-XLRw
tch_20220802-161405_47,1ad29492-5c50-46aa-8acd-4a8bcbd04cc5,std_1659627938924_47,8avy-Z4VE
tch_20220802-161405_48,d6354cc0-15a8-4970-aa24-184fcb8d17c4,std_1659627946429_48,csJY-obPC
tch_20220802-161405_54,81a290b2-0fd9-4a56-8fa2-70d03948f4b3,std_1659627951755_54,c6d3-hW3Z
tch_20220802-161405_51,a9dc5b8d-2586-4392-bdb4-afbc31a62283,std_1659627948654_51,kzyH-FvrH
tch_20220802-161405_46,f69f1370-fa6e-4142-a64c-421d5fea87e1,std_1659627948811_46,Pyv3-pmgV
tch_20220802-161405_49,1f36635b-00bf-4f94-a65a-8c6f0968d581,std_1659627957795_49,b46E-Z6tw
tch_20220802-161405_55,121c937d-12b7-45ed-b7ec-11ab5903421f,std_1659627961755_55,yoDK-z3RF
tch_20220802-161405_53,af6b9744-9a73-4c01-a69e-39908c1f3fbd,std_1659627964621_53,83X7-e8Yv
tch_20220802-161405_52,f6e99d17-fd40-47c6-a30c-6479079c1734,std_1659627960319_52,MJiF-XLCc
tch_20220802-161405_50,44a63f28-d598-43fd-ab64-0aea5448f600,std_1659627967834_50,7sfa-XLRw
tch_20220802-161405_47,4ce6ef77-198d-4be2-9665-80bfa46e80ad,std_1659627968146_47,8avy-Z4VE
tch_20220802-161405_56,de8099e8-2971-4373-ab8c-44f2ad5da19d,std_1659627971754_56,3eGq-9m63
tch_20220802-161405_48,bfb4d4ca-1037-48f3-91d2-169f0d0b48a2,std_1659627973537_48,csJY-obPC
tch_20220802-161405_51,a336e821-f642-4425-a31b-4becc77ea2ce,std_1659627976077_51,kzyH-FvrH
tch_20220802-161405_54,b58929dd-2023-4e51-a36c-8eb8594aca23,std_1659627976077_54,c6d3-hW3Z
tch_20220802-161405_57,a763e6d8-331a-4ab5-b9d6-75518b1dc160,std_1659627981770_57,YUy7-24Pv
tch_20220802-161405_49,0999c9a8-f916-4183-af26-c007b59cdb65,std_1659627986922_49,b46E-Z6tw
tch_20220802-161405_55,cacc4956-ef54-49cd-bc31-eedc5b212b94,std_1659627987179_55,yoDK-z3RF
tch_20220802-161405_53,37a8011e-554f-432e-b1e5-849ed7202ea8,std_1659627990735_53,83X7-e8Yv
tch_20220802-161405_52,57a8f64d-ac3c-482b-b045-05f5eb2b7acf,std_1659627991087_52,MJiF-XLCc
tch_20220802-161405_58,be275995-ee4b-4e8d-b936-78d9d738832a,std_1659627991770_58,t4NL-6vHP
tch_20220802-161405_56,b8f690a6-c540-4c99-a2d3-f493dbc67975,std_1659627997250_56,3eGq-9m63
tch_20220802-161405_50,8c28b5f6-c831-4a36-832f-b2d9a98356f8,std_1659627995603_50,7sfa-XLRw
tch_20220802-161405_59,231a0f3a-e6ae-4468-9ab8-ae02ababa83c,std_1659628001771_59,mhD3-Wo3E
tch_20220802-161405_51,674fe82c-a9e8-4d04-a6e6-42a4de09bcf2,std_1659628002644_51,kzyH-FvrH
tch_20220802-161405_54,493c4bc0-8523-4a1e-8e11-4795f80c0d98,std_1659628004603_54,c6d3-hW3Z
tch_20220802-161405_57,2122cb9d-46e5-427a-969e-18bd0dc8be4b,std_1659628006174_57,YUy7-24Pv
tch_20220802-161405_60,b2f8b465-4a4f-49a3-9743-ccc57f56459a,std_1659628012022_60,47RL-qp9v
tch_20220802-161405_55,343013a0-a2bc-4195-90b1-b5db164e8fe3,std_1659628014869_55,yoDK-z3RF
tch_20220802-161405_53,d2be1657-b47f-4796-80a3-32206d4df50a,std_1659628016746_53,83X7-e8Yv
tch_20220802-161405_52,1241ec8a-5db1-4964-9545-d9d85f267d39,std_1659628017277_52,MJiF-XLCc
tch_20220802-161405_56,63275436-2380-4d4c-b5cc-87da5f2ea9aa,std_1659628024116_56,3eGq-9m63
tch_20220802-161405_58,a293669f-96e6-4270-a162-886e9125b914,std_1659628020147_58,t4NL-6vHP
tch_20220802-161405_61,bc7a6fdb-cdb2-4aa5-9078-5e4e2fdfad41,std_1659628022021_61,wvVa-42Bd
tch_20220802-161405_59,c6c58561-a422-4c28-88a1-b192cae64326,std_1659628028370_59,mhD3-Wo3E
tch_20220802-161405_62,d734af8e-f411-47cc-b10d-84b4373b39f4,std_1659628032037_62,f9Fm-c23q
tch_20220802-161405_57,1948f7ce-f8ce-4222-a41b-86acbdd29328,std_1659628032891_57,YUy7-24Pv
tch_20220802-161405_54,19aa2419-68c7-482f-9a51-73ea138d2c62,std_1659628032297_54,c6d3-hW3Z
tch_20220802-161405_60,9bc1cb87-77c8-4a4e-ad30-6a398449d052,std_1659628036678_60,47RL-qp9v
tch_20220802-161405_55,04e4b641-a2f2-4a41-9a5b-8b0e0299908f,std_1659628038575_55,yoDK-z3RF
tch_20220802-161405_63,ce73e57f-b95e-49f1-9e52-54c6869cbb4e,std_1659628042037_63,DRs3-Ny9A
tch_20220802-161405_58,1bbca7f2-ef87-4844-bf82-4007eb03d956,std_1659628050419_58,t4NL-6vHP
tch_20220802-161405_56,1a10020f-27a8-4f26-92e6-574c7aa82a69,std_1659628048978_56,3eGq-9m63
