stdextid,groupid,tchextid
std_1659438342070_17,a510887f-aacd-4056-8030-12de06e80600,tch_20220802-161405_17
std_1659438479727_17,df0e0750-7bf7-484a-9ccb-3d0345164d8d,tch_20220802-161405_17
std_1659438264535_18,c7293afc-9447-49cb-9370-99d358ca1b83,tch_20220802-161405_18
std_1659438398718_18,624677a3-0756-46df-9434-308a71aecdc5,tch_20220802-161405_18
std_1659438533622_18,92a7c71d-4ec5-4719-a57e-ef84cd9dff8d,tch_20220802-161405_18
std_1659438322681_19,dde45f4a-3ffe-419a-8474-38f5030a9047,tch_20220802-161405_19
std_1659438457220_19,4f616a03-ca7d-41ed-bf76-0aa07707c23d,tch_20220802-161405_19
std_1659438379683_20,5868ef20-d512-4506-b174-e1608abd3afb,tch_20220802-161405_20
std_1659438588964_19,62a15981-66a6-40a1-b80f-8c2c82e12787,tch_20220802-161405_19
std_1659438515083_20,29e4136f-1dab-4135-b1ef-9c527c1ae7a2,tch_20220802-161405_20
std_1659438639085_20,f3505eae-41c1-4756-99a2-6a9124553444,tch_20220802-161405_20
std_1659438444233_21,3f131bcf-6d26-4d01-a3df-4ec954a62b14,tch_20220802-161405_21
std_1659438573845_21,99b13fa9-6755-4559-b989-e8a05e90a79a,tch_20220802-161405_21
std_1659438501651_22,fd8be743-79c9-4a6e-ad89-4e305fc219fb,tch_20220802-161405_22
std_1659438708274_21,828a413e-d1d0-463b-9e32-b5ba18cf5dc8,tch_20220802-161405_21
std_1659438627949_22,4b1c6729-3a60-4c2e-b005-5b040758a346,tch_20220802-161405_22
std_1659438754605_22,da62a0bd-be66-4528-ae5d-12ed42b39056,tch_20220802-161405_22
std_1659438569759_23,81f774b5-583f-4bb5-8081-34863d56a755,tch_20220802-161405_23
std_1659438698950_23,9939172c-70a2-425a-8287-3637afde1157,tch_20220802-161405_23
std_1659438835508_23,65f31062-2385-43dd-a463-1770544f4185,tch_20220802-161405_23
std_1659438633805_24,6c3d398c-8b5c-463b-ad49-a7f439a4a353,tch_20220802-161405_24
std_1659438781303_24,649db0d3-3e8a-430d-a4b2-5df534c913b2,tch_20220802-161405_24
std_1659438684213_25,db4645c2-289b-4e37-b9e5-d4ada017c77d,tch_20220802-161405_25
std_1659438909784_24,970ecb24-e7f6-4bfd-b430-1ec2d4945256,tch_20220802-161405_24
std_1659438822090_25,6813448c-1c54-46ee-9c19-651ffffdd5e3,tch_20220802-161405_25
std_1659438954882_25,d2eedf30-a5cf-41a4-9d56-0d665c7215a9,tch_20220802-161405_25
std_1659438745200_26,cc71ba82-b520-4bb7-baa0-6ea0488548cb,tch_20220802-161405_26
std_1659438885810_26,6aae8566-d7ca-4b11-9e01-2ff0d5ce1c9f,tch_20220802-161405_26
std_1659438791409_27,bc9cfbfc-9f12-4f3d-a9f8-26d002cb0244,tch_20220802-161405_27
std_1659439021620_26,becd9702-c89d-43e5-9695-53088001d104,tch_20220802-161405_26
std_1659438927588_27,b84500a7-2dc2-4e39-bdfc-d0c91c43d154,tch_20220802-161405_27
std_1659439063676_27,b002c567-c26c-42ea-b135-3fd017bba85b,tch_20220802-161405_27
std_1659438860899_28,b7dda964-5e6a-40e6-8a2c-090ff7dd8646,tch_20220802-161405_28
std_1659438987970_28,3408375e-b9a7-40f0-ad72-57f19ecf91ab,tch_20220802-161405_28
std_1659439124184_28,d52291a3-418d-49e8-af7f-f1435043a837,tch_20220802-161405_28
std_1659438917133_29,c7194c20-83ad-43f9-b2da-81f7996fc594,tch_20220802-161405_29
std_1659439041196_29,30a587c3-bb42-4a30-bfe5-e9290a543ec6,tch_20220802-161405_29
std_1659439182018_29,4b44a8a1-ca44-4d80-b6ce-d2e4e3bdb637,tch_20220802-161405_29
std_1659438987173_30,2e61ac32-e9b9-4207-9e9b-9d37f084e2c0,tch_20220802-161405_30
std_1659439128185_30,2786294a-90e0-4644-9b77-4783c7595c84,tch_20220802-161405_30
std_1659439054404_31,8aab76aa-7517-4135-aad6-1ba316807fb8,tch_20220802-161405_31
std_1659439262722_30,3c94d899-d382-4601-9f6c-01ebee9a115e,tch_20220802-161405_30
std_1659439180843_31,041da4c2-ef68-409b-a73c-00b9f7eba4cd,tch_20220802-161405_31
std_1659439313129_31,62153c24-5abc-4ee8-ae8a-b3d87f16e6df,tch_20220802-161405_31
std_1659439109267_32,27c14a13-c969-4fc0-b090-6b893271a054,tch_20220802-161405_32
std_1659439236120_32,b16d8183-9bf2-4d52-b2b2-e28996de8dcd,tch_20220802-161405_32
std_1659439368896_32,32b5ed34-b304-4fbf-94ff-23a82a5571e6,tch_20220802-161405_32
std_1659439157132_33,30fb0738-b37d-47ce-bb36-841a4dba2fa2,tch_20220802-161405_33
std_1659439292463_33,e26940c3-915e-4e1c-98f5-45cab084dd92,tch_20220802-161405_33
std_1659439226066_34,8a171da1-1b9a-4c96-b3fb-cb7941eba3d4,tch_20220802-161405_34
std_1659439431996_33,1e5da34d-d9af-4c95-8cc0-3f8cd7109965,tch_20220802-161405_33
std_1659439359538_34,7fac917b-387e-4c15-a474-c1a22c7771e4,tch_20220802-161405_34
std_1659439488616_34,7716c8f8-d562-4d50-ab7c-1b6ffccfffb4,tch_20220802-161405_34
std_1659439278990_35,97766fe5-2367-4b98-af74-ead4c19c6f54,tch_20220802-161405_35
std_1659439416136_35,47a7e848-0acc-4e99-9c01-d935c3edac3d,tch_20220802-161405_35
std_1659439552281_35,7d67c8b6-e7c1-447f-b6c6-de18ad453c9f,tch_20220802-161405_35
std_1659439358660_36,8ce1f44f-f717-45e1-b338-d51f1a74259f,tch_20220802-161405_36
std_1659439496425_36,80a4edc3-55a6-4c7d-aa5a-0a1d2507d75e,tch_20220802-161405_36
std_1659439418435_37,9180aba4-a6ef-4719-97e2-01dff3857436,tch_20220802-161405_37
std_1659439629479_36,16434a88-d224-4c27-875a-ca076ce134f2,tch_20220802-161405_36
std_1659439554571_37,430b8287-ea1b-4620-8c89-9ac9e9b454fe,tch_20220802-161405_37
std_1659439688260_37,bbbe58d5-beb0-4ed8-9c29-e984ea6a5ed7,tch_20220802-161405_37
std_1659439473019_38,43dfa03c-2856-4f71-a36e-dbd398c95fca,tch_20220802-161405_38
std_1659439608604_38,24401f4b-2cd0-4137-bf3f-afd2d516ad1f,tch_20220802-161405_38
std_1659439742812_38,c114e287-2240-4286-8f1a-d65cd6978253,tch_20220802-161405_38
std_1659439543826_39,a713c481-abb0-4472-8347-ad689bf27d7c,tch_20220802-161405_39
std_1659439680664_39,0b636cc6-9578-4eaf-80e3-bf54b68b38a7,tch_20220802-161405_39
std_1659439605503_40,3cb5f0a2-5071-4896-93b1-59121fc6c495,tch_20220802-161405_40
std_1659439816085_39,181ab82e-7050-4900-b3e9-4de5a82fa7f7,tch_20220802-161405_39
std_1659439733218_40,f6d5938e-f61c-4030-9610-6f68a27ed97c,tch_20220802-161405_40
std_1659439872370_40,cef81d85-46b0-4694-ab8d-cfb19e55e4e1,tch_20220802-161405_40
std_1659439657874_41,8ec78bbd-bee5-4732-8e8c-fe9e9163fa04,tch_20220802-161405_41
std_1659439794520_41,59af335b-000c-4a38-aedd-f4094fa080b6,tch_20220802-161405_41
std_1659439921755_41,7eb7bb97-c7af-45f9-bfe6-b1a1f8bea2c9,tch_20220802-161405_41
std_1659439718636_42,6a677f17-9772-4815-88a8-abf9e938b1f1,tch_20220802-161405_42
std_1659439846791_42,1cfc15f6-9601-4e5a-bb5c-12354eb5d5e7,tch_20220802-161405_42
std_1659439984114_42,8331d2ab-5e64-40a3-ba11-c05534df5642,tch_20220802-161405_42
std_1659439781849_43,7aa594c5-b9d2-4d98-9ffd-37a16fc49129,tch_20220802-161405_43
std_1659439907850_43,e75db268-6fa4-4ca3-a960-bce3ae47a8b2,tch_20220802-161405_43
std_1659440036945_43,e1209156-5762-477c-b43e-f0f647ddeba1,tch_20220802-161405_43
std_1659439845002_44,16a72289-9b25-445e-9c40-acbca1326ab2,tch_20220802-161405_44
std_1659439977103_44,6ea54684-9c6f-4b42-a6e7-89f8a9983a20,tch_20220802-161405_44
std_1659440108561_44,90a64ceb-1f1a-4a09-a274-bcabfaec4ca1,tch_20220802-161405_44
std_1659439914935_45,92b0f91d-4e6e-4696-a2ee-7058eba535c0,tch_20220802-161405_45
std_1659440049565_45,a87f2b73-71d5-4f56-ac8b-415aeb8ce4d3,tch_20220802-161405_45
std_1659439956793_46,bfebc5b9-958a-402e-9864-d247acce6332,tch_20220802-161405_46
std_1659440187539_45,d1e1454f-90e1-45f2-bf76-ee321b3f1558,tch_20220802-161405_45
std_1659440096304_46,e199b58a-9a01-46d5-86ec-c4ec60fca418,tch_20220802-161405_46
std_1659440227150_46,53dc17a8-f0a6-45bb-bc03-3b484d952077,tch_20220802-161405_46
std_1659440031861_47,35cbce14-4277-41d2-baf1-0a6696b3527f,tch_20220802-161405_47
std_1659440165191_47,ed976bbd-0484-46b1-88b6-f86e97cecf52,tch_20220802-161405_47
std_1659440083667_48,c8536e54-9d75-46aa-9a63-dac9c451b3e8,tch_20220802-161405_48
std_1659440302132_47,bdcd7327-4e29-4815-9d22-aaf3222f4f85,tch_20220802-161405_47
std_1659440224719_48,bb45045a-5fed-4348-a301-2a78edc05600,tch_20220802-161405_48
std_1659440145690_49,42c2664c-6abd-49d7-89d3-dfe92a15c522,tch_20220802-161405_49
std_1659440363196_48,4ec178d5-6a0e-4f67-b3b9-d304177b0578,tch_20220802-161405_48
std_1659440281772_49,251c36ba-74b6-4228-a120-a0068578886b,tch_20220802-161405_49
std_1659440408546_49,d1b762d7-cc7e-4b69-8dd8-aa3a2efd66f0,tch_20220802-161405_49
std_1659440215364_50,45606876-b967-4c43-8719-45e9cb76a002,tch_20220802-161405_50
std_1659440349053_50,454313ba-e7b4-4105-96a2-73d5dea0efcc,tch_20220802-161405_50
std_1659440272463_51,a4fc8f1e-efae-4567-b43f-53d00380841b,tch_20220802-161405_51
std_1659440474206_50,072215df-a600-44cd-920c-da42e9a5e816,tch_20220802-161405_50
std_1659440400759_51,73185eb0-6457-4557-a3f7-eac59e0cecb0,tch_20220802-161405_51
std_1659440526879_51,fe009376-2203-44b3-9a17-e7766ad0e7bb,tch_20220802-161405_51
std_1659440331081_52,f7f70804-e2af-43bc-a9dc-3195fa3c102a,tch_20220802-161405_52
std_1659440466932_52,c3984636-83ac-45c6-ad38-72e354f53078,tch_20220802-161405_52
std_1659440377164_53,067cf751-676c-4473-bf7c-0286b97ce651,tch_20220802-161405_53
std_1659440604400_52,2f3fb1dc-1d10-4363-985f-6026de4e89ae,tch_20220802-161405_52
std_1659440511126_53,3374cf0f-b70b-4475-aedf-40c754efddbe,tch_20220802-161405_53
std_1659440644231_53,4e4e13a7-a052-48ac-9d5c-b76e0e2498be,tch_20220802-161405_53
std_1659440447617_54,40fbd903-f02d-43a6-9c96-3008141ccecc,tch_20220802-161405_54
std_1659440585897_54,c749a521-13ac-4c40-a97a-1b3d58e67bd4,tch_20220802-161405_54
std_1659440716683_54,f532a2f5-8e41-4f86-b09f-84935298d5a4,tch_20220802-161405_54
std_1659440509377_55,4489cd3b-9669-4903-b9d5-16f69c47310e,tch_20220802-161405_55
std_1659440639555_55,fb5036dc-c501-4d8f-82d9-5185340f70be,tch_20220802-161405_55
std_1659440768376_55,3f613296-9875-424c-b0ee-708c5d7d241b,tch_20220802-161405_55
std_1659440575140_56,261fa221-c929-4a85-98f2-54663eec3086,tch_20220802-161405_56
std_1659440703846_56,0f688809-13d4-4ce9-a1b3-82f02968046f,tch_20220802-161405_56
std_1659440836640_56,e5c6921d-1454-4edb-a04c-a0c3126cc32e,tch_20220802-161405_56
std_1659440637382_57,8105c084-ca60-43b0-b952-8e47072d3883,tch_20220802-161405_57
std_1659440766139_57,10516985-b432-47a3-97e2-98386499ad21,tch_20220802-161405_57
std_1659440903105_57,35cdab1e-7299-49ac-bf84-d0e68fb7c4da,tch_20220802-161405_57
std_1659440696719_58,d3f32c1a-4f6e-4298-8a25-341ab777b3f1,tch_20220802-161405_58
std_1659440833271_58,2ccdbcd1-e6e7-4bd1-85c1-824968095ef3,tch_20220802-161405_58
std_1659440752152_59,4aee2927-c48f-407c-90b1-ae398e73b9f7,tch_20220802-161405_59
std_1659440966149_58,54c9ccb3-b645-4b19-9e01-ee54c45fbd38,tch_20220802-161405_58
std_1659440887743_59,0544364e-0fe3-43cc-8e64-a28fcc6c543a,tch_20220802-161405_59
std_1659441021958_59,a76240e9-7e68-49d4-a116-620f2618283f,tch_20220802-161405_59
std_1659440833206_60,3f8f244e-0cee-4bef-befe-d91727f8beaa,tch_20220802-161405_60
std_1659440964850_60,875d3c7b-b350-4689-8b9f-221bf36525db,tch_20220802-161405_60
std_1659441095482_60,747bc5a2-8853-4442-95b3-13551f535f39,tch_20220802-161405_60
std_1659440910545_61,236b53e0-5b89-410f-afbb-2f48b6c168aa,tch_20220802-161405_61
std_1659441044413_61,20457de2-51c7-4831-bc98-967af2379ff4,tch_20220802-161405_61
std_1659441177487_61,ce4ea27b-d8ff-4525-806f-0468aeac19e4,tch_20220802-161405_61
std_1659440951250_62,14f32fcb-a4b3-42b3-a6a8-6e60cb9b274e,tch_20220802-161405_62
std_1659441093050_62,df45220e-2980-41d7-aa9e-6abf9b349c46,tch_20220802-161405_62
std_1659441227737_62,e2315181-23f3-4013-9fd9-51619c3588b5,tch_20220802-161405_62
std_1659441018242_63,82ddb15e-9fd1-4ac1-a0c8-52ea2ded6081,tch_20220802-161405_63
std_1659441147944_63,ec753483-ecec-4538-8880-c14ede0d8aa6,tch_20220802-161405_63
std_1659441286432_63,c2cafa35-7965-4bdf-8076-45c7a8b3d54d,tch_20220802-161405_63
std_1659441090966_64,4021c5c8-fe65-47f8-8f05-af1c6aa44bc5,tch_20220802-161405_64
std_1659441225914_64,4d15b7d9-e17d-4dfe-80ef-de7ce8679628,tch_20220802-161405_64
std_1659441353720_64,2e31b2da-37da-4309-ac66-5a2b2cf3216d,tch_20220802-161405_64
std_1659441159698_65,0271eca9-1def-4ab6-906a-a79605a773c3,tch_20220802-161405_65
std_1659441303307_65,6c609ea5-d2b4-42ae-9c40-4285971c4bae,tch_20220802-161405_65
std_1659441207138_66,d61d5211-8fa4-4587-b0c9-c3caa0b831eb,tch_20220802-161405_66
std_1659441433240_65,1c0b6ec0-caab-4558-9399-244ffd24d1f1,tch_20220802-161405_65
std_1659441339443_66,77bb2fd9-ee4d-4989-8fca-827eee651e3d,tch_20220802-161405_66
std_1659441474739_66,29292e41-143f-4fe0-9bb1-76b7f7dbede5,tch_20220802-161405_66
std_1659441286471_67,1aa882fe-b010-425b-844f-da6116535cfd,tch_20220802-161405_67
std_1659441427359_67,99bdd9be-9066-48ed-af5a-ae447c3f4a8f,tch_20220802-161405_67
std_1659441339555_68,481b1c5d-865e-48d9-b3f5-91bd1dd6113e,tch_20220802-161405_68
std_1659441551430_67,b70f1f5f-b7ba-4596-972f-010efa996bf7,tch_20220802-161405_67
std_1659441468414_68,32b1ced0-c3d2-485f-b736-bd22c0c353ad,tch_20220802-161405_68
std_1659441598840_68,720493ea-85b5-47ff-bb12-11375adb02ce,tch_20220802-161405_68
std_1659441418991_69,fc86b1c8-d399-459d-9c6f-6d4a9c8fa767,tch_20220802-161405_69
std_1659441557491_69,c46f28fd-dea6-4eca-bdb1-8acab2af6392,tch_20220802-161405_69
std_1659441474016_70,94abd66f-9a04-4e50-8e5a-37a2fd3b808c,tch_20220802-161405_70
std_1659441695756_69,c9d03a8c-596d-404e-b953-c96763f7bde8,tch_20220802-161405_69
std_1659441605000_70,2f8f96da-aba6-41f1-91a9-c808233bb3b9,tch_20220802-161405_70
std_1659441536103_71,06a105d8-6ec9-4e06-8e35-382b3e94d866,tch_20220802-161405_71
std_1659441746410_70,7b2cd28e-a140-4477-89be-503998232ab9,tch_20220802-161405_70
std_1659441659135_71,22950a2a-3872-400b-8dcb-bd1c6e60e111,tch_20220802-161405_71
std_1659441793327_71,939bafa2-2008-48f3-8c58-2cd451dde55f,tch_20220802-161405_71
std_1659441607029_72,b5fb8908-07b5-482f-bd99-b5d824ec8599,tch_20220802-161405_72
std_1659441737080_72,9458a766-716e-4d72-be34-677b6b244ab6,tch_20220802-161405_72
std_1659441867933_72,64a2ee0f-1d3a-4c7e-97b4-b60a8da602e9,tch_20220802-161405_72
std_1659441662378_73,6d97f1a5-ca3e-400f-8d35-2101ec61093e,tch_20220802-161405_73
std_1659441798005_73,5c309510-fe17-49cf-a532-bd7a97615fc2,tch_20220802-161405_73
std_1659441931304_73,c977e6f1-fd6a-4647-8aa4-f34376a030ba,tch_20220802-161405_73
std_1659441733465_74,2eccc120-5d0f-499e-adb4-29f87dc52740,tch_20220802-161405_74
std_1659441898894_74,ea493199-2210-464a-b41e-2dc8d039b155,tch_20220802-161405_74
std_1659442036450_74,9e123ffe-8c24-42b7-82d9-e8d515bf7b4a,tch_20220802-161405_74
std_1659441807787_75,4d3ce9ed-d0b6-4abf-8252-24582b7f4d0f,tch_20220802-161405_75
std_1659441940279_75,e096ae99-959c-4521-8bf0-1226ec714014,tch_20220802-161405_75
std_1659441855821_76,c298f1e0-dd21-49fd-8788-0e1d05168f4f,tch_20220802-161405_76
std_1659442074810_75,eb6a9cd0-3004-45ce-bd90-04a9bfbd555b,tch_20220802-161405_75
std_1659441986418_76,ebb0392d-c2b8-4e8b-abd0-e334c7cb0e4d,tch_20220802-161405_76
std_1659442124699_76,64de0c73-ccfd-4063-b0b7-a2d09aba1f54,tch_20220802-161405_76
std_1659441916297_77,daee3298-648b-482b-9512-09882fe9096b,tch_20220802-161405_77
std_1659442049544_77,4c0952fa-caba-4c35-83da-afacecc979cb,tch_20220802-161405_77
std_1659442185193_77,4ff4a425-6c69-4e01-ac5d-3804c9b72440,tch_20220802-161405_77
std_1659441990832_78,db3bad20-5dda-4177-add7-bc6db1491fd6,tch_20220802-161405_78
std_1659442135146_78,76ba2bad-9ddb-49e8-a64d-2dd5702fd031,tch_20220802-161405_78
std_1659442047406_79,8ed152a5-3ac9-4cad-8179-e7ea712022dd,tch_20220802-161405_79
std_1659442268802_78,61315fb9-63a9-481a-957d-2dfa11b259a2,tch_20220802-161405_78
std_1659442173784_79,64c1f5ca-6e59-4552-858c-8c0547e2b645,tch_20220802-161405_79
std_1659442088978_80,806851ee-0906-45b2-9ef6-1a6a7cd0a8b8,tch_20220802-161405_80
std_1659442302903_79,84244f82-3648-4ec0-9aea-3c47dc1228b6,tch_20220802-161405_79
std_1659442220019_80,fb75d436-0027-4c9a-b690-77fcccbd5057,tch_20220802-161405_80
std_1659442355092_80,7cb7c872-6863-4c5f-b761-29dcdd4a6277,tch_20220802-161405_80
std_1659442161690_81,dbad39d0-dd50-40ac-886e-2e9abba34137,tch_20220802-161405_81
std_1659442284969_81,9f52fb30-5f17-4954-8a64-4b88b7021536,tch_20220802-161405_81
std_1659442417678_81,da6096d2-307e-4c28-ba9a-56741b884000,tch_20220802-161405_81
std_1659442216278_82,161cbaef-4735-4618-9d15-2886a08cb164,tch_20220802-161405_82
std_1659442343222_82,ba56494d-f61c-4662-a684-c06122c6b7a0,tch_20220802-161405_82
std_1659442484485_82,015466ee-b7fe-4f89-9408-1eaf05121882,tch_20220802-161405_82
std_1659442282396_83,29b34eba-88cb-4296-ad31-99eb7129a4c0,tch_20220802-161405_83
std_1659442410393_83,5b50c079-f584-4710-8185-2c30b921fb3f,tch_20220802-161405_83
std_1659442543980_83,45d48271-b06b-44b0-b190-0de48d3c9add,tch_20220802-161405_83
std_1659442342139_84,45be6f0e-f941-4516-b6d4-effae04048e2,tch_20220802-161405_84
std_1659442475405_84,d4d65332-e412-40bc-81d3-dd5f81fe56d5,tch_20220802-161405_84
std_1659442607327_84,2c2bf266-2aad-467b-bf1e-3e7a8cbc744a,tch_20220802-161405_84
std_1659442405821_85,6149524b-2eca-455a-8a6c-3f26e0d0527e,tch_20220802-161405_85
std_1659442537895_85,3ca8173d-aab4-4cf6-8de3-7833d560383c,tch_20220802-161405_85
std_1659442674407_85,724a6d4c-ac72-411c-9e29-fd16e53844f9,tch_20220802-161405_85
std_1659442463933_86,9b9f5bd0-35e6-4040-aa40-13816b7432cf,tch_20220802-161405_86
std_1659442598875_86,2a9d085f-deba-4017-9632-30bb11d1622a,tch_20220802-161405_86
std_1659442514171_87,dd82bdfd-6d5b-4b86-8383-1d97e8724e54,tch_20220802-161405_87
std_1659442731162_86,3fe145be-1df3-4e6e-8c14-b4519f2a5741,tch_20220802-161405_86
std_1659442652624_87,fab00ba9-2d3d-40af-9031-4d908f05b804,tch_20220802-161405_87
std_1659442781115_87,b5815d03-104d-4267-9c5b-bf1616ccd11b,tch_20220802-161405_87
std_1659442588021_88,17670fa8-7549-4c1e-a581-9579a909ad7e,tch_20220802-161405_88
std_1659442720047_88,b85541cf-cb0f-4fe5-91e2-d321477e86ba,tch_20220802-161405_88
std_1659442854456_88,7eaea9f4-ae87-462e-8747-dfd397bb07b1,tch_20220802-161405_88
std_1659442641312_89,016d99b1-72e2-42f5-85d0-d9e3a7415ebf,tch_20220802-161405_89
std_1659442778111_89,b7c8319c-2417-4cbd-822c-d476a04a99ef,tch_20220802-161405_89
std_1659442921812_89,a9cd762c-3da9-4f64-8049-44324fa76ad2,tch_20220802-161405_89
std_1659442709538_90,f95094d7-d43d-45a4-8443-22a7c30c7559,tch_20220802-161405_90
std_1659442844683_90,c0455cd0-c27c-4f31-8b17-6f47e4a3fd9d,tch_20220802-161405_90
std_1659442772297_91,8f047382-0d55-47c7-b8e6-573d76aebc0f,tch_20220802-161405_91
std_1659442989571_90,e1ab73ca-edfc-4d44-8b9f-524eed97d481,tch_20220802-161405_90
std_1659442901089_91,dd53c7d8-108f-4208-8916-f34f27da8302,tch_20220802-161405_91
std_1659442816209_92,725b0bc2-fbcf-4c94-b1ac-a9506732d777,tch_20220802-161405_92
std_1659443038845_91,452d7b23-ddc3-4601-b2fc-2785ed933a43,tch_20220802-161405_91
std_1659442950485_92,9bcc1767-1adf-41a1-b570-8406da8f7c99,tch_20220802-161405_92
std_1659443085058_92,9a5ab2ed-e6a3-4ab2-ad6a-2022409fdffa,tch_20220802-161405_92
std_1659442877908_93,e6725734-d8ca-49ad-bac8-3d1709ed2f0a,tch_20220802-161405_93
std_1659443010168_93,eb6eb1dd-eb76-43f7-93a8-62d50cbb7d24,tch_20220802-161405_93
std_1659442939091_94,09d07fcd-f3f8-47b7-9061-95791a99dcd3,tch_20220802-161405_94
std_1659443148123_93,1be9cf5d-3110-4e97-94e3-8d8269969e23,tch_20220802-161405_93
std_1659443071353_94,be8cfd48-313e-4db0-b046-e7843cb76d72,tch_20220802-161405_94
std_1659443201351_94,6e2bebaf-f488-4f23-a23e-0c1e63dc5da7,tch_20220802-161405_94
std_1659443002159_95,2b4bd803-e8c4-41c9-b574-b48eabbf5a4b,tch_20220802-161405_95
std_1659443137612_95,09e6a2c2-10e2-4bfb-95ad-6ab5fd60eec2,tch_20220802-161405_95
