extuserid,classcode,classid,invid,tchextuserid,category,pe_category,pe_end_index,category_type
std_BPLB-TABJ_1732086932140_55,RfDV-u4uc,bccf3c0b-27f3-4bad-8cce-32fc96f86aea,d8633ca7-d7ac-4084-ab8c-ef721a750111,tch_L3_20241119-101959_5,L3,l3pe,5,L
std_n9zB-3Weq_1731318743725_14,tbev-3QUB,a218f32a-4ce7-447f-bd46-6971db1dfa6e,af4f1723-e7b1-43d4-b9b7-15f31522c2dd,tch_L1_20241113-104900_2,L1,l1pe,4,L
std_6N9p-AKGL_1731318953099_29,x4hW-qWRJ,f8ee58e6-8b78-4584-a942-a2b94acea8f9,317e1835-468a-4e91-88e6-1dddca76da53,tch_L2_20241119-142553_3,L2,l2pe,5,L
std_WgzR-F3r4_1731319253864_42,7dQh-geKc,d3252fda-ece0-4abb-b2a6-53675f055dd9,bbf10766-c3d2-4a27-a321-963cc9ad89f9,tch_L7_20241118-122352_7,L7,l7pe,3,L
std_iBNY-s9NR_1731319483628_64,wn9x-c8UF,b5dd0605-8d7f-4519-af99-c1f0a03c7c7c,81d27fae-b073-4b37-b5ec-9f8237758c3d,tch_L9_20241118-183612_9,L9,l9pe,4,L
std_z64G-sZYn_1732089943739_15,sTqX-3hpj,4409e200-36fc-446c-817b-68260a296a87,a46aee8d-20fe-4f5c-870d-dbbd8914a9ae,tch_H1_20241119-095105_13,H1,h1pe,5,H
std_aet4-BizX_1731319514479_62,wn9x-c8UF,b5dd0605-8d7f-4519-af99-c1f0a03c7c7c,e79f6610-afe7-4480-a343-93807a3442a0,tch_L9_20241118-183612_9,L9,l9pe,4,L
std_6N9p-AKGL_1731318964680_29,7Gk7-4nD6,683921f5-2453-4348-813f-9cb8a681d27b,8ebb42c2-fbf9-420c-b7b2-5fd8cf760a9f,tch_L2_20241119-145753_4,L2,l2pe,5,L
std_ZMyA-x98R_1731318894026_26,6KNe-z3pi,1e78d8d0-c08c-43ef-8e3e-2993b956ba40,1fc0d5c4-3f6d-4c57-b1f8-706f5a8296de,tch_L2_20241119-164807_3,L2,l2pe,5,L
std_tmpQ-2cuA_1731318755627_12,epJ9-kr2s,bca84958-22f6-456d-98ff-b79a179b8c20,e711a013-a9d9-455e-8400-50e6d23bddbd,tch_L1_20241119-101959_2,L1,l1pe,4,L
std_fj28-ZB4R_1731318958987_27,sCsY-6yFP,58d333d9-92fa-4686-83ef-fd66b8a31366,c79b5703-32ce-4d56-bbf0-0925fb35e7f6,tch_L2_20241118-124931_3,L2,l2pe,5,L
std_fJEu-gi2e_1731318925801_24,wNrP-Kou7,bb9867df-21e8-4126-8e0f-6d0b4136da15,66b1f5a2-fa70-4b32-8078-81be9f8d9f56,tch_L2_20241119-164807_4,L2,l2pe,5,L
std_eki9-7vB2_1731318676689_6,3Dhc-sp2j,92fac04c-a40e-4661-9bbb-0aaef0fa61fa,18e8f852-3cef-4749-a7e6-4b31c67acc4a,tch_L1_20241119-095105_1,L1,l1pe,4,L
std_Grf6-iv28_1731319870459_83,kDMt-L38m,7cbb31fb-f558-435a-a5a2-33ba2d9d8de8,3bf7e854-8763-4628-a30f-96df56d84cf6,tch_M3_20241119-154312_11,M3,m3pe,5,M
std_eki9-7vB2_1731318728116_6,TobA-E8cs,41f6dafe-e074-4e52-8ccb-bbdba5018113,f38f20ae-ccc1-49ec-b708-aa38f335a8f9,tch_L1_20241119-142553_1,L1,l1pe,4,L
std_87Mu-9p94_1731319971946_94,Cp7r-89zT,bfc80ee7-fb8a-4ec9-9539-0734debf6712,f91218c6-8707-44b3-8768-60bf48a2ea1d,tch_H1_20241119-161702_13,H1,h1pe,5,H
std_8qyp-QopU_1732087559232_88,j9m6-L8Jt,0fc00029-644d-4240-a4ce-ff23a128bf70,980ede7a-845e-4985-b182-c95435271972,tch_L7_20241119-152307_7,L7,l7pe,3,L
std_ijus-74ZW_1731319893134_90,Zj98-pcHb,c99a71c3-1e8c-4733-af13-8de3e97bffdf,cbc4f65b-056d-4406-b176-20ac55f690b1,tch_M5_20241119-152307_12,M5,m5pe,5,M
std_RE4K-b4b4_1731318766440_17,2f2k-3hmk,b1d428c4-5b93-4085-9bc3-2763a4107822,6c8fcb5e-755f-4a1a-a62c-322fe42ec724,tch_L2_20241118-122352_3,L2,l2pe,5,L
std_96jL-PTJx_1732096740874_92,o3HX-yJsh,df02b5b7-f07a-4ad8-bac2-175dea7c325d,2c66a69b-d8ac-4654-a72e-4c71b444772c,tch_L7_20241119-161702_7,L7,l7pe,3,L
std_kHis-FPa7_1731318887247_22,2f2k-3hmk,b1d428c4-5b93-4085-9bc3-2763a4107822,f48196d2-794e-464c-a127-7fc879b318b2,tch_L2_20241118-122352_3,L2,l2pe,5,L
std_R7zy-bQ7t_1731318686424_11,epJ9-kr2s,bca84958-22f6-456d-98ff-b79a179b8c20,8be472f4-be75-4814-b657-deb3be4bcb22,tch_L1_20241119-101959_2,L1,l1pe,4,L
std_dhVP-oVxY_1732087085853_61,ZdMQ-M6Hr,191645e7-3699-42cb-abde-701124ae3f12,eab6b233-d834-4524-b7ed-183d1bf764f4,tch_M2_20241119-142553_10,M2,m2pe,5,M
std_KtRH-kMD6_1731318747882_13,TobA-E8cs,41f6dafe-e074-4e52-8ccb-bbdba5018113,308db72f-2579-4e06-8a89-0cef75dc95a5,tch_L1_20241119-142553_1,L1,l1pe,4,L
std_3M8e-g6Mv_1731319784632_79,7ujd-sD27,319f996e-285c-4aed-bbfc-5d3e01c2a85d,6cab703d-8d84-4a17-868b-1da071165a8a,tch_M3_20241119-101959_11,M3,m3pe,5,M
std_z9vr-hLsA_1731318628903_3,8xCd-cwb9,f013496f-5388-4b8c-8ca6-5b160529241b,477b831c-b32c-4b5f-92a3-f1225221d32a,tch_L1_20241113-104900_1,L1,l1pe,4,L
std_6hdA-yD8h_1732099795633_15,i43W-64G7,1c93d38b-f9e2-4958-8550-25682e4565de,41c10a6b-ea47-4ec9-997e-ea17dbe5af03,tch_H1_20241119-101959_13,H1,h1pe,5,H
std_Ut8e-GYwx_1731319446784_60,2Y8A-HdRB,c0122f6a-5330-4348-a6b3-65471cfac1f9,faf33bdd-e1a2-47f3-83a3-fce547670d96,tch_L8_20241118-122352_8,L8,l8pe,4,L
std_6Nwg-fur6_1731319750294_80,6RK4-GgVf,4c45a5be-81d9-423f-8a38-6d20e4a098c9,c9cf5dbf-d218-49dd-841f-73deda2734d7,tch_M3_20241118-183612_11,M3,m3pe,5,M
std_6Nwg-fur6_1731319727086_80,CY97-42B8,70e964f0-23e7-479e-b255-4974b4922645,63c741c0-94ab-4a49-8ee6-3724e01df26a,tch_M3_20241119-135502_11,M3,m3pe,5,M
std_fj28-ZB4R_1731318999979_27,8sBn-sbBk,faafbad8-9be4-476c-83b0-f812a17c049c,fb94c229-5472-4a70-bd44-f1b348aa0d11,tch_L2_20241119-152307_4,L2,l2pe,5,L
std_e6i4-f9Br_1731319322761_52,yRC3-4nbY,285bc923-d2fe-4246-a6cf-b15636e1947a,f111fdef-441e-4b19-ae2d-1cf1984e6378,tch_L8_20241119-142553_8,L8,l8pe,4,L
std_Ut8e-GYwx_1731319495381_60,XcJz-RhwV,22364c37-763a-48ac-a37c-c84bd347fa77,8d364d10-db47-416b-a70d-271f703d3a60,tch_L8_20241119-101959_8,L8,l8pe,4,L
std_DKua-v9t9_1732090471592_60,s2U6-Rt7h,fd526d45-62af-4b70-ac87-a8fdd6a29356,ae62cfb2-a930-491f-a831-f69de892b9e9,tch_M2_20241118-124931_10,M2,m2pe,5,M
std_EVRo-7Nmr_1731318748807_9,cKMb-7QD9,7724f09f-2c8d-4002-af43-2516b8d8df6e,61a4d1cd-29ca-4c3b-8951-204c0e65aa22,tch_L1_20241119-152307_2,L1,l1pe,4,L
std_a3vG-4AUs_1731318616565_7,fA9T-b6fZ,3faf4591-a69f-4950-b667-c3fa9e28e58a,2acd3033-13e1-420e-9b99-643f332736fc,tch_L1_20241113-100225_1,L1,l1pe,4,L
std_6KLT-Ar2z_1731320095249_95,i43W-64G7,1c93d38b-f9e2-4958-8550-25682e4565de,5b177805-2509-46e1-8ac4-23e7a04bc5ab,tch_H1_20241119-101959_13,H1,h1pe,5,H
std_k2u6-L47B_1732087573739_94,Hp7D-vN3M,5930486d-716e-4dce-b96f-3ad57964ea4e,fd8498f3-ae00-4f38-98d4-a391b9eef262,tch_L7_20241119-161702_6,L7,l7pe,3,L
std_6MKd-8QHY_1732090070520_16,krPB-EQn3,f1830116-5418-4e0d-89bf-48cc50c36765,8010c28e-3b5c-4869-91c8-74749c1589df,tch_H1_20241119-142553_13,H1,h1pe,5,H
std_6Nwg-fur6_1731319753868_80,9YoF-N3hr,4de34c71-1a02-46e1-955c-0bda3bb6a679,fe11e946-a57f-4eed-a056-19413aea546f,tch_M3_20241119-095105_11,M3,m3pe,5,M
std_3u9W-Fw2g_1731318834071_19,6ABh-Mgd6,3ff5fac8-ba10-4aad-afc9-851fdb534a39,20d28d39-e4d5-47a8-b23e-a99227d5f746,tch_L2_20241119-095105_4,L2,l2pe,5,L
std_6y8c-yr49_1732087656806_51,nxnM-oc64,35419fc8-6866-468a-920e-a43b83f52650,ef55ba70-f814-4daa-9a7e-926bb3b73873,tch_L3_20241119-152307_5,L3,l3pe,5,L
std_Q39m-BTF2_1732096855645_91,h6Fi-ue9P,6b35477d-a750-4b81-8331-e7949c786858,e42586ba-f485-4586-a426-dde2846e422a,tch_L7_20241119-142553_6,L7,l7pe,3,L
std_6N9p-AKGL_1731318998144_29,c2Uo-jUGC,2967be95-14f2-4b9b-883a-43830444154b,e8ea4484-4deb-4230-be7f-3e1ae0f21a40,tch_L2_20241119-142553_4,L2,l2pe,5,L
std_Grf6-iv28_1731319821302_83,oRfT-mp2H,1bf4a992-7729-447f-8efc-15243bbe4a5c,837e86a6-7f7a-41ca-9373-fe442fc8cf22,tch_M3_20241119-171846_11,M3,m3pe,5,M
std_z8Gr-CLCX_1731318710430_8,N4h3-Vwy9,1df9c30d-3fdc-4c72-97e2-d451f9431092,91b348d8-3b2e-429a-9407-862b5a9c5ecc,tch_L1_20241119-152307_1,L1,l1pe,4,L
std_iBNY-s9NR_1731319495457_64,k4Ec-bFVv,296107ec-b6c2-47b7-a787-3dc26bb9a3e3,f59b1cb1-b527-4955-b336-0c0b64ad5b25,tch_L9_20241113-100225_9,L9,l9pe,4,L
std_a6YZ-7Rdh_1731318553634_2,N4h3-Vwy9,1df9c30d-3fdc-4c72-97e2-d451f9431092,b5d83b87-5034-4978-b5c8-2b79ab078206,tch_L1_20241119-152307_1,L1,l1pe,4,L
std_kHis-FPa7_1731318867002_22,KAQ4-rfZL,999e82a8-aba6-4200-b54d-75ca5ed83279,184ed902-b54d-4b86-b5dc-99904e40ec63,tch_L2_20241118-183612_3,L2,l2pe,5,L
std_6MKd-8QHY_1732090197889_16,Cp7r-89zT,bfc80ee7-fb8a-4ec9-9539-0734debf6712,55d311d5-96a9-44b4-98b8-8b4c5d41cad2,tch_H1_20241119-161702_13,H1,h1pe,5,H
std_fJEu-gi2e_1731319000883_24,o9Cp-Ucn2,f91c3dee-a5de-4b42-9332-108776f17a78,5f7424aa-df8d-4661-9a94-b06cda1709d5,tch_L2_20241119-154312_4,L2,l2pe,5,L
std_RPv4-pgQg_1731318793633_18,KAQ4-rfZL,999e82a8-aba6-4200-b54d-75ca5ed83279,7a91fa3a-c710-4c91-a329-df3db450352c,tch_L2_20241118-183612_3,L2,l2pe,5,L
std_Tr9T-98EC_1731318713521_10,vn3R-PJwF,c72210bf-e90a-42dc-b98a-ea41421ac045,76329621-fa0f-4834-91dc-d457dc3ded97,tch_L1_20241118-183612_1,L1,l1pe,4,L
std_b84v-covH_1731318594727_4,taVH-Qx4t,5c8fa49f-9522-4205-83d2-89df9581aa3b,0adabd6b-a9f0-4505-b91a-a40ed3ab3cfa,tch_L1_20241119-135502_2,L1,l1pe,4,L
std_ijus-74ZW_1731319977207_90,Zj98-pcHb,c99a71c3-1e8c-4733-af13-8de3e97bffdf,329f418b-d50c-46f8-bd60-3b530e37b6f1,tch_M5_20241119-152307_12,M5,m5pe,5,M
std_63rB-uWLK_1731318999101_30,7Gk7-4nD6,683921f5-2453-4348-813f-9cb8a681d27b,b068b6dd-823a-419c-8a22-d65c040dff72,tch_L2_20241119-145753_4,L2,l2pe,5,L
std_Y8yZ-CDdq_1731319090168_32,u734-36aQ,ffcf2d45-3af1-46d5-8c3a-6b1282843ac4,f3d41e0c-0f26-4b70-a04f-4dff225b6037,tch_L3_20241119-164807_5,L3,l3pe,5,L
std_mi2w-Gu2w_1731319001728_25,wNrP-Kou7,bb9867df-21e8-4126-8e0f-6d0b4136da15,a836389e-98ac-4d00-a6c8-e5e06a2c0ce4,tch_L2_20241119-164807_4,L2,l2pe,5,L
std_b84v-covH_1731318700200_4,cKMb-7QD9,7724f09f-2c8d-4002-af43-2516b8d8df6e,02191821-f84f-479e-97b6-2bb787b11cb6,tch_L1_20241119-152307_2,L1,l1pe,4,L
std_FKeZ-wxzY_1732087551226_95,463d-8z38,7abfa0f1-af2b-408a-a5d1-7f455b5593b2,b5c827ef-9ecd-424f-9ad9-bb880da5b070,tch_L7_20241119-145753_6,L7,l7pe,3,L
std_e6i4-f9Br_1731319371314_52,6TFt-kezY,bb31b457-12e1-4643-b27a-c0cf49ecce7e,d8dbb9ef-31a2-437d-8ce1-7815cad55318,tch_L8_20241119-164807_8,L8,l8pe,4,L
std_a3vG-4AUs_1731318666062_7,nFh4-nD8M,8421fc15-9592-482c-a500-9dabc1cc8220,688bcaa7-df2a-412a-b793-edf9dde235f7,tch_L1_20241118-124931_2,L1,l1pe,4,L
std_Nqrt-n7XH_1731320010640_88,Kv6A-rjoJ,b0ad5148-5ff2-494b-b00b-ba42dac0de25,cddefb2f-1694-45c0-85e7-8620b1bc2f27,tch_M5_20241118-122352_12,M5,m5pe,5,M
std_kHis-FPa7_1731318948466_22,c7T3-uhDB,798d4486-c304-4774-a649-bb65d6634908,ff111001-67a9-4826-96b0-174d5aefab11,tch_L2_20241113-104900_4,L2,l2pe,5,L
std_3M8e-g6Mv_1731319731659_79,QdUJ-y9tb,85fb2bba-7885-4952-9a38-25412080b8f8,91305516-9ac3-46dc-8959-c62a3c2e8a85,tch_M3_20241119-161702_11,M3,m3pe,5,M
std_FswK-VLzK_1732095935593_15,i43W-64G7,1c93d38b-f9e2-4958-8550-25682e4565de,a054d0f8-4d7c-4bc6-9db0-9d37f25da1d7,tch_H1_20241119-101959_13,H1,h1pe,5,H
std_8VBe-Lb8B_1732087090334_15,ZVLG-VAqB,9ecb98e8-86b1-4cbe-be0c-751fb23d00cd,48988976-0bea-497c-8ccf-0cb4234237c1,tch_H1_20241118-183612_13,H1,h1pe,5,H
std_qVqg-7ZyK_1731318518825_1,fA9T-b6fZ,3faf4591-a69f-4950-b667-c3fa9e28e58a,9a28148c-8282-4f1c-870c-4b15f376a6a4,tch_L1_20241113-100225_1,L1,l1pe,4,L
std_87Mu-9p94_1731320014210_94,VCb9-eA4b,e5f3c29c-41f5-466a-b2f3-4a2e79027ac8,186beabd-d667-48c8-aa88-e6f334bf6f70,tch_H1_20241119-152307_13,H1,h1pe,5,H
std_8b3e-wa8E_1731319556112_65,F7N9-hmve,c798dfe4-4635-4d52-9a1e-34fcde1030c6,acba9a9e-f513-4279-93ef-eb1ae685bf93,tch_L9_20241119-154312_9,L9,l9pe,4,L
std_89Ey-8VXY_1731319744083_77,tCRL-DWHB,42e91c71-d594-4079-8d94-a7c34fa6a283,7fae6d99-7ee9-4e8f-8895-a3592567870b,tch_M2_20241119-101959_10,M2,m2pe,5,M
std_9pr9-234s_1731319857708_78,7ujd-sD27,319f996e-285c-4aed-bbfc-5d3e01c2a85d,43546557-6ece-41b4-9b36-b0637c519c40,tch_M3_20241119-101959_11,M3,m3pe,5,M
std_b84v-covH_1731318591896_4,Jh34-MTRa,508155f1-fd8d-41b8-b642-40598a7212bf,250ea566-cb93-4adb-8077-26bd7f030fb6,tch_L1_20241119-101959_1,L1,l1pe,4,L
std_tH23-GeNH_1731318963044_28,rQtk-q3ju,17bc23aa-1685-44a8-9c43-a87f83cbcce0,5bdab279-bb71-4699-9da6-5a48941dcc6d,tch_L2_20241119-135502_3,L2,l2pe,5,L
std_KxVa-TGv3_1731319820807_75,U8hp-xtRU,99785bcc-2b2c-406c-b4a3-a549430fd357,9cfb4b4b-a35d-4ce4-8622-9d0dfac10618,tch_M2_20241118-122352_10,M2,m2pe,5,M
std_3M8e-g6Mv_1731319727411_79,FNvb-2TJp,8159e17f-19e7-44cd-bd73-c468a8445274,c6d98c62-d34a-41ce-88cb-d80e58b14ca3,tch_M3_20241119-142553_11,M3,m3pe,5,M
std_M9Tn-upJm_1731319340491_54,b6tC-T67e,d92d8866-402b-4102-afb6-a165c5983bdc,7bcda185-dbcd-4404-b2c1-fa0298c7004e,tch_L8_20241118-183612_8,L8,l8pe,4,L
std_ba4d-8r3W_1731318666167_5,epJ9-kr2s,bca84958-22f6-456d-98ff-b79a179b8c20,b7875157-0082-44ec-8672-2053559babb2,tch_L1_20241119-101959_2,L1,l1pe,4,L
std_yBJR-ZR7H_1732099224813_16,sTqX-3hpj,4409e200-36fc-446c-817b-68260a296a87,23e11baf-53be-4fda-b79e-e812c740efa7,tch_H1_20241119-095105_13,H1,h1pe,5,H
std_7QFD-dgEN_1731319736405_81,6RK4-GgVf,4c45a5be-81d9-423f-8a38-6d20e4a098c9,0dc48431-2e1a-44a9-8b71-ece576d6f3ac,tch_M3_20241118-183612_11,M3,m3pe,5,M
std_fCGz-LB8r_1731319522790_61,yVjs-em36,b6d6c5ad-58f7-4f3d-84da-0ecc05423fe1,203bc09a-1f5b-4852-9c6e-ce15cad4ee0d,tch_L9_20241119-095105_9,L9,l9pe,4,L
std_M9Tn-upJm_1731319377818_54,D4L9-A69K,4f7f6a07-922d-443d-9810-2329c9a7d300,7a93d43f-00f0-4b7d-823a-6f0ff59c51be,tch_L8_20241119-171846_8,L8,l8pe,4,L
std_o7fz-VKAM_1732096960770_90,4nm9-Gde7,c4d178f1-c332-4c3e-ae63-ec539fb69958,b407853d-4319-47cb-9780-bca6daf97f67,tch_L7_20241119-101959_6,L7,l7pe,3,L
std_7QFD-dgEN_1731319775352_81,CY97-42B8,70e964f0-23e7-479e-b255-4974b4922645,2d3d0a64-daa5-44c8-aa0d-271bf765e0bd,tch_M3_20241119-135502_11,M3,m3pe,5,M
std_TpmE-48tU_1732091110706_100,86Xs-N62C,3f0ecf44-db86-4094-9cfd-8331742e780e,9b9234b8-6eae-4208-9462-8c6c79ab0912,tch_L7_20241113-100225_7,L7,l7pe,3,L
std_RLN9-vEdF_1731318989655_23,t9Lk-cq3G,270e9ab7-e145-4718-b14a-84c5265b0457,48f00248-5aa0-43f3-946a-f2ce58db3a89,tch_L2_20241119-171846_3,L2,l2pe,5,L
std_Var9-fZj2_1732087526111_90,wVs6-2fRB,4d7131c2-7061-4b16-9bf7-5e543c60e59b,31d34050-8c08-4472-926f-89ff517783c1,tch_L7_20241119-135502_7,L7,l7pe,3,L
std_6Nwg-fur6_1731319770653_80,CYFH-sCA7,2888cd08-9957-481f-b30d-a69b5c7b4166,bba9a606-19ee-4617-bdca-26afd1b338ce,tch_M3_20241113-104900_11,M3,m3pe,5,M
std_6KLT-Ar2z_1731320021564_95,ZVLG-VAqB,9ecb98e8-86b1-4cbe-be0c-751fb23d00cd,e70e3b2d-bffc-4486-8ebc-331470577427,tch_H1_20241118-183612_13,H1,h1pe,5,H
std_e6i4-f9Br_1731319360555_52,XcJz-RhwV,22364c37-763a-48ac-a37c-c84bd347fa77,e51347d0-99f4-49ac-a9e2-2ba4f61d056a,tch_L8_20241119-101959_8,L8,l8pe,4,L
std_aet4-BizX_1731319459013_62,nWsh-nG94,d25f8993-b504-4747-9e64-5f6872645c7e,9a2d32d5-f5ef-488b-9429-586e6134da2c,tch_L9_20241119-161702_9,L9,l9pe,4,L
std_fj28-ZB4R_1731318970221_27,2f2k-3hmk,b1d428c4-5b93-4085-9bc3-2763a4107822,000c0fd4-bd19-4966-81be-ea1d63ca8093,tch_L2_20241118-122352_3,L2,l2pe,5,L
std_EVRo-7Nmr_1731318731157_9,j3uQ-9Lx9,163a6717-70f3-4956-836b-116e1df79c20,ca4ee69d-e6f8-44e4-b481-657aeefa8162,tch_L1_20241119-164807_2,L1,l1pe,4,L
std_eki9-7vB2_1731318605958_6,98w7-6ygD,e8efec99-2971-4f12-8df1-1c83bcc42f58,d2368edb-ec4e-45e9-9353-c4102e53bb66,tch_L1_20241118-122352_2,L1,l1pe,4,L
std_6KLT-Ar2z_1731320016688_95,PH2F-eh82,b9790679-cfe7-44a1-8c14-ade9b732a529,66ab656c-1f22-4bd2-9e68-71fe6624d10f,tch_H1_20241119-164807_13,H1,h1pe,5,H
std_e8MG-XtEg_1731318843090_21,wcdK-uH8X,be500117-ec5a-46e7-9939-b9a17129edee,4eefca0e-9305-4ade-b468-a45f9cec1336,tch_L2_20241113-104900_3,L2,l2pe,5,L
std_7QFD-dgEN_1731319806252_81,FNvb-2TJp,8159e17f-19e7-44cd-bd73-c468a8445274,52f27658-2769-4fe3-a86a-f9ee54641df2,tch_M3_20241119-142553_11,M3,m3pe,5,M
std_fJEu-gi2e_1731318908989_24,4AEx-9oax,236d183d-ba99-48b0-84ac-1e1e95813bcf,0957302a-016c-4286-bb64-6b186a0e87e1,tch_L2_20241119-101959_3,L2,l2pe,5,L
std_n9zB-3Weq_1731318769034_14,epJ9-kr2s,bca84958-22f6-456d-98ff-b79a179b8c20,29054b65-4894-4b31-b751-0c8b78983947,tch_L1_20241119-101959_2,L1,l1pe,4,L
std_4t7B-aGt2_1731319858183_87,Zj98-pcHb,c99a71c3-1e8c-4733-af13-8de3e97bffdf,c0bec303-0a8f-4caa-b722-b1ca6e69ffff,tch_M5_20241119-152307_12,M5,m5pe,5,M
std_9vFU-V4Yo_1731319370791_55,3F6f-2oRg,0d3f9cca-3320-4507-830b-5ad3fe2475a6,cc489858-0dba-4af0-bc4f-a61bc530517b,tch_L8_20241119-161702_8,L8,l8pe,4,L
std_6KLT-Ar2z_1731319985485_95,vJ2N-T67K,fc7f5046-f531-4742-b140-c020a863ca74,3e90d3ad-3659-4ea0-a9be-ad360af2ec10,tch_H1_20241119-135502_13,H1,h1pe,5,H
std_3M8e-g6Mv_1731319796235_79,FNvb-2TJp,8159e17f-19e7-44cd-bd73-c468a8445274,c933cef0-7890-4c50-b3d8-0c421488376f,tch_M3_20241119-142553_11,M3,m3pe,5,M
std_9pr9-234s_1731319701529_78,7ujd-sD27,319f996e-285c-4aed-bbfc-5d3e01c2a85d,e8e68bb6-af05-4168-9167-43bb71cba389,tch_M3_20241119-101959_11,M3,m3pe,5,M
std_6MKd-8QHY_1732090400614_16,zU8r-V27H,11335be7-b839-436b-9765-a8b4348106bf,fd7d46de-7972-4e4d-ac9d-e2dbeedbd89e,tch_H1_20241118-124931_13,H1,h1pe,5,H
std_6KLT-Ar2z_1731320089986_95,zU8r-V27H,11335be7-b839-436b-9765-a8b4348106bf,79237977-1c4d-49de-8678-03c50ef30bdc,tch_H1_20241118-124931_13,H1,h1pe,5,H
std_g8YJ-3686_1732100228706_89,Zgcb-DrHB,b6f6351e-ca77-4698-84b0-fd20db82f8b5,84b66582-3fb9-4f85-84ab-79f866cc3781,tch_L7_20241119-142553_7,L7,l7pe,3,L
std_z9vr-hLsA_1731318620643_3,Jh34-MTRa,508155f1-fd8d-41b8-b642-40598a7212bf,f34cd0c6-8318-4a46-8851-56af75ed1fd6,tch_L1_20241119-101959_1,L1,l1pe,4,L
std_BPLB-TABJ_1732087787629_55,RfDV-u4uc,bccf3c0b-27f3-4bad-8cce-32fc96f86aea,2dc3b3cb-e213-432b-85bd-bafc706387d6,tch_L3_20241119-101959_5,L3,l3pe,5,L
std_fJEu-gi2e_1731318936428_24,8zgW-Dak7,24833590-e73c-4dac-a086-1e1a421f045c,7c1ed27c-fdc9-4031-84fb-174dda04efcf,tch_L2_20241119-161702_4,L2,l2pe,5,L
std_mwbC-oa84_1731318895022_20,f9pd-bVH2,3e1ac6e4-085a-4d8e-9bfb-9372fe56dd3a,70b4b592-8936-4bbd-ab9a-62b722a55872,tch_L2_20241113-100225_3,L2,l2pe,5,L
std_87Mu-9p94_1731319994645_94,Cp7r-89zT,bfc80ee7-fb8a-4ec9-9539-0734debf6712,04fe90dd-315c-40c1-b852-0741f6918c45,tch_H1_20241119-161702_13,H1,h1pe,5,H
std_eki9-7vB2_1731318716161_6,98w7-6ygD,e8efec99-2971-4f12-8df1-1c83bcc42f58,b3008b54-1623-424f-ac5c-9f922b15e9b9,tch_L1_20241118-122352_2,L1,l1pe,4,L
std_2v7s-hKwL_1731319343873_53,7Efe-Bw62,1c4e3682-de86-447d-9d64-a18e7b4f439b,6bcf7017-5902-4714-bfa9-0c3b343466e2,tch_L8_20241119-145753_8,L8,l8pe,4,L
