teacherextuserid,classtitle,classcode,category
tch_20230828-002313_18,class_20230828-002313_18,R4A8-Pb24,3B8PE
tch_20230828-002313_17,class_20230828-002313_17,8P97-hvZu,3B8PE
tch_20230828-002313_16,class_20230828-002313_16,9q29-2jeA,3B8PE
tch_20230828-002313_15,class_20230828-002313_15,ydMe-UYX3,3B8PE
tch_20230828-002313_14,class_20230828-002313_14,t2iP-TQmt,3B8PE
tch_20230828-002313_12,class_20230828-002313_12,23z2-PLU6,3B8PE
tch_20230828-002313_13,class_20230828-002313_13,2psr-KVYi,3B8PE
tch_20230828-002313_10,class_20230828-002313_10,y7pD-UzWD,3B8PE
tch_20230828-002313_9,class_20230828-002313_9,Tf4c-v64n,3B8PE
tch_20230828-002313_11,class_20230828-002313_11,2YsC-bUFv,3B8PE
tch_20230828-002313_7,class_20230828-002313_7,KRFn-fT2J,3B8PE
tch_20230828-002313_8,class_20230828-002313_8,693x-UG2B,3B8PE
tch_20230828-002313_5,class_20230828-002313_5,F3xG-9VnU,3B8PE
tch_20230828-002313_6,class_20230828-002313_6,wDR8-kPoP,3B8PE
tch_20230828-002313_4,class_20230828-002313_4,WV3G-ZcUt,3B8PE
tch_20230828-002313_2,class_20230828-002313_2,C8uJ-ADE6,3B8PE
tch_20230828-002313_3,class_20230828-002313_3,E3TR-9Af6,3B8PE
tch_20230828-002313_1,class_20230828-002313_1,FevB-9qx2,3B8PE
tch_20230825-184548_99,class_20230825-184548_99,yZYF-83qA,3B8PE
tch_20230825-184548_100,class_20230825-184548_100,wuRK-6UAg,3B8PE
tch_20230825-184548_98,class_20230825-184548_98,s29p-73zR,3B8PE
tch_20230825-184548_97,class_20230825-184548_97,Gq9z-6qzv,3B8PE
tch_20230825-184548_96,class_20230825-184548_96,k76x-jt64,3B8PE
tch_20230825-184548_95,class_20230825-184548_95,62MN-eZK6,3B8PE
tch_20230825-184548_94,class_20230825-184548_94,Ru3C-dwG3,3B8PE
tch_20230825-184548_93,class_20230825-184548_93,72A7-kZ93,3B8PE
tch_20230825-184548_92,class_20230825-184548_92,3o74-zMEc,3B8PE
tch_20230825-184548_91,class_20230825-184548_91,Yi6X-NMud,3B8PE
tch_20230825-184548_90,class_20230825-184548_90,FpRH-eM7y,3B8PE
tch_20230825-184548_89,class_20230825-184548_89,9ZhN-RKxH,3B8PE
tch_20230825-184548_88,class_20230825-184548_88,Yw2k-LwbZ,3B8PE
tch_20230825-184548_87,class_20230825-184548_87,ThKD-XfQB,3B8PE
tch_20230825-184548_86,class_20230825-184548_86,eXNK-3fa8,3B8PE
tch_20230825-184548_85,class_20230825-184548_85,nPac-28Pj,3B8PE
tch_20230825-184548_84,class_20230825-184548_84,7Wc8-qro2,3B8PE
tch_20230825-184548_82,class_20230825-184548_82,LHTq-koHk,3B8PE
tch_20230825-184548_83,class_20230825-184548_83,9Uwf-L4ho,3B8PE
tch_20230825-184548_81,class_20230825-184548_81,d82r-ke6z,3B8PE
tch_20230825-184548_80,class_20230825-184548_80,CABq-9DHN,3B8PE
tch_20230825-184548_78,class_20230825-184548_78,A68a-Q4C6,3B8PE
tch_20230825-184548_79,class_20230825-184548_79,824L-vD23,3B8PE
tch_20230825-184548_77,class_20230825-184548_77,q327-eEPj,3B8PE
tch_20230825-184548_76,class_20230825-184548_76,9J4g-Qtr3,3B8PE
tch_20230825-184548_74,class_20230825-184548_74,Ugp2-Xy4F,3B8PE
tch_20230825-184548_75,class_20230825-184548_75,WKvY-H3Hx,3B8PE
tch_20230825-184548_73,class_20230825-184548_73,Jmtc-6wB6,3B8PE
tch_20230825-184548_72,class_20230825-184548_72,9YGm-fpYP,3B8PE
tch_20230825-184548_71,class_20230825-184548_71,69s3-2823,3B8PE
tch_20230825-184548_70,class_20230825-184548_70,7zYu-neP2,3B8PE
tch_20230825-184548_69,class_20230825-184548_69,9sFD-AGoK,3B8PE
tch_20230825-184548_68,class_20230825-184548_68,wjJ9-M7t2,3B8PE
tch_20230825-184548_67,class_20230825-184548_67,6jdU-bN4P,3B8PE
tch_20230825-184548_66,class_20230825-184548_66,Rmdo-F838,3B8PE
tch_20230825-184548_65,class_20230825-184548_65,QY2R-LJN9,3B8PE
tch_20230825-184548_63,class_20230825-184548_63,kM2r-9kLK,3B8PE
tch_20230825-184548_64,class_20230825-184548_64,4rL9-WsN2,3B8PE
tch_20230825-184548_62,class_20230825-184548_62,yfmH-LHpZ,3B8PE
tch_20230825-184548_61,class_20230825-184548_61,HTB9-vo4C,3B8PE
tch_20230825-184548_60,class_20230825-184548_60,D86A-qG79,3B8PE
tch_20230825-184548_58,class_20230825-184548_58,g498-DXrq,3B8PE
tch_20230825-184548_59,class_20230825-184548_59,4aEj-GAhk,3B8PE
tch_20230825-184548_57,class_20230825-184548_57,X6A6-V934,3B8PE
tch_20230825-184548_56,class_20230825-184548_56,3v69-6Y7u,3B8PE
tch_20230825-184548_55,class_20230825-184548_55,CUrb-n64H,3B8PE
tch_20230825-184548_54,class_20230825-184548_54,XDRj-4siA,3B8PE
tch_20230825-184548_53,class_20230825-184548_53,ufh8-7wYp,3B8PE
tch_20230825-184548_52,class_20230825-184548_52,Lp4o-697s,3B8PE
tch_20230825-184548_50,class_20230825-184548_50,4n7R-4r4W,3B8PE
tch_20230825-184548_51,class_20230825-184548_51,9TCu-H3Y8,3B8PE
tch_20230825-184548_48,class_20230825-184548_48,XnmN-8Te2,3B8PE
tch_20230825-184548_49,class_20230825-184548_49,nYwJ-7J4H,3B8PE
tch_20230825-184548_47,class_20230825-184548_47,62nz-6Bu7,3B8PE
tch_20230825-184548_46,class_20230825-184548_46,zUDL-UDvE,3B8PE
tch_20230825-184548_44,class_20230825-184548_44,TYnL-94z2,3B8PE
tch_20230825-184548_45,class_20230825-184548_45,wz2T-tJpq,3B8PE
tch_20230825-184548_43,class_20230825-184548_43,2TjF-sd6v,3B8PE
tch_20230825-184548_42,class_20230825-184548_42,Tcwn-Ttz8,3B8PE
tch_20230825-184548_41,class_20230825-184548_41,cUP7-pnv2,3B8PE
tch_20230825-184548_40,class_20230825-184548_40,7Z7o-fC6i,3B8PE
tch_20230825-184548_39,class_20230825-184548_39,nYxY-96a4,3B8PE
tch_20230825-184548_38,class_20230825-184548_38,6Ln7-878E,3B8PE
tch_20230825-184548_37,class_20230825-184548_37,Cq7h-tKH3,3B8PE
tch_20230825-184548_36,class_20230825-184548_36,69rP-R47c,3B8PE
tch_20230825-184548_35,class_20230825-184548_35,YtZb-6fhc,3B8PE
tch_20230825-184548_34,class_20230825-184548_34,hJUN-gECe,3B8PE
tch_20230825-184548_33,class_20230825-184548_33,Aeg6-fm4w,3B8PE
tch_20230825-184548_31,class_20230825-184548_31,7Jcy-3b8g,3B8PE
tch_20230825-184548_32,class_20230825-184548_32,69E9-vJ3Q,3B8PE
tch_20230825-184548_30,class_20230825-184548_30,JEY3-xakx,3B8PE
tch_20230825-184548_29,class_20230825-184548_29,4mka-AhxM,3B8PE
tch_20230825-184548_28,class_20230825-184548_28,t46X-iW8h,3B8PE
tch_20230825-184548_26,class_20230825-184548_26,iBR2-XkZe,3B8PE
tch_20230825-184548_27,class_20230825-184548_27,Lh3o-NU4X,3B8PE
tch_20230825-184548_24,class_20230825-184548_24,39hi-9n7m,3B8PE
tch_20230825-184548_25,class_20230825-184548_25,2FhH-NTxM,3B8PE
tch_20230825-184548_23,class_20230825-184548_23,B8qX-preT,3B8PE
tch_20230825-184548_22,class_20230825-184548_22,9oZo-VwRM,3B8PE
tch_20230825-184548_21,class_20230825-184548_21,64zk-U9Mn,3B8PE
tch_20230825-184548_20,class_20230825-184548_20,43Tp-WJZ7,3B8PE
tch_20230825-184548_19,class_20230825-184548_19,98aj-vH4W,3B8PE
tch_20230825-184548_18,class_20230825-184548_18,H98i-qdo7,3B8PE
tch_20230825-184548_17,class_20230825-184548_17,jQ3i-f97j,3B8PE
tch_20230825-184548_16,class_20230825-184548_16,Bz4d-7b9g,3B8PE
tch_20230825-184548_15,class_20230825-184548_15,vz2q-wqJk,3B8PE
tch_20230825-184548_14,class_20230825-184548_14,qA8s-9Uj4,3B8PE
tch_20230825-184548_13,class_20230825-184548_13,Gq4a-oi4w,3B8PE
tch_20230825-184548_12,class_20230825-184548_12,cA2L-KTgP,3B8PE
tch_20230825-184548_11,class_20230825-184548_11,8Npa-ZdYK,3B8PE
tch_20230825-184548_10,class_20230825-184548_10,36ev-4kwK,3B8PE
tch_20230825-184548_9,class_20230825-184548_9,aW3N-T37U,3B8PE
tch_20230825-184548_7,class_20230825-184548_7,cC79-2ceX,3B8PE
tch_20230825-184548_6,class_20230825-184548_6,HUG2-LWFY,3B8PE
tch_20230825-184548_8,class_20230825-184548_8,7Hpn-xY49,3B8PE
tch_20230825-184548_5,class_20230825-184548_5,AM6F-me8M,3B8PE
tch_20230825-184548_4,class_20230825-184548_4,eQ87-poup,3B8PE
tch_20230825-184548_3,class_20230825-184548_3,RdeE-694y,3B8PE
tch_20230825-184548_1,class_20230825-184548_1,J48K-4PTr,3B8PE
tch_20230825-184548_2,class_20230825-184548_2,FsBb-jYyC,3B8PE
