teacherextuserid,classtitle,classcode,category,CP Association,New,Entitlement of existing students with new Pes
tch_20230825-165833_37,class_20230825-165833_37,Pxz3-ZKo2,3B8PE,Done,,Done
tch_20230825-165833_36,class_20230825-165833_36,DUrJ-LP76,3B8PE,Done,,Done
tch_20230825-165833_35,class_20230825-165833_35,4XE4-6R4c,3B8PE,Done,New 50 Students with All 12 Pes Bundles,Done
tch_20230825-165833_38,class_20230825-165833_38,W3vB-zpgZ,3B8PE,Done,New 50 Students with All 12 Pes Bundles,Done
tch_20230825-165833_39,class_20230825-165833_39,8oYU-WQ9K,3B8PE,Done,New 50 Students with All 12 Pes Bundles,Done
tch_20230825-165833_41,class_20230825-165833_41,Uf8M-2TfE,3B8PE,Done,New 50 Students with All 12 Pes Bundles,Done
tch_20230825-165833_40,class_20230825-165833_40,8B8W-Hc2d,3B8PE,Done,New 50 Students with All 12 Pes Bundles,Done
tch_20230825-165833_42,class_20230825-165833_42,4goy-LM3M,3B8PE,Done,New 45-50 Students with All 12 Pes Bundles,Done
tch_20230825-165833_44,class_20230825-165833_44,BAKa-hoys,3B8PE,Done,New 45-50 Students with All 12 Pes Bundles,Done
tch_20230825-165833_43,class_20230825-165833_43,NfHf-yk2W,3B8PE,Done,New 45-50 Students with All 12 Pes Bundles,Done
tch_20230825-165833_45,class_20230825-165833_45,93Kb-iyF3,3B8PE,Done,New 45-50 Students with All 12 Pes Bundles,Done
tch_20230825-165833_46,class_20230825-165833_46,aXH7-hqYg,3B8PE,Done,New 45-50 Students with All 12 Pes Bundles,Done
tch_20230825-165833_47,class_20230825-165833_47,YUMH-8BR6,3B8PE,Done,,Done
tch_20230825-165833_48,class_20230825-165833_48,8kU6-Wt32,3B8PE,Done,New 50 Students with All 12 Pes Bundles,Done
tch_20230825-165833_49,class_20230825-165833_49,8BzY-Tvjf,3B8PE,Done,New 50 Students with All 12 Pes Bundles,Done
tch_20230825-165833_50,class_20230825-165833_50,73w4-NY9R,3B8PE,Done,New 50 Students with All 12 Pes Bundles,Done
tch_20230825-165833_51,class_20230825-165833_51,2qKT-pN9n,3B8PE,Done,New 50 Students with All 12 Pes Bundles,Done
tch_20230825-165833_52,class_20230825-165833_52,9tkp-HZp6,3B8PE,Done,New 50 Students with All 12 Pes Bundles,Done
tch_20230825-165833_53,class_20230825-165833_53,43Td-uR8H,3B8PE,Done,New 50 Students with All 12 Pes Bundles,Done
tch_20230825-165833_54,class_20230825-165833_54,J2CB-Ymk3,3B8PE,Done,New 50 Students with All 12 Pes Bundles,Done
tch_20230825-165833_55,class_20230825-165833_55,goVE-uU7o,3B8PE,Done,New 50 Students with All 12 Pes Bundles,Done
tch_20230825-165833_58,class_20230825-165833_58,Bph4-9v4A,3B8PE,Done,New 50 Students with All 12 Pes Bundles,Done
tch_20230825-165833_56,class_20230825-165833_56,uzQx-9xJn,3B8PE,Done,New 50 Students with All 12 Pes Bundles,Done
tch_20230825-165833_57,class_20230825-165833_57,LoNY-ZLA2,3B8PE,,,Done
tch_20230825-165833_59,class_20230825-165833_59,wpix-G7Xw,3B8PE,,,Done
tch_20230825-165833_60,class_20230825-165833_60,Tsic-9fb3,3B8PE,,,Done
tch_20230825-165833_61,class_20230825-165833_61,dg7r-yp46,3B8PE,,,Done
tch_20230825-165833_62,class_20230825-165833_62,oU9X-9T43,3B8PE,,,Done
tch_20230825-165833_63,class_20230825-165833_63,9sm2-CDch,3B8PE,,,Done
tch_20230825-165833_64,class_20230825-165833_64,6a7w-VB42,3B8PE,,,Done
tch_20230825-165833_65,class_20230825-165833_65,wuR6-3j7W,3B8PE,,,Done
tch_20230825-165833_66,class_20230825-165833_66,TWZR-dypg,3B8PE,,,Done
tch_20230825-165833_68,class_20230825-165833_68,LTkt-dgtD,3B8PE,,,Done
tch_20230825-165833_67,class_20230825-165833_67,gQTU-phJQ,3B8PE,,,Done
tch_20230825-165833_69,class_20230825-165833_69,g8Zp-3m9W,3B8PE,,,Done
tch_20230825-165833_71,class_20230825-165833_71,mWy4-gkh2,3B8PE,,,Done
tch_20230825-165833_70,class_20230825-165833_70,Mr6i-2tpR,3B8PE,,,Done
tch_20230825-165833_72,class_20230825-165833_72,mG8n-tcJV,3B8PE,,,Done
tch_20230825-165833_73,class_20230825-165833_73,qa6d-8FtA,3B8PE,,,Done
tch_20230825-165833_74,class_20230825-165833_74,Fu6h-9Fde,3B8PE,,,Done
tch_20230825-165833_75,class_20230825-165833_75,ZE37-yw48,3B8PE,,,Done
tch_20230825-165833_76,class_20230825-165833_76,6s24-78p7,3B8PE,,,Done
tch_20230825-165833_77,class_20230825-165833_77,nEgv-nMRZ,3B8PE,,,Done
tch_20230825-165833_78,class_20230825-165833_78,qWn7-4wNp,3B8PE,,,Done
tch_20230825-165833_79,class_20230825-165833_79,vLs6-9moZ,3B8PE,,,Done
tch_20230825-165833_80,class_20230825-165833_80,94s3-fvX8,3B8PE,,,Done
tch_20230825-165833_81,class_20230825-165833_81,aU38-G8mz,3B8PE,,,Done
tch_20230825-165833_82,class_20230825-165833_82,96nr-379m,3B8PE,,,Done
tch_20230825-165833_83,class_20230825-165833_83,gi7p-4WCe,3B8PE,,,Done
tch_20230825-165833_84,class_20230825-165833_84,3tLo-a8p2,3B8PE,,,Done
tch_20230825-165833_86,class_20230825-165833_86,zR7X-8n79,3B8PE,,,Done
tch_20230825-165833_85,class_20230825-165833_85,4io3-mxV2,3B8PE,,,Done
tch_20230825-165833_87,class_20230825-165833_87,PoM7-DXYj,3B8PE,,,Done
tch_20230825-165833_88,class_20230825-165833_88,AuLj-crEh,3B8PE,,,Done
tch_20230825-165833_89,class_20230825-165833_89,98wF-dR2P,3B8PE,,,Done
tch_20230825-165833_90,class_20230825-165833_90,cu27-wJ7p,3B8PE,,,Done
tch_20230825-165833_91,class_20230825-165833_91,q2yL-k8pj,3B8PE,,,Done
tch_20230825-165833_93,class_20230825-165833_93,HvMo-9X6H,3B8PE,,,Done
tch_20230825-165833_92,class_20230825-165833_92,3Z24-7wuv,3B8PE,,,Done
tch_20230825-165833_94,class_20230825-165833_94,BLqv-PQwQ,3B8PE,,,Done
tch_20230825-165833_95,class_20230825-165833_95,i3iH-Xj69,3B8PE,,,Done
tch_20230825-165833_97,class_20230825-165833_97,6H4y-D7ti,3B8PE,,,Done
tch_20230825-165833_96,class_20230825-165833_96,wkRy-m9q6,3B8PE,,,Done
tch_20230825-165833_98,class_20230825-165833_98,3A63-9Xkv,3B8PE,,,Done
tch_20230825-165833_99,class_20230825-165833_99,2nN2-V93U,3B8PE,,,Done
tch_20230825-165833_100,class_20230825-165833_100,G3r3-MBGh,3B8PE,,,Done
tch_20230825-165833_101,class_20230825-165833_101,mZrE-38dv,3B8PE,,,Done
tch_20230825-165833_102,class_20230825-165833_102,umLg-WUDL,3B8PE,,,Done
tch_20230825-165833_103,class_20230825-165833_103,86uU-Ve7w,3B8PE,,,Done
tch_20230825-165833_104,class_20230825-165833_104,DvdM-8st8,3B8PE,,,Done
tch_20230825-165833_105,class_20230825-165833_105,vcxB-94Kf,3B8PE,,,Done
tch_20230825-165833_107,class_20230825-165833_107,iJNP-34d6,3B8PE,,,Done
tch_20230825-165833_106,class_20230825-165833_106,yBpZ-Nif3,3B8PE,,,Done
tch_20230825-165833_108,class_20230825-165833_108,M9Co-DBqY,3B8PE,,,Done
tch_20230825-165833_110,class_20230825-165833_110,Y9ox-3hF8,3B8PE,,,Done
tch_20230825-165833_109,class_20230825-165833_109,vnGT-kLqB,3B8PE,,,Done
tch_20230825-165833_111,class_20230825-165833_111,epEV-uj93,3B8PE,,,Done
tch_20230825-165833_112,class_20230825-165833_112,dxRC-486H,3B8PE,,,Done
tch_20230825-165833_113,class_20230825-165833_113,cmXv-cD6x,3B8PE,,,Done
tch_20230825-165833_114,class_20230825-165833_114,Jo7h-cfKN,3B8PE,,,Done
tch_20230825-165833_115,class_20230825-165833_115,w3D4-3sLK,3B8PE,,,Done
tch_20230825-165833_116,class_20230825-165833_116,T6Cy-9zju,3B8PE,,,Done
tch_20230825-165833_117,class_20230825-165833_117,q4u4-XjFu,3B8PE,,,Done
tch_20230825-165833_118,class_20230825-165833_118,MF72-82d2,3B8PE,,,Done
tch_20230825-165833_119,class_20230825-165833_119,YA2v-9NX7,3B8PE,,,Done
tch_20230825-165833_120,class_20230825-165833_120,YNkY-fHT9,3B8PE,,,Done
tch_20230825-165833_121,class_20230825-165833_121,62pY-hW6i,3B8PE,,,Done
tch_20230825-165833_122,class_20230825-165833_122,Cw96-3MUT,3B8PE,,,Done
tch_20230825-165833_123,class_20230825-165833_123,g6eP-3pE8,3B8PE,,,Done
