extuserid,groupid,tchextuserid
std_1699863018410_68,c3b6ea93-7587-45ce-8b46-1e6ac1d464bc,tch_20231113-132202_68
std_1699862801813_73,604afa69-4ab2-46e2-87c1-8cfa40f6bcd6,tch_20231113-132202_73
std_1699863015399_66,a8850a1b-58b7-432b-8049-1dab98567c74,tch_20231113-132202_66
std_1699863126813_65,4fe3d658-54e1-4486-8716-5cfae2977c42,tch_20231113-132202_65
std_1699862801475_72,a3f1f00a-11a7-4a6f-bf71-82b41ed90885,tch_20231113-132202_72
std_1699863024081_69,fd893052-c16b-4660-b199-055f4abb9c5b,tch_20231113-132202_69
std_1699862927477_71,6f885ecd-c5e8-43f0-be6d-307f3c13108a,tch_20231113-132202_71
std_1699862924204_70,031cb826-6bf8-499d-9a15-632e3c249aa8,tch_20231113-132202_70
std_1699863149036_67,17910ce4-d2c1-45eb-acde-a80226daba3c,tch_20231113-132202_67
std_1699863147881_68,41c8499d-c9ee-4825-ae0f-deceba1904b6,tch_20231113-132202_68
std_1699862825928_74,dff0ffdf-895e-4c14-bd9c-eb1e7c78ace1,tch_20231113-132202_74
std_1699863151351_66,b3ead84a-dc12-44f2-9d7b-e8e5ed6741cf,tch_20231113-132202_66
std_1699862939350_73,57c2c962-87e8-4fb9-a90e-8187e780107d,tch_20231113-132202_73
std_1699862831656_75,405a11fb-5f9c-4979-ac75-23db70ed9740,tch_20231113-132202_75
std_1699862842898_76,fb377fd2-b04b-48e8-abf7-fac540d8f458,tch_20231113-132202_76
std_1699862933138_72,b6938950-9335-411d-b703-5a229e881eca,tch_20231113-132202_72
std_1699863162326_69,77167a20-8834-4b89-bd59-298896f6862b,tch_20231113-132202_69
std_1699863059228_71,ad5ef764-224c-4963-8954-538f338c5387,tch_20231113-132202_71
std_1699863059276_70,188ff009-7c1c-4757-acb3-f23ac680b58f,tch_20231113-132202_70
std_1699862851532_78,b0c7cbc4-c714-469e-b52f-229938cfb587,tch_20231113-132202_78
std_1699862959403_74,32477483-8103-4e43-a672-21b1c963ea7b,tch_20231113-132202_74
std_1699863072883_73,45ed1d74-77f5-4443-a546-0404e7b9614d,tch_20231113-132202_73
std_1699862966127_75,ad845939-6467-4ce3-bb9c-44fac9c7935a,tch_20231113-132202_75
std_1699862972704_76,189b58d3-f70e-48cc-a7d8-053d7cfd7e01,tch_20231113-132202_76
std_1699862851722_77,864aae74-b274-4dbf-8056-e546f694ea4c,tch_20231113-132202_77
std_1699863067662_72,62378995-d488-41e7-bbf9-3d7fdaf63220,tch_20231113-132202_72
std_1699862878792_80,ce750d2f-add4-4881-93f6-12dbbf2e6b6a,tch_20231113-132202_80
std_1699863193151_71,519dabbe-9800-4417-bda0-cebbc532b6ca,tch_20231113-132202_71
std_1699863196581_70,692b5b4e-bfe2-46dc-ac52-1709744c8f60,tch_20231113-132202_70
std_1699862887950_82,b5ce7f9a-6052-40ab-98c0-c4fd1208cb22,tch_20231113-132202_82
std_1699862993264_78,5bbb239d-df33-4bee-84e3-5c3e8eda0e38,tch_20231113-132202_78
std_1699863102651_75,7a4ac399-ac5d-427c-9ccb-a03b0e922c7b,tch_20231113-132202_75
std_1699862988069_77,f255b75b-fc57-4dd0-ad35-3b9fc4ac4080,tch_20231113-132202_77
std_1699863108363_76,ea22faa6-681e-47c3-a29c-cd1427c61875,tch_20231113-132202_76
std_1699862889483_81,8b0cfdec-9967-45a6-b3b0-422d65ffb975,tch_20231113-132202_81
std_1699863210395_72,d781a260-d7f5-4201-981e-1f1c6c623b20,tch_20231113-132202_72
std_1699863009562_80,0891c5d8-07ea-4cf0-94b6-77ac12840ea6,tch_20231113-132202_80
std_1699862884209_79,7391b749-0036-4eba-8a57-a8017198200c,tch_20231113-132202_79
std_1699862907692_83,f7d1a7ac-ba3f-4ae1-af2f-e055961c3c39,tch_20231113-132202_83
std_1699863014591_82,cb1688db-fb7e-408d-9ad6-8a0e0e8bfa37,tch_20231113-132202_82
std_1699863233306_75,f9195db9-2cbe-43af-8faf-99391f5bf6a2,tch_20231113-132202_75
std_1699863126614_78,fc7bc99c-aa75-43bd-b13a-a250f85396c6,tch_20231113-132202_78
std_1699862932264_84,b98bb530-d120-4adf-9dda-65cb96224695,tch_20231113-132202_84
std_1699863122161_77,7a5421cd-d50a-4e0a-932b-100b486dbd9b,tch_20231113-132202_77
std_1699863229596_76,3a3af368-4a27-41e1-b02f-1970a9736f77,tch_20231113-132202_76
std_1699863227339_74,ec122e4c-ef3a-47d7-9744-0a4819066fb8,tch_20231113-132202_74
std_1699863022824_81,4a5a596a-ad09-48b9-ba9d-31702d9458a6,tch_20231113-132202_81
std_1699863019571_79,29cd6380-0bdd-42b8-a205-86dcdfcabb9d,tch_20231113-132202_79
std_1699863138395_80,f5973e7b-c90b-4bc2-a938-a863902f8fc9,tch_20231113-132202_80
std_1699863145092_82,86db7390-480a-4090-af50-9a95938e0cf7,tch_20231113-132202_82
std_1699863042283_83,ebd1a5fe-c8d7-4247-a89d-5e08df6647f0,tch_20231113-132202_83
std_1699862937552_86,1c5b1258-ddd4-41be-962e-eded1b33e258,tch_20231113-132202_86
std_1699863257981_78,fa8f1b31-6447-44a1-a168-25fb5eac0930,tch_20231113-132202_78
std_1699863064122_84,d34c4ba9-fe43-4095-bc8b-dfd29d02ba4c,tch_20231113-132202_84
std_1699863258570_77,e2c05192-fdca-49fe-9ead-1df92d04664b,tch_20231113-132202_77
std_1699862935978_85,e7ed1013-c12f-4352-be26-ce7d5f848f5c,tch_20231113-132202_85
std_1699863151051_81,88dea1ef-23fe-416e-be1d-b23ebbf22df7,tch_20231113-132202_81
std_1699863163383_79,ce3c9f83-0d80-4db8-a984-c6f0fded4a00,tch_20231113-132202_79
std_1699863272960_80,a25195b3-b4b6-4665-9452-87d0f0ffda6c,tch_20231113-132202_80
std_1699863165274_83,c58675ca-1fa5-4df5-85dd-bdccadfb717f,tch_20231113-132202_83
std_1699863277606_82,c35b796d-9dbf-486c-89a0-f8179fb030f6,tch_20231113-132202_82
std_1699862952783_87,19cd4128-e9d8-4218-9aeb-d58481436784,tch_20231113-132202_87
std_1699863067329_86,ec72b22e-670f-4735-b1ce-8f8692fab25e,tch_20231113-132202_86
std_1699863186448_84,905921ed-4a2f-4aff-8cb3-80032bb574a0,tch_20231113-132202_84
std_1699863288517_81,e072ed13-6dfb-42de-9019-4eb42d7e0823,tch_20231113-132202_81
std_1699863073232_85,90518e0a-7969-41e5-859e-0e44af046a9d,tch_20231113-132202_85
std_1699862954205_88,c3d7e18c-a075-42df-a1b3-9b48b0ffba9b,tch_20231113-132202_88
std_1699862979459_89,2822915e-e00e-4c78-8e41-7fbcffc84e51,tch_20231113-132202_89
std_1699863299415_79,0d0997b8-150b-486e-a982-3fb615d25d49,tch_20231113-132202_79
std_1699863301319_83,f0e249db-495d-4066-9575-a6b5c4e0dc92,tch_20231113-132202_83
std_1699863090744_87,5957c44a-8bf1-4e35-b164-b71a18bdf14f,tch_20231113-132202_87
std_1699863312928_84,e6a11b53-5588-4b78-ab08-cb2f075fc84c,tch_20231113-132202_84
std_1699863197230_86,7e0dc880-162d-4ba8-9865-cecf89597a2d,tch_20231113-132202_86
std_1699862992123_91,2b64da53-de98-42f1-b825-78a0228c492e,tch_20231113-132202_91
std_1699862984894_90,4d04c5e8-eb95-4086-9db5-631ddf678776,tch_20231113-132202_90
std_1699863195757_85,0d3ef004-9ca3-4fb2-a133-402e49513526,tch_20231113-132202_85
std_1699863096263_88,3baa9560-9b97-4417-a2e8-fe12c81f104e,tch_20231113-132202_88
std_1699863103549_89,c2b03646-2f09-4111-b072-5e2391530f6c,tch_20231113-132202_89
std_1699862997528_92,97a59411-3396-4062-b0a2-c97f1aa26fc6,tch_20231113-132202_92
std_1699863334457_86,26c6c1ea-36b7-46f6-b845-fe0e97020c87,tch_20231113-132202_86
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
