teacherextuserid,classtitle,classcode,category
tch_20230823-172858_46,class_20230823-172858_46,VGTG-2rFC,3B8PE
tch_20230823-172858_49,class_20230823-172858_49,8Vep-dX8Q,3B8PE
tch_20230823-172858_48,class_20230823-172858_48,2Azb-YJ29,3B8PE
tch_20230823-172858_52,class_20230823-172858_52,3932-g4o3,3B8PE
tch_20230823-172858_51,class_20230823-172858_51,h6YH-RPVp,3B8PE
tch_20230823-172858_50,class_20230823-172858_50,nVMp-iomb,3B8PE
tch_20230823-172858_54,class_20230823-172858_54,E9xp-7BUV,3B8PE
tch_20230823-172858_53,class_20230823-172858_53,g9uE-Lz6V,3B8PE
tch_20230823-172858_57,class_20230823-172858_57,MVeG-8tR7,3B8PE
tch_20230823-172858_56,class_20230823-172858_56,r9py-PH7t,3B8PE
tch_20230823-172858_58,class_20230823-172858_58,e6jn-z8BE,3B8PE
tch_20230823-172858_55,class_20230823-172858_55,JEnv-9E6q,3B8PE
tch_20230823-172858_60,class_20230823-172858_60,n838-vsif,3B8PE
tch_20230823-172858_61,class_20230823-172858_61,u9p4-t72L,3B8PE
tch_20230823-172858_62,class_20230823-172858_62,hZKH-8uK3,3B8PE
tch_20230823-172858_65,class_20230823-172858_65,9rBC-TF8h,3B8PE
tch_20230823-172858_66,class_20230823-172858_66,9pjm-i7E9,3B8PE
tch_20230823-172858_63,class_20230823-172858_63,j323-o9c6,3B8PE
tch_20230823-172858_59,class_20230823-172858_59,M9nh-qcBX,3B8PE
tch_20230823-172858_64,class_20230823-172858_64,f7g9-dn79,3B8PE
tch_20230823-172858_67,class_20230823-172858_67,8nX9-UN4C,3B8PE
tch_20230823-172858_68,class_20230823-172858_68,LMf4-jVHT,3B8PE
tch_20230823-172858_69,class_20230823-172858_69,A9o6-kfYc,3B8PE
tch_20230823-172858_71,class_20230823-172858_71,tpDs-UEtL,3B8PE
tch_20230823-172858_74,class_20230823-172858_74,N7yn-mqap,3B8PE
tch_20230823-172858_70,class_20230823-172858_70,x67j-oDYw,3B8PE
tch_20230823-172858_73,class_20230823-172858_73,4Z3M-mqdG,3B8PE
tch_20230823-172858_72,class_20230823-172858_72,KYkQ-GW6r,3B8PE
tch_20230823-172858_75,class_20230823-172858_75,hCgF-VB9v,3B8PE
tch_20230823-172858_79,class_20230823-172858_79,Wb8e-8iB4,3B8PE
tch_20230823-172858_78,class_20230823-172858_78,hYTt-9UtK,3B8PE
tch_20230823-172858_77,class_20230823-172858_77,da8D-EvBP,3B8PE
tch_20230823-172858_76,class_20230823-172858_76,ZqZb-Lvnp,3B8PE
tch_20230823-172858_81,class_20230823-172858_81,EBxm-Kpt2,3B8PE
tch_20230823-172858_83,class_20230823-172858_83,ZGXC-f42k,3B8PE
tch_20230823-172858_80,class_20230823-172858_80,jQ83-CWw4,3B8PE
tch_20230823-172858_82,class_20230823-172858_82,Db6f-bt4k,3B8PE
tch_20230823-172858_87,class_20230823-172858_87,E2mz-JTi9,3B8PE
tch_20230823-172858_85,class_20230823-172858_85,h2T6-J23m,3B8PE
tch_20230823-172858_86,class_20230823-172858_86,7ijZ-9HpJ,3B8PE
tch_20230823-172858_84,class_20230823-172858_84,u3q2-kUng,3B8PE
tch_20230823-172858_89,class_20230823-172858_89,jEQi-3oYv,3B8PE
tch_20230823-172858_88,class_20230823-172858_88,aUNP-e3Kj,3B8PE
tch_20230823-172858_91,class_20230823-172858_91,Hs32-9Tk6,3B8PE
tch_20230823-172858_92,class_20230823-172858_92,u4F9-wGes,3B8PE
tch_20230823-172858_90,class_20230823-172858_90,i4BT-P89Z,3B8PE
tch_20230823-172858_93,class_20230823-172858_93,7Hp6-8Xr8,3B8PE
tch_20230823-172858_97,class_20230823-172858_97,yepa-N89h,3B8PE
tch_20230823-172858_98,class_20230823-172858_98,wUg9-hJHW,3B8PE
tch_20230823-172858_95,class_20230823-172858_95,Qonh-Fh4w,3B8PE
tch_20230823-172858_94,class_20230823-172858_94,tmsJ-7YH9,3B8PE
tch_20230823-172858_96,class_20230823-172858_96,26Qg-kv4g,3B8PE
tch_20230823-172858_100,class_20230823-172858_100,rWpe-C34h,3B8PE
tch_20230823-172858_99,class_20230823-172858_99,VCFK-6ebf,3B8PE
