teacherextuserid,classtitle,classcode,category
tch_20230823-153711_68,class_20230823-153711_68,8snP-RWpg,3B8PE
tch_20230823-153711_70,class_20230823-153711_70,692o-6Tdr,3B8PE
tch_20230823-153711_74,class_20230823-153711_74,Wna4-duf7,3B8PE
tch_20230823-153711_76,class_20230823-153711_76,aQe7-z7wW,3B8PE
tch_20230823-153711_75,class_20230823-153711_75,C927-RTNc,3B8PE
tch_20230823-153711_73,class_20230823-153711_73,wZNC-749m,3B8PE
tch_20230823-153711_71,class_20230823-153711_71,6M7i-g8v6,3B8PE
tch_20230823-153711_82,class_20230823-153711_82,URwL-ACFr,3B8PE
tch_20230823-153711_80,class_20230823-153711_80,rK9v-R8D7,3B8PE
tch_20230823-153711_77,class_20230823-153711_77,kKj2-MD62,3B8PE
tch_20230823-153711_81,class_20230823-153711_81,oCVa-3e79,3B8PE
tch_20230823-153711_78,class_20230823-153711_78,9w47-Lfvs,3B8PE
tch_20230823-153711_86,class_20230823-153711_86,6n2Z-47Td,3B8PE
tch_20230823-153711_85,class_20230823-153711_85,nVz6-ZWQm,3B8PE
tch_20230823-153711_79,class_20230823-153711_79,YzFj-37fy,3B8PE
tch_20230823-153711_83,class_20230823-153711_83,p8Hp-Hh8A,3B8PE
tch_20230823-153711_84,class_20230823-153711_84,427g-aMyE,3B8PE
tch_20230823-153711_88,class_20230823-153711_88,2uMu-w3MX,3B8PE
tch_20230823-153711_87,class_20230823-153711_87,rP8V-zwQ8,3B8PE
tch_20230823-153711_89,class_20230823-153711_89,4pqg-tspQ,3B8PE
tch_20230823-153711_90,class_20230823-153711_90,tQoZ-3Msn,3B8PE
tch_20230823-153711_95,class_20230823-153711_95,LZh7-eYu4,3B8PE
tch_20230823-153711_93,class_20230823-153711_93,tKn9-TWN7,3B8PE
tch_20230823-153711_92,class_20230823-153711_92,V3jm-dbT4,3B8PE
tch_20230823-153711_97,class_20230823-153711_97,gJ6s-YxWB,3B8PE
tch_20230823-153711_94,class_20230823-153711_94,NFK3-k4Dj,3B8PE
tch_20230823-153711_91,class_20230823-153711_91,7Z9V-e42G,3B8PE
tch_20230823-153711_96,class_20230823-153711_96,YGZi-GQeW,3B8PE
tch_20230823-153711_100,class_20230823-153711_100,2zp6-s828,3B8PE
tch_20230823-153711_98,class_20230823-153711_98,arut-9v2D,3B8PE
tch_20230823-153711_99,class_20230823-153711_99,38VW-TQiJ,3B8PE
