teacherextuserid,classtitle,classcode,category
tch_20230825-225843_57,class_20230825-225843_57,Huor-843d,3B8PE
tch_20230826-073102_73,class_20230826-073102_73,xpV8-KhjE,3B8PE
tch_20230825-225843_73,class_20230825-225843_73,ZBKk-68DM,3B8PE
tch_20230826-073102_84,class_20230826-073102_84,fvaM-uh8d,3B8PE
tch_20230825-225843_70,class_20230825-225843_70,KGyc-7gW4,3B8PE
tch_20230826-073102_68,class_20230826-073102_68,VnAQ-PJPe,3B8PE
tch_20230826-073102_71,class_20230826-073102_71,9b3q-4dE9,3B8PE
tch_20230826-073102_175,class_20230826-073102_175,YGQL-QgQ7,3B8PE
tch_20230826-073102_151,class_20230826-073102_151,X9AD-zJP7,3B8PE
tch_20230826-073102_145,class_20230826-073102_145,29bc-TUEq,3B8PE
tch_20230826-073102_95,class_20230826-073102_95,P3Yk-s3s2,3B8PE
tch_20230826-073102_188,class_20230826-073102_188,hbGm-bUh8,3B8PE
tch_20230826-073102_180,class_20230826-073102_180,wox7-RF4X,3B8PE
tch_20230825-225843_99,class_20230825-225843_99,zJ3u-DTAw,3B8PE
tch_20230826-073102_57,class_20230826-073102_57,gsKq-kfgd,3B8PE
tch_20230825-225843_82,class_20230825-225843_82,hNz9-4CBF,3B8PE
