extuserid,studentuserid1,studentext,classcode
tch_20230818-233633_27,cd6a2a09-0ef2-49c0-ad55-165b48ed5ed2,std_1692433432295_27,fEKq-LR9f
tch_20230818-233633_26,30343f43-ff51-419d-8dd0-a60af9416eba,std_1692433433137_26,jkiM-FNx3
tch_20230818-233633_46,981e1bfc-b57b-46c0-845a-71b631b8f027,std_1692433431646_46,g78X-N9a8
tch_20230818-233633_34,9f0e6ba9-c9ee-472a-8eb8-cbde06edaa11,std_1692433436251_34,sHB9-F6HY
tch_20230818-233633_40,3ef5c893-9fff-49d1-8971-836b91476cf5,std_1692433438417_40,AR4F-s4Ei
tch_20230818-233633_47,84f35f29-80f2-4ff8-94f2-9fd78742c070,std_1692433435646_47,LwMd-PHcL
tch_20230818-233633_35,36f881c2-0ed6-4372-861e-a9c62b4fc658,std_1692433439550_35,Ttbk-wrvP
tch_20230818-233633_41,200d6480-f35f-452e-96db-40602bb2da53,std_1692433441920_41,93c7-j82g
tch_20230818-233633_36,4c8679c8-b2b4-473a-a918-d8ad113a3c7d,std_1692433442481_36,Q43h-9TCU
tch_20230818-233633_28,5cdea7cf-c3fc-4eeb-beb0-a3222a100a10,std_1692433438196_28,pFcW-yugv
tch_20230818-233633_48,02ce2a7e-eddf-4958-8ce9-fbfaa6e617ff,std_1692433439647_48,Z3Mx-c8BF
tch_20230818-233633_43,53251a7e-c792-45ef-8391-ded945a08740,std_1692433442012_43,QbU9-qh4d
tch_20230818-233633_42,bf18187e-d282-43bf-8195-db5d6c3d314f,std_1692433441984_42,Bzcm-teP7
tch_20230818-233633_49,72a38269-dea8-4dc1-940e-9d50909372ef,std_1692433443640_49,GBMC-X9W9
tch_20230818-233633_30,aa1b6a3d-6ad6-48c6-bfe3-c4d6c7f1d14f,std_1692433446279_30,7ys9-Y8DE
tch_20230818-233633_50,94857b51-fd71-4285-b76e-f1ff3f990557,std_1692433447662_50,LQiU-R3wK
tch_20230818-233633_51,9458ddd7-3ae5-46d3-8b79-e02c6024e589,std_1692433451652_51,6Ex7-qo42
tch_20230818-233633_38,e251aa2b-dd7c-4f24-9224-1b5bbdaf2d75,std_1692433450766_38,JNnL-kM4E
tch_20230818-233633_29,4ce5d23a-b9ac-492b-b6df-ddc813086696,std_1692433448985_29,vfmW-3fG3
tch_20230818-233633_45,067ee797-6206-472e-9d2c-0caa63d013a1,std_1692433451520_45,p76s-FNLu
tch_20230818-233633_33,873e7d84-7763-4808-857c-78cea4787cb0,std_1692433452260_33,y4v3-akyN
tch_20230818-233633_39,321b6921-0e3e-422d-89ba-2254bcc17349,std_1692433454330_39,eXaB-bLsW
tch_20230818-233633_44,5f86ca3e-4690-46ea-a941-71086d831414,std_1692433451917_44,bkpq-R3HA
tch_20230818-233633_32,e200a5de-d2ff-43d0-bb02-9bd81a844d45,std_1692433456760_32,4iFB-4HCL
tch_20230818-233633_37,f688ed97-468a-4cf6-8f9b-0719dfd1a2b4,std_1692433454962_37,3z2h-X7UN
tch_20230818-233633_31,104d46d1-7947-41ca-b3d0-a3036b74cc0e,std_1692433454000_31,t7fH-74xi
tch_20230818-233633_52,75db1ce1-84b5-4418-bc22-13f082fe60b7,std_1692433455663_52,DFYb-DJeV
tch_20230818-233633_53,8c21be8b-20b4-4b63-8781-be9cad9a60f5,std_1692433459655_53,W4Ni-3teN
tch_20230818-233633_40,4bfa6f02-ba17-418b-a615-4060642b77d4,std_1692433464957_40,AR4F-s4Ei
tch_20230818-233633_54,0599dc40-c8df-4cc6-83db-c73bc34eb3d5,std_1692433463664_54,v278-FreW
tch_20230818-233633_46,54d04a36-b031-4fe3-9550-99663054548e,std_1692433461512_46,g78X-N9a8
tch_20230818-233633_41,573cf6e3-fed2-4523-a0b8-b8ea45a04b5e,std_1692433468012_41,93c7-j82g
tch_20230818-233633_34,1c1ddd37-0ed6-4e86-afd9-5780af493cef,std_1692433463998_34,sHB9-F6HY
tch_20230818-233633_36,acc204ad-d3e7-41fb-9784-0e5a5c222a7e,std_1692433468288_36,Q43h-9TCU
tch_20230818-233633_35,343537bf-464a-418c-a558-9992ccf15b45,std_1692433468004_35,Ttbk-wrvP
tch_20230818-233633_43,04b67838-b5cb-41f4-9eea-fd659ee2d15e,std_1692433469554_43,QbU9-qh4d
tch_20230818-233633_42,4e9c2bdd-dcaa-4502-a7a4-8057dc6b5959,std_1692433471219_42,Bzcm-teP7
tch_20230818-233633_47,c52777cf-b8a6-4cd0-a80b-87bd8cd63ab6,std_1692433466248_47,LwMd-PHcL
tch_20230818-233633_55,b90690a0-254d-4309-a24e-3dd00f561d41,std_1692433467681_55,79sX-4rYi
tch_20230818-233633_50,a80660a5-8776-498e-8d1d-4610e3cace8c,std_1692433473488_50,LQiU-R3wK
tch_20230818-233633_49,42c2d10b-843b-4f8b-85e9-d977d4603f8d,std_1692433472512_49,GBMC-X9W9
tch_20230818-233633_48,03b63b82-7491-43b7-83c2-31a9eb98eeb7,std_1692433469442_48,Z3Mx-c8BF
tch_20230818-233633_56,40e7359e-6ca0-4e07-bcc8-d2c3ac141d9c,std_1692433471672_56,ra8a-MYrj
tch_20230818-233633_45,44fb217d-dd76-4944-83d4-a9a37e13d793,std_1692433476537_45,p76s-FNLu
tch_20230818-233633_57,d47a7a89-5af4-47a0-a884-a760edab7147,std_1692433475686_57,mEbq-9Bgp
tch_20230818-233633_38,60855f1c-09c6-4a9e-ae6a-952679ec0fd0,std_1692433476130_38,JNnL-kM4E
tch_20230818-233633_51,d9137abb-3d6e-4922-b299-69881f3b06b8,std_1692433475483_51,6Ex7-qo42
tch_20230818-233633_39,f17793e6-1097-474c-aca5-8709e76e8f02,std_1692433480969_39,eXaB-bLsW
tch_20230818-233633_58,5cd42b06-f8c4-4343-a87d-5c68678e4e62,std_1692433479688_58,m8rG-d4i6
tch_20230818-233633_59,b1d6f89f-7dc2-41f4-ac91-a1157741dece,std_1692433483689_59,k84n-u9FJ
tch_20230818-233633_37,024f1f68-f4bc-447c-b02e-5cc20e1c7508,std_1692433482742_37,3z2h-X7UN
tch_20230818-233633_44,f932c3dd-06a1-4002-8884-70fcecd24a12,std_1692433480972_44,bkpq-R3HA
tch_20230818-233633_52,b48439e8-cbcf-45b4-b5a9-d89ea0bf2bb1,std_1692433485868_52,DFYb-DJeV
tch_20230818-233633_60,c5f5713a-1538-4b35-9962-72dc90a027de,std_1692433487697_60,2q7s-ig6h
tch_20230818-233633_53,ac754405-9da4-432e-8a94-52ec428ab25e,std_1692433488223_53,W4Ni-3teN
tch_20230818-233633_40,123313d0-ec12-4d23-9e89-ac954f7f6ffe,std_1692433490251_40,AR4F-s4Ei
tch_20230818-233633_62,235e66bc-6ddc-4569-916d-899417505518,std_1692433495710_62,97uH-aYhQ
tch_20230818-233633_61,5768a4ec-3886-4075-83ac-b837e5434b81,std_1692433491687_61,3RLj-DhL7
tch_20230818-233633_41,11397878-0d48-449a-a3d3-041440288095,std_1692433493468_41,93c7-j82g
tch_20230818-233633_54,cc47136c-bd4c-4892-8d7c-9961c6ed0854,std_1692433490974_54,v278-FreW
tch_20230818-233633_43,f64e4199-8a83-451d-8790-9eb924f5c6db,std_1692433496528_43,QbU9-qh4d
tch_20230818-233633_46,a14a97f5-5272-4540-b393-4e2c3c00c303,std_1692433491690_46,g78X-N9a8
tch_20230818-233633_55,10a7fbfa-f7cc-4bff-9026-e2d947361ea2,std_1692433498006_55,79sX-4rYi
tch_20230818-233633_48,0bd05ee4-af10-4e7f-bb2a-77efc60faf99,std_1692433500120_48,Z3Mx-c8BF
tch_20230818-233633_49,3e09e8b9-31cf-489e-8e91-0aa03d8f52b3,std_1692433498593_49,GBMC-X9W9
tch_20230818-233633_42,d67debd1-3e89-45ee-892b-5fe643cdebd3,std_1692433497082_42,Bzcm-teP7
tch_20230818-233633_47,650c91bf-bb7e-4620-bf47-6a048c7b894b,std_1692433497210_47,LwMd-PHcL
tch_20230818-233633_63,2af7404f-849b-494b-afc4-1dbd62862081,std_1692433499711_63,g6Ti-Zfvp
tch_20230818-233633_50,c49d931d-586b-47e4-8587-cbda5c2357bf,std_1692433498083_50,LQiU-R3wK
tch_20230818-233633_56,27a7538c-21da-4e1a-9b34-51e1c848a9a6,std_1692433500421_56,ra8a-MYrj
tch_20230818-233633_51,1b515387-cc06-448b-9649-4d9a249451b8,std_1692433505501_51,6Ex7-qo42
tch_20230818-233633_45,6378024a-4ea1-4340-a5b6-569292c738fd,std_1692433502451_45,p76s-FNLu
tch_20230818-233633_57,2795a22d-77d4-4045-b765-bf56ac9773a8,std_1692433504306_57,mEbq-9Bgp
tch_20230818-233633_64,74f6855d-d836-4f90-ba07-845a1978e455,std_1692433503697_64,zXLi-Ney6
tch_20230818-233633_58,fd8a240f-4d53-4eac-ab85-791d2b1e97a5,std_1692433508191_58,m8rG-d4i6
tch_20230818-233633_65,30c67122-b75b-4916-813b-db2965389045,std_1692433507706_65,DGWq-bHk2
tch_20230818-233633_66,569faf4d-a372-40f8-8fb8-5729b643d03f,std_1692433511727_66,6h4D-AU3T
tch_20230818-233633_59,b06d23f6-02c4-412b-ae0b-7ebd5f5c7a77,std_1692433510267_59,k84n-u9FJ
tch_20230818-233633_44,e4a837ab-d2d7-45b3-a61d-c35b1359b672,std_1692433510574_44,bkpq-R3HA
tch_20230818-233633_52,7793cfcd-acb7-4a25-bfe0-26211845f916,std_1692433510981_52,DFYb-DJeV
tch_20230818-233633_60,9d4eb9ef-c982-4a59-bc60-8c7152a63b29,std_1692433514411_60,2q7s-ig6h
tch_20230818-233633_53,87fc40db-aed7-4765-a79d-e0ff995af6fe,std_1692433516001_53,W4Ni-3teN
tch_20230818-233633_67,f62a1aaf-6621-4cbb-bfe2-3a3672a4c141,std_1692433515724_67,uen4-9h67
tch_20230818-233633_61,d06cd954-bc9d-4a88-b666-0bfb0eb450ad,std_1692433519300_61,3RLj-DhL7
tch_20230818-233633_54,7926f5b7-4b07-485f-a3ac-8e80fb596893,std_1692433520629_54,v278-FreW
tch_20230818-233633_46,08709c47-f7d4-48bb-b0d7-4ff85e47b1cf,std_1692433522695_46,g78X-N9a8
tch_20230818-233633_47,1ad89a36-14dd-4386-8e35-0defbc1821e9,std_1692433526009_47,LwMd-PHcL
tch_20230818-233633_69,d9336444-8d43-4707-833d-476f825c7048,std_1692433523714_69,6mAi-T3TJ
tch_20230818-233633_55,d9f27dd9-2a14-4065-9492-ff3bf4a835c7,std_1692433522728_55,79sX-4rYi
tch_20230818-233633_48,5ae3b5ab-0e4e-4935-9979-2c8b77ff2673,std_1692433525221_48,Z3Mx-c8BF
tch_20230818-233633_56,636b1504-3a7b-4600-9513-1c8ff36a3f54,std_1692433528192_56,ra8a-MYrj
tch_20230818-233633_49,c55c8ce3-9663-4fb6-b15f-fd805b61a4c5,std_1692433525268_49,GBMC-X9W9
tch_20230818-233633_63,45984b6c-a321-44b4-8112-473410ea30ac,std_1692433526648_63,g6Ti-Zfvp
tch_20230818-233633_50,1aebf8dc-563a-4a78-adb8-3c302581d149,std_1692433527174_50,LQiU-R3wK
tch_20230818-233633_51,fb9f4ae8-8866-4450-8606-54cc33eacc1b,std_1692433529716_51,6Ex7-qo42
tch_20230818-233633_57,c7c772d0-d404-455c-b68e-58fa3023bee0,std_1692433530822_57,mEbq-9Bgp
tch_20230818-233633_70,8d7f74ac-9f0b-4029-bbb8-2aafb7b8b5cc,std_1692433527730_70,kHGe-kep6
tch_20230818-233633_58,bbe00e61-cf1d-46e1-9548-6afa7ec094f3,std_1692433532476_58,m8rG-d4i6
tch_20230818-233633_64,fe2cdf54-539e-4b68-810f-4510c944861a,std_1692433531165_64,zXLi-Ney6
tch_20230818-233633_71,b9f970b5-e9fc-430f-9088-d8a707e56cfe,std_1692433531727_71,kPp4-gsYa
tch_20230818-233633_59,ea97a8bb-5899-4112-a071-ed5ba9112662,std_1692433537426_59,k84n-u9FJ
tch_20230818-233633_66,24bd9254-8428-489c-8326-0fcb81b854ca,std_1692433537003_66,6h4D-AU3T
tch_20230818-233633_65,a058d915-2860-441d-9233-e78f79042152,std_1692433534621_65,DGWq-bHk2
tch_20230818-233633_53,76e4b783-2a13-4eeb-9ddb-9f5d67beb4f9,std_1692433540078_53,W4Ni-3teN
tch_20230818-233633_72,f910321a-eba8-469f-b761-bb667d925bb8,std_1692433535744_72,WH2a-cV9K
tch_20230818-233633_52,cb964fc7-0675-4c02-b82f-fa666a60a303,std_1692433538501_52,DFYb-DJeV
tch_20230818-233633_73,4f83ec04-597b-40f8-82d4-4c13d2c933f9,std_1692433539760_73,cKHf-qE2g
tch_20230818-233633_74,414b1366-3aa1-466f-bc0c-aca8cae060d1,std_1692433543757_74,3QxP-nsXB
tch_20230818-233633_60,7d4387e2-2917-44ff-b1d5-8ee0300f4dd1,std_1692433539512_60,2q7s-ig6h
tch_20230818-233633_67,f7f5c546-cd1b-40a5-8a7d-648d678ca743,std_1692433543678_67,uen4-9h67
tch_20230818-233633_61,ca1ee1bb-e27d-445c-8873-5e434810fb8b,std_1692433548290_61,3RLj-DhL7
tch_20230818-233633_54,c9ac8bc6-aa26-4502-8bee-5d8b036deff9,std_1692433549190_54,v278-FreW
tch_20230818-233633_68,f899054b-58e6-49e5-80df-bda4fc9f6906,std_1692433547634_68,FJPQ-LQeV
tch_20230818-233633_55,c8fcdc13-8251-4568-9103-f1485dce3b13,std_1692433552152_55,79sX-4rYi
tch_20230818-233633_62,fa11c380-e56a-4b6e-9c57-7eac1bf5dbe6,std_1692433547634_62,97uH-aYhQ
tch_20230818-233633_76,a42dcb2a-3f2f-43dc-ab86-0272122a2bda,std_1692433551757_76,42Qv-WyV4
tch_20230818-233633_77,c7e8f49a-e8a2-44cb-954c-1bd8f286450e,std_1692433555757_77,6pLR-i64o
tch_20230818-233633_70,82622c81-d56a-4886-8970-537a4f3d8b50,std_1692433557139_70,kHGe-kep6
tch_20230818-233633_63,317677b9-5816-45d6-9e3d-a77f0770b896,std_1692433554883_63,g6Ti-Zfvp
tch_20230818-233633_59,09493d8f-e7f5-4e81-81e4-650a4a35a674,std_1692433560323_59,k84n-u9FJ
tch_20230818-233633_58,bb77a636-91f5-49d1-b1f8-7c0f6b30bd52,std_1692433558366_58,m8rG-d4i6
tch_20230818-233633_57,e9c2f373-877c-420a-9260-afb5a0390c26,std_1692433556010_57,mEbq-9Bgp
tch_20230818-233633_71,713a0357-a523-4521-8860-efb602208a41,std_1692433558391_71,kPp4-gsYa
tch_20230818-233633_64,52ac57d2-d906-4ce2-9368-ce9ec0d47464,std_1692433558366_64,zXLi-Ney6
tch_20230818-233633_65,5e3abd1f-85d3-43f3-a5f6-ed321540b7e4,std_1692433562223_65,DGWq-bHk2
tch_20230818-233633_66,2e766047-d435-4d0e-8cb8-2fbcf2239b4b,std_1692433561784_66,6h4D-AU3T
tch_20230818-233633_79,072b6a96-868e-4cf8-af09-19a4af6e2f22,std_1692433563761_79,TWN4-6tq9
tch_20230818-233633_60,f9a9948a-4a38-449f-a9d4-1a13ffae650e,std_1692433567758_60,2q7s-ig6h
tch_20230818-233633_73,88d0c04e-1473-41a1-b9bd-dcdc6ad76296,std_1692433566362_73,cKHf-qE2g
tch_20230818-233633_80,9f9976f9-b871-47c0-9f91-6b0d918f51b5,std_1692433567775_80,4a8B-DryM
tch_20230818-233633_67,19467725-e01f-4328-9c3d-8a77697fc73e,std_1692433568014_67,uen4-9h67
tch_20230818-233633_74,dd73a50d-8c4e-461c-a049-10b60b56350f,std_1692433566424_74,3QxP-nsXB
tch_20230818-233633_72,c5e972fc-69a3-4738-9382-21d5687fb591,std_1692433563918_72,WH2a-cV9K
tch_20230818-233633_61,b698aef1-2015-465b-851b-963958281285,std_1692433571519_61,3RLj-DhL7
tch_20230818-233633_68,f5a74a14-6136-4c7c-83d4-be0595a5f45e,std_1692433572517_68,FJPQ-LQeV
tch_20230818-233633_82,90a3ff41-5201-4117-a943-1afa735b8323,std_1692433575776_82,786L-F3Cf
tch_20230818-233633_62,8a737b43-615f-493d-b152-361b459ef367,std_1692433577863_62,97uH-aYhQ
tch_20230818-233633_81,a9308407-f4cf-4247-838e-3c535d01485d,std_1692433571785_81,9Ko6-kzyF
tch_20230818-233633_75,86763d9d-0f3b-4c97-955b-477ad8cdf8fd,std_1692433575729_75,Em6Y-DMce
tch_20230818-233633_69,7fc7ea34-2150-4feb-9409-d3b545034ed0,std_1692433575729_69,6mAi-T3TJ
tch_20230818-233633_83,6e087228-1ef0-4eb7-aa5a-bd7bd8ce2598,std_1692433579776_83,ef4h-8K2v
tch_20230818-233633_76,04536056-01ae-4238-82de-cdd3999d98a5,std_1692433581262_76,42Qv-WyV4
tch_20230818-233633_78,47cc941b-9d4c-4923-bc2b-38f909f84ab2,std_1692433585046_78,3GMs-bo3s
tch_20230818-233633_70,bbf02083-42fe-4aab-8282-e58bdb548f0b,std_1692433581993_70,kHGe-kep6
tch_20230818-233633_85,1e9e4eeb-bcf5-4fb7-a91a-193cd0068036,std_1692433587796_85,7cGc-wPt4
tch_20230818-233633_77,af1d908c-3605-4cee-9e75-4c6839b88c00,std_1692433581563_77,6pLR-i64o
tch_20230818-233633_84,d4fb8f19-0fc4-4aa9-b40b-cf5d9c42994d,std_1692433583783_84,9ei3-bj9J
tch_20230818-233633_63,ee7a80cb-a301-4012-8206-faea33167955,std_1692433582416_63,g6Ti-Zfvp
tch_20230818-233633_71,c1c03ab7-9cfa-4ac3-97f3-d364dec4fca9,std_1692433585566_71,kPp4-gsYa
tch_20230818-233633_64,3631cc99-7bbd-4c00-8e2f-0bf681979b83,std_1692433587909_64,zXLi-Ney6
tch_20230818-233633_65,d721a090-c0b0-4e0d-bd55-2c35dc7b6581,std_1692433588405_65,DGWq-bHk2
tch_20230818-233633_79,174b18bd-9111-4f0c-bad6-947f62c9c21e,std_1692433590542_79,TWN4-6tq9
tch_20230818-233633_67,6ab77568-3ca8-4170-a630-bab661ab1d4d,std_1692433593229_67,uen4-9h67
tch_20230818-233633_66,ef22fdef-4f2c-4bef-9310-d8a87f0c8294,std_1692433590293_66,6h4D-AU3T
tch_20230818-233633_80,f3dd0ac0-1227-4761-b37c-5f72ab210a9c,std_1692433592828_80,4a8B-DryM
tch_20230818-233633_74,66262bee-5fe5-4cad-9677-41538670670c,std_1692433593825_74,3QxP-nsXB
tch_20230818-233633_72,d9eae4a3-e6ba-4a55-8608-019929a52192,std_1692433594609_72,WH2a-cV9K
tch_20230818-233633_73,c1aff534-6698-4169-ab08-e330415b0aab,std_1692433592794_73,cKHf-qE2g
tch_20230818-233633_86,50916dd0-3d09-4c92-99de-0ee907084546,std_1692433591790_86,gJLP-uP47
tch_20230818-233633_87,cf927e91-d6d4-40d9-a51d-9573dbe27943,std_1692433595802_87,C6uX-6sw8
tch_20230818-233633_68,a5716050-d5a1-46a1-a1df-cef905e03b0d,std_1692433598428_68,FJPQ-LQeV
tch_20230818-233633_81,83f51e8e-45e5-48b3-843a-67fcf8f63d20,std_1692433601996_81,9Ko6-kzyF
tch_20230818-233633_82,1e0ea504-e3a9-41bd-af4e-9a5604b51af2,std_1692433600849_82,786L-F3Cf
tch_20230818-233633_88,37c0db7f-7b69-4632-bbf6-29337b9ac0db,std_1692433599792_88,y7Rs-23v3
tch_20230818-233633_69,0b5fa989-032d-44c9-b6a6-d5c41bb323bf,std_1692433602151_69,6mAi-T3TJ
tch_20230818-233633_75,0770ebdc-b0f7-432f-bcef-130901ad1444,std_1692433602149_75,Em6Y-DMce
tch_20230818-233633_89,4f162439-f344-48e8-8c1f-8df51add9820,std_1692433603808_89,ZuJ6-z6DK
tch_20230818-233633_83,a811c73c-89a5-446c-8eb4-05c0272167ab,std_1692433607467_83,ef4h-8K2v
tch_20230818-233633_78,513d61d0-cae1-47c3-a764-d2dd1ce25159,std_1692433609692_78,3GMs-bo3s
tch_20230818-233633_77,972fb22d-0213-4aa0-a536-33d611d64e12,std_1692433610685_77,6pLR-i64o
tch_20230818-233633_70,857dcc1e-f361-42d5-8e2d-207941ef15ba,std_1692433609810_70,kHGe-kep6
tch_20230818-233633_84,be727a60-487f-4a0a-8a75-a9e050a538d8,std_1692433611102_84,9ei3-bj9J
tch_20230818-233633_91,2ff6c8a0-c1d2-4312-80d0-008b3d0dfb97,std_1692433611809_91,Vf97-zpW8
tch_20230818-233633_90,5cd29b51-eabe-46aa-8948-22cbe636293d,std_1692433607810_90,f27C-nVjB
tch_20230818-233633_76,bc216e56-f3a8-4170-b2ea-91a6ab55e062,std_1692433609132_76,42Qv-WyV4
tch_20230818-233633_92,a540ceea-23b1-4688-856b-e70b5a7ff0d8,std_1692433615824_92,q7h2-vFwR
tch_20230818-233633_85,26e43dfc-8245-4419-88ac-abe159c03809,std_1692433610255_85,7cGc-wPt4
tch_20230818-233633_71,de4467e8-4441-491a-898e-1ff3a9946972,std_1692433613578_71,kPp4-gsYa
tch_20230818-233633_74,5794c851-1355-43c0-b9a7-6c7f1b5dbd71,std_1692433619366_74,3QxP-nsXB
tch_20230818-233633_79,16ea165c-a141-4e8b-91ef-c6d5d369ce02,std_1692433617582_79,TWN4-6tq9
tch_20230818-233633_72,a45a320e-4292-4446-bca5-84281704de85,std_1692433619866_72,WH2a-cV9K
tch_20230818-233633_93,6259dabd-f785-4e27-b3d1-e7baf9896e3c,std_1692433619825_93,NK92-juzM
tch_20230818-233633_80,fe91a60b-364f-4afe-bac2-94a5aad7be93,std_1692433619328_80,4a8B-DryM
tch_20230818-233633_86,03557707-1d59-40ab-b569-1e5d37d0cab9,std_1692433620667_86,gJLP-uP47
tch_20230818-233633_73,8fa82a34-0620-42ed-b96c-8e7c18f15486,std_1692433620254_73,cKHf-qE2g
tch_20230818-233633_82,16f13363-75d5-44de-a91a-cc7a48c449c1,std_1692433626999_82,786L-F3Cf
tch_20230818-233633_81,6d4d7776-e506-4834-93f4-34ed46daa9ed,std_1692433626795_81,9Ko6-kzyF
tch_20230818-233633_95,e92ad308-8fa0-4a1d-b3ef-63ce8723414d,std_1692433627856_95,f9hQ-rz3L
tch_20230818-233633_87,05a74ea2-7fa7-41a2-a306-ad35772672b6,std_1692433624069_87,C6uX-6sw8
tch_20230818-233633_94,c3545855-b85d-45a5-8d59-a64a44c04290,std_1692433623839_94,82QV-y6Wk
tch_20230818-233633_88,2c0a735a-46e9-42cf-9684-cd48a41e3e7e,std_1692433628065_88,y7Rs-23v3
tch_20230818-233633_75,0af5eb79-d6fb-4b65-b2c2-dd8912d6f355,std_1692433630152_75,Em6Y-DMce
tch_20230818-233633_78,e234fa23-e481-489c-8c5b-6a49c918a777,std_1692433632811_78,3GMs-bo3s
tch_20230818-233633_89,2fbfb064-a375-4656-b915-8b627b7bb5ed,std_1692433631276_89,ZuJ6-z6DK
tch_20230818-233633_96,3e28424d-fa4a-4024-9545-d4e25d4a3c84,std_1692433631856_96,FHjs-7vHm
tch_20230818-233633_84,eb20b44c-1441-46c5-9d7a-c2c3208f01d0,std_1692433636104_84,9ei3-bj9J
