teacherextuserid,classtitle,classcode,category
tch_20230823-172858_60,class_20230823-172858_60,n838-vsif,3B8PE
tch_20230823-172858_88,class_20230823-172858_88,aUNP-e3Kj,3B8PE
tch_20230823-193724_58,class_20230823-193724_58,aXZ2-Qtw4,3B8PE
tch_20230816-142651_83,class_20230816-142651_83,V9hH-8NWf,3B8PE
tch_20230816-142651_22,class_20230816-142651_22,7eWd-4XiY,3B8PE
tch_20230801-163714_80,class_20230801-163714_80,VXbg-K96A,3B8PE
tch_20230823-193724_39,class_20230823-193724_39,WMD8-PV8X,3B8PE
tch_20230817-105643_14,class_20230817-105643_14,sMJ3-Ej8A,3B8PE
tch_20230731-160740_47,class_20230731-160740_47,Y2A6-NqLB,3B8PE
tch_20230728-103923_19,class_20230728-103923_19,2BW9-mAX9,3B8PE
tch_20230823-153711_66,class_20230823-153711_66,nQ7T-WmQh,3B8PE
tch_20230731-160740_6,class_20230731-160740_6,LdFR-V9Uk,3B8PE
tch_20230823-193724_90,class_20230823-193724_90,VMYB-hQ3Y,3B8PE
tch_20230731-160740_44,class_20230731-160740_44,7FVM-hD7h,3B8PE
tch_20230823-153711_18,class_20230823-153711_18,a247-P296,3B8PE
tch_20230816-142651_94,class_20230816-142651_94,EPvq-YRUc,3B8PE
tch_20230817-105643_24,class_20230817-105643_24,73bW-kFru,3B8PE
tch_20230731-160740_91,class_20230731-160740_91,r6ZT-ijz2,3B8PE
tch_20230811-183231_50,class_20230811-183231_50,9Crj-9rHN,3B8PE
tch_20230823-172858_91,class_20230823-172858_91,Hs32-9Tk6,3B8PE
tch_20230816-142651_16,class_20230816-142651_16,d27Y-D39x,3B8PE
tch_20230801-163714_9,class_20230801-163714_9,efC8-jLxz,3B8PE
tch_20230823-193724_17,class_20230823-193724_17,a4FU-dxzU,3B8PE
tch_20230823-172858_92,class_20230823-172858_92,u4F9-wGes,3B8PE
tch_20230823-193724_93,class_20230823-193724_93,6M97-34Tx,3B8PE
tch_20230823-172858_77,class_20230823-172858_77,da8D-EvBP,3B8PE
tch_20230823-172858_41,class_20230823-172858_41,pe76-Wrgu,3B8PE
tch_20230823-193724_4,class_20230823-193724_4,7Lp7-9z2x,3B8PE
tch_20230728-103923_57,class_20230728-103923_57,xu6i-h3kz,3B8PE
tch_20230823-193724_29,class_20230823-193724_29,TtdU-9sKi,3B8PE
tch_20230728-103923_88,class_20230728-103923_88,6fP7-8F8f,3B8PE
tch_20230823-193724_80,class_20230823-193724_80,cRMt-b47s,3B8PE
tch_20230823-153711_16,class_20230823-153711_16,tHFK-Gn92,3B8PE
tch_20230823-153711_42,class_20230823-153711_42,DtCv-ib27,3B8PE
tch_20230731-160740_56,class_20230731-160740_56,eGg7-E3QL,3B8PE
tch_20230816-142651_36,class_20230816-142651_36,6ykB-sM2V,3B8PE
tch_20230801-163714_98,class_20230801-163714_98,cU96-k7rE,3B8PE
tch_20230801-163714_11,class_20230801-163714_11,KNPk-GU3Y,3B8PE
tch_20230728-103923_96,class_20230728-103923_96,jbkq-EJKb,3B8PE
tch_20230811-183231_28,class_20230811-183231_28,9RZ6-eseA,3B8PE
tch_20230823-193724_30,class_20230823-193724_30,EKLB-DHqK,3B8PE
tch_20230731-160740_7,class_20230731-160740_7,xkVt-dUMa,3B8PE
tch_20230823-153711_14,class_20230823-153711_14,HNKb-sdjY,3B8PE
tch_20230816-142651_33,class_20230816-142651_33,MYs2-Mk7e,3B8PE
tch_20230823-153711_13,class_20230823-153711_13,4yUv-mKvK,3B8PE
tch_20230823-193724_3,class_20230823-193724_3,nkRp-CXBE,3B8PE
tch_20230823-193724_75,class_20230823-193724_75,2j26-VYbC,3B8PE
tch_20230811-183231_32,class_20230811-183231_32,7Lza-UcEj,3B8PE
tch_20230801-163714_2,class_20230801-163714_2,2JxR-VrJT,3B8PE
tch_20230811-183231_10,class_20230811-183231_10,Kt8k-2J6s,3B8PE
tch_20230823-172858_70,class_20230823-172858_70,x67j-oDYw,3B8PE
tch_20230811-183231_13,class_20230811-183231_13,xN3d-4Qyr,3B8PE
tch_20230817-105643_53,class_20230817-105643_53,2oRU-gfPj,3B8PE
tch_20230731-160740_60,class_20230731-160740_60,Ws2R-k8ra,3B8PE
tch_20230731-160740_61,class_20230731-160740_61,D2zy-H2si,3B8PE
tch_20230823-172858_54,class_20230823-172858_54,E9xp-7BUV,3B8PE
tch_20230731-160740_39,class_20230731-160740_39,9FD7-94AZ,3B8PE
tch_20230823-193724_31,class_20230823-193724_31,o8LE-696h,3B8PE
tch_20230728-103923_79,class_20230728-103923_79,4MT2-FRgo,3B8PE
tch_20230817-105643_75,class_20230817-105643_75,pu68-eC2x,3B8PE
tch_20230823-153711_91,class_20230823-153711_91,7Z9V-e42G,3B8PE
tch_20230823-172858_56,class_20230823-172858_56,r9py-PH7t,3B8PE
tch_20230731-160740_11,class_20230731-160740_11,Afz7-h6Jo,3B8PE
tch_20230823-172858_42,class_20230823-172858_42,T9wm-X84c,3B8PE
tch_20230817-105643_94,class_20230817-105643_94,VJDM-zZ8M,3B8PE
tch_20230801-163714_4,class_20230801-163714_4,ov7Y-98Mk,3B8PE
tch_20230823-172858_62,class_20230823-172858_62,hZKH-8uK3,3B8PE
tch_20230823-153711_38,class_20230823-153711_38,pAgD-2hm3,3B8PE
tch_20230801-163714_10,class_20230801-163714_10,izky-zB4w,3B8PE
tch_20230823-172858_29,class_20230823-172858_29,a4RE-jCa8,3B8PE
tch_20230823-193724_21,class_20230823-193724_21,ug8h-aE3p,3B8PE
tch_20230823-153711_5,class_20230823-153711_5,bUcB-Pvy3,3B8PE
tch_20230823-153711_60,class_20230823-153711_60,2GFM-N374,3B8PE
tch_20230823-193724_24,class_20230823-193724_24,kKdJ-Wx9C,3B8PE
tch_20230801-163714_68,class_20230801-163714_68,3P48-pZFa,3B8PE
tch_20230823-193724_11,class_20230823-193724_11,8hqy-6c9s,3B8PE
tch_20230728-103923_38,class_20230728-103923_38,PrFi-y6be,3B8PE
tch_20230823-172858_3,class_20230823-172858_3,uHmz-REM9,3B8PE
tch_20230823-153711_90,class_20230823-153711_90,tQoZ-3Msn,3B8PE
tch_20230823-193724_34,class_20230823-193724_34,hgps-Er7D,3B8PE
tch_20230728-103923_28,class_20230728-103923_28,GkNc-EH2v,3B8PE
tch_20230823-193724_48,class_20230823-193724_48,Aryn-HBUb,3B8PE
tch_20230731-160740_21,class_20230731-160740_21,m92v-uXt9,3B8PE
tch_20230728-103923_62,class_20230728-103923_62,n26N-3sG7,3B8PE
tch_20230823-172858_86,class_20230823-172858_86,7ijZ-9HpJ,3B8PE
tch_20230731-160740_51,class_20230731-160740_51,eUdf-6vwn,3B8PE
tch_20230816-142651_14,class_20230816-142651_14,wfHq-82vW,3B8PE
tch_20230801-163714_64,class_20230801-163714_64,t8n3-WVif,3B8PE
tch_20230823-172858_44,class_20230823-172858_44,7wLZ-64TZ,3B8PE
tch_20230728-103923_42,class_20230728-103923_42,aBH9-42b7,3B8PE
tch_20230728-103923_39,class_20230728-103923_39,Kb4o-nHTL,3B8PE
tch_20230823-193724_57,class_20230823-193724_57,GY8Z-3xf4,3B8PE
tch_20230816-142651_84,class_20230816-142651_84,wbnB-DQ7M,3B8PE
tch_20230731-160740_46,class_20230731-160740_46,986w-7o73,3B8PE
tch_20230823-193724_5,class_20230823-193724_5,vHsX-rGjc,3B8PE
tch_20230731-160740_5,class_20230731-160740_5,srdi-Gazb,3B8PE
tch_20230823-172858_59,class_20230823-172858_59,M9nh-qcBX,3B8PE
tch_20230817-105643_66,class_20230817-105643_66,74P8-P878,3B8PE
tch_20230731-160740_17,class_20230731-160740_17,L4mL-w4QD,3B8PE
tch_20230823-193724_46,class_20230823-193724_46,L8tx-Wp2H,3B8PE
tch_20230817-105643_64,class_20230817-105643_64,8XV2-HtL4,3B8PE
tch_20230823-153711_57,class_20230823-153711_57,3bhq-6ujU,3B8PE
tch_20230823-193724_60,class_20230823-193724_60,Wnb7-KE6t,3B8PE
tch_20230823-153711_15,class_20230823-153711_15,Hnva-P82W,3B8PE
tch_20230728-103923_92,class_20230728-103923_92,2Vam-9sgv,3B8PE
tch_20230823-153711_73,class_20230823-153711_73,wZNC-749m,3B8PE
tch_20230728-103923_56,class_20230728-103923_56,E7Y4-riZ4,3B8PE
tch_20230731-160740_34,class_20230731-160740_34,pzFP-fPZ2,3B8PE
tch_20230823-153711_43,class_20230823-153711_43,Q3rj-P98L,3B8PE
tch_20230823-153711_3,class_20230823-153711_3,to9x-a9xG,3B8PE
tch_20230823-172858_25,class_20230823-172858_25,Ej2D-ugd7,3B8PE
tch_20230823-172858_55,class_20230823-172858_55,JEnv-9E6q,3B8PE
tch_20230801-163714_34,class_20230801-163714_34,iAuv-Dpis,3B8PE
tch_20230816-142651_2,class_20230816-142651_2,H62W-9oes,3B8PE
tch_20230731-160740_80,class_20230731-160740_80,uq8J-G9K8,3B8PE
tch_20230823-193724_79,class_20230823-193724_79,yUzF-6379,3B8PE
tch_20230816-142651_55,class_20230816-142651_55,YQme-83mV,3B8PE
tch_20230728-103923_11,class_20230728-103923_11,zF9N-q6D7,3B8PE
tch_20230823-193724_74,class_20230823-193724_74,Y7oj-m87B,3B8PE
tch_20230728-103923_16,class_20230728-103923_16,K6G8-GxKT,3B8PE
tch_20230801-163714_5,class_20230801-163714_5,xeoT-R64N,3B8PE
tch_20230816-142651_77,class_20230816-142651_77,zuUX-8gF2,3B8PE
tch_20230731-160740_89,class_20230731-160740_89,L84K-r8C8,3B8PE
tch_20230816-142651_51,class_20230816-142651_51,kD4q-KktJ,3B8PE
tch_20230728-103923_55,class_20230728-103923_55,4JPT-v37w,3B8PE
tch_20230816-142651_64,class_20230816-142651_64,y2f3-72f3,3B8PE
tch_20230728-103923_67,class_20230728-103923_67,n3hm-9qr8,3B8PE
tch_20230823-193724_100,class_20230823-193724_100,gMTU-MLDT,3B8PE
tch_20230811-183231_11,class_20230811-183231_11,gK2i-3Hk9,3B8PE
tch_20230823-172858_24,class_20230823-172858_24,TWRt-jYsf,3B8PE
tch_20230728-103923_66,class_20230728-103923_66,3KRi-zg7j,3B8PE
tch_20230823-193724_27,class_20230823-193724_27,uAj4-3t6K,3B8PE
tch_20230823-153711_83,class_20230823-153711_83,p8Hp-Hh8A,3B8PE
tch_20230731-160740_69,class_20230731-160740_69,3UsL-7CXv,3B8PE
tch_20230817-105643_33,class_20230817-105643_33,sdcp-fTit,3B8PE
tch_20230816-142651_58,class_20230816-142651_58,FfsC-hoV7,3B8PE
tch_20230731-160740_45,class_20230731-160740_45,qLWn-9i2n,3B8PE
tch_20230801-163714_50,class_20230801-163714_50,pGof-Gf38,3B8PE
tch_20230823-172858_79,class_20230823-172858_79,Wb8e-8iB4,3B8PE
tch_20230731-160740_75,class_20230731-160740_75,6XHV-xhGo,3B8PE
tch_20230823-193724_54,class_20230823-193724_54,smpY-6Jv9,3B8PE
tch_20230728-103923_12,class_20230728-103923_12,232q-zeED,3B8PE
tch_20230731-160740_77,class_20230731-160740_77,6wu8-h2jR,3B8PE
tch_20230817-105643_3,class_20230817-105643_3,tEre-7PgN,3B8PE
tch_20230731-160740_93,class_20230731-160740_93,dZ84-su9F,3B8PE
tch_20230823-172858_73,class_20230823-172858_73,4Z3M-mqdG,3B8PE
tch_20230728-103923_26,class_20230728-103923_26,u627-8PsY,3B8PE
tch_20230801-163714_13,class_20230801-163714_13,9Cqa-V643,3B8PE
tch_20230731-160740_65,class_20230731-160740_65,U4MN-s728,3B8PE
tch_20230801-163714_29,class_20230801-163714_29,2jEQ-9G2k,3B8PE
tch_20230731-160740_38,class_20230731-160740_38,7W9q-QAHy,3B8PE
tch_20230728-103923_7,class_20230728-103923_7,Czfw-H2cN,3B8PE
tch_20230728-103923_77,class_20230728-103923_77,ZELn-NKQq,3B8PE
tch_20230823-153711_12,class_20230823-153711_12,7Tit-sW4s,3B8PE
tch_20230731-160740_97,class_20230731-160740_97,EL4r-Feoe,3B8PE
tch_20230823-153711_29,class_20230823-153711_29,UcVG-vsnH,3B8PE
tch_20230823-153711_59,class_20230823-153711_59,yr3y-kKNA,3B8PE
tch_20230816-142651_1,class_20230816-142651_1,WumA-49oY,3B8PE
tch_20230817-105643_86,class_20230817-105643_86,X9A3-6TEb,3B8PE
tch_20230728-103923_40,class_20230728-103923_40,o6L9-6A2L,3B8PE
tch_20230823-172858_75,class_20230823-172858_75,hCgF-VB9v,3B8PE
tch_20230801-163714_75,class_20230801-163714_75,4Vqg-LMR9,3B8PE
tch_20230823-172858_6,class_20230823-172858_6,7GBX-7jVt,3B8PE
tch_20230823-172858_14,class_20230823-172858_14,oRcw-G3T2,3B8PE
tch_20230728-103923_54,class_20230728-103923_54,xk84-fnwB,3B8PE
tch_20230728-103923_18,class_20230728-103923_18,8Y2g-FJ2r,3B8PE
tch_20230823-172858_64,class_20230823-172858_64,f7g9-dn79,3B8PE
tch_20230823-193724_52,class_20230823-193724_52,KFZV-MD3g,3B8PE
tch_20230731-160740_29,class_20230731-160740_29,AUGp-3n6U,3B8PE
tch_20230823-153711_56,class_20230823-153711_56,oroZ-nNiz,3B8PE
tch_20230817-105643_39,class_20230817-105643_39,U7cB-ztr9,3B8PE
tch_20230801-163714_87,class_20230801-163714_87,XQq7-Vgq3,3B8PE
tch_20230728-103923_52,class_20230728-103923_52,QNE4-rZjH,3B8PE
tch_20230811-183231_17,class_20230811-183231_17,vJY9-VtJ8,3B8PE
tch_20230731-160740_76,class_20230731-160740_76,7A9c-Dy9Q,3B8PE
tch_20230823-193724_40,class_20230823-193724_40,xc7Z-nx6w,3B8PE
tch_20230816-142651_86,class_20230816-142651_86,6LoR-J79q,3B8PE
tch_20230816-142651_75,class_20230816-142651_75,8Du3-swZt,3B8PE
tch_20230823-193724_88,class_20230823-193724_88,2gCL-cwdv,3B8PE
tch_20230823-153711_2,class_20230823-153711_2,9CRM-2TUN,3B8PE
tch_20230817-105643_27,class_20230817-105643_27,7DPv-z34t,3B8PE
tch_20230823-153711_78,class_20230823-153711_78,9w47-Lfvs,3B8PE
tch_20230816-142651_53,class_20230816-142651_53,yFG4-Xv48,3B8PE
tch_20230801-163714_81,class_20230801-163714_81,TWhB-Hj7a,3B8PE
tch_20230823-193724_50,class_20230823-193724_50,HbZh-j9C4,3B8PE
tch_20230823-193724_83,class_20230823-193724_83,a64o-Aa6t,3B8PE
tch_20230811-183231_25,class_20230811-183231_25,XCdX-YT7J,3B8PE
tch_20230811-183231_39,class_20230811-183231_39,9Z2w-k3vY,3B8PE
tch_20230823-172858_26,class_20230823-172858_26,K72m-Hzes,3B8PE
tch_20230731-160740_33,class_20230731-160740_33,sqVK-PULd,3B8PE
tch_20230801-163714_77,class_20230801-163714_77,oQRk-i8dj,3B8PE
tch_20230728-103923_68,class_20230728-103923_68,ZA64-2dr8,3B8PE
tch_20230801-163714_6,class_20230801-163714_6,v947-pc46,3B8PE
tch_20230728-103923_99,class_20230728-103923_99,4y6A-W7Fm,3B8PE
tch_20230816-142651_19,class_20230816-142651_19,bCyb-4bGV,3B8PE
tch_20230823-172858_17,class_20230823-172858_17,xmJs-8zgj,3B8PE
tch_20230728-103923_23,class_20230728-103923_23,hYbT-bB2d,3B8PE
tch_20230816-142651_6,class_20230816-142651_6,gGQi-QgMg,3B8PE
tch_20230816-142651_7,class_20230816-142651_7,TNDQ-ay8Q,3B8PE
tch_20230728-103923_63,class_20230728-103923_63,c79p-ieWf,3B8PE
tch_20230731-160740_59,class_20230731-160740_59,236o-iKP9,3B8PE
tch_20230823-193724_45,class_20230823-193724_45,tXrh-i2oE,3B8PE
tch_20230823-153711_27,class_20230823-153711_27,UVX3-nT9B,3B8PE
tch_20230731-160740_58,class_20230731-160740_58,iP8p-F7jZ,3B8PE
tch_20230816-142651_48,class_20230816-142651_48,zE8f-4NiA,3B8PE
tch_20230801-163714_16,class_20230801-163714_16,8zkd-7LVF,3B8PE
tch_20230731-160740_19,class_20230731-160740_19,EF9e-x3Xa,3B8PE
tch_20230731-160740_16,class_20230731-160740_16,Kn3C-j7RZ,3B8PE
tch_20230816-142651_44,class_20230816-142651_44,dJMz-Hzm9,3B8PE
tch_20230823-153711_45,class_20230823-153711_45,2oU7-yhBT,3B8PE
tch_20230823-153711_49,class_20230823-153711_49,GZV6-JMs3,3B8PE
tch_20230731-160740_67,class_20230731-160740_67,9ZNC-uvcY,3B8PE
tch_20230823-193724_13,class_20230823-193724_13,mHjY-M2Vn,3B8PE
tch_20230801-163714_40,class_20230801-163714_40,9DaP-ZgPE,3B8PE
tch_20230823-172858_87,class_20230823-172858_87,E2mz-JTi9,3B8PE
tch_20230823-193724_38,class_20230823-193724_38,cCJ8-hWnq,3B8PE
tch_20230823-153711_87,class_20230823-153711_87,rP8V-zwQ8,3B8PE
tch_20230823-153711_37,class_20230823-153711_37,RMdF-j34b,3B8PE
tch_20230816-142651_95,class_20230816-142651_95,9ciY-yE9E,3B8PE
tch_20230823-153711_95,class_20230823-153711_95,LZh7-eYu4,3B8PE
tch_20230811-183231_6,class_20230811-183231_6,CTYQ-LM6k,3B8PE
tch_20230817-105643_9,class_20230817-105643_9,7dC4-CriJ,3B8PE
tch_20230817-105643_7,class_20230817-105643_7,4xTj-s7gU,3B8PE
tch_20230823-193724_59,class_20230823-193724_59,uvUJ-d8Ay,3B8PE
tch_20230823-153711_36,class_20230823-153711_36,Q7qL-87Ty,3B8PE
tch_20230728-103923_5,class_20230728-103923_5,2Rn2-LVF2,3B8PE
tch_20230728-103923_95,class_20230728-103923_95,A9c2-zXoe,3B8PE
tch_20230817-105643_13,class_20230817-105643_13,s2yb-cZ8V,3B8PE
tch_20230801-163714_53,class_20230801-163714_53,i6eV-r3g2,3B8PE
tch_20230823-172858_95,class_20230823-172858_95,Qonh-Fh4w,3B8PE
tch_20230823-193724_87,class_20230823-193724_87,2Y3K-Q69V,3B8PE
tch_20230801-163714_78,class_20230801-163714_78,LDp4-34bn,3B8PE
