teacherextuserid,classtitle,classcode,category
tch_20230731-110048_85,class_20230731-110048_85,F7Pu-ZF7i,3B8PE
tch_20230727-142846_17,class_20230727-142846_17,iqH7-fyo3,3B8PE
tch_20230811-131652_51,class_20230811-131652_51,gFjB-47od,3B8PE
tch_20230731-110048_69,class_20230731-110048_69,dqMv-6LJX,3B8PE
tch_20230824-202013_89,class_20230824-202013_89,8f7o-Vg42,3B8PE
tch_20230731-110048_52,class_20230731-110048_52,RzUw-CJvg,3B8PE
tch_20230824-181153_84,class_20230824-181153_84,36QH-n6q2,3B8PE
tch_20230825-165833_9,class_20230825-165833_9,Joqd-kdfQ,3B8PE
tch_20230825-075012_77,class_20230825-075012_77,R7EP-EC7q,3B8PE
tch_20230809-111401_65,class_20230809-111401_65,LR2g-yrvj,3B8PE
tch_20230731-110048_39,class_20230731-110048_39,KhoJ-7DtY,3B8PE
tch_20230824-181153_100,class_20230824-181153_100,wRvY-4T6M,3B8PE
tch_20230825-165833_88,class_20230825-165833_88,AuLj-crEh,3B8PE
tch_20230731-110048_86,class_20230731-110048_86,EPMV-uegM,3B8PE
tch_20230824-222122_73,class_20230824-222122_73,24j4-PQrg,3B8PE
tch_20230824-222122_80,class_20230824-222122_80,3fmT-378V,3B8PE
tch_20230824-202013_55,class_20230824-202013_55,L6KR-3n4V,3B8PE
tch_20230825-165833_57,class_20230825-165833_57,LoNY-ZLA2,3B8PE
tch_20230727-142846_45,class_20230727-142846_45,sFVi-wUZT,3B8PE
tch_20230731-110048_53,class_20230731-110048_53,Kpfw-3a23,3B8PE
tch_20230811-131652_80,class_20230811-131652_80,3yiF-7hMW,3B8PE
tch_20230731-110048_33,class_20230731-110048_33,Fd7J-wt8x,3B8PE
tch_20230825-075012_85,class_20230825-075012_85,A7zM-27eF,3B8PE
tch_20230824-202013_72,class_20230824-202013_72,c72a-RcqP,3B8PE
tch_20230811-131652_90,class_20230811-131652_90,NhpY-dKXy,3B8PE
tch_20230731-110048_14,class_20230731-110048_14,UvU9-7oa4,3B8PE
tch_20230809-142709_29,class_20230809-142709_29,Mpx3-rxKg,3B8PE
tch_20230825-165833_33,class_20230825-165833_33,JCg9-U9E9,3B8PE
tch_20230731-110048_45,class_20230731-110048_45,9bR8-KdmD,3B8PE
tch_20230809-111401_95,class_20230809-111401_95,W794-R69m,3B8PE
tch_20230824-181153_46,class_20230824-181153_46,3WmW-gXdc,3B8PE
tch_20230825-075012_72,class_20230825-075012_72,94hb-ZeLZ,3B8PE
tch_20230727-142846_8,class_20230727-142846_8,ba7a-mRr7,3B8PE
tch_20230811-131652_8,class_20230811-131652_8,i8Z3-CknR,3B8PE
tch_20230809-142709_93,class_20230809-142709_93,aMRe-WyB8,3B8PE
tch_20230727-142846_10,class_20230727-142846_10,KtV9-pb2d,3B8PE
tch_20230825-001752_67,class_20230825-001752_67,84r6-meoK,3B8PE
tch_20230825-075012_82,class_20230825-075012_82,T8RB-dLYv,3B8PE
tch_20230825-165833_90,class_20230825-165833_90,cu27-wJ7p,3B8PE
tch_20230824-202013_51,class_20230824-202013_51,t9Za-6BhW,3B8PE
tch_20230825-001752_83,class_20230825-001752_83,bz6r-4KrQ,3B8PE
tch_20230825-165833_89,class_20230825-165833_89,98wF-dR2P,3B8PE
tch_20230731-110048_77,class_20230731-110048_77,rofE-ekJD,3B8PE
tch_20230825-165833_16,class_20230825-165833_16,3Tb3-nGns,3B8PE
tch_20230825-075012_92,class_20230825-075012_92,g3cH-W7Pk,3B8PE
tch_20230824-202013_48,class_20230824-202013_48,TGk4-67qg,3B8PE
tch_20230825-075012_61,class_20230825-075012_61,Wu27-Jn2w,3B8PE
tch_20230731-110048_41,class_20230731-110048_41,7ZJ3-GisT,3B8PE
tch_20230809-111401_73,class_20230809-111401_73,eHPQ-9P3d,3B8PE
tch_20230825-001752_60,class_20230825-001752_60,rBG6-Q9T4,3B8PE
tch_20230824-181153_82,class_20230824-181153_82,x6ae-qCv3,3B8PE
tch_20230809-142709_17,class_20230809-142709_17,Joe9-v8dM,3B8PE
tch_20230825-165833_17,class_20230825-165833_17,7drF-X6FA,3B8PE
tch_20230824-181153_52,class_20230824-181153_52,ZLze-cLWB,3B8PE
tch_20230809-111401_63,class_20230809-111401_63,7BVe-2ZYH,3B8PE
tch_20230809-142709_91,class_20230809-142709_91,89LZ-vn6B,3B8PE
tch_20230825-001752_42,class_20230825-001752_42,873P-ea9w,3B8PE
tch_20230825-165833_118,class_20230825-165833_118,MF72-82d2,3B8PE
tch_20230824-202013_63,class_20230824-202013_63,nGt4-J4bc,3B8PE
tch_20230809-111401_16,class_20230809-111401_16,muyt-BwuZ,3B8PE
tch_20230824-181153_76,class_20230824-181153_76,BF8M-d9Rs,3B8PE
tch_20230809-111401_44,class_20230809-111401_44,nBzG-B6T6,3B8PE
tch_20230731-110048_55,class_20230731-110048_55,dK7K-uE2i,3B8PE
tch_20230731-110048_66,class_20230731-110048_66,Wcr3-C6WG,3B8PE
tch_20230824-181153_49,class_20230824-181153_49,kzKi-W26h,3B8PE
tch_20230809-111401_91,class_20230809-111401_91,Nhcj-8qDm,3B8PE
tch_20230825-001752_41,class_20230825-001752_41,7hpk-yoiY,3B8PE
tch_20230811-131652_62,class_20230811-131652_62,8Umk-D6hQ,3B8PE
tch_20230825-165833_7,class_20230825-165833_7,qKtB-G3zV,3B8PE
tch_20230825-001752_64,class_20230825-001752_64,NEgR-36bA,3B8PE
tch_20230727-142846_24,class_20230727-142846_24,8MHq-6KZ6,3B8PE
tch_20230731-110048_7,class_20230731-110048_7,6726-oD7d,3B8PE
tch_20230811-131652_73,class_20230811-131652_73,2xC3-y93J,3B8PE
tch_20230825-165833_76,class_20230825-165833_76,6s24-78p7,3B8PE
tch_20230727-142846_35,class_20230727-142846_35,PV6s-7Ara,3B8PE
tch_20230825-165833_115,class_20230825-165833_115,w3D4-3sLK,3B8PE
tch_20230825-165833_98,class_20230825-165833_98,3A63-9Xkv,3B8PE
tch_20230731-110048_35,class_20230731-110048_35,H7fa-D8UX,3B8PE
tch_20230811-131652_75,class_20230811-131652_75,A894-6i7Z,3B8PE
tch_20230731-110048_8,class_20230731-110048_8,atCT-BYny,3B8PE
tch_20230731-110048_1,class_20230731-110048_1,JDnu-3N6y,3B8PE
tch_20230731-110048_27,class_20230731-110048_27,74pb-28J3,3B8PE
tch_20230809-142709_34,class_20230809-142709_34,w8kg-KRr4,3B8PE
tch_20230825-165833_72,class_20230825-165833_72,mG8n-tcJV,3B8PE
tch_20230825-001752_81,class_20230825-001752_81,X26q-7nic,3B8PE
tch_20230824-181153_87,class_20230824-181153_87,zKc8-n96F,3B8PE
tch_20230825-001752_54,class_20230825-001752_54,U79W-8f6h,3B8PE
tch_20230809-111401_29,class_20230809-111401_29,dKAZ-4Eg9,3B8PE
tch_20230731-110048_95,class_20230731-110048_95,tQxz-B7at,3B8PE
tch_20230824-222122_46,class_20230824-222122_46,DsAr-oWhu,3B8PE
tch_20230731-110048_36,class_20230731-110048_36,rz8V-et7w,3B8PE
tch_20230825-075012_68,class_20230825-075012_68,TpcL-3Lyg,3B8PE
tch_20230809-142709_59,class_20230809-142709_59,28k8-sGq7,3B8PE
tch_20230727-142846_12,class_20230727-142846_12,qZvK-7PGd,3B8PE
tch_20230809-142709_96,class_20230809-142709_96,HGkb-4qJD,3B8PE
tch_20230809-111401_99,class_20230809-111401_99,Qnq9-q89n,3B8PE
tch_20230825-075012_50,class_20230825-075012_50,dfYm-jFo6,3B8PE
tch_20230825-001752_69,class_20230825-001752_69,mnaE-4V67,3B8PE
tch_20230811-131652_87,class_20230811-131652_87,8NR6-29oE,3B8PE
tch_20230824-222122_85,class_20230824-222122_85,Jbk7-fTED,3B8PE
tch_20230825-001752_62,class_20230825-001752_62,ab9D-bNMT,3B8PE
tch_20230731-110048_9,class_20230731-110048_9,V3UP-pX6B,3B8PE
tch_20230809-142709_46,class_20230809-142709_46,3T92-3BnP,3B8PE
tch_20230825-165833_8,class_20230825-165833_8,w4wR-9hA6,3B8PE
tch_20230809-111401_1,class_20230809-111401_1,Lrt8-Q6gJ,3B8PE
tch_20230825-075012_52,class_20230825-075012_52,2pYj-8yUv,3B8PE
tch_20230809-111401_8,class_20230809-111401_8,3B9b-x9zj,3B8PE
tch_20230809-142709_84,class_20230809-142709_84,zwQT-g838,3B8PE
tch_20230727-142846_50,class_20230727-142846_50,NnTw-Ju7E,3B8PE
tch_20230825-075012_96,class_20230825-075012_96,6zE7-htPx,3B8PE
tch_20230824-181153_62,class_20230824-181153_62,YrZW-BhAV,3B8PE
tch_20230809-142709_13,class_20230809-142709_13,3U3n-byPD,3B8PE
tch_20230809-111401_70,class_20230809-111401_70,v434-H8is,3B8PE
tch_20230825-001752_97,class_20230825-001752_97,rk3r-w682,3B8PE
tch_20230825-165833_75,class_20230825-165833_75,ZE37-yw48,3B8PE
tch_20230824-181153_69,class_20230824-181153_69,L47q-3rHk,3B8PE
tch_20230727-142846_30,class_20230727-142846_30,XCMP-EDCr,3B8PE
tch_20230824-181153_66,class_20230824-181153_66,6kM7-moQw,3B8PE
tch_20230824-202013_43,class_20230824-202013_43,akPZ-2qEn,3B8PE
tch_20230824-202013_71,class_20230824-202013_71,64y8-Z6kN,3B8PE
tch_20230824-222122_45,class_20230824-222122_45,mAM3-q78N,3B8PE
tch_20230809-142709_56,class_20230809-142709_56,VfXN-sicp,3B8PE
tch_20230727-142846_31,class_20230727-142846_31,ZbpE-i8ke,3B8PE
tch_20230824-202013_79,class_20230824-202013_79,7KnM-fpx4,3B8PE
tch_20230825-001752_55,class_20230825-001752_55,gACb-whMD,3B8PE
tch_20230825-165833_10,class_20230825-165833_10,2ZAk-f7Fq,3B8PE
tch_20230824-222122_98,class_20230824-222122_98,xMY4-v8Zg,3B8PE
tch_20230824-222122_55,class_20230824-222122_55,2DEY-nKc3,3B8PE
tch_20230825-165833_4,class_20230825-165833_4,vCAM-dc3b,3B8PE
tch_20230825-165833_110,class_20230825-165833_110,Y9ox-3hF8,3B8PE
tch_20230731-110048_71,class_20230731-110048_71,49r9-Q8su,3B8PE
tch_20230825-165833_99,class_20230825-165833_99,2nN2-V93U,3B8PE
tch_20230824-181153_47,class_20230824-181153_47,z2Zc-9Z7e,3B8PE
tch_20230809-142709_97,class_20230809-142709_97,J6jU-cKs8,3B8PE
tch_20230824-222122_86,class_20230824-222122_86,Wf6L-HeC4,3B8PE
tch_20230824-181153_64,class_20230824-181153_64,vACT-42n8,3B8PE
tch_20230825-075012_48,class_20230825-075012_48,R9jY-4ym2,3B8PE
tch_20230824-222122_74,class_20230824-222122_74,C7hJ-DE8V,3B8PE
tch_20230809-111401_75,class_20230809-111401_75,Rwr9-8ExL,3B8PE
tch_20230825-001752_44,class_20230825-001752_44,MBXj-oehL,3B8PE
tch_20230825-001752_90,class_20230825-001752_90,fJKd-i9Cr,3B8PE
tch_20230824-222122_57,class_20230824-222122_57,92K7-Fs7m,3B8PE
tch_20230809-111401_46,class_20230809-111401_46,7DwK-b37x,3B8PE
tch_20230809-111401_82,class_20230809-111401_82,L7rc-6vBz,3B8PE
tch_20230809-111401_2,class_20230809-111401_2,giWZ-L6DJ,3B8PE
tch_20230731-110048_82,class_20230731-110048_82,A3hs-9LoX,3B8PE
tch_20230825-075012_84,class_20230825-075012_84,Y3tG-yF29,3B8PE
tch_20230809-111401_31,class_20230809-111401_31,8Q49-n23o,3B8PE
tch_20230824-181153_83,class_20230824-181153_83,ag8T-4qv4,3B8PE
tch_20230825-165833_52,class_20230825-165833_52,9tkp-HZp6,3B8PE
tch_20230825-075012_58,class_20230825-075012_58,6KXF-Vi4Z,3B8PE
tch_20230824-222122_66,class_20230824-222122_66,7X43-2349,3B8PE
tch_20230824-202013_67,class_20230824-202013_67,7Pr2-h2Lz,3B8PE
tch_20230731-110048_15,class_20230731-110048_15,8Dd6-Xo6n,3B8PE
tch_20230825-165833_123,class_20230825-165833_123,g6eP-3pE8,3B8PE
tch_20230824-181153_70,class_20230824-181153_70,fm2s-n2G4,3B8PE
tch_20230731-110048_12,class_20230731-110048_12,6izs-EN9Z,3B8PE
tch_20230731-110048_28,class_20230731-110048_28,qTgP-Vyiw,3B8PE
tch_20230825-165833_22,class_20230825-165833_22,2YbC-wr2W,3B8PE
tch_20230731-110048_94,class_20230731-110048_94,Q34p-uV92,3B8PE
tch_20230825-075012_78,class_20230825-075012_78,oJDJ-jek4,3B8PE
tch_20230809-142709_2,class_20230809-142709_2,V6NY-Ef9W,3B8PE
tch_20230824-202013_90,class_20230824-202013_90,g3i8-dP8a,3B8PE
tch_20230824-181153_79,class_20230824-181153_79,oyU2-Fitp,3B8PE
tch_20230731-110048_49,class_20230731-110048_49,2oPB-3e8b,3B8PE
tch_20230825-075012_70,class_20230825-075012_70,73o7-Qxgo,3B8PE
tch_20230824-202013_77,class_20230824-202013_77,VmH4-W8ip,3B8PE
tch_20230809-142709_92,class_20230809-142709_92,tF6L-924c,3B8PE
tch_20230824-202013_50,class_20230824-202013_50,9cre-nk23,3B8PE
tch_20230809-142709_53,class_20230809-142709_53,k8M7-2dD3,3B8PE
tch_20230731-110048_57,class_20230731-110048_57,dmCf-tPfd,3B8PE
tch_20230825-165833_63,class_20230825-165833_63,9sm2-CDch,3B8PE
tch_20230825-075012_42,class_20230825-075012_42,6TyG-TuYC,3B8PE
tch_20230824-181153_81,class_20230824-181153_81,F8e4-HnCF,3B8PE
tch_20230825-001752_77,class_20230825-001752_77,7C6a-wpjz,3B8PE
tch_20230824-222122_87,class_20230824-222122_87,9cKX-MF8R,3B8PE
tch_20230825-001752_61,class_20230825-001752_61,qh2z-92CG,3B8PE
tch_20230824-222122_96,class_20230824-222122_96,8zhF-mxDC,3B8PE
tch_20230824-222122_52,class_20230824-222122_52,Ebqg-C37z,3B8PE
tch_20230824-202013_59,class_20230824-202013_59,K9vY-W29X,3B8PE
tch_20230825-075012_69,class_20230825-075012_69,iY3b-hLY4,3B8PE
tch_20230811-131652_44,class_20230811-131652_44,64nX-qjbh,3B8PE
tch_20230731-110048_51,class_20230731-110048_51,y242-yum4,3B8PE
tch_20230809-111401_94,class_20230809-111401_94,EV4z-hmMq,3B8PE
tch_20230825-165833_36,class_20230825-165833_36,DUrJ-LP76,3B8PE
tch_20230825-001752_68,class_20230825-001752_68,EhcM-ao36,3B8PE
tch_20230825-075012_73,class_20230825-075012_73,DfPB-x2js,3B8PE
tch_20230824-181153_48,class_20230824-181153_48,aG2y-4cV9,3B8PE
tch_20230727-142846_42,class_20230727-142846_42,67MZ-GHP3,3B8PE
tch_20230727-142846_18,class_20230727-142846_18,7896-7eh4,3B8PE
tch_20230811-131652_6,class_20230811-131652_6,anB6-dLxW,3B8PE
tch_20230825-165833_108,class_20230825-165833_108,M9Co-DBqY,3B8PE
tch_20230727-142846_36,class_20230727-142846_36,z6Cj-27dV,3B8PE
tch_20230811-131652_61,class_20230811-131652_61,jk3R-A3BQ,3B8PE
tch_20230825-165833_41,class_20230825-165833_41,Uf8M-2TfE,3B8PE
tch_20230809-142709_78,class_20230809-142709_78,MuB3-Jn8C,3B8PE
tch_20230824-181153_99,class_20230824-181153_99,24aw-8xsY,3B8PE
tch_20230825-001752_48,class_20230825-001752_48,B3Tr-9kV7,3B8PE
tch_20230824-222122_84,class_20230824-222122_84,3BHb-yqTz,3B8PE
tch_20230731-110048_58,class_20230731-110048_58,8AmC-nt7x,3B8PE
tch_20230731-110048_98,class_20230731-110048_98,KrMC-73Y9,3B8PE
tch_20230809-111401_3,class_20230809-111401_3,29Fr-27zN,3B8PE
tch_20230824-202013_61,class_20230824-202013_61,CM72-ur8K,3B8PE
tch_20230825-075012_81,class_20230825-075012_81,oQKa-z3zT,3B8PE
tch_20230824-181153_89,class_20230824-181153_89,tgad-8x3g,3B8PE
tch_20230825-075012_60,class_20230825-075012_60,zuKg-Y9V8,3B8PE
tch_20230825-165833_101,class_20230825-165833_101,mZrE-38dv,3B8PE
tch_20230731-110048_87,class_20230731-110048_87,K4sx-zXd2,3B8PE
tch_20230824-181153_41,class_20230824-181153_41,3X6z-Hi2K,3B8PE
tch_20230825-165833_21,class_20230825-165833_21,8E2K-L3jW,3B8PE
tch_20230811-131652_63,class_20230811-131652_63,st7v-7vx3,3B8PE
tch_20230824-222122_42,class_20230824-222122_42,RQHM-Q4QG,3B8PE
tch_20230811-131652_34,class_20230811-131652_34,AHC3-vD6Q,3B8PE
tch_20230809-142709_67,class_20230809-142709_67,Y6Yf-s4Wm,3B8PE
tch_20230727-142846_47,class_20230727-142846_47,HN2m-6U2N,3B8PE
tch_20230825-165833_112,class_20230825-165833_112,dxRC-486H,3B8PE
tch_20230824-181153_96,class_20230824-181153_96,Dm67-sX4N,3B8PE
tch_20230825-165833_105,class_20230825-165833_105,vcxB-94Kf,3B8PE
tch_20230811-131652_16,class_20230811-131652_16,tPN8-Pdsx,3B8PE
tch_20230825-075012_55,class_20230825-075012_55,Qb9m-CdCv,3B8PE
tch_20230825-075012_45,class_20230825-075012_45,dNm6-7djq,3B8PE
tch_20230824-222122_65,class_20230824-222122_65,i8zA-zxXz,3B8PE
tch_20230825-165833_28,class_20230825-165833_28,6iev-7dNn,3B8PE
tch_20230824-222122_89,class_20230824-222122_89,asgG-kE4U,3B8PE
tch_20230809-142709_65,class_20230809-142709_65,Gbo7-8aRP,3B8PE
tch_20230825-165833_35,class_20230825-165833_35,4XE4-6R4c,3B8PE
tch_20230731-110048_80,class_20230731-110048_80,8ZdT-4kZ2,3B8PE
tch_20230825-165833_1,class_20230825-165833_1,98L3-LszR,3B8PE
tch_20230731-110048_18,class_20230731-110048_18,JhfC-yVEy,3B8PE
tch_20230824-222122_88,class_20230824-222122_88,9TWG-at42,3B8PE
tch_20230731-110048_20,class_20230731-110048_20,DkbA-4Fjd,3B8PE
tch_20230824-222122_63,class_20230824-222122_63,K7ek-wPQ9,3B8PE
tch_20230824-181153_80,class_20230824-181153_80,eJ69-DW32,3B8PE
tch_20230809-111401_68,class_20230809-111401_68,B4YB-pHPr,3B8PE
tch_20230727-142846_33,class_20230727-142846_33,w2B6-2Aw3,3B8PE
tch_20230825-075012_79,class_20230825-075012_79,9kN3-yzD6,3B8PE
tch_20230824-181153_63,class_20230824-181153_63,3by6-3eaV,3B8PE
tch_20230824-202013_75,class_20230824-202013_75,w9k7-zKeT,3B8PE
tch_20230727-142846_39,class_20230727-142846_39,ymQ3-9i4L,3B8PE
tch_20230824-181153_88,class_20230824-181153_88,myjw-Rx7z,3B8PE
tch_20230731-110048_56,class_20230731-110048_56,aTPh-Wy69,3B8PE
tch_20230825-165833_58,class_20230825-165833_58,Bph4-9v4A,3B8PE
tch_20230824-202013_93,class_20230824-202013_93,rEWZ-7zi9,3B8PE
tch_20230809-142709_86,class_20230809-142709_86,eXaF-dAK4,3B8PE
tch_20230825-165833_51,class_20230825-165833_51,2qKT-pN9n,3B8PE
tch_20230809-111401_53,class_20230809-111401_53,qJ6Z-vKwd,3B8PE
tch_20230825-001752_91,class_20230825-001752_91,A2q6-eCTr,3B8PE
tch_20230811-131652_22,class_20230811-131652_22,9AL9-yg3t,3B8PE
tch_20230824-181153_45,class_20230824-181153_45,ZGL4-7fbs,3B8PE
tch_20230809-111401_92,class_20230809-111401_92,LkYW-gp68,3B8PE
tch_20230824-181153_77,class_20230824-181153_77,RU8G-TjnN,3B8PE
tch_20230824-222122_62,class_20230824-222122_62,rJGM-4nMn,3B8PE
tch_20230825-001752_84,class_20230825-001752_84,9j3J-3w86,3B8PE
tch_20230824-202013_60,class_20230824-202013_60,cuLt-PHrb,3B8PE
tch_20230809-111401_13,class_20230809-111401_13,ntgD-Cx8V,3B8PE
tch_20230824-222122_43,class_20230824-222122_43,9rNe-HopY,3B8PE
tch_20230825-165833_107,class_20230825-165833_107,iJNP-34d6,3B8PE
tch_20230824-202013_76,class_20230824-202013_76,m3aX-43R7,3B8PE
tch_20230731-110048_34,class_20230731-110048_34,Y3xo-MZND,3B8PE
tch_20230809-111401_74,class_20230809-111401_74,UWu6-e6i9,3B8PE
tch_20230825-001752_53,class_20230825-001752_53,fz2D-d8Rs,3B8PE
tch_20230731-110048_47,class_20230731-110048_47,46co-MG6s,3B8PE
tch_20230727-142846_34,class_20230727-142846_34,2vUH-2PuB,3B8PE
tch_20230824-181153_42,class_20230824-181153_42,Er7f-DagU,3B8PE
tch_20230825-165833_106,class_20230825-165833_106,yBpZ-Nif3,3B8PE
tch_20230825-165833_117,class_20230825-165833_117,q4u4-XjFu,3B8PE
tch_20230825-165833_6,class_20230825-165833_6,GyR3-Mwqu,3B8PE
tch_20230731-110048_70,class_20230731-110048_70,FoNm-gc3K,3B8PE
tch_20230825-165833_46,class_20230825-165833_46,aXH7-hqYg,3B8PE
tch_20230824-202013_85,class_20230824-202013_85,9V68-zGY2,3B8PE
tch_20230731-110048_62,class_20230731-110048_62,idDq-Mf2w,3B8PE
tch_20230824-202013_62,class_20230824-202013_62,LJv4-MPjW,3B8PE
tch_20230809-142709_95,class_20230809-142709_95,mt8n-k4Yr,3B8PE
tch_20230825-165833_86,class_20230825-165833_86,zR7X-8n79,3B8PE
tch_20230731-110048_89,class_20230731-110048_89,hVqa-EYpe,3B8PE
